Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_A11_458796
Composite Element REF	Signal
AACS	7.03264020775503
FSTL1	7.69047835682327
ELMO2	5.60779444759815
CREB3L1	3.36385843747899
RPS11	9.7761876219419
PNMA1	7.30526368662367
MMP2	5.25548376169252
SAMD4A	3.72167278922455
SMARCD3	4.66248095424198
A4GNT	3.74742451771822
C9orf39	3.53548220824856
PKNOX2	3.73586338357770
RALYL	3.29097419583002
ZHX3	4.50770561469608
ERCC5	6.76929448260073
RXFP3	3.00340999444604
APBB2	4.53324143682109
BBOX1	7.03927300777879
PRO0478	2.98477211364655
GCSH	7.71073823665663
XDH	3.85349602981096
EDN1	4.95752692908741
MTERF	6.53545598511104
PDCL3	8.12641460219348
CLK4	5.31337492781679
KCNG1	3.50297295236696
CXCR4	7.45396736986589
DECR1	7.55910665602773
SALL1	3.29561943612587
PTPRR	3.28053928835075
CADM4	3.33276922132238
IRAK1	9.32477606641919
CFHR5	3.25079918964879
HNRPD	8.2222952232956
TMSB10	12.3961918820861
CXCL3	3.5642889523142
LMAN1	3.91831569981613
SUHW1	3.60174336300112
CHD8	6.0603255249778
SUMO1	8.53985337982364
GP1BA	3.35972302291964
OR7A10	3.53158623362738
DDB1	7.71441941604165
CHRNA10	3.66887167857907
STYK1	4.28973988498406
MYO9B	4.69998021316401
CCNI	9.80123855647785
MMP7	4.02058444179503
EP300	7.35611488997778
CRNKL1	6.48217832679593
C9orf45	3.24493473744156
XAB2	3.82349766457817
RTN1	3.37650737467359
HIC2	3.71744361248834
TBX10	3.47680045723018
CENPQ	4.92592671332153
UTY	3.16793765404558
OR2W1	2.81551151243976
ATP5G2	9.90056908464892
ZEB1	3.11715415809177
ZG16	3.48838935391727
ERG	3.56582482108915
PARN	7.94910009535076
SOD2	6.63160238915878
JOSD3	7.21315006395348
ADAM5P	3.28063301817
CHD9	6.289897168197
hCG_40738	3.86617998938427
STK16	5.22174404848306
PDE1C	3.33147627514556
SEMA4D	6.20326689140592
AGPAT1	7.05518461155636
TOB2	7.27651293166423
BANK1	7.47694800597434
MAP3K3	5.40997845490655
MAX	5.13247666645577
GRM2	3.67454746268708
OSBPL8	8.10510891916248
PROSC	5.82502883341745
NR4A2	4.46059575280401
RICS	5.0831851851412
PIR	4.90570448269623
PPCS	9.06299095868781
IPO9	6.2734350829824
LONP1	7.50786188951755
EVC	4.41631059791062
CXCL13	5.55450758575672
SCYL3	5.36364579279978
KIAA1199	3.20998501941965
SORL1	8.23827367120199
NAT10	7.16997529593642
CHD1	6.37618925929427
SYN3	3.55695736887044
DMC1	3.85750439400004
SLC22A2	3.57922166372731
SERPINF1	6.25116020415628
C20orf27	4.5980831771021
OR7A17	3.21270609920614
RPS6KA5	4.15291269804919
LHB	3.11643233096393
TAOK3	5.44578868951557
STK25	5.76710393240615
SLC12A4	3.65085859222229
BRCA1	4.16389255564942
GBL	5.26518422024899
C14orf108	8.48224678082063
CDC25B	6.71520196133574
BMP3	3.35462550114467
MAP1LC3C	3.23297637995203
TMEM180	3.60501316880857
CRYGC	3.55284765895835
SLK	5.82807051400062
POU3F1	3.20957503125186
C20orf32	3.89133594298725
USP52	6.64838665910738
HIGD1B	3.77598917441478
BAZ1B	7.1038870991212
USP6NL	6.22978169200437
SLCO2B1	4.14995112010607
ABCD4	4.48133272564076
DIMT1L	6.06666652592582
SLC25A46	7.44230318295074
LARP7	7.72164004203308
TEK	3.36664117865815
CD160	3.59943129551249
TERF2IP	7.33329090786652
PHF20	6.27232365953009
COL1A1	5.511043575536
KIAA0090	7.03837314520449
GTPBP1	4.61429747608562
GRK5	3.47929476926579
AP1S2	4.67059660810075
RAB33B	5.26533490243951
CA11	4.18180967627539
ALDOC	5.81861991489468
NUDT1	6.38733949602861
ZNF212	5.32638449875972
ACBD3	7.05744974332424
ZNF83	8.57730400104932
PRDM2	5.50936269285628
GDPD5	3.9673809847557
PDCD4	5.10435224215867
CEP350	6.70013858478218
FOXP3	3.25699744096466
SMYD3	6.71751776872207
CST7	4.10643418653735
SELL	4.9440522339421
CIAO1	7.03276932990304
LGI2	3.53919585532557
WDR45	7.42170762381309
ANKRD6	7.32911842140133
LTBP4	6.19718414085109
PSCD3	3.40542157589397
PYY	3.14039840000147
KCNC1	2.98075060305055
SIRT6	4.24679161882763
CCL19	3.62249225129747
ARHGEF9	4.18670684590838
ABR	4.39964001021955
C10orf22	5.99560690063837
STK17A	5.07095030811458
FOXE1	3.32257570496927
GML	3.24301123216238
CNGA3	2.99297013589694
CD38	6.65995812292979
ZDHHC6	6.92180135711804
NEFH	5.6746177153257
PGBD5	3.15445240224421
CTDSP2	7.84322324457224
RMND5B	6.30752741703866
ZNF257	3.99670285343356
DUSP4	3.36334474875234
FLJ22167	6.37227724219663
EXOSC7	6.49602441937696
ROR2	3.86343379531109
FOXM1	5.52329980077011
ZBTB48	5.58377269287336
BUD31	8.50098492404973
MAOA	4.22874457553516
CCDC41	4.13413909406879
TNNT3	3.71516005750819
FBXO11	6.09382372944256
GYPC	5.18468681396493
PLIN	3.66740037293655
RFXAP	3.60173372998666
C6orf15	3.8897289807642
RNF4	8.77727287593464
F8A1	8.57749959310907
PPP1R3D	4.72248997676509
