Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_D07_458654
Composite Element REF	Signal
AACS	7.1817517565421
FSTL1	8.07699675092742
ELMO2	5.52161134174467
CREB3L1	4.17502592169498
RPS11	9.8637611121826
PNMA1	8.10316868893587
MMP2	4.8942788800533
SAMD4A	4.18287198470927
SMARCD3	4.35418009321435
A4GNT	3.71250002740445
C9orf39	3.61283982005213
PKNOX2	3.89922783111199
RALYL	3.22347059526888
ZHX3	4.83716631578421
ERCC5	6.3028727424187
RXFP3	3.1872622028289
APBB2	3.73869666128049
BBOX1	4.10633881178081
PRO0478	2.97819538873132
GCSH	7.55679591749711
XDH	3.95690447983526
EDN1	3.74448147137451
MTERF	6.1533824054703
PDCL3	7.46200118879045
CLK4	6.85079784700638
KCNG1	3.80094886247302
CXCR4	5.68436467898421
DECR1	7.45004667918151
SALL1	3.5878921722366
PTPRR	3.25145091558315
CADM4	3.57971230381085
IRAK1	8.14986974034585
CFHR5	3.52981715843832
HNRPD	7.2234375988908
TMSB10	11.7256717398802
CXCL3	3.66056481874524
LMAN1	3.771543571001
SUHW1	3.51809158247328
CHD8	6.70129810595333
SUMO1	7.12414371994665
GP1BA	3.46383652357651
OR7A10	4.12798346159131
DDB1	7.92578123754065
CHRNA10	3.75979748461577
STYK1	4.03970390595948
MYO9B	4.41150348843781
CCNI	9.7410138840224
MMP7	9.15651549252766
EP300	5.89011367542499
CRNKL1	6.44443902484515
C9orf45	2.89147028564887
XAB2	3.65243734602101
RTN1	4.73637746562106
HIC2	4.17801329356636
TBX10	3.66619723379919
CENPQ	3.6879630607563
UTY	3.35613450700876
OR2W1	2.87728095024059
ATP5G2	10.5649224696147
ZEB1	3.5247546336938
ZG16	3.43757430050021
ERG	3.48838825058209
PARN	6.09377215926554
SOD2	3.71169816269629
JOSD3	8.88432621451731
ADAM5P	3.49653113661400
CHD9	5.12034768493542
hCG_40738	4.03602483366516
STK16	4.46964194143573
PDE1C	3.68475161621837
SEMA4D	5.3372460877022
AGPAT1	5.19929251971007
TOB2	4.96010006244565
BANK1	3.47484667102398
MAP3K3	4.91797813924904
MAX	4.82721330538609
GRM2	3.97058006367037
OSBPL8	6.16208702243852
PROSC	5.98577142171478
NR4A2	4.8327589876074
RICS	4.67429530080928
PIR	5.05214761342244
PPCS	8.52686120472905
IPO9	6.45629161571483
LONP1	5.79253206221759
EVC	4.00909666038569
CXCL13	3.66407320526052
SCYL3	5.00493416211041
KIAA1199	6.24069730660921
SORL1	7.47983699310133
NAT10	6.89655100057742
CHD1	6.33297827357243
SYN3	3.59518302827171
DMC1	3.89582643716214
SLC22A2	3.56426499227277
SERPINF1	4.84805027751705
C20orf27	5.13223220553895
OR7A17	3.23891679683059
RPS6KA5	4.72440154204456
LHB	3.28420239244843
TAOK3	4.74505703687642
STK25	5.45052751640031
SLC12A4	3.89303363695251
BRCA1	3.56665252617792
GBL	4.64880749818482
C14orf108	7.33381636309325
CDC25B	6.79174735276812
BMP3	3.12907764521533
MAP1LC3C	3.57898773667065
TMEM180	4.31930097394492
CRYGC	3.73167762976723
SLK	5.20920048248834
POU3F1	3.32525590178766
C20orf32	3.70165377511032
USP52	7.27898761423721
HIGD1B	3.87001810203793
BAZ1B	6.91038041673178
USP6NL	4.73710362083888
SLCO2B1	4.27618717868567
ABCD4	4.39063907554879
DIMT1L	5.96607175597722
SLC25A46	7.0764718150066
LARP7	6.20842072839239
TEK	3.45417765569306
CD160	3.79353752688648
TERF2IP	6.96168487159507
PHF20	6.06807711018313
COL1A1	6.52801370834844
KIAA0090	5.82022883347802
GTPBP1	4.21892753071112
GRK5	3.97906246208987
AP1S2	5.70482331892375
RAB33B	3.77876566052639
CA11	4.72937387769925
ALDOC	5.37321205913509
NUDT1	5.09093441020628
ZNF212	4.41118976442514
ACBD3	6.99546897458126
ZNF83	6.23769954291702
PRDM2	4.86364609187486
GDPD5	5.13052296041346
PDCD4	5.60288810032483
CEP350	5.6644290549076
FOXP3	3.32522968314711
SMYD3	5.89352567899781
CST7	3.84380443822185
SELL	3.79299567543966
CIAO1	5.62370458770949
LGI2	3.73592627269721
WDR45	6.08887701883067
ANKRD6	5.65461319519653
LTBP4	4.86518029578256
PSCD3	3.20186202671641
PYY	3.50794558393164
KCNC1	3.12335749190256
SIRT6	4.01634532908062
CCL19	3.76838455548855
ARHGEF9	4.55230545792300
ABR	4.27571815834792
C10orf22	6.30296754179985
STK17A	4.69102814689033
FOXE1	3.27926767081995
GML	3.22630267099844
CNGA3	3.15410654094291
CD38	3.48063478684291
ZDHHC6	7.31385082148907
NEFH	4.44361855363762
PGBD5	3.5897962787329
CTDSP2	6.70018897210595
RMND5B	5.62695745916663
ZNF257	4.99224349262536
DUSP4	3.2448724760821
FLJ22167	4.64282568702056
EXOSC7	5.71166151277155
ROR2	3.66962644711874
FOXM1	4.7582681567078
ZBTB48	4.64603401938954
BUD31	7.57170589600851
MAOA	4.26417411452224
CCDC41	4.96245222047048
TNNT3	3.80762839768887
FBXO11	5.35550165609705
GYPC	5.59705309776473
PLIN	3.63700743251532
RFXAP	3.81055908340035
C6orf15	3.74963213973992
RNF4	6.40667511848363
F8A1	7.81290967156568
PPP1R3D	4.62193839374896
GRB2	6.78465281587769
TPM3	3.20190688396344
SYT13	3.97496566056218
EPB42	3.87075922030091
RP5-1077B9.4	5.04875292724466
EIF1	10.1496351859466
CETN3	7.16435363809716
FPGT	4.96850693178546
PRY	3.77487923307503
NTHL1	4.89154862324856
POLR2B	7.98551451544151
RPS28	12.2363695812172
GDF10	3.17269775302554
COQ9	6.49342231426172
P2RX3	2.9081529919961
GCC2	7.11947611421934
RARRES3	4.9998377252429
PLXNA1	6.11386550151893
WBP4	4.03621839417523
KIAA0100	6.31295231778945
PMF1	5.42571020806715
HS2ST1	5.24190592670729
CRELD2	6.61825352557577
C8G	3.30537739594144
CD82	6.0230477092405
PMM1	4.88454514731727
CBLL1	3.8232797654236
LIM2	3.86664930059114
VAX2	3.87105497804666
SETDB1	5.31880412424555
LRAP	4.10130328277183
GCLM	5.2979060323388
CPEB3	3.54185971543908
PPM1A	5.9358345268786
INTS1	4.31875241668074
MMP16	3.42944645835881
CAMTA1	4.0725346651428
SAMSN1	3.99364035952693
DRD3	2.81141301192242
GMPPA	5.29539649096156
C11orf73	5.51436167026136
AIPL1	4.01587184574371
PTP4A2	8.3377933747195
IL24	3.45555298499079
BDKRB1	3.39469661702621
HPCA	3.44703074541447
MLF1	7.11596106899437
SEC14L1	5.82569270241571
CHFR	5.17810419794427
EMILIN1	3.69821641337114
THADA	5.83452525156833
TAF12	5.26191499520754
NDUFS4	8.73041157079096
ID1	10.3286776662092
PIK3CB	4.49905280821289
COL18A1	7.86216446853867
PDZD3	3.92309966675845
TBC1D17	4.30373281864625
COX8A	9.63013667533413
CDCA4	5.96528510190713
C2orf44	4.79725978028619
C9orf16	6.54739092055904
ERBB2IP	8.28137443011398
EMX2	9.0679120606845
FUS	5.95701593278136
NIPSNAP3B	3.78454898427148
TF	4.02487672507969
CXorf56	5.37733803915649
CLCN4	4.12826703785837
PWP2	5.39076173011161
MMP15	4.10406120530451
MTMR14	5.76411918119856
NPR1	6.76430924416787
DNAL4	5.48461973256271
ELAC2	4.35773803590472
ASS1	10.1263164425725
IPP	4.78840390831076
TMEM59	9.35002705758257
POLR2J	8.8626259131856
SEC23IP	4.94348859935436
RGS4	3.79269062080421
UQCRC1	8.3372545279242
SNX6	7.04327615346399
DDX18	6.47687621068978
POLG	4.61243051686093
ADAM23	4.07155843436485
ZNHIT2	4.09616935077669
TFR2	4.04873995828618
NCDN	4.27392148835609
RAG1	3.53852867702375
POMT1	4.52007861999175
CYP1A1	3.58046503076022
SNAPC1	6.51830641574202
GNA11	4.69583530858917
