Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_D06_297956
Composite Element REF	Signal
AACS	6.71917216610657
FSTL1	9.33773376984437
ELMO2	5.36795737800256
CREB3L1	3.84979611767245
RPS11	10.0561474996916
PNMA1	7.16207226656116
MMP2	8.06711772149857
SAMD4A	3.77052951061793
SMARCD3	5.75235502101003
A4GNT	3.65953856464006
C9orf39	3.72281763923635
PKNOX2	3.87322912185063
RALYL	3.65218763675864
ZHX3	4.4879951643727
ERCC5	5.53235009853739
RXFP3	3.11397658977843
APBB2	4.70079655123826
BBOX1	4.55517280120027
PRO0478	3.04202569506443
GCSH	8.76786418063269
XDH	3.99902762644202
EDN1	3.92913097144929
MTERF	5.92667296260665
PDCL3	7.15914931969484
CLK4	5.92683164691571
KCNG1	5.01160109993142
CXCR4	8.88572327364768
DECR1	7.08757646672479
SALL1	3.76703470718751
PTPRR	3.24590053280893
CADM4	3.97717037458185
IRAK1	7.89681537883184
CFHR5	3.45431222253855
HNRPD	7.3370376530062
TMSB10	12.7164387283668
CXCL3	4.33624311952297
LMAN1	3.73782342931689
SUHW1	3.64199736002403
CHD8	5.27249281966697
SUMO1	7.7604872804877
GP1BA	3.07722499525239
OR7A10	3.61320324783107
DDB1	7.15295245201589
CHRNA10	3.99140999963166
STYK1	3.53646979710980
MYO9B	4.53436012011421
CCNI	10.4833691604730
MMP7	10.5593027465175
EP300	5.23898208458084
CRNKL1	5.76883186925087
C9orf45	3.36059394536201
XAB2	4.40188416516523
RTN1	3.64055408910921
HIC2	4.23554069017543
TBX10	3.36598089358551
CENPQ	4.46208134393217
UTY	3.30261912345113
OR2W1	2.89805782488643
ATP5G2	11.0782801557992
ZEB1	4.98718662559846
ZG16	3.55593609802999
ERG	3.58626806071853
PARN	6.40539846248176
SOD2	4.92667314355651
JOSD3	7.1715692883189
ADAM5P	3.40699008508474
CHD9	5.19831373967721
hCG_40738	3.9303820960877
STK16	5.25344184075833
PDE1C	4.00578728779971
SEMA4D	5.53181131963074
AGPAT1	6.58875466008035
TOB2	5.16738200449615
BANK1	3.33908149015507
MAP3K3	5.36820403175329
MAX	4.91903997344539
GRM2	3.86787473276088
OSBPL8	6.33353154916914
PROSC	5.68304675164613
NR4A2	4.54761473101787
RICS	3.96703095854431
PIR	4.17367942344751
PPCS	9.45203293513028
IPO9	6.25355869876456
LONP1	6.21158177672189
EVC	4.03412508703969
CXCL13	4.05438521919924
SCYL3	5.39266121607997
KIAA1199	4.80576640227944
SORL1	6.23093251858838
NAT10	6.97765253721263
CHD1	5.86147770416183
SYN3	3.46044589711334
DMC1	3.83460548932077
SLC22A2	3.55484749039946
SERPINF1	6.61064403817714
C20orf27	5.86756399500238
OR7A17	3.39504154413635
RPS6KA5	4.17558807661493
LHB	3.21514769790358
TAOK3	3.94436498116881
STK25	6.43240949305799
SLC12A4	3.80499122274476
BRCA1	4.33616655753297
GBL	5.13494421696389
C14orf108	6.79979286333712
CDC25B	7.86118063904292
BMP3	3.3393960671391
MAP1LC3C	4.03050364415588
TMEM180	3.54192811241175
CRYGC	3.66872920267556
SLK	5.68838980304155
POU3F1	3.40888997094381
C20orf32	3.94698290802966
USP52	5.80381619471557
HIGD1B	4.03214075940964
BAZ1B	5.91012931209788
USP6NL	5.39109238634387
SLCO2B1	3.9530329280418
ABCD4	4.33211729175657
DIMT1L	5.73779290303147
SLC25A46	7.75495211523546
LARP7	6.50822239401728
TEK	3.69289299494030
CD160	3.68336314688958
TERF2IP	7.18325645999919
PHF20	5.87638420205272
COL1A1	7.02656345934308
KIAA0090	6.39366566072024
