Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_D11_543668
Composite Element REF	Signal
AACS	7.42287590311323
FSTL1	9.84573132093244
ELMO2	6.08665296011891
CREB3L1	4.5200986480493
RPS11	9.8130133419718
PNMA1	8.82325925671679
MMP2	6.99416548737135
SAMD4A	3.59219752507955
SMARCD3	6.01894586470882
A4GNT	3.44425550230997
C9orf39	3.06996645066906
PKNOX2	4.63065673714002
RALYL	3.25724625692932
ZHX3	4.47360518246427
ERCC5	6.14740664557857
RXFP3	3.06988895178592
APBB2	5.22239974286501
BBOX1	3.26276284833592
PRO0478	3.19794944958636
GCSH	7.9024228677248
XDH	3.93261864940242
EDN1	4.96451529276035
MTERF	6.69310342010615
PDCL3	7.77794945399507
CLK4	6.72400333455878
KCNG1	4.63592410257501
CXCR4	6.51569791358074
DECR1	8.21175939866713
SALL1	4.90597214527264
PTPRR	3.38391176072122
CADM4	3.53620724937763
IRAK1	7.45959508670291
CFHR5	3.06222866138424
HNRPD	8.23759335446045
TMSB10	11.9854789027805
CXCL3	4.14301101438151
LMAN1	4.09345641289604
SUHW1	3.38906948876402
CHD8	5.82612124034261
SUMO1	8.12758538510781
GP1BA	3.18439701237424
OR7A10	3.78177661427487
DDB1	8.12459259798864
CHRNA10	3.63708208062786
STYK1	3.29204747024810
MYO9B	4.39942462124432
CCNI	10.1595064468829
MMP7	6.68721344784759
EP300	7.16089515295089
CRNKL1	7.40912467433192
C9orf45	3.22942849004786
XAB2	3.72167039057015
RTN1	4.54097108702348
HIC2	4.68153933369161
TBX10	3.43528403828167
CENPQ	4.49343074367882
UTY	3.08237728425713
OR2W1	2.90872895028244
ATP5G2	10.8984621714971
ZEB1	3.58610401380031
ZG16	3.4754704783818
ERG	3.86425416846304
PARN	6.69773859809625
SOD2	4.36027846419394
JOSD3	7.95128266924058
ADAM5P	3.17131563243111
CHD9	5.85271684652737
hCG_40738	4.44226191984392
STK16	5.39969984926912
PDE1C	3.66722331250667
SEMA4D	5.48187282958868
AGPAT1	6.93005817894552
TOB2	6.07789859453078
BANK1	3.3392375637147
MAP3K3	5.24225216171682
MAX	5.24735547627092
GRM2	3.55227179815702
OSBPL8	7.95413719152633
PROSC	5.69982245944347
NR4A2	4.14110631064974
RICS	5.61094754995745
PIR	3.63347176941998
PPCS	8.38467613047617
IPO9	7.1426639568636
LONP1	7.10703249131669
EVC	4.12334296609296
CXCL13	3.84876733595493
SCYL3	6.17541888965585
KIAA1199	5.25980258834937
SORL1	8.21125900127929
NAT10	7.44820555536602
CHD1	7.80140741088242
SYN3	3.80254476335658
DMC1	3.96375292060018
SLC22A2	3.40073874964966
SERPINF1	5.95701495826986
C20orf27	6.57613773590668
OR7A17	3.10986651338315
RPS6KA5	4.19317159273127
LHB	3.36325584051549
TAOK3	4.6168526860646
STK25	6.62633668431742
SLC12A4	3.51775455762267
BRCA1	4.94548848838328
GBL	5.34907709120622
C14orf108	7.81684157613452
CDC25B	7.8494849926469
BMP3	3.31782812439062
MAP1LC3C	3.38232388240907
TMEM180	3.92533005164756
CRYGC	3.49327766267697
SLK	6.29425964968103
POU3F1	3.24739981037885
C20orf32	3.81090440155893
USP52	6.56746710683906
HIGD1B	4.13332646557232
BAZ1B	6.60265276983436
USP6NL	6.66894036922281
SLCO2B1	3.82199619456668
ABCD4	4.72732679110211
DIMT1L	6.57486084368067
SLC25A46	7.92987890571016
LARP7	7.00736712474737
TEK	3.67450339141763
CD160	3.50421113990499
TERF2IP	7.79274691136442
PHF20	5.74902882378351
COL1A1	7.71735533126853
KIAA0090	6.34813703745334
GTPBP1	4.42130351756991
GRK5	4.25397959767268
AP1S2	5.93856748116349
RAB33B	4.01175361295206
CA11	4.7661153643402
ALDOC	6.60199719808529
NUDT1	5.86091230012202
ZNF212	5.79904886447417
ACBD3	7.42620165568736
ZNF83	7.15960114236864
PRDM2	5.31498505430671
GDPD5	5.0662176532115
PDCD4	6.75763599333253
CEP350	6.84207646408597
FOXP3	3.29068993526575
SMYD3	7.41963440140872
CST7	3.74033087505012
SELL	3.59623548947267
CIAO1	7.00782014404869
LGI2	4.07386060657319
WDR45	6.17278365297343
ANKRD6	6.73935726517278
LTBP4	7.2099209339214
PSCD3	3.33564032233313
PYY	3.09609340769636
KCNC1	3.16964643909331
SIRT6	3.84730055275477
CCL19	3.83337462211608
ARHGEF9	4.59630329044569
ABR	4.92496677299591
C10orf22	7.27235968603632
STK17A	4.969185363959
FOXE1	4.60937715856354
GML	3.32124591922978
CNGA3	2.920876365772
CD38	3.51306938138371
ZDHHC6	7.74681279608339
NEFH	6.32728304003466
PGBD5	4.05090665030566
CTDSP2	7.69085215163035
RMND5B	6.13667295247412
ZNF257	4.25647347757173
DUSP4	5.10081053344888
FLJ22167	6.68774964226872
EXOSC7	7.16165750318885
ROR2	3.96213012842971
FOXM1	5.04819848336965
ZBTB48	4.55141397146851
BUD31	7.27584601062528
MAOA	5.1292875769349
CCDC41	5.62065567165591
TNNT3	5.45727202731771
FBXO11	6.57661893164137
GYPC	5.72618956972514
PLIN	3.42381889711637
RFXAP	3.92408251234271
C6orf15	3.78900690957594
RNF4	7.88722070845161
F8A1	7.34570193691107
PPP1R3D	4.26785210002969
GRB2	7.3017451280678
TPM3	3.37260751243113
SYT13	3.80384909906945
EPB42	3.64615941311089
RP5-1077B9.4	5.07746885071451
EIF1	10.8926267468071
CETN3	7.33977567049268
FPGT	5.36123795576848
PRY	3.50374568566823
NTHL1	4.02715058281708
POLR2B	8.57188142270385
RPS28	11.5291351400929
GDF10	3.15226998583069
COQ9	7.45131337793668
P2RX3	2.80112238975252
GCC2	7.69692752956035
RARRES3	3.36122443303191
PLXNA1	6.8577826677084
WBP4	5.0606578399261
KIAA0100	7.11943241895174
PMF1	7.08075036674054
HS2ST1	5.96929033823251
CRELD2	6.57402547444756
C8G	3.12437961527574
CD82	6.03733832114004
PMM1	4.52724861739497
CBLL1	4.46174845868993
LIM2	3.26567455935731
VAX2	5.68257674342574
SETDB1	6.08631426845437
LRAP	2.85804096245247
GCLM	6.05230452470113
CPEB3	3.35266446133595
PPM1A	5.96477605356976
INTS1	4.43500012349647
MMP16	3.12564868538995
CAMTA1	4.38703770109441
SAMSN1	3.70276167816575
DRD3	2.96168222242219
GMPPA	5.36385122063726
C11orf73	6.24986646386303
AIPL1	3.69031604346043
PTP4A2	8.54574269136972
IL24	3.36448923704666
BDKRB1	3.13607680091689
HPCA	3.40746396208498
MLF1	7.61793003081128
SEC14L1	6.85977087610296
CHFR	6.9676904747608
EMILIN1	4.12922184879004
THADA	7.44607250916449
TAF12	4.40361592665196
NDUFS4	7.10813756856748
ID1	8.94447722828625
PIK3CB	4.4340856704778
COL18A1	8.61764625486708
PDZD3	3.15826004469243
TBC1D17	4.47222849129141
COX8A	9.80044741125256
CDCA4	6.0190129100136
C2orf44	5.72099850606119
C9orf16	7.41108086322439
ERBB2IP	8.56220946141305
EMX2	9.3478559829263
FUS	6.48840688457427
NIPSNAP3B	3.57511356507211
TF	3.81697678969351
CXorf56	4.768894346864
CLCN4	3.88303047716374
PWP2	5.47575977305733
MMP15	4.19734794476736
MTMR14	6.28036342231911
NPR1	4.95130232588293
DNAL4	6.3275810133109
ELAC2	4.73720855079668
ASS1	8.77066550583157
IPP	5.34288443923421
TMEM59	9.4613574139697
POLR2J	8.64933907634181
SEC23IP	6.47209645321785
RGS4	4.06017789651366
UQCRC1	9.26988344067159
SNX6	7.31956545869316
DDX18	7.16498868982474
POLG	4.60540491231061
ADAM23	4.03791571617844
ZNHIT2	4.32370557524247
TFR2	3.37462813941465
NCDN	4.06780147023754
RAG1	3.43410692860995
POMT1	5.10448614099038
CYP1A1	3.14902870235304
SNAPC1	5.9097762824416
GNA11	5.49719023666842
CCDC52	3.22193826652468
CAPN1	6.96213348300623
DDHD2	6.78667314885465
UPF3A	7.02187749978758
LAGE3	5.40788635173347
GNRHR	3.1374704088922
UNC13B	5.50353740751372
TTLL4	6.64372531192044
PPBP	2.97326232332691
HTR3A	3.14193982081206
SDC2	7.66588995075164
ANKRD49	7.71914186944312
BTF3	10.6914670826714
COX7A2	10.7309312256088
SARS	8.60045139840801
C13orf18	4.34560800966394
CACNB1	3.91638793055316
QKI	5.74330242590602
SETMAR	6.70505828032816
LAMB4	3.23116096206144
MAN2B1	6.90968666121793
EML3	5.21154880435568
ACADL	3.28740943814209
OFD1	7.76220754012461
CGA	3.38764885249290
EIF3EIP	11.4902518062428
PEX16	5.33247901041159
GNG12	7.47885329100802
HABP4	4.61820736449733
CNTN2	3.47064472560024
ASNSD1	7.56804412784559
FUT4	4.11997281737637
DBH	3.63758438961942
CD53	5.06189094149592
HIST1H2BJ	2.99716819398510
TFAP2B	3.21885231475362
ACF	3.94942145785218
TMEM11	6.04231465408303
CDH8	3.33128245195386
C3orf32	3.72586381612778
AGPS	4.45649943240415
C4orf18	3.72915705729796
PCCB	7.60205713744163
IPO13	4.89160535741041
PECI	7.99985079733542
UNG	8.237018371615
C6orf105	3.59149232876547
GSTP1	9.31989892428112
SUV420H1	8.28255229035463
ARHGAP15	3.20736351851348
LTBR	6.7535845339266
TDRKH	3.88192173123984
PSG4	3.029187792883
SLC9A3R1	7.06909192999454
NBPF3	9.90888275069959
SLC9A3	3.47865150847826
OSBP	7.05004823799036
PRR5	4.25381027202549
CHMP7	5.48535456807837
ADRA1A	3.04378377497933
ASAH1	7.03212528552117
FKBP4	7.12179339090385
ZNF350	5.06108882826604
DOM3Z	5.69519260164611
GIPR	3.70088574572390
AHI1	4.93691852001364
BST1	3.85912829172295
NCR2	3.50675417450410
NADSYN1	4.74589165043195
UBE2W	5.59976339038787
RGS14	3.66502942679748
KRT15	5.44544974984937
SCN11A	3.85934302390548
GFI1	3.62649310064097
FHL1	4.46665080631516
SMC6	7.54774391809547
GATA1	3.52884479126652
OSGEP	4.96388853381915
ARMC6	5.08134787479299
HK3	3.16361420786915
PSMD5	7.02056053558035
RSU1	6.94021626271011
RPL4	12.0687799177446
MAD2L1	7.10527056723337
RBPMS	5.49413583052233
EIF4A3	9.53579056133425
E4F1	4.85052985883703
DLEC1	3.46747893420309
PRPF3	6.34177736654871
EMR1	3.01627407841078
CHMP2B	6.91546620809258
CAMSAP1	4.49981304847514
RPS21	10.2713506036414
XCR1	3.25184267648306
ARID5A	4.43062329191952
RBM6	6.80183957233974
UBE2N	8.1260454054101
KLF4	5.33403222195822
MGC4172	5.58705160851882
LMO4	7.30900401243854
KLKB1	3.27862286391532
HDAC3	7.37327831543624
HP	2.79723870039782
SCHIP1	7.39962397449701
BTK	3.68409463889841
KRCC1	8.57798574982333
PRND	3.11983132663014
C6orf27	3.62467845324639
PIGL	3.50619969516969
CLCA1	4.11155343366246
C1orf112	5.77697029953829
OLFML2A	6.73872376734418
HUS1	4.87012791090764
SFRS6	7.89494706534313
CXCR7	9.07406026678813
UIMC1	6.30186720679209
FXYD2	3.5393913572917
GOT2	7.8670094582475
ZNF667	4.74484810276852
TFEC	3.35864020234432
ATP7B	7.41890287200728
RAB38	5.08907024627571
POLD2	7.82138979645355
PPM1H	6.53260145985232
DCX	3.42886681601126
NFYC	5.2621827543968
ZNF228	4.43553839475637
KIN	6.18672014313126
PLSCR4	4.91360154822391
HIST1H4I	4.13116616688114
PPARGC1A	3.10858810391003
HIG2	7.75695755374509
KCNK10	3.79094561656723
EXOC1	7.80487693292276
OR6A2	4.00160336287524
ETFA	8.11372404629034
PDAP1	5.11837272020969
C19orf6	3.51631020057334
POLRMT	4.4451102252313
ZNF146	8.49605953930453
MIA2	3.0807360560305
LY6G6E	3.03896134217759
EIF4E2	8.5070452513768
NENF	5.32967988456232
HOXB5	5.29310071721305
ZNF324	5.08525653981933
CUGBP1	3.91419577841537
ENTPD7	4.36213673268332
TTC13	6.4281501798349
GJB5	3.30493183242897
PRSS22	4.17272292849569
CYP3A5	3.10740530806777
MBOAT5	4.38695918461281
