Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_B06_547208
Composite Element REF	Signal
AACS	8.1707270584089
FSTL1	7.59067144787648
ELMO2	5.78578658990426
CREB3L1	4.16850181208491
RPS11	9.91253277855987
PNMA1	8.72504572871078
MMP2	7.23642140759503
SAMD4A	3.88209763884711
SMARCD3	6.20866779533896
A4GNT	3.74109496729063
C9orf39	3.14159032280233
PKNOX2	4.05926292294782
RALYL	3.34111103140217
ZHX3	4.3048778153785
ERCC5	6.3415775933249
RXFP3	2.98289142018083
APBB2	4.33489356197449
BBOX1	5.13684862154146
PRO0478	2.97142681480443
GCSH	8.80887061945922
XDH	3.55251138698669
EDN1	4.69320691930334
MTERF	7.19968147977709
PDCL3	7.88771427194241
CLK4	5.7063682771552
KCNG1	3.61239980600276
CXCR4	9.30682393683768
DECR1	7.79241449720004
SALL1	3.03091242381795
PTPRR	3.17628502119369
CADM4	3.22547356395379
IRAK1	9.3237351195329
CFHR5	3.49113172013855
HNRPD	8.01265897627337
TMSB10	11.5515326100080
CXCL3	3.68503437002888
LMAN1	4.22035219878175
SUHW1	3.63225474531159
CHD8	6.47107135238293
SUMO1	7.62816872124823
GP1BA	3.28808427642691
OR7A10	3.92347230206645
DDB1	8.05809018253228
CHRNA10	3.7431513941125
STYK1	3.16399617389626
MYO9B	4.34636317946472
CCNI	10.1871221751439
MMP7	7.95303630383807
EP300	6.65475412243111
CRNKL1	6.84131969211643
C9orf45	3.09793518694081
XAB2	4.19084196040015
RTN1	4.20735651750004
HIC2	3.86171555829177
TBX10	3.41205757613954
CENPQ	4.17704962866193
UTY	3.11104044654951
OR2W1	2.9180889085944
ATP5G2	10.5462735848193
ZEB1	4.10679821411721
ZG16	3.55689599375732
ERG	3.95502602673584
PARN	7.41564236443314
SOD2	6.10518678750705
JOSD3	8.25030477983838
ADAM5P	3.13707259595328
CHD9	6.28160323119743
hCG_40738	3.74508053493963
STK16	4.90010846888656
PDE1C	3.50570544784076
SEMA4D	6.00752829821756
AGPAT1	5.78021284020190
TOB2	6.54875983355603
BANK1	6.1206038174257
MAP3K3	5.53370460113577
MAX	5.30618813270485
GRM2	3.59535037176902
OSBPL8	7.74768664864924
PROSC	5.28250548851091
NR4A2	6.02046270247492
RICS	5.20558774796826
PIR	5.83086815795391
PPCS	9.10243053731969
IPO9	6.20419335326008
LONP1	7.46897646890535
EVC	4.00691738635343
CXCL13	4.72964625753101
SCYL3	5.61451586272328
KIAA1199	7.46048976807208
SORL1	9.21043011947598
NAT10	7.42946689103632
CHD1	6.47863854900271
SYN3	3.33904627610288
DMC1	3.80816949671358
SLC22A2	3.58265034863518
SERPINF1	7.76135238460572
C20orf27	6.74947113011397
OR7A17	3.19301378312523
RPS6KA5	4.43387829178685
LHB	3.59170814631156
TAOK3	5.17490054544026
STK25	5.64705882925998
SLC12A4	3.52585530807296
BRCA1	4.20469635617709
GBL	6.26874101184026
C14orf108	7.7216965669742
CDC25B	7.22343553659212
BMP3	3.17603904337904
MAP1LC3C	3.15234720688524
TMEM180	3.58291353561831
CRYGC	3.47997966918985
SLK	6.43587458520114
POU3F1	3.27544494267472
C20orf32	3.72418657570722
USP52	5.48398093264648
HIGD1B	4.04835782049427
BAZ1B	6.9188921641822
USP6NL	6.16453256715798
SLCO2B1	4.99624081136967
ABCD4	4.47628033260664
DIMT1L	5.68130951909086
SLC25A46	7.6716151369262
LARP7	7.86131829249975
TEK	3.26847560942593
CD160	3.66550973966026
TERF2IP	7.8349356515685
PHF20	6.45535280874418
COL1A1	7.92763014124813
KIAA0090	6.1016594711571
GTPBP1	4.56540672271106
GRK5	3.94228960721153
AP1S2	6.3979080351933
RAB33B	4.86872347759404
CA11	4.42300020890794
ALDOC	6.11156123373452
NUDT1	5.02319140126019
ZNF212	5.92677809065097
ACBD3	8.05044537322271
ZNF83	6.45146078937997
PRDM2	4.77935717174528
GDPD5	5.41113065873645
PDCD4	6.82331203445735
CEP350	6.42556616004478
FOXP3	3.22112302418205
SMYD3	6.57748149878707
CST7	4.43860697573909
SELL	3.85449462360665
CIAO1	6.69869873283929
LGI2	3.74775097049413
WDR45	7.00855001333861
ANKRD6	8.51586282727882
LTBP4	3.73835093700127
PSCD3	3.45871136315156
PYY	3.13802316172655
KCNC1	3.02163389018266
SIRT6	4.25553173651491
CCL19	3.95795523289082
ARHGEF9	3.9463259932048
ABR	4.48133358799749
C10orf22	7.10289406826298
STK17A	5.02325977264959
FOXE1	3.09972390201542
GML	3.26101612552939
CNGA3	2.94109830656502
CD38	6.73142831882518
ZDHHC6	7.55014847357188
NEFH	5.74562929569727
PGBD5	3.98975828230119
CTDSP2	7.81589384695981
RMND5B	5.50002940465354
ZNF257	4.14339317952128
DUSP4	3.65256360673236
FLJ22167	6.58953114428449
EXOSC7	6.85524556359438
ROR2	3.41501793611967
FOXM1	6.08840346174634
ZBTB48	4.47054853721387
BUD31	8.15590340487944
MAOA	3.70411282114989
CCDC41	4.63951106730315
TNNT3	3.52751315831816
FBXO11	5.52925133476538
GYPC	7.32140668686573
PLIN	3.54953698799974
RFXAP	3.44087410882481
C6orf15	3.6314782771347
RNF4	8.26737464614666
F8A1	8.14757154172786
PPP1R3D	5.27233263064145
GRB2	7.33449316761905
TPM3	3.14561004419483
SYT13	3.63504473727887
EPB42	3.43171578081659
RP5-1077B9.4	5.45994322320534
EIF1	10.1199376833855
CETN3	6.86759915310205
FPGT	5.51632631304455
PRY	3.28603427097471
NTHL1	5.84146366866675
POLR2B	8.49237644014808
RPS28	11.6539871589512
GDF10	3.27446346856036
COQ9	8.21217158741074
P2RX3	2.83906650786761
GCC2	6.94345139744761
RARRES3	7.77738826978372
PLXNA1	6.07451503600148
WBP4	4.52849262318625
KIAA0100	6.82754874915575
PMF1	6.80235691048145
HS2ST1	6.13155729095177
CRELD2	6.69767487036531
C8G	3.00385996976022
CD82	6.1444321754999
PMM1	4.8627938809892
CBLL1	5.45729770655014
LIM2	3.43209786096336
VAX2	3.64074272588354
SETDB1	5.7098950170834
LRAP	5.59216147485875
GCLM	7.7752217411217
CPEB3	3.79956157207685
PPM1A	5.61272679244216
INTS1	4.22194431237666
MMP16	3.16840111854977
CAMTA1	3.30955573310261
SAMSN1	6.56396499283123
DRD3	2.76109516064997
GMPPA	5.44439617973063
C11orf73	6.4095130426989
AIPL1	3.85989141765625
PTP4A2	9.80320466767559
IL24	3.22900770309875
BDKRB1	3.18604832896978
HPCA	3.71913904868690
MLF1	6.41164468077653
SEC14L1	6.68674383373106
CHFR	5.82849127653218
EMILIN1	3.95491752518492
THADA	6.48149878140222
TAF12	5.20550646392534
NDUFS4	7.33231728639176
ID1	4.62541800894044
PIK3CB	4.45752065823381
COL18A1	7.37870894000737
PDZD3	3.0619362499749
TBC1D17	5.56986325520244
COX8A	9.5394656694918
CDCA4	6.09124328262774
C2orf44	4.79969910641955
C9orf16	7.40430248775204
ERBB2IP	7.4617694379722
EMX2	8.47624658230185
FUS	6.07093328016443
NIPSNAP3B	3.82109078495597
TF	3.18995995234733
CXorf56	4.70476148616824
CLCN4	3.43676249376563
PWP2	7.00992256254301
MMP15	4.7372755080100
MTMR14	5.9905895273205
NPR1	7.31566535967553
DNAL4	5.63176933518355
ELAC2	4.80928533910592
ASS1	10.8848808418522
IPP	4.58843100161096
TMEM59	9.27856232316677
POLR2J	8.76897519029276
SEC23IP	6.2101791915073
RGS4	4.21664788430124
UQCRC1	9.4003232532061
SNX6	7.54148932317762
DDX18	7.42859390240499
POLG	5.20528540782507
ADAM23	3.97423365407891
ZNHIT2	5.21306579238142
TFR2	3.34011618199254
NCDN	4.47573528605897
RAG1	3.63566587297979
POMT1	4.5786042997678
CYP1A1	3.16983159272986
SNAPC1	5.16769591384259
GNA11	5.59054810412999
CCDC52	2.92333700731085
CAPN1	6.94734148835609
DDHD2	6.29091656097443
UPF3A	6.5542227676063
LAGE3	5.98898851426654
GNRHR	3.05945174048363
UNC13B	4.93909115218809
TTLL4	5.39964848430989
PPBP	2.73788747053972
HTR3A	3.06815076932256
SDC2	5.47637601599165
ANKRD49	6.75327715188829
BTF3	9.91672322142903
COX7A2	10.5656645914782
SARS	8.86257162211226
C13orf18	4.00296142341185
CACNB1	3.80779827433951
QKI	6.09179773080448
SETMAR	5.28722059596509
LAMB4	3.41144142149921
MAN2B1	7.74526511994933
EML3	5.34007596614461
ACADL	3.02053255971972
OFD1	7.38173198666734
CGA	3.22113010625094
EIF3EIP	10.7989030633314
PEX16	5.52087377207973
GNG12	8.16723436692562
HABP4	4.71692378429821
CNTN2	3.39911464980285
ASNSD1	7.524814283539
FUT4	3.99834509404363
DBH	3.40818964922455
CD53	8.42301957860906
HIST1H2BJ	3.63644418476796
TFAP2B	3.20762863827279
ACF	3.46112218655082
TMEM11	6.41195158422083
CDH8	3.26745723325455
C3orf32	3.53349335581551
AGPS	5.73232903217668
C4orf18	3.40503106532896
PCCB	8.6564286822679
IPO13	5.30857164911563
PECI	8.50050882383323
UNG	8.24750687308057
C6orf105	4.11962365512656
GSTP1	9.0029938611141
SUV420H1	7.681909555254
ARHGAP15	4.70115192091741
LTBR	6.9733835564598
TDRKH	3.37364897592306
PSG4	3.45344836627332
SLC9A3R1	7.14482609785733
NBPF3	8.97984905368525
SLC9A3	3.50442065444323
OSBP	7.12372658785662
PRR5	4.77567497696492
CHMP7	5.28079370391776
