Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_B10
Composite Element REF	Signal
AACS	5.81868973138341
FSTL1	7.39798504442758
ELMO2	5.9026878280776
CREB3L1	4.06875958459919
RPS11	9.75815376542805
PNMA1	8.16972885144984
MMP2	6.07393887274893
SAMD4A	3.67634052766744
SMARCD3	7.57304593004239
A4GNT	3.52971280335844
C9orf39	3.00993041949861
PKNOX2	4.09160212450848
RALYL	3.30124596278315
ZHX3	4.1054985385735
ERCC5	7.1055143641386
RXFP3	2.99214648697269
APBB2	4.30716772728101
BBOX1	7.72589969109827
PRO0478	2.8967392665089
GCSH	7.72318137830241
XDH	5.78968387808243
EDN1	4.94801273945191
MTERF	6.678429713639
PDCL3	7.59797921371877
CLK4	7.17984016246627
KCNG1	3.24565018737543
CXCR4	9.13734188227277
DECR1	8.96496487524991
SALL1	3.57324360287341
PTPRR	6.20009578587176
CADM4	3.28239986064317
IRAK1	9.30105431669879
CFHR5	3.22607110427078
HNRPD	7.71179046597456
TMSB10	12.3853071121996
CXCL3	5.81952102899994
LMAN1	3.83255185060948
SUHW1	3.37866317169743
CHD8	5.94930175690506
SUMO1	8.15458667546267
GP1BA	3.29207668677091
OR7A10	3.62030709477577
DDB1	7.33690694051176
CHRNA10	3.61177048320295
STYK1	3.67258083288599
MYO9B	4.13324900370155
CCNI	10.3953499074266
MMP7	9.23847894280529
EP300	6.40727061727958
CRNKL1	6.40733597616921
C9orf45	3.10019311659202
XAB2	4.50557825561324
RTN1	3.8191918035313
HIC2	3.93339278542315
TBX10	3.48983167198769
CENPQ	4.62795606423693
UTY	3.21341694090591
OR2W1	2.75291306480979
ATP5G2	10.8158275099523
ZEB1	3.26453022314572
ZG16	3.46842119739334
ERG	4.0484614300797
PARN	6.75122520712715
SOD2	7.30285001752381
JOSD3	7.9811999468835
ADAM5P	3.24388406185485
CHD9	5.55230240863857
hCG_40738	3.76700782467436
STK16	5.29692530634602
PDE1C	3.51430531938402
SEMA4D	6.33785352143507
AGPAT1	6.54532686314521
TOB2	6.1993100453884
BANK1	4.99197320930895
MAP3K3	5.53061624903711
MAX	5.82614597659039
GRM2	3.82075354398936
OSBPL8	7.23543142094858
PROSC	6.52269322703202
NR4A2	5.05505234833316
RICS	4.0443290771807
PIR	7.38398161307401
PPCS	9.08271349094287
IPO9	5.42066881533843
LONP1	6.7874647076154
EVC	3.69258006639047
CXCL13	7.3172889448516
SCYL3	5.86880136488529
KIAA1199	3.31518425859642
SORL1	7.95500801764012
NAT10	7.68747265294561
CHD1	5.64797777032275
SYN3	3.66414462098217
DMC1	3.75723189827404
SLC22A2	3.85878398989914
SERPINF1	6.8705841821515
C20orf27	5.91770659550138
OR7A17	3.29696716315375
RPS6KA5	5.40938355502811
LHB	3.39671726263655
TAOK3	5.08078289055362
STK25	5.17423021463011
SLC12A4	3.61981865462101
BRCA1	4.8655590376662
GBL	5.34379390641922
C14orf108	8.55275070154667
CDC25B	7.82603073116226
BMP3	3.28104991465253
MAP1LC3C	3.22888326280344
TMEM180	4.53645533095374
CRYGC	3.54468409086943
SLK	6.6823574895927
POU3F1	3.20266984161768
C20orf32	3.81900084172592
USP52	5.53807546854258
HIGD1B	3.69808359088120
BAZ1B	6.73073381199062
USP6NL	6.09773044658489
SLCO2B1	4.65273689633796
ABCD4	4.54029160248261
DIMT1L	6.28355625545923
SLC25A46	7.12239847461758
LARP7	7.11750043077857
TEK	3.56466342163677
CD160	3.97301421914899
TERF2IP	7.65721975904654
PHF20	5.87843845291053
COL1A1	6.01975359568185
KIAA0090	6.82630592742088
GTPBP1	4.5093480731462
GRK5	3.5148681273192
AP1S2	5.39307565060643
RAB33B	4.58580267791537
CA11	4.14803119504537
ALDOC	4.69365880362831
NUDT1	6.92927818703542
ZNF212	5.74073551147711
ACBD3	7.88092018905374
ZNF83	6.09374250557901
PRDM2	4.81369929763373
GDPD5	3.92612838167673
PDCD4	5.79997216017848
CEP350	6.1739726052954
FOXP3	3.18791382494525
SMYD3	7.61935568675997
CST7	5.22679640886188
SELL	6.71769618827205
CIAO1	6.6896921980056
LGI2	3.52675651623247
WDR45	6.95426723206971
ANKRD6	5.00000842712528
LTBP4	4.38787441870069
PSCD3	3.41289399276366
PYY	3.21517288417381
KCNC1	2.95575737865333
SIRT6	3.93220889363242
CCL19	3.75087133278771
ARHGEF9	4.08835590336842
ABR	4.52447523876545
C10orf22	7.12833941798694
STK17A	4.87882158682278
FOXE1	3.28322007633508
GML	3.10088959633490
CNGA3	2.92965708517992
CD38	6.95839385348336
ZDHHC6	7.86555007060032
NEFH	3.45460001788602
PGBD5	4.57544622624139
CTDSP2	7.42468491328795
RMND5B	6.14666608852347
ZNF257	4.47696567621076
DUSP4	4.21777580933039
FLJ22167	6.30128420520383
EXOSC7	7.02657460307097
ROR2	3.90169673739226
FOXM1	5.47550313361386
ZBTB48	5.52773601757745
BUD31	9.295459832752
MAOA	4.68766475720639
CCDC41	4.42974015028217
TNNT3	3.96761159145629
FBXO11	5.30106855493809
GYPC	5.84036649293621
PLIN	3.55442268491266
RFXAP	3.57129470736514
C6orf15	3.5503383866535
RNF4	8.59589302311662
F8A1	9.14324540231724
PPP1R3D	4.12078335200595
GRB2	7.8555667594378
TPM3	2.95964471648882
SYT13	3.49583636688708
EPB42	3.54489665115359
RP5-1077B9.4	5.5628059367889
EIF1	10.9873861562664
CETN3	7.22361170519228
FPGT	5.28578120120361
PRY	3.46078895493427
NTHL1	6.84822358098964
POLR2B	8.43864123747711
RPS28	12.3826800905415
GDF10	3.09183549332217
COQ9	8.61885460515852
P2RX3	2.981042600976
GCC2	7.31367301974508
RARRES3	9.04880862593309
PLXNA1	5.84139053037478
WBP4	4.44720420230844
KIAA0100	6.47225824468185
PMF1	7.328312390497
HS2ST1	5.9319457847586
CRELD2	6.67537153061787
C8G	2.99494207744143
CD82	7.98272764461511
PMM1	4.82644985830925
CBLL1	5.15095117371849
LIM2	3.50273518901461
VAX2	4.12339191117187
SETDB1	5.2074399316213
LRAP	3.40145194145361
GCLM	7.38345157324529
CPEB3	4.24025999271234
PPM1A	5.70941895116396
INTS1	4.15126062530491
MMP16	3.15781396825424
CAMTA1	3.65070380962205
SAMSN1	7.22768203831846
DRD3	2.91444991736738
GMPPA	5.35874522164816
C11orf73	6.7005491478745
AIPL1	3.68785715617836
PTP4A2	9.923747114481
IL24	3.20795252466449
BDKRB1	3.23244156837759
HPCA	3.52758629526412
MLF1	7.69128038352923
SEC14L1	6.43736043736695
CHFR	5.0470430123279
EMILIN1	3.3186524434668
THADA	6.72212220582115
TAF12	7.23310251623832
NDUFS4	8.79364061440169
ID1	8.9511045020275
PIK3CB	4.08761547283709
COL18A1	7.18020996422938
PDZD3	3.28169349647284
TBC1D17	4.54920723039431
COX8A	10.5590348662373
CDCA4	6.54163229286289
C2orf44	4.77595351925881
C9orf16	8.66285566381942
ERBB2IP	8.13218669797103
EMX2	8.17647434683788
FUS	6.38702178771393
NIPSNAP3B	3.47486238705593
TF	3.27432966346099
CXorf56	6.41660839317229
