Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_D05_491160
Composite Element REF	Signal
AACS	5.71513983847608
FSTL1	9.56275715198813
ELMO2	5.37855456535961
CREB3L1	4.72691338810685
RPS11	10.6166864724101
PNMA1	8.16202261807394
MMP2	9.57712705786859
SAMD4A	4.03039873679458
SMARCD3	7.54198752891144
A4GNT	3.58155356388985
C9orf39	3.65366042822428
PKNOX2	4.25364236905270
RALYL	3.53195037477519
ZHX3	4.10752759013822
ERCC5	5.72111963738096
RXFP3	2.94814440284579
APBB2	4.08471562694558
BBOX1	4.27838649956486
PRO0478	2.95225024081327
GCSH	7.73297424250942
XDH	3.61070620979751
EDN1	5.13763738258129
MTERF	6.65723459032037
PDCL3	7.00486097439364
CLK4	5.37602957894695
KCNG1	3.75261635977795
CXCR4	8.35963429331158
DECR1	8.19620527990638
SALL1	3.44623408971457
PTPRR	3.65155003648940
CADM4	3.40635982357425
IRAK1	8.66369935464823
CFHR5	3.21268873550918
HNRPD	7.48371283765173
TMSB10	12.3857165560951
CXCL3	3.79057192366076
LMAN1	3.66204582571109
SUHW1	3.61112287070924
CHD8	5.49725018423292
SUMO1	7.95532859915314
GP1BA	3.13602468462382
OR7A10	3.77010319495658
DDB1	7.68016279464727
CHRNA10	3.70089452732643
STYK1	4.04031815259728
MYO9B	4.15676728980815
CCNI	10.4623372612261
MMP7	12.2529240892129
EP300	5.82940947644758
CRNKL1	6.54333620389029
C9orf45	3.35956834571725
XAB2	4.18373592585924
RTN1	4.09407752454634
HIC2	3.68688753308006
TBX10	3.59071815585728
CENPQ	4.30069524327057
UTY	3.22127646122502
OR2W1	2.8656276574725
ATP5G2	10.1559240898412
ZEB1	4.30496983805907
ZG16	3.59480967986331
ERG	4.39238791756398
PARN	7.15080974556476
SOD2	5.75632196490062
JOSD3	6.9392108960541
ADAM5P	3.13987886776636
CHD9	5.64338909183922
hCG_40738	3.46988509711379
STK16	5.25088966854097
PDE1C	3.55610817310601
SEMA4D	5.94161362788576
AGPAT1	6.4860019699104
TOB2	6.1311437105344
BANK1	5.4147292304404
MAP3K3	5.31131954550101
MAX	5.67506457993095
GRM2	3.72740978988896
OSBPL8	7.76691049770218
PROSC	5.79366730284672
NR4A2	5.33378852559148
RICS	4.66727085563689
PIR	4.81788575965624
PPCS	9.13545660449459
IPO9	5.22585876534879
LONP1	5.91766417070872
EVC	4.03505781636179
CXCL13	5.08497573147057
SCYL3	5.36854602582119
KIAA1199	6.76873698692565
SORL1	7.1399940580712
NAT10	7.02047423254452
CHD1	5.41486430235361
SYN3	3.53838551784391
DMC1	3.9180796250481
SLC22A2	3.61513029095443
SERPINF1	10.2621823241862
C20orf27	5.76083149655228
OR7A17	3.1991449660279
RPS6KA5	4.13523629389386
LHB	3.29514169434112
TAOK3	4.88041990448823
STK25	5.83796539020002
SLC12A4	3.59082001740657
BRCA1	3.58751086605637
GBL	6.09994216033628
C14orf108	8.43136943724315
CDC25B	5.55566688979826
BMP3	3.25304329820216
MAP1LC3C	3.52718835207891
TMEM180	3.34856918707913
CRYGC	3.44819282371833
SLK	5.95362339455693
POU3F1	3.3139133582163
C20orf32	3.73367315346101
USP52	3.76129556590314
HIGD1B	4.19362401495368
