Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_C01_433704
Composite Element REF	Signal
AACS	6.0562161464954
FSTL1	6.87432899215522
ELMO2	6.25686143029462
CREB3L1	3.65586499908106
RPS11	10.1185992643524
PNMA1	7.62572935195866
MMP2	3.82173885679455
SAMD4A	3.47225588922747
SMARCD3	4.4654736139013
A4GNT	3.89436418966239
C9orf39	3.33608263438516
PKNOX2	4.54407500238493
RALYL	3.15634019592613
ZHX3	4.50540380232161
ERCC5	6.01846049957773
RXFP3	3.04075107947792
APBB2	3.60627936577151
BBOX1	4.40007681731893
PRO0478	3.30246768372196
GCSH	8.42625042007691
XDH	3.62100136867603
EDN1	5.64017905889751
MTERF	6.46595755563105
PDCL3	7.56688532703113
CLK4	6.38127876164485
KCNG1	4.69441506611619
CXCR4	8.19713628619676
DECR1	7.810281651277
SALL1	3.03194866960184
PTPRR	3.26139123676936
CADM4	3.38531883101962
IRAK1	7.08339005210059
CFHR5	3.19902046991478
HNRPD	9.03586194763846
TMSB10	11.6896211827724
CXCL3	3.48825731548156
LMAN1	4.32291713758358
SUHW1	3.37320714622204
CHD8	6.04183959486211
SUMO1	8.18997337038424
GP1BA	3.59144758623867
OR7A10	3.90809296402255
DDB1	7.04492302018514
CHRNA10	3.71822514679481
STYK1	3.1845485033917
MYO9B	4.58543869940947
CCNI	10.6291899505779
MMP7	9.14838580884936
EP300	6.56020861866664
CRNKL1	8.1697166198577
C9orf45	3.33153832586914
XAB2	4.66243651281483
RTN1	3.39862823727596
HIC2	4.36399568424524
TBX10	3.65257235923174
CENPQ	4.73930338540405
UTY	3.12003817698395
OR2W1	2.90114826215464
ATP5G2	10.3136995876238
ZEB1	3.17369787294390
ZG16	3.44699693466028
ERG	3.67778081660981
PARN	6.89233621278527
SOD2	3.64579584021763
JOSD3	7.9404372723148
ADAM5P	3.26143729382131
CHD9	5.58448224523323
hCG_40738	4.12659971653025
STK16	5.26251827957843
PDE1C	3.49201537767526
SEMA4D	4.33638492557275
AGPAT1	5.87251961313303
TOB2	6.11511558519085
BANK1	3.83027766587588
MAP3K3	5.11168984925010
MAX	4.72438676088126
GRM2	3.81775004584441
OSBPL8	7.42480252937293
PROSC	6.06515034234614
NR4A2	6.75228988311907
RICS	7.32156839993175
PIR	5.4999623972988
PPCS	8.63458762762534
IPO9	6.95974366698738
LONP1	6.72932283965687
EVC	4.5023693040318
CXCL13	4.04261374086954
SCYL3	5.87997065880354
KIAA1199	4.88019950379675
SORL1	10.5945976286916
NAT10	7.92179600103134
CHD1	6.9964420247408
SYN3	3.87134287218046
DMC1	4.14162883097067
SLC22A2	3.81681951120305
