Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_E06_516350
Composite Element REF	Signal
AACS	7.01448570782686
FSTL1	6.47988274470632
ELMO2	4.79705668798758
CREB3L1	3.886480186016
RPS11	9.6602551364901
PNMA1	7.58682020730223
MMP2	6.46438932405892
SAMD4A	3.646620341927
SMARCD3	6.42414911348193
A4GNT	3.69182209584218
C9orf39	3.2872158041256
PKNOX2	3.91510308174575
RALYL	3.35021783927131
ZHX3	4.4459341414353
ERCC5	5.40671248220231
RXFP3	3.32460743400829
APBB2	3.42008807705673
BBOX1	4.93697304863835
PRO0478	3.05670981102276
GCSH	6.85694578640679
XDH	3.60742694535996
EDN1	5.1416600109207
MTERF	6.18359494975224
PDCL3	7.44436647809326
CLK4	5.36543498630727
KCNG1	4.29432234018265
CXCR4	8.4991033086654
DECR1	8.25710868672017
SALL1	3.23463341707105
PTPRR	3.49053350073675
CADM4	3.44128391727462
IRAK1	8.3894871881624
CFHR5	3.32288840150481
HNRPD	7.81234948755977
TMSB10	11.6726731915191
CXCL3	4.67008037257885
LMAN1	4.12499512832043
SUHW1	3.57966028982801
CHD8	6.48893111214742
SUMO1	7.3857044455962
GP1BA	3.28396807056566
OR7A10	3.83809815746954
DDB1	7.90142073042523
CHRNA10	3.59800523367278
STYK1	3.6327929001722
MYO9B	4.2103993504437
CCNI	10.4982427340953
MMP7	8.78153461240556
EP300	5.2164144665113
CRNKL1	7.35557854301154
C9orf45	3.37169383692294
XAB2	4.43167548885733
RTN1	3.6210732713017
HIC2	3.92450228432791
TBX10	3.5282052456593
CENPQ	4.04334458098012
UTY	3.23825238426492
OR2W1	2.83674277993587
ATP5G2	10.6499939850125
ZEB1	3.27701533312509
ZG16	3.58962371831358
ERG	3.68564440739749
PARN	7.22575008396186
SOD2	4.10311328862445
JOSD3	7.65081247685029
ADAM5P	3.32966099929949
CHD9	6.15899020870059
hCG_40738	3.80635776608752
STK16	5.3475575728133
PDE1C	3.25140063767709
SEMA4D	4.96218865584289
AGPAT1	7.02350090824218
TOB2	5.79554328484076
BANK1	4.64282546672545
MAP3K3	5.1479722136174
MAX	4.80329257955473
GRM2	3.74348877940267
OSBPL8	6.5703318383882
PROSC	5.6213131071798
NR4A2	7.50198838886942
RICS	6.05047377142865
PIR	5.15311485956661
PPCS	8.67900839059932
IPO9	6.26098928713061
LONP1	7.25193193455043
EVC	4.29287541706433
CXCL13	3.99236910611819
SCYL3	5.8689091946417
KIAA1199	4.35335227280923
SORL1	8.6228619672107
NAT10	7.17808458862152
CHD1	5.36859171659077
SYN3	3.46160971301808
DMC1	3.91267850006698
SLC22A2	3.55661655785788
SERPINF1	5.45992871919488
C20orf27	5.93570083609589
OR7A17	3.54627511584695
RPS6KA5	4.22966113195409
LHB	3.59344948306119
TAOK3	4.34733264323924
STK25	5.30989568227922
SLC12A4	3.61662769862701
BRCA1	3.92808368164515
GBL	5.97303621033155
C14orf108	6.71950778967672
CDC25B	5.11111465150027
BMP3	3.31872925109058
MAP1LC3C	3.67155607541529
TMEM180	3.59972809616943
CRYGC	3.92046753151568
SLK	6.13879862829156
POU3F1	3.37450437077883
C20orf32	3.96867083564004
USP52	5.42232184880501
HIGD1B	3.83906679628515
BAZ1B	6.32689684418651
USP6NL	5.81830101730268
SLCO2B1	3.77368927021617
ABCD4	4.35729305101168
DIMT1L	5.56160166932508
