Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_B04_443098
Composite Element REF	Signal
AACS	7.45809453768437
FSTL1	7.6917689665563
ELMO2	5.10395463177121
CREB3L1	4.0689915950028
RPS11	10.0426210878383
PNMA1	7.43424936274406
MMP2	7.13127153430177
SAMD4A	3.96987225787024
SMARCD3	6.36696140614453
A4GNT	3.89939703124097
C9orf39	3.3948467888318
PKNOX2	4.14577561216894
RALYL	3.21590724099345
ZHX3	4.1977432776041
ERCC5	5.34396383417434
RXFP3	3.07832707011538
APBB2	3.45838095373467
BBOX1	5.64996373464969
PRO0478	2.98224595665171
GCSH	7.79755644951663
XDH	4.01780289958745
EDN1	3.45260535675443
MTERF	7.19587994636393
PDCL3	6.56252228655446
CLK4	6.31375009291927
KCNG1	4.00722527035274
CXCR4	7.5724842064296
DECR1	7.54612812978593
SALL1	3.39923554267489
PTPRR	3.35717691623197
CADM4	3.31854860188362
IRAK1	7.92290573861507
CFHR5	3.52636503092581
HNRPD	7.01359903863234
TMSB10	11.5410472090821
CXCL3	3.60003016859051
LMAN1	3.66086355668512
SUHW1	3.6251141812904
CHD8	5.88698330275262
SUMO1	7.83380204249533
GP1BA	3.28993894806429
OR7A10	4.04436059798689
DDB1	7.67448237896924
CHRNA10	3.38872418158213
STYK1	4.21427197941226
MYO9B	4.24877812417077
CCNI	9.21802822895432
MMP7	8.52392059251162
EP300	5.94112526832616
CRNKL1	5.28662247961
C9orf45	3.08942510291490
XAB2	4.07223026719685
RTN1	4.17603569438178
HIC2	4.34122330783253
TBX10	3.48697884797881
CENPQ	3.96929798041273
UTY	3.25450201654968
OR2W1	3.06119812121569
ATP5G2	10.2321827268382
ZEB1	3.59921356504126
ZG16	3.44786554399254
ERG	4.04935203252874
PARN	6.72058338982497
SOD2	6.18108232681755
JOSD3	7.71999766200693
ADAM5P	3.19324590319286
CHD9	5.9603791229016
hCG_40738	3.64557565162771
STK16	4.68436756855722
PDE1C	3.54726429106166
SEMA4D	5.23204596713996
AGPAT1	5.84547224838692
TOB2	5.90290233671522
BANK1	3.46417054811217
MAP3K3	5.65133970342134
MAX	4.85493836921526
GRM2	4.08203368778801
OSBPL8	7.77211035617777
PROSC	5.52162032686484
NR4A2	4.82982772005972
RICS	5.00404211581657
PIR	5.76250146834161
PPCS	8.6393009590862
IPO9	5.61431522685114
LONP1	6.28007833787352
EVC	4.00631700329714
CXCL13	5.1383833688017
SCYL3	5.62796051577763
KIAA1199	5.84143612226501
SORL1	9.2782790097447
NAT10	7.04939640695786
CHD1	5.64819386152415
SYN3	3.40836628415013
DMC1	3.94873295263597
SLC22A2	3.59211743760726
SERPINF1	7.37846513427124
C20orf27	5.13899356217407
OR7A17	2.96130978861199
RPS6KA5	4.18611953039735
LHB	3.48606078789349
TAOK3	5.10317061029579
STK25	4.42700637722051
SLC12A4	3.68000758207722
BRCA1	3.74554272252487
GBL	4.68396522008528
C14orf108	8.14966820879968
CDC25B	5.51375662614361
BMP3	3.26873059082668
MAP1LC3C	3.60853706714539
TMEM180	3.79739624779262
CRYGC	3.68882506112965
SLK	5.87301644672566
POU3F1	3.30018537859542
C20orf32	3.81097272985392
USP52	5.40978570572827
HIGD1B	4.02694297301314
BAZ1B	6.29983419197105
USP6NL	5.58812134231637
SLCO2B1	4.46727903759681
ABCD4	4.3693751613842
DIMT1L	5.6000871263246
SLC25A46	6.82390713264586
LARP7	6.31016092575297
TEK	3.81935623073353
CD160	3.57605432924295
TERF2IP	6.85437344002236
PHF20	5.55851577229263
COL1A1	6.9803061752762
KIAA0090	6.41364032382614
GTPBP1	4.33513870775355
GRK5	3.61765309214755
AP1S2	5.64064863120727
RAB33B	4.96097719293703
CA11	4.95597176495227
ALDOC	5.07344943516872
NUDT1	5.09354538976936
