Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_B04_491100
Composite Element REF	Signal
AACS	6.60640735900437
FSTL1	7.21743888527564
ELMO2	5.54516657997318
CREB3L1	3.86019348541632
RPS11	10.3070056430050
PNMA1	8.59602501313432
MMP2	6.8780782366932
SAMD4A	4.56045517315497
SMARCD3	6.19181076388494
A4GNT	3.68833740102033
C9orf39	3.60200093728621
PKNOX2	4.05537396357488
RALYL	3.45551573625124
ZHX3	4.20465815202098
ERCC5	5.94089307611444
RXFP3	3.07590818096797
APBB2	4.67217162164699
BBOX1	6.03078397712037
PRO0478	2.88896541305787
GCSH	8.35928843701208
XDH	3.57609470651494
EDN1	3.63422445062307
MTERF	5.96405534351941
PDCL3	7.8162129840024
CLK4	6.315594745576
KCNG1	3.89862777140944
CXCR4	9.26529898627091
DECR1	9.26033654411608
SALL1	3.1096830647595
PTPRR	3.37800704376407
CADM4	3.33294796219117
IRAK1	7.33920398485347
CFHR5	3.14028776733092
HNRPD	8.65295511973262
TMSB10	12.3118748150797
CXCL3	4.67180180722955
LMAN1	4.20686293491014
SUHW1	3.86787567514546
CHD8	6.07257129979164
SUMO1	8.1272736471246
GP1BA	3.11691374777032
OR7A10	3.46275362278576
DDB1	7.56883334343024
CHRNA10	3.58848727536519
STYK1	3.7646343284747
MYO9B	4.87210341854213
CCNI	10.2094191546203
MMP7	11.2484781872999
EP300	6.74164915435358
CRNKL1	8.142274430241
C9orf45	3.26632889598957
XAB2	4.78746420941483
RTN1	3.66813924381047
HIC2	3.82114490751572
TBX10	3.45650670168613
CENPQ	4.85335086932119
UTY	3.1718468689985
OR2W1	2.83137548248762
ATP5G2	10.7241924057254
ZEB1	3.29416525817202
ZG16	3.45466402038627
ERG	3.61320774512613
PARN	7.39746730667125
SOD2	6.12613381324305
JOSD3	7.76930205030319
ADAM5P	3.23200115868049
CHD9	5.8136592786483
hCG_40738	4.00896574377736
STK16	4.62627741102340
PDE1C	3.73557616541066
SEMA4D	5.12140972898312
AGPAT1	6.2956532041991
TOB2	6.52052528755886
BANK1	4.97741068990524
MAP3K3	5.71264590668123
MAX	5.32015875353518
GRM2	3.87928063357286
OSBPL8	6.90227095357579
PROSC	6.08413687208959
NR4A2	6.9177863434516
RICS	4.2905922165476
PIR	4.09361598707963
PPCS	8.52196806792072
IPO9	6.20094798089475
LONP1	8.13790687611931
EVC	3.60631370928934
CXCL13	4.19419415364393
SCYL3	5.95801835643976
KIAA1199	7.36979314414418
SORL1	8.03491949819802
NAT10	6.6979042134106
CHD1	7.08740974821742
SYN3	3.48456528085750
DMC1	3.81948984449177
SLC22A2	3.67213514095989
SERPINF1	8.1989774705662
C20orf27	6.53930923075812
OR7A17	3.24858357763064
RPS6KA5	5.10082031631267
LHB	3.47603639780037
TAOK3	4.36463630824382
STK25	5.77831269284324
SLC12A4	3.54850880268610
BRCA1	4.28348730202505
GBL	6.19473010705678
C14orf108	8.5274983634443
CDC25B	7.06616393680192
BMP3	3.10883038396794
MAP1LC3C	3.56695266391417
TMEM180	3.33115190050230
CRYGC	3.59014659289059
SLK	5.90111897727058
POU3F1	3.18447707304576
C20orf32	3.85572129579186
USP52	6.01911864855464
HIGD1B	3.87982421260130
BAZ1B	6.07062756151944
USP6NL	6.03600873040757
