Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_B01_458660
Composite Element REF	Signal
AACS	6.78534350519051
FSTL1	9.01022468291322
ELMO2	5.7595123511887
CREB3L1	4.17986703549256
RPS11	9.9528646612395
PNMA1	8.56673821983845
MMP2	8.2121135376918
SAMD4A	4.01267414893002
SMARCD3	7.29715613362241
A4GNT	3.64330243696458
C9orf39	3.44611012875248
PKNOX2	4.12593272090718
RALYL	3.4206059850544
ZHX3	4.40492533527409
ERCC5	6.93282560076789
RXFP3	2.85746395822423
APBB2	4.35593778717204
BBOX1	3.80269256320158
PRO0478	2.81862079249721
GCSH	8.94509728983583
XDH	3.44805453313863
EDN1	5.29673350544158
MTERF	6.64433270939134
PDCL3	7.55407026372406
CLK4	6.47406226067529
KCNG1	3.53271523579335
CXCR4	7.43089390827883
DECR1	8.09749513606857
SALL1	3.02441381235871
PTPRR	3.18454048278759
CADM4	3.49015912027913
IRAK1	7.83039083162041
CFHR5	3.05464588169561
HNRPD	8.36174757680563
TMSB10	12.1192064806407
CXCL3	4.67849999240304
LMAN1	4.14187201671179
SUHW1	3.47181349150561
CHD8	5.85531353494215
SUMO1	8.32091799682175
GP1BA	3.43574973087521
OR7A10	3.65402748959765
DDB1	7.63104457830409
CHRNA10	3.58047526688847
STYK1	3.59929621113311
MYO9B	4.08617121982887
CCNI	9.65830193257392
MMP7	8.403634258257
EP300	5.79646238972796
CRNKL1	5.74267024730901
C9orf45	3.50499993470204
XAB2	4.16068161652092
RTN1	3.65837581388341
HIC2	3.98129063515041
TBX10	3.44034555642369
CENPQ	4.78727916582445
UTY	3.08514759526324
OR2W1	2.85925049863657
ATP5G2	10.5466757181615
ZEB1	3.59492093162629
ZG16	3.44454948101208
ERG	3.6372226297762
PARN	7.61708784230744
SOD2	6.65004352409175
JOSD3	8.29665229737527
ADAM5P	3.17622474833122
CHD9	5.40583768381712
hCG_40738	3.8587426416037
STK16	5.29703799498507
PDE1C	3.60466814293409
SEMA4D	5.49233927432642
AGPAT1	6.21732113557743
TOB2	5.71119537893145
BANK1	4.84761482516934
MAP3K3	5.09557537569803
MAX	5.3886496978774
GRM2	3.92009984515397
OSBPL8	7.12434127504802
PROSC	6.55803328880794
NR4A2	5.98035926278881
RICS	4.28170750264735
PIR	3.31619064218971
PPCS	8.99474660980739
IPO9	6.2784481820588
LONP1	7.11334061698427
EVC	4.19880635941623
CXCL13	4.53217706896781
SCYL3	5.4360697279066
KIAA1199	6.29818034275068
SORL1	7.45298031182527
NAT10	6.52626735197606
CHD1	6.42712035060893
SYN3	3.19470230730309
DMC1	3.83544299374569
SLC22A2	3.62516079093438
SERPINF1	7.52916433860886
C20orf27	5.9578376545977
OR7A17	3.23181429533036
RPS6KA5	5.11029245136592
LHB	3.19217254272484
TAOK3	5.79920512716995
STK25	6.5379712353252
SLC12A4	3.61418883214772
BRCA1	4.48422352797356
GBL	5.68539182503801
C14orf108	8.46899547956662
CDC25B	7.35457264052715
BMP3	3.21880901577371
MAP1LC3C	3.46175682546407
TMEM180	3.60570353820631
CRYGC	3.76638008676413
SLK	6.5219541742605
POU3F1	3.14442844112406
C20orf32	3.76379286660621
USP52	6.02838161821946
HIGD1B	4.0439571130133
BAZ1B	6.52035215284004
USP6NL	6.00599933435396
SLCO2B1	4.24106973412339
ABCD4	4.58925372949421
DIMT1L	6.58581287624236
SLC25A46	7.74655337648837
LARP7	7.3771743809928
TEK	3.51591659156509
CD160	3.64784638773288
TERF2IP	6.87329831666568
PHF20	6.52594190677638
COL1A1	8.65851528450849
KIAA0090	6.29139261207052
GTPBP1	4.27862158790702
GRK5	3.88686937506168
AP1S2	5.03342585828461
RAB33B	4.05892516841454
CA11	4.31716195234645
ALDOC	5.47100323458049
NUDT1	5.82053659329556
ZNF212	5.72460877466261
ACBD3	7.25006691124934
ZNF83	6.62132372835966
PRDM2	5.28296184775073
GDPD5	7.16755274902719
PDCD4	6.1644237698846
CEP350	6.13630308586832
FOXP3	3.25695613537618
SMYD3	7.87048917673646
CST7	4.31306085441874
SELL	5.18309059374704
CIAO1	5.87136590498994
LGI2	3.72999853247301
WDR45	6.10098228523556
ANKRD6	7.28366801519394
LTBP4	4.07886386979162
PSCD3	3.44649384300976
PYY	3.2847358659461
KCNC1	2.96852538837772
SIRT6	4.03655697875225
CCL19	3.81696156049633
