Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_D03_458646
Composite Element REF	Signal
AACS	5.91679637372913
FSTL1	8.08031773028747
ELMO2	5.25623201610493
CREB3L1	3.86675936616263
RPS11	10.0176559515951
PNMA1	7.75580149782977
MMP2	7.9821864090593
SAMD4A	3.88413399207888
SMARCD3	7.13738582027626
A4GNT	3.61877732792581
C9orf39	3.76747577162612
PKNOX2	3.62937129585784
RALYL	3.18729724538757
ZHX3	4.41801033603946
ERCC5	5.84598106608023
RXFP3	3.00756781889920
APBB2	3.94178876298069
BBOX1	6.9951686659317
PRO0478	2.99461835484294
GCSH	8.96198878773685
XDH	3.49402654203459
EDN1	4.60212353238484
MTERF	6.75887412666025
PDCL3	6.74205773995904
CLK4	5.67730564793535
KCNG1	3.52052828486064
CXCR4	8.780538866396
DECR1	8.30162778323732
SALL1	3.25599728315819
PTPRR	4.69873974004293
CADM4	3.28409053286137
IRAK1	9.34720705131574
CFHR5	3.41329594111299
HNRPD	8.58724737175703
TMSB10	11.6467406316524
CXCL3	3.30875396839707
LMAN1	4.67712775544995
SUHW1	3.1626302718086
CHD8	6.06064101986718
SUMO1	8.76274871100369
GP1BA	3.1168309586901
OR7A10	3.93799810858866
DDB1	6.85747743694209
CHRNA10	3.68924397571392
STYK1	4.64487902756707
MYO9B	4.35645492553921
CCNI	10.3105003163310
MMP7	7.8776028943443
EP300	5.95141287838913
CRNKL1	7.39843279126419
C9orf45	3.1200866013211
XAB2	3.96196812841198
RTN1	3.51321170069756
HIC2	4.25369386714511
TBX10	3.42214242202146
CENPQ	3.87220592817347
UTY	3.243280488454
OR2W1	2.96954242098156
ATP5G2	10.2348108543716
ZEB1	3.70768003411869
ZG16	3.5170058790216
ERG	4.5336867807342
PARN	7.68107580632011
SOD2	4.04407254892802
JOSD3	6.89177239504315
ADAM5P	3.19824433676542
CHD9	7.41149999724338
hCG_40738	3.71642658679513
STK16	5.55062174169792
PDE1C	3.42185013190445
SEMA4D	5.04866929204104
AGPAT1	5.81236163159262
TOB2	6.31419128180323
BANK1	4.30994756951503
MAP3K3	5.70800223346192
MAX	4.92418483849036
GRM2	3.55318068793067
OSBPL8	7.60479322576168
PROSC	5.34772246284293
NR4A2	6.60947376590175
RICS	4.54221584032582
PIR	4.59229985260253
PPCS	8.6405794627426
IPO9	6.47403291592345
LONP1	7.54331118524613
EVC	4.94157037806292
CXCL13	3.7482493675809
SCYL3	5.46607036071069
KIAA1199	5.47817822698811
SORL1	7.3927106034331
NAT10	7.13922875982393
CHD1	5.94755159998773
SYN3	3.34472920948626
DMC1	4.37063393427982
SLC22A2	3.36790606979028
SERPINF1	7.13924343888408
C20orf27	5.80913870393672
OR7A17	3.10720334435635
RPS6KA5	4.59733140421418
LHB	3.29163950083279
TAOK3	4.43759868193211
STK25	6.11355444067109
SLC12A4	3.66765201043273
BRCA1	3.31849674724592
GBL	5.60132783830693
C14orf108	8.51477472241732
CDC25B	6.13465427408925
BMP3	3.34837913283999
MAP1LC3C	3.27619626782204
TMEM180	3.49015214104212
CRYGC	3.57684540255907
SLK	6.91275916589496
POU3F1	3.36482049343773
C20orf32	3.93258044529499
USP52	5.30616559907102
HIGD1B	3.65120293215282
BAZ1B	6.45017395300397
USP6NL	5.39297925674005
SLCO2B1	3.99699439823254
ABCD4	4.04586712294445
DIMT1L	5.64188945961065
SLC25A46	8.53457859984509
LARP7	7.72159331863865
TEK	3.31971056703520
CD160	3.74775097049413
