Hybridization REF	GHYLL_p_TCGABatch17_Mashima45_HT_HG-U133A_96-HTA_D04_472008
Composite Element REF	Signal
AACS	6.26614785679584
FSTL1	10.3476501568304
ELMO2	5.62846423017366
CREB3L1	4.57651087265249
RPS11	9.45123413177218
PNMA1	7.94405983220613
MMP2	9.789445388159
SAMD4A	4.08346406977463
SMARCD3	5.8431238316435
A4GNT	3.4680223835789
C9orf39	3.81686569096127
PKNOX2	4.17976379175501
RALYL	2.92731935166705
ZHX3	4.65206867591195
ERCC5	6.1236220886622
RXFP3	2.92265217770341
APBB2	4.73202537090877
BBOX1	4.43984013956518
PRO0478	3.08364163178197
GCSH	7.54216895262139
XDH	3.53608046464451
EDN1	5.4335747446107
MTERF	5.45334122711357
PDCL3	7.3158431923979
CLK4	5.21706918403113
KCNG1	3.54465343622019
CXCR4	8.64290410994162
DECR1	7.61196393382561
SALL1	3.4152405535036
PTPRR	3.22195581417145
CADM4	3.50657925807362
IRAK1	8.37091337950806
CFHR5	3.1097610053827
HNRPD	8.00160937556945
TMSB10	12.0988990367778
CXCL3	4.32934278650196
LMAN1	4.35371785896713
SUHW1	3.23658037886928
CHD8	5.56936403800533
SUMO1	8.13060088298214
GP1BA	2.99622451651362
OR7A10	3.61978306420138
DDB1	6.96154560681407
CHRNA10	3.65673024145507
STYK1	3.56902359519098
MYO9B	4.16047251096014
CCNI	10.3682246842599
MMP7	10.8365824412447
EP300	6.24731012657450
CRNKL1	6.14015324904481
C9orf45	3.51251732436819
XAB2	3.66513148903722
RTN1	4.89318532305519
HIC2	3.87286825982851
TBX10	3.34509617467016
CENPQ	3.98097542316038
UTY	3.08172771245855
OR2W1	2.83722157135148
ATP5G2	10.1300254764340
ZEB1	5.51231054995481
ZG16	3.1022761007121
ERG	4.29465650331306
PARN	6.74183890960606
SOD2	5.5110195594691
JOSD3	7.3262598133133
ADAM5P	3.05495831653972
CHD9	6.09138970347719
hCG_40738	4.28518248767871
STK16	4.62157481263723
PDE1C	3.36401599619202
SEMA4D	5.86153326691374
AGPAT1	5.42331406865147
TOB2	5.63175057691944
BANK1	3.55644103508570
MAP3K3	4.86401503169884
MAX	5.38847930358454
GRM2	3.552047536047
OSBPL8	8.32766200644745
PROSC	5.63951482092896
NR4A2	6.69792128279438
RICS	4.36858692112607
PIR	3.55925769475138
PPCS	8.65986200760937
IPO9	6.18304666250437
LONP1	6.29553256027189
EVC	4.48593074659573
CXCL13	4.32787125192890
SCYL3	4.85204338612448
KIAA1199	7.51127840505224
SORL1	8.05803632785134
NAT10	6.39408294783045
CHD1	6.14653573723534
SYN3	3.49684792734763
DMC1	3.78025640140552
SLC22A2	3.24450509387511
SERPINF1	10.4304152872796
C20orf27	5.49588795571034
OR7A17	2.96261293065776
RPS6KA5	4.1332209345072
LHB	3.49456350240303
TAOK3	5.43618743641058
STK25	5.88871826257795
SLC12A4	3.61259463450438
BRCA1	3.71755678027404
GBL	4.83009513113628
C14orf108	7.55596487612042
CDC25B	6.86291870925671
BMP3	3.20911836031078
MAP1LC3C	3.53387614094335
TMEM180	3.24788609218527
CRYGC	3.38782565416949
SLK	6.47705698957791
POU3F1	3.20242518304328
C20orf32	3.81890276779988
USP52	5.13462764216217
HIGD1B	4.01788358720583
BAZ1B	6.26526965168498
USP6NL	5.37512138393255
SLCO2B1	4.74532954984512
ABCD4	4.28224713197905
DIMT1L	5.60095131447581
SLC25A46	7.39557061217668
LARP7	7.10446710475778
TEK	3.5716681729156
CD160	3.49237375054839
TERF2IP	7.65361691684363
PHF20	5.7848897036738
COL1A1	10.0938997920890
KIAA0090	5.56577462779525
GTPBP1	4.13823117079713
GRK5	4.36130811129783
AP1S2	6.68127069471781
RAB33B	4.77311817397266
CA11	4.36329608386986
ALDOC	5.57303402256839
NUDT1	4.56740432027268
ZNF212	5.02836003311579
ACBD3	6.96818583718532
ZNF83	5.83903920407975
PRDM2	4.75488087763134
GDPD5	4.79989688785469
PDCD4	6.03640471775939
CEP350	5.7074960533972
FOXP3	3.19622749659537
SMYD3	7.8796042817327
CST7	5.39629825410263
SELL	5.6530699608939
CIAO1	6.04929951271416
LGI2	4.08160809957409
WDR45	5.85802919690806
ANKRD6	6.62677848330887
LTBP4	4.80390052293396
PSCD3	3.48816719874749
PYY	3.05934181999375
KCNC1	2.90935668995880
SIRT6	3.595868558123
CCL19	4.61476487751381
ARHGEF9	4.20643968708621
ABR	4.99001036437906
C10orf22	6.83092181827995
STK17A	5.40401149956852
FOXE1	3.42526803098704
GML	3.06856361741961
CNGA3	2.91402620587746
CD38	3.85402733540489
ZDHHC6	7.12636481419955
NEFH	5.68126275811514
PGBD5	3.58639257270729
CTDSP2	7.19087962816264
RMND5B	5.11183659700882
ZNF257	3.39810172516333
DUSP4	4.47714496126640
FLJ22167	4.94234796059129
EXOSC7	6.05061973935016
ROR2	4.28075250778009
FOXM1	5.11321516960351
ZBTB48	4.15753197803249
BUD31	7.5946882838122
MAOA	5.03098581679668
CCDC41	4.83985693998008
TNNT3	3.77113226808643
FBXO11	5.25721474357321
GYPC	6.05066357666126
PLIN	5.94178133181093
RFXAP	3.66953497449776
C6orf15	3.56270568747469
RNF4	7.59954219146883
F8A1	7.25475702897807
PPP1R3D	4.39678479955183
GRB2	7.31757615514393
TPM3	3.23784933120063
SYT13	3.32766831029104
EPB42	3.40513938513798
RP5-1077B9.4	4.70592541768505
EIF1	10.4976196840364
CETN3	6.33475188198906
FPGT	5.31949861850726
PRY	3.17509751685564
NTHL1	4.59964036757105
POLR2B	8.36359914310617
RPS28	11.2769280394116
GDF10	2.98805577030467
COQ9	6.39153296865909
P2RX3	2.93904370037102
GCC2	7.19924668231403
RARRES3	6.28344773709121
PLXNA1	6.19957769745611
WBP4	4.89927614968534
KIAA0100	6.2425911908253
PMF1	5.80345951853483
HS2ST1	6.23173799071797
CRELD2	6.71112121216224
C8G	3.10785655089039
CD82	5.12853891658582
PMM1	4.79620659683411
CBLL1	4.03858564709982
LIM2	3.28911522540439
VAX2	3.75287897796372
SETDB1	4.69610411559288
LRAP	6.01034455712694
GCLM	6.43660772739087
CPEB3	3.44078567120586
PPM1A	5.51297923453879
INTS1	3.91400557836407
MMP16	3.21167757053778
CAMTA1	3.98208898598765
SAMSN1	6.40728721664317
DRD3	2.77617537040543
GMPPA	5.16206581081736
C11orf73	5.5336618318022
AIPL1	3.52074886917802
PTP4A2	9.59831073418643
IL24	3.21634193204994
BDKRB1	3.26394539688956
HPCA	3.12879957625746
MLF1	6.09667784115268
SEC14L1	6.06074342130624
CHFR	5.54706585111134
EMILIN1	5.52834619896859
THADA	5.89954758883906
TAF12	5.52257315072987
NDUFS4	7.71471601167829
ID1	7.10419177115469
PIK3CB	3.94181884539726
COL18A1	7.90065881343294
PDZD3	3.06877368664983
TBC1D17	4.18723682665162
COX8A	8.9644450493646
CDCA4	5.41975911536585
C2orf44	4.13830805311016
C9orf16	6.9782140709928
ERBB2IP	7.83303232429785
EMX2	8.8713741779093
FUS	5.88608186548539
NIPSNAP3B	3.62046920021325
TF	3.51804426441926
CXorf56	4.47385968305349
CLCN4	3.55031149262834
PWP2	4.95793805714145
MMP15	3.64439168563106
MTMR14	5.57021461998434
NPR1	5.26589799683785
DNAL4	4.62217998536154
ELAC2	4.49423326735482
ASS1	10.4095077339329
IPP	4.9977478500444
TMEM59	9.95354507039324
POLR2J	8.33040992520487
SEC23IP	5.9485581238752
RGS4	6.63184558668128
UQCRC1	8.09851277095739
SNX6	7.49955894968105
DDX18	7.22966773221752
POLG	4.63570262343271
ADAM23	4.083447188885
ZNHIT2	3.70498706795827
TFR2	3.25454238330603
NCDN	4.09767547994086
RAG1	3.4360543462803
POMT1	4.36566458617555
CYP1A1	3.35846743365157
SNAPC1	5.62490207724271
GNA11	5.03046626231128
CCDC52	2.73522752285145
CAPN1	6.40459393695228
DDHD2	6.64880047789323
UPF3A	6.15622939008055
LAGE3	5.06399669323261
GNRHR	2.98111988209050
UNC13B	5.18532402137504
TTLL4	4.13961754834414
PPBP	3.07316795379029
HTR3A	3.98315966910406
SDC2	6.51318386457806
ANKRD49	6.26307115232554
BTF3	9.98974087480195
COX7A2	9.96529179639645
SARS	8.53340257498356
C13orf18	4.45549253368831
CACNB1	3.70457544433702
QKI	6.31864775489774
SETMAR	5.2326505988005
LAMB4	3.26504196639883
MAN2B1	6.46856674691925
EML3	4.90808150801859
ACADL	3.3006439996121
OFD1	6.8555377701475
CGA	3.13613204526207
EIF3EIP	10.2206851962951
PEX16	4.52616727792948
GNG12	8.72336836971357
HABP4	5.28503047677578
CNTN2	3.22569154851011
ASNSD1	7.26749123833665
FUT4	4.03679606986307
DBH	3.40120517738742
CD53	8.74720106958188
HIST1H2BJ	3.21461794358257
TFAP2B	2.99027512869532
ACF	3.47470262004659
TMEM11	5.49797557161595
CDH8	3.21223735447468
C3orf32	3.80430623431677
AGPS	5.50705323852131
C4orf18	3.97840690319123
PCCB	6.6639115842907
IPO13	4.62508228961371
PECI	6.78578629063603
UNG	6.81847422547447
C6orf105	3.24049846459341
GSTP1	8.07742565739658
SUV420H1	6.50193641049793
ARHGAP15	5.14190241204736
LTBR	6.05575656418303
TDRKH	3.36151333679880
PSG4	3.46089654205858
SLC9A3R1	5.77738475793319
NBPF3	8.79678674476066
SLC9A3	3.55597610643902
OSBP	5.86035889472253
PRR5	4.41678580405342
CHMP7	5.07266860606052
ADRA1A	3.00998200105756
ASAH1	7.31137124295647
FKBP4	6.81877894725816
ZNF350	4.30534246294321
DOM3Z	4.33189718364824
GIPR	3.40603511457830
AHI1	4.31824668794917
BST1	4.39993944133881
NCR2	3.44095772680201
NADSYN1	4.38502240779799
UBE2W	6.10200980292031
RGS14	3.64963981872709
KRT15	3.76301790288036
SCN11A	3.86146653455985
GFI1	3.87973177655438
FHL1	5.72811472346906
SMC6	6.33027737968059
GATA1	3.61252275799876
OSGEP	4.70178330869899
ARMC6	4.27520038284208
HK3	4.04143807792538
PSMD5	7.16252624809008
RSU1	7.90531070080799
RPL4	11.6616946060598
MAD2L1	6.70861147786508
RBPMS	4.82944596388523
EIF4A3	8.96052928229075
E4F1	4.43718439558537
DLEC1	3.32274553757406
PRPF3	5.14639045702369
