Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_C07_433700
Composite Element REF	Signal
AACS	6.46208234272204
FSTL1	8.35516139575432
ELMO2	5.77903649091649
CREB3L1	3.91502154357701
RPS11	9.94230446427758
PNMA1	8.13236307102776
MMP2	7.1967362852188
SAMD4A	4.17047814446725
SMARCD3	5.8048188493539
A4GNT	3.64001352470541
C9orf39	3.28532375736142
PKNOX2	3.73285223977238
RALYL	5.54215572458031
ZHX3	4.39663940184371
ERCC5	7.14241015325457
RXFP3	2.90827148263401
APBB2	4.05158069972817
BBOX1	8.3221619723344
PRO0478	3.03231281113934
GCSH	7.6332667672768
XDH	4.81145926706455
EDN1	3.89576145725062
MTERF	6.42551852500096
PDCL3	7.4775935087526
CLK4	5.89707546054235
KCNG1	3.40867712465016
CXCR4	6.51866864176631
DECR1	8.00205493236867
SALL1	3.10529822626560
PTPRR	3.37189373627785
CADM4	3.37208244562377
IRAK1	8.53730621595728
CFHR5	3.23324356510241
HNRPD	7.8550004598902
TMSB10	12.2995551653660
CXCL3	3.91464270459739
LMAN1	4.96438440990603
SUHW1	3.84544927702043
CHD8	6.90859428130236
SUMO1	8.31403385829197
GP1BA	3.13599166101324
OR7A10	3.99291318968649
DDB1	7.63709700978688
CHRNA10	3.66445097385192
STYK1	3.47782186726549
MYO9B	4.27207586392848
CCNI	9.53614296889418
MMP7	8.09061868814079
EP300	7.17487129449133
CRNKL1	6.08679077887146
C9orf45	3.10756765681287
XAB2	4.41023446470020
RTN1	4.03374762624617
HIC2	3.73116456372099
TBX10	3.87346795666778
CENPQ	4.17049923276456
UTY	3.34110437871553
OR2W1	2.91711636005252
ATP5G2	10.6208717559801
ZEB1	3.59678303916689
ZG16	3.44884665652354
ERG	3.44970004972032
PARN	7.52907030535667
SOD2	6.58825690508174
JOSD3	7.28868094241717
ADAM5P	3.21978182103532
CHD9	6.00225344767425
hCG_40738	3.71779825190282
STK16	5.72929783865613
PDE1C	3.46810369683869
SEMA4D	5.1977849642067
AGPAT1	6.01976072070749
TOB2	7.1265442634932
BANK1	4.47202714389028
MAP3K3	6.26255354820606
MAX	5.74896609391007
GRM2	3.89293583818874
OSBPL8	7.35120426647221
PROSC	6.73884486235939
NR4A2	4.44135611257574
RICS	3.90759312271173
PIR	4.91066843776053
