Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_B09_543578
Composite Element REF	Signal
AACS	6.95031115514498
FSTL1	6.82133928421303
ELMO2	5.05915166748025
CREB3L1	3.98857972749462
RPS11	9.8261786665888
PNMA1	8.14481380885631
MMP2	5.25187329637763
SAMD4A	3.90357545860563
SMARCD3	5.78805983478916
A4GNT	3.84792014292291
C9orf39	3.62386262890815
PKNOX2	4.00336315326622
RALYL	3.8049891555674
ZHX3	3.85091742424076
ERCC5	6.26037588645462
RXFP3	3.3395237000351
APBB2	3.49385215175
BBOX1	4.88795639006627
PRO0478	3.16288361577851
GCSH	8.19836874998044
XDH	3.68932716810534
EDN1	5.6239896296976
MTERF	6.56338261344413
PDCL3	7.5834890037321
CLK4	5.65615467134836
KCNG1	3.76514564890805
CXCR4	8.05110536246873
DECR1	7.66954492215604
SALL1	3.13549042318597
PTPRR	3.25168711160360
CADM4	3.3690823682195
IRAK1	8.61591695201513
CFHR5	3.52318348476602
HNRPD	7.60982519520217
TMSB10	11.6596807534838
CXCL3	4.02328532647071
LMAN1	4.16938143387784
SUHW1	3.64958829240069
CHD8	6.14047594704153
SUMO1	8.3567203420921
GP1BA	3.62494434441725
OR7A10	3.58987740928002
DDB1	7.84847174893836
CHRNA10	3.81637775103872
STYK1	3.63436029262675
MYO9B	4.0932067002953
CCNI	10.9496659054966
MMP7	9.88855430814214
EP300	5.67229649086227
CRNKL1	5.80196505251026
C9orf45	3.17986825008079
XAB2	4.25114084057885
RTN1	3.97677980955413
HIC2	3.83854726281996
TBX10	3.71313832395617
CENPQ	4.4178652596492
UTY	3.25900157141462
OR2W1	3.02648781479368
ATP5G2	10.1717303771201
ZEB1	3.18067162795763
ZG16	3.46754386043337
ERG	3.54613189884636
PARN	6.41308774791485
SOD2	6.64018236938763
JOSD3	8.95731543098895
ADAM5P	3.38775717073778
CHD9	6.8068700460618
hCG_40738	4.09043261393194
STK16	5.64071128813394
PDE1C	3.52439357397439
SEMA4D	6.20913874251923
AGPAT1	6.87979421125749
TOB2	5.73250956282469
BANK1	4.60716412836745
MAP3K3	5.02928318232561
MAX	5.32442889287407
GRM2	3.88100666577370
OSBPL8	5.11973176833631
PROSC	5.89345457753608
NR4A2	7.01980991635286
