Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_E06_543758
Composite Element REF	Signal
AACS	6.57753831650062
FSTL1	9.10975749894205
ELMO2	5.29076304422278
CREB3L1	4.0167504897337
RPS11	9.64044718398762
PNMA1	7.76129120294596
MMP2	7.45343756479606
SAMD4A	3.59907789257876
SMARCD3	4.93270226240932
A4GNT	3.55288364995462
C9orf39	3.16769377030306
PKNOX2	3.97235704505221
RALYL	3.54683194881779
ZHX3	4.53086077043288
ERCC5	5.09423396899762
RXFP3	3.08208470444623
APBB2	3.92219701707102
BBOX1	2.96027738744192
PRO0478	3.3746032008224
GCSH	8.00220330624815
XDH	4.35821669445524
EDN1	3.5812536899085
MTERF	5.58291445416245
PDCL3	7.57083315232246
CLK4	5.91817018258126
KCNG1	4.60611294629212
CXCR4	6.5057735213594
DECR1	7.39482729877461
SALL1	5.92493072091032
PTPRR	4.81713561282939
CADM4	3.43087107180132
IRAK1	7.72928953947296
CFHR5	3.21300184359023
HNRPD	7.8419873341707
TMSB10	12.0107848642226
CXCL3	4.25919787966322
LMAN1	4.08719978497983
SUHW1	3.3708362415409
CHD8	6.22780643540306
SUMO1	7.54001697486447
GP1BA	3.51588459784642
OR7A10	3.6758141785092
DDB1	7.22884055735094
CHRNA10	3.74596507659746
STYK1	3.27664838008305
MYO9B	4.21491077728849
CCNI	11.2013071767886
MMP7	8.92074318937981
EP300	6.54604096751657
CRNKL1	5.69459849091748
C9orf45	3.04423334310282
XAB2	3.77372327128298
RTN1	4.15726874770224
HIC2	3.82227157783325
TBX10	3.63554033877006
CENPQ	4.13933635074699
UTY	3.22184610100997
OR2W1	2.81265031607994
ATP5G2	10.3735231319655
ZEB1	3.62043810065108
ZG16	3.29273811411255
ERG	3.58875626103718
PARN	7.07824545777151
SOD2	6.46190167535432
JOSD3	7.27814059416985
ADAM5P	3.19738934281298
CHD9	4.90265811446065
hCG_40738	4.42846560494999
STK16	5.18761394921404
PDE1C	3.81196738800053
SEMA4D	6.5190150546255
AGPAT1	6.10473806746828
TOB2	6.36196264256554
BANK1	4.54220733687542
MAP3K3	5.42951286350266
MAX	4.81910066360725
GRM2	3.80057923309651
OSBPL8	6.86184379205923
PROSC	6.33700061900181
NR4A2	3.40596125968542
RICS	4.3613560400224
PIR	6.05678256471028
PPCS	9.49626719279247
IPO9	6.18739829006891
LONP1	5.88517753674898
EVC	4.01361096442254
CXCL13	4.28953657313481
SCYL3	6.01506772460128
KIAA1199	4.24384499338689
SORL1	7.55931686867271
NAT10	6.23373712755867
CHD1	5.58110033815226
SYN3	4.19984709670427
DMC1	4.05808621783904
SLC22A2	3.64419219098581
SERPINF1	6.63364891925234
C20orf27	4.65878634196740
OR7A17	3.25459759743299
RPS6KA5	4.98409662621993
LHB	3.64137420377769
TAOK3	4.63488127103423
STK25	5.91814524569704
SLC12A4	3.59133469650266
BRCA1	3.91443750803091
GBL	6.1046555364008
C14orf108	7.82086473318053
CDC25B	6.1682820523839
BMP3	3.14823993888786
MAP1LC3C	4.18294682756837
TMEM180	3.72943103401403
CRYGC	3.6382074166211
SLK	6.13592482892924
POU3F1	3.34616782851433
C20orf32	3.79542368584900
USP52	7.09732216479459
HIGD1B	3.85301023215087
BAZ1B	6.13067958678822
USP6NL	5.50892645429722
SLCO2B1	4.31200684549589
ABCD4	4.48330235902033
DIMT1L	6.09357923822593
SLC25A46	6.76996654158834
LARP7	6.87244944155761
TEK	3.80490725358564
CD160	3.53784756705888
TERF2IP	7.99240437621286
PHF20	6.43382685623955
COL1A1	6.22626180033437
KIAA0090	5.6444599014087
GTPBP1	4.34929297395201
GRK5	3.81171521150926
AP1S2	7.22638190974283
RAB33B	4.34689714804554
CA11	4.08349117617454
ALDOC	5.26694863305454
NUDT1	5.09239519866627
ZNF212	5.36300994394345
ACBD3	7.63770698262893
ZNF83	6.70778143990688
PRDM2	5.21974888786516
GDPD5	5.07860591817705
PDCD4	6.57428735174819
CEP350	5.9638448885631
FOXP3	3.31959991118774
SMYD3	6.90565059537014
CST7	4.40591751607679
SELL	4.63370101800475
CIAO1	6.12883307948628
LGI2	4.06114586604197
WDR45	7.05043441236213
ANKRD6	5.08535818156258
LTBP4	3.85205386669995
PSCD3	3.34402142077854
PYY	4.97510267359042
KCNC1	3.29095803018823
SIRT6	3.98278664773184
CCL19	4.74282852347262
ARHGEF9	4.20917801837163
ABR	4.37247254386832
C10orf22	6.2624911823642
STK17A	4.28464635558016
FOXE1	3.24539834767748
GML	3.28129093768926
CNGA3	3.09270843561895
CD38	3.72212762716211
ZDHHC6	7.41747951978012
NEFH	5.43692855054873
PGBD5	3.87845173708772
CTDSP2	7.27591959157685
RMND5B	5.41022100525605
ZNF257	3.26067106335484
DUSP4	4.53458572362713
FLJ22167	5.07290064275953
EXOSC7	6.42869586774272
ROR2	3.84530014567152
FOXM1	5.17086486705567
ZBTB48	4.47378847694976
BUD31	6.7368119022832
MAOA	6.15751763807398
CCDC41	3.95878429507656
TNNT3	3.36527210843313
FBXO11	5.51492915019393
GYPC	5.09405770596441
PLIN	3.70123633347615
RFXAP	3.64916592642359
C6orf15	4.0671439876365
RNF4	7.47441076134897
F8A1	8.57641710733429
PPP1R3D	4.82545514229493
GRB2	7.65029645375958
TPM3	3.31402846298142
SYT13	3.67869694812786
EPB42	3.62262864393684
RP5-1077B9.4	5.12296682301225
EIF1	10.1150893841055
CETN3	6.4275914985593
FPGT	5.20884726443192
PRY	3.5225483680355
NTHL1	5.07315095199479
POLR2B	8.74294927445234
RPS28	11.4809029614648
GDF10	3.04218404509333
COQ9	7.66779556706889
P2RX3	2.93866044059036
GCC2	7.5574176574441
RARRES3	5.82158851916237
PLXNA1	5.7740215007378
WBP4	4.53413507514933
KIAA0100	6.36114262446729
PMF1	7.46261884262831
HS2ST1	5.13581667021527
CRELD2	6.05311849755072
C8G	3.11643502797997
CD82	5.17254669097821
PMM1	5.6498143367814
CBLL1	4.07848620905203
LIM2	3.34866427234061
VAX2	4.22911643282465
SETDB1	5.8087460330429
LRAP	2.91438905584963
GCLM	6.07002133636612
CPEB3	3.40610312523059
PPM1A	5.87038579244901
INTS1	3.87037196341568
MMP16	3.05404052258502
CAMTA1	3.50149087418307
SAMSN1	4.8339615327168
DRD3	3.03502374163746
GMPPA	5.45733165254128
C11orf73	5.53621851595705
AIPL1	3.72378508064194
PTP4A2	9.9925280740679
IL24	3.61085453235353
BDKRB1	3.08784544179485
HPCA	3.37986245677508
MLF1	6.603812629518
SEC14L1	6.43574756935079
CHFR	5.2428448290285
EMILIN1	3.41516781324694
THADA	6.00965608393169
TAF12	5.4153929866133
NDUFS4	7.15092700953956
ID1	7.76400494910453
PIK3CB	4.04687870188568
COL18A1	8.71376574716682
PDZD3	3.34504851509402
TBC1D17	4.93475538674328
COX8A	9.29628848513744
CDCA4	5.72439717016696
C2orf44	4.01987810892137
C9orf16	7.66938640022149
ERBB2IP	7.88990486716743
EMX2	8.96897345956089
FUS	6.5223896050249
NIPSNAP3B	3.48834301311285
TF	3.36466369041695
CXorf56	5.28950843082907
CLCN4	3.72830024610017
PWP2	5.55126328293802
MMP15	4.90653530449989
MTMR14	6.17373812557165
NPR1	5.31221366424037
DNAL4	5.98065343157849
ELAC2	4.42024809577692
ASS1	9.18548781626633
IPP	5.46885245857602
TMEM59	10.4713700897499
POLR2J	8.54797473177855
SEC23IP	5.80228373492044
RGS4	4.30285517596694
UQCRC1	8.6536712512031
SNX6	7.24231061066862
DDX18	6.81742422204367
POLG	4.74103415526668
ADAM23	4.10442503219302
ZNHIT2	4.16902919061029
TFR2	3.34361582667256
NCDN	4.11904559479574
RAG1	3.24881098026027
POMT1	4.575691921482
CYP1A1	3.29494334789228
SNAPC1	4.86666580624631
GNA11	5.02783413370742
CCDC52	2.80903936829949
CAPN1	6.90341667796184
DDHD2	7.13667514260307
UPF3A	5.9855856512715
LAGE3	5.66042358750795
GNRHR	3.19783264740468
UNC13B	5.81591045515878
TTLL4	4.25602378253204
PPBP	2.84145666214058
HTR3A	3.58152977394156
SDC2	7.53000381131339
ANKRD49	6.94794195538291
BTF3	10.1788576628735
COX7A2	10.3987148617525
SARS	8.49903601489968
C13orf18	3.87861010873597
CACNB1	3.75020831286329
QKI	5.54227678025369
SETMAR	5.22996896543505
LAMB4	3.20216493556598
MAN2B1	6.82650154965871
EML3	4.69648568880742
ACADL	3.27561970437272
OFD1	8.02722332357476
CGA	3.35451587709681
EIF3EIP	11.0236413405767
PEX16	4.98019973285125
GNG12	6.88407044029772
HABP4	4.80480221142619
CNTN2	3.74215408471698
ASNSD1	7.00587173333644
FUT4	4.26904204670837
DBH	3.44957651215552
CD53	7.79662982385222
HIST1H2BJ	3.86650602357034
TFAP2B	3.14656448078424
ACF	3.62051003135431
TMEM11	7.52091800093696
CDH8	3.17325685014998
C3orf32	3.57002695804753
AGPS	4.95446054030548
C4orf18	3.38578382016812
PCCB	7.58223009152513
IPO13	5.5936931572714
PECI	6.95895780059196
UNG	7.58530814444108
C6orf105	4.10363566423518
GSTP1	9.18664338020164
SUV420H1	7.4258911120087
ARHGAP15	4.0308942433288
LTBR	6.65899591901204
TDRKH	3.32369733021623
PSG4	3.52889354439207
SLC9A3R1	7.32153867361302
NBPF3	8.89978210654647
SLC9A3	3.50317196863853
OSBP	5.94287679233654
PRR5	4.30989998316381
CHMP7	5.3797723136547
ADRA1A	3.09902557456438
ASAH1	7.40547546246753
FKBP4	7.11578601229352
ZNF350	4.77172872986961
DOM3Z	5.47751186397413
GIPR	3.65859514716266
AHI1	4.74390916776318
BST1	3.94954907448555
NCR2	3.50339425191776
NADSYN1	4.26184872896917
UBE2W	6.7453759211741
RGS14	3.69599540978745
KRT15	3.46292682175954
SCN11A	3.9350767219508
GFI1	3.64370626814813
FHL1	3.96316764479874
SMC6	6.16507290255798
GATA1	3.82017009843257
OSGEP	5.51510510308522
ARMC6	4.92782578588621
HK3	3.44932978315750
PSMD5	6.33991509154158
RSU1	8.13359958740278
RPL4	11.5782960946212
MAD2L1	6.6878748786554
RBPMS	6.92654529682459
EIF4A3	8.6836030212041
E4F1	5.1169262767383
DLEC1	3.34646111555388
PRPF3	5.6623647951553
EMR1	3.16893465302907
CHMP2B	7.15214694976004
CAMSAP1	4.23306549594269
RPS21	9.8758917134465
XCR1	3.37596000314326
ARID5A	4.4608378137285
RBM6	5.69650977919494
UBE2N	7.68924237581322
KLF4	4.12875112889802
MGC4172	3.73903653241447
LMO4	6.73027266045778
KLKB1	3.29383883755164
HDAC3	6.98177682218679
HP	3.29566091049509
SCHIP1	7.51916686911167
BTK	4.08451776042993
KRCC1	8.19625406610527
PRND	3.01895757664489
C6orf27	3.37146652408267
PIGL	3.47269852313121
CLCA1	4.02682396367904
C1orf112	4.79137943223578
OLFML2A	4.64136108296604
HUS1	5.00441113977468
SFRS6	8.08897856752625
CXCR7	7.66367275589301
UIMC1	5.66942392369903
FXYD2	3.54887869054776
GOT2	8.18343942092237
ZNF667	3.84120853239087
TFEC	3.91586169478045
ATP7B	5.00974030332541
RAB38	3.38711161052769
POLD2	6.86050335182679
PPM1H	7.12677614383275
DCX	3.41250537067114
NFYC	7.80694230124655
ZNF228	4.18079028293283
KIN	5.7608171854593
PLSCR4	4.48858144397069
HIST1H4I	4.18386553298228
PPARGC1A	4.65983098374373
HIG2	6.32757237925658
KCNK10	4.13445608943741
EXOC1	7.50378741046591
OR6A2	3.88642873897668
ETFA	7.9062543488347
PDAP1	4.95091981822782
C19orf6	3.43042409299188
POLRMT	3.89404587214150
ZNF146	7.8583022466712
MIA2	3.12891156522488
LY6G6E	3.22680919470716
EIF4E2	8.20537028424726
NENF	4.9568705461077
HOXB5	8.069819805505
ZNF324	4.20190045451033
CUGBP1	5.00633464000826
ENTPD7	5.86851447023648
TTC13	6.37818370768082
GJB5	3.31241311304254
PRSS22	4.9053274127852
CYP3A5	3.24148745457172
MBOAT5	4.67465865853719
CUL4B	5.40240253262626
CENPJ	3.60989134630781
KIAA0664	5.62323918083567
PITX1	3.36145724740507
PDGFRB	5.76954338874009
RDX	6.13146419074313
CELSR3	3.91596879849728
JUND	6.61074146171806
ITSN1	4.76432787445932
CHRNB1	4.6204310528154
EHBP1L1	3.77748539414813
C19orf2	7.47249042402155
FETUB	3.10120195659855
CAMK2B	3.39707489800015
DCTN1	6.64148522973443
TNKS2	6.57939812001532
MRTO4	6.66288640545779
C1QBP	5.47206744041614
TTC3	8.64177626020695
NDUFB8	9.5058392904093
CADPS2	6.08521568657488
EDG2	4.46839521817954
MYF5	3.1055845380377
SEMA3G	3.72599202604984
IL23A	3.98958913486887
GJA9	3.57337398275875
R3HDM2	7.45697411481353
C5	3.82127855039156
SLC2A10	6.6468589342297
TRIM45	5.79633781643059
TSP50	3.70788115391311
PAQR3	4.4821043287743
ANKRD26	3.50327304382964
TCP1	8.88655739964822
TMED7	6.44030740597452
CMA1	2.82156711058773
PTCRA	4.19479787610355
HCRTR1	3.46755430805957
FST	3.63985095164310
PAWR	4.18783893734932
LDLR	3.82623880649076
ASTN2	3.75487975655366
SCRN1	5.95861899861468
GPATCH8	5.81002005717641
KIF4A	5.88511580018292
TANC2	4.91591593127335
ZMYM5	3.63896127646259
PGM1	8.52592578189441
ZNF586	4.77443258415793
POLR3G	3.33575207138994
CPD	5.98070180025936
SNCAIP	5.00414295515522
DCT	3.60803841918248
HLA-DOA	3.65874265809431
TANK	5.22941792786049
RCAN1	4.05208640344464
UPK1B	7.45700543735674
DNAJB4	4.62030138886952
UGT1A8	2.88421505846963
LIMD2	4.45233740020209
HIST1H4L	3.37276039955561
PECR	3.97927629207030
HSPA2	6.23044693774549
SERP1	9.58238676905088
TACR2	3.93555616277869
NUP85	5.96536472908319
CD177	3.73538269210746
GPR135	3.28426283821152
PIGG	6.23343185262265
LGR5	9.09374073278496
JAK2	3.54854584277454
DPYSL4	3.58277241732914
TM9SF4	6.31987674156703
PTHR1	3.33623317486775
SIRPG	3.27092490794244
ZNF264	5.37049332665964
BICD1	6.15918150942683
RAB5A	7.53434100156349
FLJ13224	3.29481114850736
METTL5	8.40470189984224
HERC6	6.09496601957198
CASP1	5.28859195809685
USP9Y	2.72694799008520
LRP1B	2.98923328023870
XAF1	5.48926795376733
PLA2G4C	4.10513306359567
APOA2	3.08886650780907
SPAG6	3.11817545525291
KALRN	3.57712682730957
SECTM1	4.5526496338018
THOC7	8.00696325650633
IFNAR1	4.80299107468282
TCTA	5.99884716976817
NY-REN-7	3.08664874923295
TALDO1	10.0714448496296
B2M	11.7110626954623
LPPR4	3.72148828977082
SQLE	5.99923000020792
SEPHS1	7.0012623161992
EIF5A	5.30547244838354
FAM49A	4.32635871211451
YTHDC2	3.87935000621845
EHD2	4.18009353851227
NCF1	3.98088366941678
SPG7	6.21097746074391
ZNF614	3.55203709621887
HOXA5	7.93000122193832
NUP133	7.6540791854983
FGF12	3.57130882836668
SLMO2	8.08028698539175
INPP5B	4.32219292386148
PPID	6.75096586446177
SNTA1	4.50732429115078
IL20RA	3.08825075172979
UBE2J1	5.86188325358936
CACNG2	2.97273434988340
GCM1	3.25409049952726
ELF1	6.6185741474531
TLR5	6.62158565545298
TCFL5	6.58721291477418
C1orf107	5.82913429079567
C19orf22	6.31680576154931
SAFB2	5.50315061210975
MAP3K7IP1	4.37115806576599
NCK2	8.00571465725856
OXA1L	8.30406801332829
KIAA0652	5.48326471264009
KLRG1	3.80141451595299
FRAG1	5.64173051498744
ZSCAN12	3.11587187684724
PSMD12	7.49236617074045
E2F4	5.08345936262334
CLEC4M	3.52659499216774
KIAA0999	6.79986349808619
CLDN10	8.36189907637239
MGC13053	4.38390503890134
TAC1	3.29909088634951
GYPA	3.31002858756312
HPCAL4	3.34595242478242
TRAIP	3.98177534175123
MEX3D	4.18852289717994
KIAA0232	7.0629165416967
ERCC8	4.45788482204524
NFAT5	6.234272190194
GPX4	9.48314881467483
CSPG4LYP1	3.08617786226479
KIAA0368	5.10485561810464
FBXO3	5.83633645764836
DVL1	5.70912200082336
CMKLR1	3.61023816736843
GPR157	3.45391400888492
TYMS	7.9628247124588
OR52A1	3.42828246740227
PEF1	7.15060633115058
ZNF750	3.40183548137527
ALG9	5.01475453036279
MCM5	6.51083296876785
SDK2	4.08072808750543
BAIAP3	3.72878755760605
RABGGTB	6.45837169116823
KCNK7	3.37115234802809
PTP4A3	4.56322781574073
ANKRD40	4.66875787207849
CALCOCO2	8.59460662612531
TMSL8	7.47498142734448
SNCA	4.1166403036988
ZNF551	4.00635296141187
HBQ1	3.38472987542558
ARHGAP26	4.72138356618675
GEMIN6	6.82583921713673
HRAS	4.88037758344053
KLRC4	2.87830775627954
BSDC1	6.07036895189821
DSC1	3.74511675609524
RNF43	5.37714604347049
NDUFAF1	5.71356072663349
MAP2K4	5.1578074934273
FOLR2	5.13614033955617
LYZL6	3.5930471823942
EPB41L3	4.23391423639824
TEKT2	3.72637658746739
CDKN2B	3.37505932317905
WSB1	7.04194049956698
ZNF480	3.62405558088170
MAP3K6	4.02565681448198
PROS1	4.37959108514761
PSMB8	7.83905035639356
HN1	8.67105703330273
MAS1	3.27165593835374
APOL1	6.01809810938691
CSHL1	3.40173146959257
ZBTB7C	3.17082499251461
AHCTF1	5.58716689453014
SAE2	8.54429543602152
ITGA2	3.8041122083902
AP2S1	8.20687038534416
P15RS	6.75537661433884
MME	4.3413779281779
VAT1	7.27749499943417
MAST4	4.48678556257974
TUFM	9.23550621575151
KRT33B	3.20268075089935
THEG	3.67899259986024
KCTD2	5.50228868517732
WDR26	9.0217999151009
MFI2	3.16953114563377
KRT34	3.07261856365624
NR4A3	3.31943866642778
SGSM3	5.34029999218764
ARSA	3.71593947896155
TOMM22	6.20152704851202
SOCS3	3.75633346987756
UNKL	4.34795138545699
POP4	9.21703959200152
BHLHB3	9.48541193830964
MALL	4.0439105690418
SOX15	3.19732619531814
CCNA2	4.75576707174776
PARK2	3.30759620374376
GPR124	4.50988781676042
TMEM132A	4.86032119140624
CGRRF1	6.76414267462131
RUVBL2	7.57748875959322
MCAT	4.60735740737743
WNT10B	3.58055151800775
ISCA1	6.35673457864474
RPAP1	4.12623655493394
C12orf48	4.98221566081534
RAI16	5.28348419339095
RPL27	8.68299254834299
EPN1	3.74420315113283
MAGI1	3.32057512669447
GBX2	3.28816244709926
SLC35A1	6.75045521759064
GAL	3.84753664578928
SLC14A2	3.70758736216012
RDH11	7.26070680781946
ZNF518	5.07256508505067
PCYT1B	3.18479651478211
AUH	6.22216769621708
EIF3H	10.1935546868434
KIF1B	6.60131151410827
MBD2	4.5784358086253
AMOTL2	7.93686677430575
C6orf120	6.44047977207901
PIGT	7.60978924469207
PSRC1	6.26250164854431
PLA2G10	5.19395662323753
ALAS1	7.4721026524588
FOXO1	6.73105981491168
C17orf62	5.8047511150523
KIF5C	3.82432658571898
DUSP10	5.52514834880794
CRLF3	6.11739991878871
CLCNKB	3.56018225793576
PSMA5	9.69973605814881
FARS2	5.27428714468348
CCDC28A	6.18756909839148
AMPD3	4.63112530990256
PIAS1	7.42865319139807
ADCYAP1R1	3.64640423464219
TMEM134	6.54722733574892
CDH20	2.96960240491802
FBXO7	8.25391628316831
FLJ14213	3.63146917368581
ZNF3	5.59570241277255
LRRFIP1	7.66685190233406
TMEM49	9.01160144114185
CNOT2	7.766476842923
CBX2	2.92881083859743
ZC3H14	6.67463129136143
ALDH5A1	4.93768972431042
HNT	3.30692334281739
SERPINA4	3.40209606370135
FLJ20920	6.4977550096103
CRTAP	5.11077528394159
DDX50	8.02770524392582
STYXL1	7.44038091756702
TK2	4.28961930833430
BLVRB	6.83332703734753
STMN1	7.12462761880235
GUCA2A	3.30143981627816
DPP6	3.43744654522008
GALNT10	3.46392667667544
STK39	4.83896286609987
MMP24	4.51640555011658
CKS2	9.21263886937141
RHO	3.74413292094342
BANF1	8.92810492231835
CR1	3.10013054207149
RPS6KA2	5.68375977465371
HMBS	7.23685857294132
C20orf112	3.7918235481819
SLC25A24	7.61835906307529
MRPL22	8.04932344603133
SLC25A15	5.50207910364364
GADD45B	4.77237257132366
TDP1	6.31438935095592
ZNF287	3.71846326642781
DAAM2	4.59206381530482
C11orf57	5.07912535698935
RFK	6.21671640752777
ZFYVE9	4.30881478265194
TCTN3	7.5690319420429
STCH	6.09143538632361
LOC283871	3.79978239131772
NDUFB3	7.93214282798155
DEFB4	3.78263874734154
FPR1	3.54356064420764
FMNL1	4.01356513477596
SEPT7	9.3011548189126
PTCD2	4.20088109864724
GNLY	3.88908586151211
GRAMD1C	4.35148763504293
ZNF165	5.25431660329667
TR2IT1	4.66204539095163
ARMCX3	7.90635693794378
NDE1	5.29381414609456
MAGEF1	7.63452547965592
ITGA10	3.70781302903905
ARHGDIB	7.92785534725569
FSHB	3.55526058391822
ANXA2	11.2607281966539
HLCS	4.19924398595126
MCF2L	4.34386586391665
AK1	6.13966531994608
FH	6.5635396055781
LGALS2	3.63588281993578
SYNPO2L	2.73451158597197
KIAA1045	3.37323994291922
C1orf183	4.51070791776767
MAGEA8	3.17729634681445
DGCR8	4.42294479216774
GSR	6.95645485962645
NEU2	3.66772130048702
HIST1H4B	3.6592492443791
CACNA1C	3.27336877460908
FAM20B	6.03320318308694
HES2	3.21907676884027
PDCD6	8.80760923741287
INTS7	5.98773665615335
AMPH	4.34125412462308
UCKL1	6.63224842071538
ASB4	3.14249694072757
C10orf97	4.83861237101094
ALDH1L1	4.08254734641667
CCL23	3.40875744769540
OBSL1	5.09135628789965
SLC12A7	7.15184310631269
THAP4	6.01276842040055
RBM4B	5.80081213828327
OGFRL1	3.73593587621309
KIAA0831	6.50121920928216
C12orf11	8.12537531538903
PPP1R15A	4.45196303234523
KIAA0240	5.39794027515263
CD1B	3.25225425751175
FCGR2A	5.24345599383324
