Hybridization REF	IDYLS_p_TCGA_Batch40_PopMarius_0810_HT_HG-U133A_96-HTA_D07
Composite Element REF	Signal
AACS	7.74423775159185
FSTL1	8.82233995345093
ELMO2	6.25308861235272
CREB3L1	6.12413551419755
RPS11	9.82896671448027
PNMA1	8.02264262042172
MMP2	6.59890098831391
SAMD4A	4.34143874006819
SMARCD3	6.50363445407583
A4GNT	3.41095669030523
C9orf39	3.01354724548541
PKNOX2	4.68400365087029
RALYL	3.27937097756352
ZHX3	4.34929013892829
ERCC5	5.16535510975775
RXFP3	2.98862765782303
APBB2	3.90162760251176
BBOX1	6.23353878665178
PRO0478	3.05911700156068
GCSH	9.12312569305217
XDH	3.58480392400224
EDN1	4.95571233397485
MTERF	6.30178503150726
PDCL3	7.86499844169288
CLK4	6.45175405814017
KCNG1	4.29676388728448
CXCR4	6.52980322103906
DECR1	8.47844476010225
SALL1	3.63802552098856
PTPRR	3.22808265550935
CADM4	3.30368237945528
IRAK1	8.01280012696107
CFHR5	3.17918594593254
HNRPD	6.98954383498039
TMSB10	12.2030562488944
CXCL3	3.81367072673549
LMAN1	3.75433164908352
SUHW1	3.73341415312956
CHD8	5.66863615842429
SUMO1	8.2446752248049
GP1BA	3.20612589684716
OR7A10	3.62542358316196
DDB1	7.57749429161148
CHRNA10	3.56326285035934
STYK1	3.63316320184727
MYO9B	3.9409791671694
CCNI	9.4448427680747
MMP7	7.13015874228095
EP300	5.70700307583114
CRNKL1	6.48153856788942
C9orf45	3.18799414361072
XAB2	4.34852110180533
RTN1	3.46641693835443
HIC2	3.60931447869729
TBX10	4.83424216568078
CENPQ	4.98270440821217
UTY	3.110853484108
OR2W1	2.86132368855068
ATP5G2	10.3480419174353
ZEB1	3.4861149376117
ZG16	3.49909211353686
ERG	4.25187300751374
PARN	6.91933463718593
SOD2	5.2656818552377
JOSD3	7.8852348013376
ADAM5P	3.14871116986653
CHD9	5.78806770308892
hCG_40738	3.60075944340250
STK16	6.20391222212362
PDE1C	3.52364247160085
SEMA4D	4.60354326745791
AGPAT1	6.98994992411644
TOB2	6.74804724412956
BANK1	3.14984323280426
MAP3K3	5.51528584766373
MAX	5.79981775877619
GRM2	3.81200941313059
OSBPL8	7.62933104829116
PROSC	6.37924059257671
NR4A2	3.74316547053281
RICS	5.31075934785041
PIR	7.02690651162199
PPCS	10.2125622858751
IPO9	5.59911967424477
LONP1	7.04056364427293
EVC	4.75467733679634
CXCL13	6.36585437894336
SCYL3	5.76664506388798
KIAA1199	4.60931008198576
SORL1	8.57779091502615
NAT10	6.77486345242916
CHD1	6.0580307109897
SYN3	3.56192464536325
DMC1	4.16771076542185
SLC22A2	3.76521071489575
SERPINF1	7.36672067532877
C20orf27	6.34772597668766
OR7A17	3.21198169231319
RPS6KA5	3.85687808183859
LHB	3.14489842972929
TAOK3	5.13968233624573
STK25	6.23222138033446
SLC12A4	3.53033322389829
BRCA1	4.13682468925836
GBL	6.32091538085217
C14orf108	8.39831352748587
CDC25B	7.65518457534463
BMP3	3.27595950554234
MAP1LC3C	3.20051042202217
TMEM180	3.84210591700251
CRYGC	5.50271855989194
SLK	6.67180850056861
POU3F1	3.21256762904169
C20orf32	3.79984719806643
USP52	6.02621812996286
HIGD1B	4.24082538944167
BAZ1B	6.12258584265742
USP6NL	5.13214746615688
SLCO2B1	4.09857975252585
ABCD4	4.94521769740105
DIMT1L	6.46426940653742
SLC25A46	8.22929352294579
LARP7	6.34982963808812
TEK	3.48787854209298
CD160	3.61980175487714
TERF2IP	8.1655909558188
PHF20	5.47680453541332
COL1A1	6.28022761415228
KIAA0090	5.97169983454856
GTPBP1	4.61908372462143
GRK5	4.04992430809059
AP1S2	6.92447265417229
RAB33B	4.44250821524302
CA11	4.41564945572633
ALDOC	5.98228504430526
NUDT1	5.0854231831338
