Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_G11_298080
Composite Element REF	Signal
AACS	4.98157285610343
FSTL1	6.6233839876939
ELMO2	3.99181392076268
CREB3L1	3.78956588173786
RPS11	10.5211361288535
PNMA1	7.58376638162622
MMP2	5.68746229417914
SAMD4A	3.96274009171011
SMARCD3	5.5376796976718
A4GNT	3.90046120004679
C9orf39	3.54355521651522
PKNOX2	4.42553773286916
RALYL	3.36548771741626
ZHX3	4.24223878500681
ERCC5	4.99590125405465
RXFP3	3.31069958614000
APBB2	3.58517929722632
BBOX1	5.58252045987788
PRO0478	2.76483646947448
GCSH	7.44086422638
XDH	3.91732691295996
EDN1	4.7443155739244
MTERF	6.37205360924405
PDCL3	6.4427649707655
CLK4	6.47181621970995
KCNG1	3.79353395490598
CXCR4	8.34876812962003
DECR1	8.71677174439888
SALL1	3.48724891328183
PTPRR	3.68548796553473
CADM4	3.60539372111519
IRAK1	8.89791098819978
CFHR5	3.41535713661978
HNRPD	6.77601478532104
TMSB10	12.3503557152814
CXCL3	4.02519820816075
LMAN1	3.47405557458181
SUHW1	3.96039185037775
CHD8	4.80174654029399
SUMO1	8.61813128512801
GP1BA	3.45375303509818
OR7A10	3.54618984691105
DDB1	7.078504451084
CHRNA10	3.58412057200902
STYK1	3.88719727648929
MYO9B	3.98669036860327
CCNI	9.81330512585065
MMP7	8.99567383185891
EP300	5.69845690438468
CRNKL1	5.66152238914189
C9orf45	3.34322801382177
XAB2	4.28449640621422
RTN1	3.98777334052826
HIC2	3.84992751443956
TBX10	3.90335378606579
CENPQ	4.23742792994721
UTY	3.28168387599137
OR2W1	3.27998315555988
ATP5G2	10.8742711053925
ZEB1	3.15558305884338
ZG16	3.4638652035966
ERG	3.95604082637569
PARN	5.65360828000645
SOD2	6.64869462091808
JOSD3	8.88581439587818
ADAM5P	3.32713896556560
CHD9	5.23902143068205
hCG_40738	3.58239354577403
STK16	5.05343391498156
PDE1C	3.68263299820187
SEMA4D	4.9650939435126
AGPAT1	5.44789378677256
TOB2	5.34908897302289
BANK1	4.39056849525553
MAP3K3	5.097774804104
MAX	5.41817148631861
GRM2	3.96828367620631
OSBPL8	5.81671435642881
PROSC	5.4283347400152
NR4A2	4.91819875935652
RICS	3.74811083313157
PIR	5.31032113027381
PPCS	9.29601689649522
IPO9	4.29596744757396
LONP1	5.48767666884118
EVC	3.71421438355658
CXCL13	4.81977535247795
SCYL3	5.76752578073114
KIAA1199	4.24316468389264
SORL1	8.91021625195763
NAT10	5.9066507171968
CHD1	6.04976115625332
SYN3	3.57030531450404
DMC1	3.91563433509151
SLC22A2	3.52295190183721
SERPINF1	6.30070697180837
C20orf27	5.3330704326442
OR7A17	3.44781876567191
RPS6KA5	4.5933716308477
LHB	4.41960225688883
TAOK3	4.19239697163581
STK25	5.26479148538873
SLC12A4	3.71014975876767
BRCA1	4.09249730654493
GBL	5.66160860889335
C14orf108	7.38942692400783
CDC25B	5.94073019677683
BMP3	3.44122628509906
MAP1LC3C	3.49285376467717
TMEM180	3.8573883991362
CRYGC	3.97893646989933
SLK	5.60724891691559
POU3F1	3.51826366779202
C20orf32	4.05050748319306
USP52	5.1607617733098
HIGD1B	4.427506334997
BAZ1B	5.00366373396366
USP6NL	5.35151971608345
SLCO2B1	4.29787721342918
ABCD4	4.41771051258426
DIMT1L	6.44001306859502
SLC25A46	8.86568230557502
LARP7	6.4717992303535
TEK	3.69479528000876
CD160	4.24460380709679
TERF2IP	6.35338808173167
PHF20	5.13650086051935
COL1A1	6.19719404161587
KIAA0090	4.84346968623592
GTPBP1	4.48251834877741
GRK5	3.97369403850991
AP1S2	4.22373954652547
RAB33B	4.98000164708994
CA11	4.62767892878412
ALDOC	4.21089187341748
NUDT1	4.82714903782448
ZNF212	4.20673403631062
ACBD3	5.94579396033407
ZNF83	5.65060181710589
PRDM2	4.26968544262976
GDPD5	4.38015822411064
PDCD4	5.09223403740499
CEP350	4.8553281745056
FOXP3	3.32861330112410
SMYD3	6.63674795880865
CST7	4.34006944455012
SELL	4.69106734872175
CIAO1	5.83082155403333
LGI2	3.78918277480053
WDR45	6.52618614683684
ANKRD6	7.39465750176872
LTBP4	3.83390673104767
PSCD3	3.09658616204803
PYY	3.2494427716519
KCNC1	3.00291954508799
SIRT6	4.20783801865875
CCL19	4.04868891266327
ARHGEF9	4.27185993374979
ABR	4.09176545436487
C10orf22	5.600636959161
STK17A	5.00801427607256
FOXE1	3.51016956774461
GML	3.24138212651034
CNGA3	3.09192279518794
CD38	4.58511188858255
ZDHHC6	7.31017965187488
NEFH	5.6045174862894
PGBD5	3.66847959251838
CTDSP2	5.87678108773462
RMND5B	5.82918075565112
ZNF257	3.80458304542699
DUSP4	3.80793590986540
FLJ22167	6.10120388057952
EXOSC7	6.49321583924812
ROR2	3.52843491378686
FOXM1	4.6595791759003
ZBTB48	4.61491963365585
BUD31	7.63455627702352
MAOA	4.05732049743199
CCDC41	3.76367840607774
TNNT3	4.21847188950918
FBXO11	5.11002826670873
GYPC	5.46044227238757
PLIN	3.65211923820637
RFXAP	3.72820193349711
C6orf15	3.65431228586363
RNF4	6.2856333450303
F8A1	8.03820080980925
PPP1R3D	4.1271982216035
GRB2	6.68539011391441
TPM3	3.36794911550463
SYT13	3.45568591877936
EPB42	3.32676987188818
RP5-1077B9.4	4.70484916971683
EIF1	11.0794330240679
CETN3	8.57015762894007
FPGT	5.18600766245893
