Hybridization REF	SEDUM_p_TCGA_Batch14_Expr_HT_HG-U133A_96-HTA_C07_458630
Composite Element REF	Signal
AACS	6.76466004051953
FSTL1	7.90232266691115
ELMO2	6.0007491338785
CREB3L1	3.66768113431409
RPS11	9.39983372852426
PNMA1	7.19691709459493
MMP2	6.45460227684613
SAMD4A	3.7439513744376
SMARCD3	5.29690500745684
A4GNT	3.55619566500174
C9orf39	3.44959578017842
PKNOX2	3.97980414455225
RALYL	3.25139500297498
ZHX3	4.59561489427437
ERCC5	6.5456946221451
RXFP3	2.99963053396090
APBB2	4.06692300883975
BBOX1	7.92165383051235
PRO0478	2.86658969002396
GCSH	8.7983216892295
XDH	3.49487584373836
EDN1	4.00724135587063
MTERF	6.41383836798804
PDCL3	7.26057473550897
CLK4	5.06326175803493
KCNG1	3.93169669298809
CXCR4	7.73680798065568
DECR1	7.60734871489394
SALL1	3.69393418264623
PTPRR	3.49638667449974
CADM4	3.52444845609304
IRAK1	8.15098168816106
CFHR5	3.19628603893457
HNRPD	8.26971097848564
TMSB10	11.7064434264342
CXCL3	3.87510221910367
LMAN1	4.49291205956578
SUHW1	3.29302084847568
CHD8	5.90955876511153
SUMO1	8.23293262476605
GP1BA	3.1479596409486
OR7A10	3.63523619959098
DDB1	7.88020894088767
CHRNA10	3.56751538448463
STYK1	4.06351341592929
MYO9B	3.94438392795096
CCNI	10.1365762706118
MMP7	9.8902218726165
EP300	5.08538573869603
CRNKL1	7.69531708740964
C9orf45	3.03229431193784
XAB2	4.04440812805909
RTN1	3.36247936523906
HIC2	3.68936865585139
TBX10	3.47152774553929
CENPQ	4.63181339949547
UTY	3.29387376962986
OR2W1	2.78869573385703
ATP5G2	10.1138186162102
ZEB1	3.68997366544384
ZG16	3.56931570627826
ERG	3.88722824007296
PARN	7.53932390500629
SOD2	5.86520219981662
JOSD3	8.20278640227707
ADAM5P	3.26596965543569
CHD9	6.53496275895374
hCG_40738	3.75901965979247
STK16	5.30709766907368
PDE1C	3.56055989357969
SEMA4D	5.27076197876375
AGPAT1	5.75854306540993
TOB2	5.57545846006143
BANK1	3.13984718101537
MAP3K3	4.66106467495511
MAX	4.97026118584533
GRM2	3.42518734113862
OSBPL8	7.4695311541668
PROSC	5.49335976400489
NR4A2	4.49986680610304
RICS	4.45158605211314
PIR	4.91424560595352
PPCS	9.18468121521674
IPO9	6.31569921452488
LONP1	7.15179805835791
EVC	4.01533184428221
CXCL13	4.86737489948093
SCYL3	5.51809122218939
KIAA1199	4.76960906374277
SORL1	8.62218065577226
NAT10	7.02901553660453
CHD1	5.45208309709192
SYN3	3.27153312833343
DMC1	3.81093077254692
SLC22A2	3.16904387550391
SERPINF1	6.37485323049923
C20orf27	5.74605787946286
OR7A17	3.17803792040163
RPS6KA5	3.52462408875446
LHB	3.20104717637098
TAOK3	4.88846530977396
STK25	5.9210822835088
SLC12A4	3.58567582303637
BRCA1	3.08541686141379
GBL	4.67308484921094
C14orf108	8.60000758910538
CDC25B	7.94894820706323
BMP3	3.30370369789203
MAP1LC3C	3.71433367491736
TMEM180	3.27063053866824
CRYGC	4.03295794851915
SLK	7.05690921351356
POU3F1	3.22864256951161
C20orf32	3.74942601555382
USP52	6.02702365744551
HIGD1B	3.75378986087821
BAZ1B	6.16664427839899
USP6NL	5.70410891518917
SLCO2B1	3.91128637269999
ABCD4	4.42391543169031
DIMT1L	6.40422217619874
SLC25A46	6.99492404202269
LARP7	7.16747036539967
TEK	3.4422017951063
CD160	3.52300025607223
TERF2IP	6.8665929913065
PHF20	5.99492792526587
COL1A1	6.83892363795971
KIAA0090	5.24837582970537
GTPBP1	4.22125477447939
GRK5	3.62571397031535
AP1S2	4.99303330121868
RAB33B	3.83263683348845
CA11	4.13514499684193
ALDOC	5.19310630467318
NUDT1	5.1008657015179
ZNF212	5.33995707828198
ACBD3	7.94098436292717
ZNF83	7.68141354610031
PRDM2	4.99583795545886
GDPD5	5.04629722226728
PDCD4	6.21546812336459
CEP350	6.9476743887561
FOXP3	3.17724797999606
SMYD3	6.8711868974801
CST7	4.34448677169024
SELL	4.80652022081529
CIAO1	6.2666804704045
LGI2	3.89604871472909
WDR45	5.93279415904675
ANKRD6	8.25479464994696
LTBP4	3.63605071005856
PSCD3	3.42744610367697
PYY	3.26280298461703
KCNC1	3.10754722454412
SIRT6	3.70715593796228
CCL19	3.84020790138012
ARHGEF9	4.70628764279004
ABR	4.25698607125165
C10orf22	6.93596703665276
STK17A	5.73196614278327
FOXE1	3.10579200263205
GML	3.33959682220833
CNGA3	2.84870001047443
CD38	4.28205308669002
ZDHHC6	7.40321491327081
NEFH	3.27063239202831
PGBD5	3.83652696857554
CTDSP2	7.32897644693424
RMND5B	4.96668929540391
ZNF257	4.33053862907067
DUSP4	3.8841669782634
FLJ22167	5.0560532083956
EXOSC7	7.06502918265558
ROR2	3.62195728002742
FOXM1	4.74592672317273
ZBTB48	4.01276398824518
BUD31	7.77717443266885
MAOA	5.61621711267274
CCDC41	4.43983494123091
TNNT3	3.510169084721
FBXO11	6.0627807043261
GYPC	8.56774897440606
PLIN	3.49886855783752
RFXAP	3.64364043860578
C6orf15	3.62837344772829
RNF4	8.52124565977504
F8A1	7.98388272693274
PPP1R3D	5.00780440709247
GRB2	7.08452684342164
TPM3	2.98772113222445
SYT13	3.94654696126845
EPB42	3.36986674449144
RP5-1077B9.4	4.41317880384756
EIF1	9.64588927005282
CETN3	7.35749750606191
FPGT	4.82280176873669
PRY	3.39597323290827
NTHL1	4.76671006228826
POLR2B	8.84932157741613
RPS28	11.655501571322
GDF10	3.50856987329933
COQ9	8.25760220932243
P2RX3	2.87648097466440
GCC2	7.5770615776268
RARRES3	7.96352240178407
PLXNA1	5.87178240634903
WBP4	5.085240976815
KIAA0100	6.00959987799038
PMF1	6.55320213700331
HS2ST1	5.23020943755658
CRELD2	7.10722122686927
C8G	3.34224629064628
CD82	5.75559747565416
PMM1	4.79850393764779
CBLL1	4.33207999460782
LIM2	3.31001207911761
VAX2	3.69730209688222
SETDB1	5.11591806065808
LRAP	3.01709792254892
GCLM	5.99570626133356
CPEB3	3.97262445524641
PPM1A	5.41400205020297
INTS1	3.89418505216358
MMP16	3.15195796449163
CAMTA1	3.20631775675417
SAMSN1	4.59376723154433
DRD3	2.81818446068516
GMPPA	4.99938399863596
C11orf73	6.84056674870441
AIPL1	3.51423836975435
PTP4A2	8.53698040691827
IL24	3.40372474276721
BDKRB1	3.15560235881095
HPCA	3.57605513679947
MLF1	7.1626633058369
SEC14L1	7.22484766817643
CHFR	4.76252478536731
EMILIN1	3.30568563255028
THADA	8.11799401105786
TAF12	4.87313213085891
NDUFS4	8.57367272556245
ID1	6.86183943892266
PIK3CB	4.85215380945383
