Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_B06_491112
Composite Element REF	Signal
AACS	6.746425648243
FSTL1	8.1783800683025
ELMO2	6.20304295198755
CREB3L1	4.07415012120744
RPS11	10.4009359676019
PNMA1	8.16580054736496
MMP2	7.44485527662369
SAMD4A	3.84442888374539
SMARCD3	5.807932864539
A4GNT	3.60363336221497
C9orf39	3.47699990395519
PKNOX2	4.25576985819240
RALYL	3.57993368748563
ZHX3	4.28618800963814
ERCC5	6.73022549010119
RXFP3	3.23275480993842
APBB2	4.43097096277553
BBOX1	4.98108363802465
PRO0478	3.21003363923261
GCSH	8.35741897619672
XDH	3.88194487574719
EDN1	3.44981073341561
MTERF	6.26960440965854
PDCL3	7.33967809492181
CLK4	4.91783504579642
KCNG1	4.76479588159134
CXCR4	7.17577947304369
DECR1	7.96458350578354
SALL1	3.18584377538464
PTPRR	3.50505665021012
CADM4	3.40995450829006
IRAK1	8.71941545658576
CFHR5	3.11728877671696
HNRPD	7.55627590023122
TMSB10	11.9203025113634
CXCL3	4.06757419174293
LMAN1	3.81649884818417
SUHW1	3.6833012442755
CHD8	5.67534956158069
SUMO1	7.88178556309181
GP1BA	3.28074684498879
OR7A10	3.90787024299906
DDB1	7.75342304664994
CHRNA10	3.76613558931017
STYK1	3.26979015103152
MYO9B	4.46559430319066
CCNI	10.4806357728703
MMP7	9.3367218803853
EP300	6.51676500812316
CRNKL1	7.53079006110469
C9orf45	3.21598172222641
XAB2	4.87244408695989
RTN1	5.11218653494467
HIC2	3.79806691818415
TBX10	3.45530288577918
CENPQ	4.1340098001327
UTY	3.17011608062221
OR2W1	3.07876779471918
ATP5G2	10.7819793683812
ZEB1	3.60083780518002
ZG16	3.41242486836677
ERG	3.53165773673986
PARN	6.72261223358491
SOD2	6.28195874183241
JOSD3	8.3119643144565
ADAM5P	3.36823401110149
CHD9	5.8725092801836
hCG_40738	3.80971289084960
STK16	4.71162360169783
PDE1C	3.62128392648313
SEMA4D	5.88583114908378
AGPAT1	6.76053458841841
TOB2	6.05160691838514
BANK1	3.90843412794784
MAP3K3	5.50410297581619
MAX	5.21938864146179
GRM2	3.65482130382524
OSBPL8	7.11626463012192
PROSC	5.81796234305242
NR4A2	3.99260534742934
RICS	4.98758643995226
PIR	4.71578702114264
PPCS	8.98722393125552
IPO9	6.26079925124341
LONP1	6.37394509070578
EVC	4.32684720839811
CXCL13	4.98850119805379
SCYL3	6.04223498734622
KIAA1199	5.58729270261384
SORL1	8.03607951630253
NAT10	6.79463380613522
CHD1	5.90716482454459
SYN3	3.55376380165063
DMC1	3.71799524775468
SLC22A2	3.82639845606892
SERPINF1	7.91577956135234
C20orf27	6.8252514188636
OR7A17	3.28462305938487
RPS6KA5	5.07010439821107
LHB	3.27128647941583
TAOK3	4.81109202702449
STK25	5.80646240004287
SLC12A4	3.48603131780505
BRCA1	3.60183923632167
GBL	5.18259166824574
C14orf108	8.6984297729844
CDC25B	6.893404304466
BMP3	3.00228933550167
MAP1LC3C	3.53424338613177
TMEM180	3.78459431168017
CRYGC	3.47073792913157
SLK	5.67687432295192
POU3F1	3.36807997725018
C20orf32	3.76156999983012
USP52	5.57585011830068
HIGD1B	3.88404910043545
BAZ1B	6.53502448079243
USP6NL	5.33883918920987
SLCO2B1	4.77441317898886
ABCD4	4.48918966256714
DIMT1L	6.20195801952382
SLC25A46	7.2626897400975
LARP7	6.6655798916456
TEK	4.04984605732245
CD160	3.60881463333477
TERF2IP	7.6262066586966
PHF20	6.41514679011372
COL1A1	7.58532682862453
KIAA0090	6.09070024956434
GTPBP1	4.73951786233503
GRK5	3.80144165305328
AP1S2	6.52363074747726
RAB33B	4.61271487060585
CA11	4.71120420305245
ALDOC	6.08485282008906
NUDT1	4.88555367231309
ZNF212	5.89020990265746
ACBD3	7.5155235969912
ZNF83	6.3821610528114
PRDM2	5.37383878306835
GDPD5	6.16202707574787
PDCD4	6.34825241610308
CEP350	5.91166152287715
FOXP3	3.23799399995853
SMYD3	6.90550710022103
CST7	4.47815958387638
SELL	4.50144312998759
CIAO1	6.24143871947709
LGI2	3.59868226922929
WDR45	7.09276536582494
ANKRD6	5.90933801008331
LTBP4	4.88194543569035
PSCD3	3.32626365416998
PYY	7.31697323740085
KCNC1	3.31625307757676
SIRT6	3.86752921309019
CCL19	4.26286548031749
ARHGEF9	4.20453995150606
ABR	4.06211071551923
C10orf22	6.98463584207555
STK17A	4.90158304512074
FOXE1	3.49492478207142
GML	3.19989785613306
CNGA3	3.24938388753660
CD38	4.45734392801671
ZDHHC6	7.051437982227
NEFH	3.9269032029437
PGBD5	4.03360094928238
CTDSP2	7.70705533100742
RMND5B	5.7304086683238
ZNF257	3.11572522154376
DUSP4	3.34544355458457
FLJ22167	6.09588052050757
EXOSC7	6.17871894424902
ROR2	3.68910883118036
FOXM1	5.02450512173268
ZBTB48	4.46404836818945
BUD31	7.21615791500448
MAOA	4.04824139635184
CCDC41	4.82924212568742
TNNT3	5.31038492971856
FBXO11	5.34936546766608
GYPC	5.87413092911987
PLIN	3.70020844908723
RFXAP	3.42271091520786
C6orf15	3.89391713717626
RNF4	8.52068521488326
F8A1	7.88153829965062
PPP1R3D	4.68889142138216
GRB2	6.95920488385128
TPM3	3.16986216907898
SYT13	3.78127105530751
EPB42	3.45086916587076
RP5-1077B9.4	5.86670079761076
EIF1	10.6051773409386
CETN3	6.85611421497549
FPGT	6.22871404786998
PRY	3.47770565471327
NTHL1	4.7926177475753
POLR2B	8.78616491504541
RPS28	12.7202938438974
GDF10	3.30168820097106
COQ9	7.47431692824172
P2RX3	2.89272771591364
GCC2	7.05897420220474
RARRES3	6.91556148854251
PLXNA1	6.25731244712548
WBP4	4.94866425334096
KIAA0100	6.31302887572468
PMF1	6.883503755204
HS2ST1	5.58271132685614
CRELD2	6.93895552016527
C8G	3.25284759399531
CD82	6.52800345096313
PMM1	4.70584486400304
CBLL1	4.70074216423109
LIM2	3.40090626939677
VAX2	3.87492367461912
SETDB1	5.41372398595419
LRAP	3.03690453642453
GCLM	7.10063090186309
CPEB3	3.55944384514802
PPM1A	5.83295354376062
INTS1	4.13162149990524
MMP16	3.27155378736289
CAMTA1	4.29688876813986
SAMSN1	5.57779022366719
DRD3	2.85095651831583
GMPPA	5.1567029560799
C11orf73	5.61321437861076
AIPL1	3.74109280650122
PTP4A2	9.4283726971804
IL24	3.48438593215440
BDKRB1	3.53272296319644
HPCA	3.62488679830234
MLF1	6.51203826182035
SEC14L1	5.4202401273931
CHFR	6.1919170637092
EMILIN1	3.50126258676128
THADA	6.25066649628211
TAF12	5.19761596106226
NDUFS4	7.82100385364551
ID1	5.77978547009873
PIK3CB	3.75048394371948
COL18A1	7.74767323083283
PDZD3	3.24898219614101
TBC1D17	4.52927731342233
COX8A	9.909886584885
CDCA4	6.3244990759094
C2orf44	4.70786199082704
C9orf16	8.68234291435425
ERBB2IP	7.860819875445
EMX2	9.25076117525845
FUS	5.40260095442574
NIPSNAP3B	3.59166044325583
TF	3.35141996597108
CXorf56	4.55399541145085
CLCN4	3.8442453527821
PWP2	5.35486059310022
MMP15	4.09382211790243
MTMR14	5.49811025496574
NPR1	6.41500632708661
DNAL4	5.68320195893122
ELAC2	4.68463434753009
ASS1	9.67704407171293
IPP	5.85478935971111
TMEM59	10.1007988260001
POLR2J	8.9548463692878
SEC23IP	5.84725963877896
RGS4	3.89003563107544
UQCRC1	9.15852432692288
SNX6	8.0473590949865
DDX18	6.88342544568077
POLG	4.19787673046871
ADAM23	3.91021945490503
ZNHIT2	4.8675815270305
TFR2	3.35373495148731
NCDN	4.52781427261936
RAG1	3.39959529227235
POMT1	3.97537333669249
CYP1A1	3.45027906188931
SNAPC1	5.65390649427592
GNA11	5.14705241225131
CCDC52	3.2140057054164
