Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_B02_451988
Composite Element REF	Signal
AACS	6.85451697582462
FSTL1	7.46599441124087
ELMO2	6.38659034985547
CREB3L1	4.04624708948275
RPS11	9.91829604356114
PNMA1	8.37988849413533
MMP2	7.81912425331632
SAMD4A	3.76262048260372
SMARCD3	6.74293057155781
A4GNT	3.81110094695886
C9orf39	3.21280760586802
PKNOX2	3.88596777352009
RALYL	3.17176274540094
ZHX3	4.17882119924804
ERCC5	6.4074700563692
RXFP3	2.95755199150574
APBB2	3.61145037179946
BBOX1	5.05606578092446
PRO0478	3.12108700722504
GCSH	8.30085566464525
XDH	3.82687991660916
EDN1	4.26721145841113
MTERF	6.79567297958364
PDCL3	7.69079131534567
CLK4	5.07061773552863
KCNG1	3.84200057448482
CXCR4	7.80391756530458
DECR1	8.25624497570724
SALL1	3.22743894103651
PTPRR	4.33291901559296
CADM4	3.30134994071866
IRAK1	8.97858408706061
CFHR5	3.06675093058672
HNRPD	8.18218064099224
TMSB10	11.5855117087579
CXCL3	4.82806237649904
LMAN1	4.1162616154535
SUHW1	3.51060627566834
CHD8	5.79741880970461
SUMO1	7.90055812150937
GP1BA	3.12076832573921
OR7A10	3.8779093251302
DDB1	7.5662229361212
CHRNA10	3.91482917185099
STYK1	3.94436569614624
MYO9B	4.42051796666034
CCNI	9.60917028212002
MMP7	9.9926991244171
EP300	6.920405378564
CRNKL1	6.11728623985075
C9orf45	3.10788687343325
XAB2	4.28758092488171
RTN1	3.62759344011801
HIC2	4.40177195567093
TBX10	3.50014723762522
CENPQ	3.99321846077428
UTY	3.09039142238618
OR2W1	2.91319895740928
ATP5G2	9.99928213782915
ZEB1	3.84316361681035
ZG16	3.55809368107506
ERG	4.10567181106329
PARN	5.99370634563473
SOD2	6.34049138530614
JOSD3	8.00944747882801
ADAM5P	3.08854467177276
CHD9	5.95317115155536
hCG_40738	3.8250599955058
STK16	5.12416912591234
PDE1C	3.73160336923493
SEMA4D	5.66348481357129
AGPAT1	5.41116997657581
TOB2	5.82001774630715
BANK1	5.29414085282462
MAP3K3	5.32761760468187
MAX	5.29861946653762
GRM2	3.59560510643995
OSBPL8	7.5527703983802
PROSC	5.82147602328256
NR4A2	5.89538279630775
RICS	5.35735010802771
PIR	6.68197226800252
PPCS	8.61477015611722
IPO9	6.30717342631094
LONP1	7.47644474587635
EVC	4.0707210688498
CXCL13	4.17566771401313
SCYL3	5.26692219065877
KIAA1199	4.78864635367639
SORL1	8.85664769158293
NAT10	6.6699521766211
CHD1	6.14377866818204
SYN3	3.45926938297156
DMC1	3.75756621057967
SLC22A2	3.53205314087968
SERPINF1	7.59191970975348
C20orf27	6.02293362552561
OR7A17	3.0281077332695
RPS6KA5	5.3610049720922
LHB	3.34037701433090
TAOK3	5.86626112746283
STK25	5.88830225572301
SLC12A4	3.57235825689779
BRCA1	3.92178265611868
GBL	4.4571855914208
C14orf108	8.77283586269007
CDC25B	7.73749802298741
BMP3	3.1153437527096
MAP1LC3C	3.32641878879736
TMEM180	3.62377468156401
CRYGC	3.48401880627164
SLK	6.7400514439505
POU3F1	3.18002932578529
C20orf32	3.83246386874155
USP52	5.14837432600423
HIGD1B	3.81349899588847
BAZ1B	6.72098828090204
USP6NL	6.07094277654603
SLCO2B1	4.70221454529418
ABCD4	4.44719272326024
DIMT1L	6.77484867676349
SLC25A46	7.44157761560988
LARP7	6.88328858026019
TEK	3.63617763840121
CD160	3.62434959051189
TERF2IP	6.71444582915105
PHF20	6.94430465367199
COL1A1	7.81195573046318
KIAA0090	5.72222135058628
GTPBP1	4.26398736220201
GRK5	4.18332931394159
AP1S2	5.22733537355855
RAB33B	4.30852887781365
CA11	4.22716803393674
ALDOC	5.57711022696345
NUDT1	5.89798851540258
ZNF212	5.77422715764826
ACBD3	7.47134949771385
ZNF83	6.75723729102273
PRDM2	5.05211045645569
GDPD5	5.2095543577437
PDCD4	6.02614584518611
CEP350	6.53026796664183
FOXP3	3.25532311366035
SMYD3	6.79877939264343
CST7	3.81290702831346
SELL	5.16889350124058
CIAO1	6.46199419685352
LGI2	3.64768721986361
WDR45	7.06918094686594
ANKRD6	8.2741152081524
LTBP4	3.93752351959546
PSCD3	3.38002210994608
PYY	3.1178892542807
KCNC1	3.09704224819745
SIRT6	3.90734923482544
CCL19	3.8142325498385
ARHGEF9	3.93050139190573
ABR	4.48626460619202
C10orf22	7.06526458809275
STK17A	4.9104256182447
FOXE1	3.22164818332020
GML	3.12122726802959
CNGA3	2.83783953863885
CD38	3.87825929167057
ZDHHC6	7.66070092297996
NEFH	4.09344851432144
PGBD5	4.97799921037796
CTDSP2	7.47651446133511
RMND5B	5.29178885013094
ZNF257	3.01791314322517
DUSP4	3.54166301177252
FLJ22167	6.06203757106064
EXOSC7	6.44179883140819
ROR2	3.44640448709482
FOXM1	5.67064652520769
ZBTB48	4.23696248057567
BUD31	7.9133253441247
MAOA	4.53088969597739
CCDC41	4.8157131960226
TNNT3	3.80870194906255
FBXO11	6.33482006466202
GYPC	6.56563426320377
PLIN	3.3339480381137
RFXAP	3.64665967063025
C6orf15	3.62538656992779
RNF4	9.10647013016148
F8A1	7.84783232888039
PPP1R3D	4.6513090432557
GRB2	7.0395894585677
TPM3	2.97699057052828
SYT13	3.70053507275499
EPB42	3.53946247461927
RP5-1077B9.4	5.57653774400026
EIF1	10.3317379908132
CETN3	8.0448796749529
FPGT	5.5638745968998
PRY	3.33681911140255
NTHL1	4.96423941133224
POLR2B	7.98882265630331
RPS28	11.8475692369749
GDF10	3.02976374132014
COQ9	6.84424439483482
P2RX3	2.73124951760491
GCC2	7.3428836256219
RARRES3	7.53249171760682
PLXNA1	6.05999940259948
WBP4	4.81503220539298
KIAA0100	6.14104002701533
PMF1	6.03979358353613
HS2ST1	5.9705746223608
CRELD2	6.84487717202113
C8G	3.16835566643012
CD82	7.04086342860543
PMM1	4.86143548639838
CBLL1	6.07743837103578
LIM2	3.31099074513645
VAX2	3.52362033924688
SETDB1	4.82954022689286
LRAP	2.88088180517689
GCLM	7.83902968608857
CPEB3	4.08225480109599
PPM1A	6.30220646163922
INTS1	3.96091702600786
MMP16	3.12169791968147
CAMTA1	4.09345012627895
SAMSN1	6.1492538955415
DRD3	2.74576653019983
GMPPA	5.89730382460488
C11orf73	6.41136008390603
AIPL1	3.84116206931115
PTP4A2	9.80692883354773
IL24	3.59240525262986
BDKRB1	3.72461033581999
HPCA	3.33470960711349
MLF1	6.15825773297246
SEC14L1	6.01760702223679
CHFR	6.05454437134159
EMILIN1	3.5081986937037
THADA	5.78117578668102
TAF12	5.31723193764233
NDUFS4	7.40489403041731
ID1	6.2624751245156
PIK3CB	4.66343041321776
COL18A1	7.49878981222384
PDZD3	2.99183190862380
TBC1D17	4.51306685059994
COX8A	9.61536123751574
CDCA4	6.96738142454421
C2orf44	4.41580635778675
C9orf16	7.78830203923168
ERBB2IP	7.90497981889633
EMX2	8.70143951688888
FUS	6.35175005857085
NIPSNAP3B	3.64065227156091
TF	3.21066554774095
CXorf56	5.41351714575234
CLCN4	3.77027916122432
PWP2	5.8925480971667
MMP15	3.86323820150528
MTMR14	6.35219689089759
NPR1	6.28353280035762
DNAL4	5.09493783968101
ELAC2	4.45841650141055
ASS1	10.931976163259
IPP	5.09992482926475
TMEM59	9.79948519138068
POLR2J	8.77525168660992
SEC23IP	5.49460219782862
RGS4	4.77106091796899
UQCRC1	8.05292138880258
SNX6	7.86950065523273
DDX18	7.04604370905663
POLG	4.45185188497203
ADAM23	3.91154696749786
ZNHIT2	4.28666421342672
TFR2	3.28221828141585
NCDN	4.28829877788439
RAG1	3.22997600421292
POMT1	4.15626951574292
CYP1A1	3.31885059052945
SNAPC1	5.81065282358922
GNA11	5.29567015799593
CCDC52	2.82729036452487
CAPN1	7.05115964248564
DDHD2	6.17097730427050
UPF3A	6.61715220362012
