Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_C11_491140
Composite Element REF	Signal
AACS	7.16951417194588
FSTL1	9.31874276439671
ELMO2	5.6041274251291
CREB3L1	4.45010270118905
RPS11	10.4345974334665
PNMA1	8.31662818553754
MMP2	9.29351557048301
SAMD4A	4.28602439728968
SMARCD3	6.93725158858434
A4GNT	3.52981632458061
C9orf39	3.61521326531596
PKNOX2	4.1311316185106
RALYL	3.81557248951973
ZHX3	4.18823839357896
ERCC5	5.31027036609136
RXFP3	3.13534731459929
APBB2	4.40252900528101
BBOX1	5.70994075404579
PRO0478	3.10254587337959
GCSH	8.7423189972034
XDH	3.69746415647866
EDN1	4.09860175778214
MTERF	6.78362235568603
PDCL3	7.89130441839735
CLK4	5.56428115952885
KCNG1	4.29027089323728
CXCR4	9.95670024521745
DECR1	8.00583747610808
SALL1	3.21865073438355
PTPRR	3.56411947881460
CADM4	3.29735599544979
IRAK1	7.53921526469559
CFHR5	3.28019319983370
HNRPD	7.53239136094405
TMSB10	12.3525142787668
CXCL3	4.34851772497025
LMAN1	4.08727328368327
SUHW1	3.70345657697263
CHD8	5.41946286996457
SUMO1	8.84177441706979
GP1BA	3.43836102871414
OR7A10	3.58542437218059
DDB1	7.53990732210397
CHRNA10	3.51862302334178
STYK1	3.5727167620219
MYO9B	4.01676731937658
CCNI	10.2993259794677
MMP7	10.9802605829631
EP300	6.14371141748101
CRNKL1	7.48888466619116
C9orf45	3.37578956137822
XAB2	4.80717752333138
RTN1	3.92771087951969
HIC2	3.97341500182961
TBX10	3.44278306467507
CENPQ	4.48951137672586
UTY	3.10319398663645
OR2W1	2.91413253329239
ATP5G2	10.8887545808414
ZEB1	3.83836750279593
ZG16	3.45676122879295
ERG	3.63511738299833
PARN	6.82828091060584
SOD2	6.35843751895829
JOSD3	7.26714171931838
ADAM5P	3.35691789528504
CHD9	5.73212880720562
hCG_40738	3.73643000958185
STK16	5.5085898199873
PDE1C	3.51613030583902
SEMA4D	5.31610444376386
AGPAT1	6.2853330713599
TOB2	5.66563030789002
BANK1	4.37083158653162
MAP3K3	5.05047078217013
MAX	5.06830759006337
GRM2	3.84454831959189
OSBPL8	7.89330014197792
PROSC	6.05720776969429
NR4A2	5.1821929189454
RICS	4.39436129028013
PIR	4.26306441649423
PPCS	9.22343406351982
IPO9	6.15586743703824
LONP1	6.12798991427926
EVC	4.02269781263669
CXCL13	5.10220111930202
SCYL3	5.86192517436824
KIAA1199	6.57669665530115
