Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_C08_443128
Composite Element REF	Signal
AACS	6.34346090380883
FSTL1	8.11152414321942
ELMO2	5.04694329626751
CREB3L1	4.32158518952629
RPS11	10.0697144411738
PNMA1	6.49387816508391
MMP2	8.93353227309805
SAMD4A	3.79251021809102
SMARCD3	6.26266508315027
A4GNT	3.90864192074582
C9orf39	3.26706283005157
PKNOX2	4.23580827718037
RALYL	3.37277992437266
ZHX3	4.38158611998900
ERCC5	6.00434769906595
RXFP3	2.95981475859826
APBB2	4.02541806674463
BBOX1	5.42948987745261
PRO0478	3.15228190197454
GCSH	7.65354869535385
XDH	4.17154455081506
EDN1	3.98786170875037
MTERF	5.20964493228661
PDCL3	7.49326141290194
CLK4	5.5750086258398
KCNG1	3.76257719661038
CXCR4	6.61826394522654
DECR1	6.97519462075932
SALL1	3.26848660339467
PTPRR	3.35720256066965
CADM4	3.38944307347263
IRAK1	8.47340402712057
CFHR5	3.16559417581681
HNRPD	7.66145638895249
TMSB10	11.6683272301141
CXCL3	4.21699401908876
LMAN1	3.49976524872089
SUHW1	3.55456683773037
CHD8	5.77751790125591
SUMO1	6.9279620162743
GP1BA	3.33052891855246
OR7A10	4.17271667281382
DDB1	7.0931791309225
CHRNA10	3.77703122134778
STYK1	3.61164228958879
MYO9B	4.24005803240036
CCNI	9.76145901509453
MMP7	4.24618955088039
EP300	5.89544612909452
CRNKL1	5.43189121623098
C9orf45	3.40815478621798
XAB2	4.53492584328442
RTN1	3.93579577850509
HIC2	3.91614169725068
TBX10	3.64127309326346
CENPQ	3.99529756216195
UTY	3.20141726641157
OR2W1	2.97885505773607
ATP5G2	10.1273377320992
ZEB1	3.77643142596507
ZG16	4.07886940612625
ERG	3.74729737884533
PARN	7.41559401377781
SOD2	6.20259616444599
JOSD3	6.68974615018535
ADAM5P	3.35049371300494
CHD9	6.06824738997477
hCG_40738	3.88555730284686
STK16	4.34351200443985
PDE1C	3.79864394575413
SEMA4D	5.01275699904943
AGPAT1	6.08316489166389
TOB2	5.7790043186867
BANK1	4.29934358894382
MAP3K3	5.10316420575279
MAX	4.76882853838131
GRM2	3.8002900979634
OSBPL8	6.83526708777413
PROSC	5.28144886165938
NR4A2	4.77866521383053
RICS	4.56826382944735
PIR	4.49013352957835
PPCS	8.21208547701581
IPO9	6.34690147525102
LONP1	6.66705424554119
EVC	4.18263985624960
CXCL13	4.69088219592445
SCYL3	4.81135479889442
KIAA1199	4.98037007182951
SORL1	7.15433743342455
NAT10	6.08293677334063
CHD1	6.10367279805201
SYN3	3.34651102793676
DMC1	4.00017592752477
SLC22A2	3.50838925255184
SERPINF1	7.22598890752293
C20orf27	5.37092774267404
OR7A17	3.13361416708001
RPS6KA5	4.04662845459211
LHB	3.17657630453632
TAOK3	5.19693840009951
STK25	4.94119889555226
SLC12A4	3.75248947346848
BRCA1	4.52436930082467
GBL	5.56318521436056
C14orf108	7.26054702750083
CDC25B	6.71113928147148
BMP3	3.35391851507985
MAP1LC3C	3.31262582804403
TMEM180	3.5726298038015
CRYGC	3.82098642781418
SLK	6.20733268400811
POU3F1	3.35697067004337
C20orf32	3.90961058408426
USP52	5.62540407329242
HIGD1B	3.97518193572292
BAZ1B	6.80401370808644
USP6NL	5.0424738073669
SLCO2B1	4.59164400930195
ABCD4	4.14352630619088
DIMT1L	5.88237307547036
SLC25A46	6.14016448539101
LARP7	6.18992753747362
TEK	3.51417888312425
CD160	3.57062646393972
TERF2IP	6.68925688151465
PHF20	6.33119496328156
COL1A1	8.16127922358652
KIAA0090	5.32044470449528
GTPBP1	4.38641484400713
GRK5	3.89238865405644
AP1S2	5.30056273209462
RAB33B	4.01827591951024
CA11	4.36366263443891
ALDOC	4.98319586105303
NUDT1	5.37677720765986
ZNF212	5.4045873108078
ACBD3	7.3928646496732
ZNF83	4.83269197311053
PRDM2	4.57356687251963
GDPD5	4.52820357607903
PDCD4	5.69878445457997
CEP350	5.90587264961992
FOXP3	3.35216347758604
SMYD3	6.77051579949213
CST7	4.41798497768711
SELL	4.35954193902635
CIAO1	6.15187174431547
LGI2	4.31183214159543
WDR45	6.05939843174242
ANKRD6	6.91475008129678
LTBP4	4.03282699400437
PSCD3	3.38757444471467
PYY	3.2329753555983
KCNC1	3.13959975067624
SIRT6	4.021444293466
CCL19	4.10779398868278
ARHGEF9	4.18619012367269
ABR	4.71682553047559
C10orf22	6.27033168885573
STK17A	4.71247893141055
FOXE1	3.07544764842561
GML	3.23584581134443
CNGA3	3.09074966869838
CD38	4.62193772322565
ZDHHC6	6.22845527060921
NEFH	4.41044928113972
PGBD5	4.49273557892195
CTDSP2	7.37644908306024
RMND5B	5.40487285703781
ZNF257	3.35288425194356
DUSP4	4.09756843362365
FLJ22167	4.81924404799311
EXOSC7	5.51078480851739
ROR2	3.88893402237168
FOXM1	5.14148851285576
ZBTB48	4.57597703245569
BUD31	7.05560383397988
MAOA	4.15801775628944
CCDC41	4.94460644464734
TNNT3	3.66594154852685
FBXO11	5.53281937393066
GYPC	6.83125398445499
PLIN	3.30570692140609
RFXAP	3.39175071874158
C6orf15	3.66522671169365
RNF4	7.82028980630233
F8A1	7.91037950170677
PPP1R3D	4.40749248829998
GRB2	7.76268130381905
TPM3	2.95351247847366
SYT13	3.88025948900698
EPB42	3.73465163910678
RP5-1077B9.4	4.95006512544042
EIF1	9.76933595312291
CETN3	7.26146598906041
FPGT	4.22659035007205
PRY	3.65210632419578
NTHL1	5.92231018544983
POLR2B	7.97110926460154
RPS28	11.7673028985182
GDF10	3.08609669284152
COQ9	7.40265286487141
P2RX3	3.03986150724415
GCC2	6.18983963673226
RARRES3	7.42335267112126
PLXNA1	6.50234210781334
WBP4	4.62736065819175
KIAA0100	5.88590095201315
PMF1	7.6495452062086
HS2ST1	5.64620073240553
