Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_F02_516302
Composite Element REF	Signal
AACS	6.82271309299879
FSTL1	7.59209587483586
ELMO2	5.54424991316117
CREB3L1	3.87247142338209
RPS11	9.83999587441171
PNMA1	7.91852271123871
MMP2	6.29548379540343
SAMD4A	3.65350660196000
SMARCD3	7.4223325007664
A4GNT	3.92714796828531
C9orf39	3.29871202908098
PKNOX2	4.7094461922187
RALYL	3.20924734359265
ZHX3	4.40094443408353
ERCC5	5.24093279559631
RXFP3	3.00638617906432
APBB2	3.4594226129722
BBOX1	3.91225015565322
PRO0478	3.08968532952706
GCSH	9.77294829059382
XDH	4.1665350273323
EDN1	4.08334752268409
MTERF	6.37831946614797
PDCL3	7.44519625074472
CLK4	5.46721173574298
KCNG1	4.39641572464867
CXCR4	9.68661069873604
DECR1	7.51992438264086
SALL1	3.47244307387383
PTPRR	3.54044024859793
CADM4	3.58690677241922
IRAK1	7.23159342561694
CFHR5	3.41297046457169
HNRPD	7.7137602943124
TMSB10	11.7791740917654
CXCL3	4.05916619390364
LMAN1	3.95466642325548
SUHW1	3.71894053717660
CHD8	8.89453988195529
SUMO1	8.27844080865808
GP1BA	3.26458462685545
OR7A10	4.23132769270313
DDB1	7.24867839339579
CHRNA10	3.51412505403934
STYK1	3.54489016752591
MYO9B	4.43445668810649
CCNI	10.598249048518
MMP7	7.14131340788925
EP300	6.01032167592368
CRNKL1	7.52487297466686
C9orf45	3.68319778172812
XAB2	4.86975676659891
RTN1	3.77307801969501
HIC2	3.82277998923584
TBX10	3.58816458650614
CENPQ	4.13243336317627
UTY	3.28250421593202
OR2W1	2.95741586988152
ATP5G2	10.8699025443476
ZEB1	3.39830987373526
ZG16	3.35895282352475
ERG	3.83505404415537
PARN	5.9901024919423
SOD2	4.57235073890122
JOSD3	7.63122924379548
ADAM5P	3.46293680377559
CHD9	6.29138361817062
hCG_40738	3.80548135547252
STK16	5.03314872746893
PDE1C	3.50234672149365
SEMA4D	5.46613086841026
AGPAT1	6.54697285977352
TOB2	6.53595248259919
BANK1	3.963006467047
MAP3K3	4.92576738625032
MAX	5.12763764973151
GRM2	4.01542815424802
OSBPL8	6.97289575888557
PROSC	5.99193282674342
NR4A2	4.26110352626603
RICS	5.23473324650761
PIR	3.58015768306097
PPCS	8.19231674720156
IPO9	5.59035792852467
LONP1	6.4869471877631
EVC	4.47150579135961
CXCL13	4.27098833558629
SCYL3	4.97737409048257
KIAA1199	6.20706989365662
SORL1	6.94559823713949
NAT10	7.18801029738867
CHD1	5.84288816591804
SYN3	3.76508240155068
DMC1	3.89565774213912
SLC22A2	3.79335564230652
SERPINF1	5.04291443508775
C20orf27	6.52007814027439
OR7A17	3.02107027943941
RPS6KA5	4.52471123957136
LHB	3.52983609879073
TAOK3	4.58666927844584
STK25	5.3248434864032
SLC12A4	3.75206800425161
BRCA1	3.56039266379984
GBL	5.63792351236826
C14orf108	7.22881149931005
CDC25B	5.90844429839774
BMP3	3.22092899147937
MAP1LC3C	3.43601976880266
TMEM180	3.39499275968120
CRYGC	4.31537984187591
SLK	4.53125639303024
POU3F1	3.46979084500147
C20orf32	4.14125727000839
USP52	5.53198938869538
HIGD1B	3.98322770225736
BAZ1B	5.50598159807217
USP6NL	5.13302067083248
SLCO2B1	4.05576467183505
ABCD4	4.41089809249731
DIMT1L	5.96889956683634
SLC25A46	6.46920209562943
LARP7	7.63994090437942
TEK	3.70083739305133
CD160	3.73429129777662
TERF2IP	8.36167730879684
PHF20	5.9809217483644
COL1A1	6.6658450721945
KIAA0090	5.01494739116263
GTPBP1	4.42880280860588
GRK5	3.91590763641239
AP1S2	4.37471608430724
RAB33B	4.60613486550183
CA11	5.49486498188821
ALDOC	6.15974386674673
NUDT1	5.0739535778196
ZNF212	5.16571622377611
ACBD3	7.25051051538051
ZNF83	7.03604110448245
PRDM2	4.77853718929188
GDPD5	3.89586202235989
PDCD4	5.81739221142334
CEP350	5.46364210788726
FOXP3	3.47228353458127
SMYD3	6.10220063863938
CST7	4.05649682004586
SELL	3.61009800671217
CIAO1	5.97969408946535
LGI2	3.91363751934523
WDR45	5.5394782122563
ANKRD6	6.3285114066927
LTBP4	6.0455728758074
PSCD3	3.29132094037383
PYY	3.33567275770705
KCNC1	3.6012735369592
SIRT6	3.90835404460311
CCL19	3.45684167558443
ARHGEF9	4.58878610712132
ABR	4.35390115559342
C10orf22	6.05846925599608
STK17A	4.30651566523372
FOXE1	3.47841957797743
GML	3.33097362059137
CNGA3	3.02214274691451
CD38	3.40707141001795
ZDHHC6	6.11299366235992
NEFH	3.63808541868078
PGBD5	3.59859504489444
CTDSP2	7.24354853236098
RMND5B	5.31160351214818
ZNF257	3.75479893474947
DUSP4	3.70370981806021
FLJ22167	6.17030637033268
EXOSC7	7.60543170300154
ROR2	3.38686238119265
FOXM1	4.69847619280426
ZBTB48	4.26595420837421
BUD31	7.9721992576755
MAOA	4.03853842716132
CCDC41	4.36767389397875
TNNT3	4.11056646394839
FBXO11	5.86681180233345
GYPC	8.05216254229138
PLIN	3.71098621045192
RFXAP	4.06451089230768
C6orf15	3.71621545364723
RNF4	7.88495422969709
F8A1	6.88087862982261
PPP1R3D	4.26232830161198
GRB2	6.18875257215305
TPM3	3.16435916282556
SYT13	4.14612798327422
EPB42	3.75239728759792
RP5-1077B9.4	4.75550355260318
EIF1	10.4361011262545
