Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_D04_452042
Composite Element REF	Signal
AACS	6.4587879472588
FSTL1	6.47476722200598
ELMO2	5.15317223919698
CREB3L1	4.12953143677949
RPS11	9.73821464485574
PNMA1	7.44455579975903
MMP2	4.95751107666164
SAMD4A	4.01734161951469
SMARCD3	8.59966454170177
A4GNT	3.7918606013421
C9orf39	3.36674975187592
PKNOX2	4.70401179060309
RALYL	2.95308542966359
ZHX3	4.33336939710382
ERCC5	6.08280118415082
RXFP3	3.34443800832968
APBB2	3.7124178457481
BBOX1	3.27670275464457
PRO0478	3.65201274888592
GCSH	7.84544468270324
XDH	3.83990978660341
EDN1	4.43805321859552
MTERF	5.68071663644777
PDCL3	6.48831371220647
CLK4	5.41106948115173
KCNG1	3.69870572639832
CXCR4	5.69553459306469
DECR1	6.26775867893936
SALL1	2.96909935842243
PTPRR	3.39295633605501
CADM4	3.63711094352926
IRAK1	9.18580264950673
CFHR5	3.49936892411226
HNRPD	6.94366243401148
TMSB10	11.5695823798721
CXCL3	4.38341571174001
LMAN1	3.61365481871229
SUHW1	3.14735850849707
CHD8	6.36584063248597
SUMO1	6.86540743956424
GP1BA	3.60862504595642
OR7A10	4.15915779074658
DDB1	7.45188595934163
CHRNA10	3.75476040775617
STYK1	3.50887230801106
MYO9B	4.30707681775978
CCNI	9.2244055226632
MMP7	7.04163258447867
EP300	5.7704945268258
CRNKL1	5.27376174240681
C9orf45	3.56910798891378
XAB2	4.17154119136825
RTN1	3.64091280877569
HIC2	3.86475838941095
TBX10	3.78763836985169
CENPQ	3.88904202946828
UTY	3.09238906873745
OR2W1	2.95645361885652
ATP5G2	10.1497356474896
ZEB1	3.33661647129174
ZG16	3.7129815828883
ERG	3.42021005277376
PARN	7.21493670858279
SOD2	4.74181021651101
JOSD3	7.90245047003212
ADAM5P	3.29757262111792
CHD9	6.45955356481755
hCG_40738	3.94648627874151
STK16	4.57947247151831
PDE1C	3.97574941636161
SEMA4D	5.38361768476667
AGPAT1	5.83228827527531
TOB2	6.26423354366392
BANK1	4.29893669925306
MAP3K3	5.6119437909625
MAX	5.01748707033101
GRM2	3.68483956147955
OSBPL8	5.74507684094631
PROSC	4.50108627409454
NR4A2	4.88719569574797
RICS	5.33665583036848
PIR	4.05319657102994
PPCS	8.70644542895606
IPO9	6.3411546125294
LONP1	6.30871078594282
EVC	4.87168935960423
CXCL13	4.27484163903357
SCYL3	4.85892177738408
KIAA1199	4.34874463070801
SORL1	8.12979411780475
NAT10	6.15408242955697
CHD1	5.6452941834296
SYN3	3.68789879297813
DMC1	4.20900528589537
SLC22A2	3.77369007498441
SERPINF1	4.63112753079052
C20orf27	5.43178705402663
OR7A17	3.23545347997527
RPS6KA5	4.17300120260744
