Hybridization REF	PSHAW_p_TCGA_Batch11_RNA_HT_HG-U133A_96-HTA_C11_433692
Composite Element REF	Signal
AACS	6.72145783309803
FSTL1	9.20638781578388
ELMO2	6.05576185898135
CREB3L1	4.43899751132690
RPS11	9.53914105795097
PNMA1	8.75010892561705
MMP2	8.58656998658941
SAMD4A	3.80475081969228
SMARCD3	5.97109119196304
A4GNT	3.51192634107729
C9orf39	3.13014098468911
PKNOX2	4.12855464874027
RALYL	3.98849764419212
ZHX3	4.29919446063092
ERCC5	5.08542691131467
RXFP3	2.73723589117442
APBB2	4.27542917045562
BBOX1	3.51408820344057
PRO0478	2.97507353972541
GCSH	7.64596005286417
XDH	3.53507492456501
EDN1	5.75790542887348
MTERF	6.01028837800198
PDCL3	7.09682017348172
CLK4	4.88274462631835
KCNG1	4.34193911916297
CXCR4	7.91753625149679
DECR1	8.21569606653315
SALL1	3.29418615667585
PTPRR	3.25771614157388
CADM4	3.56753963874975
IRAK1	8.85132824050477
CFHR5	3.07273516303931
HNRPD	7.95336220865656
TMSB10	12.1953172329261
CXCL3	3.55674657828122
LMAN1	4.44191822572653
SUHW1	3.8589135275747
CHD8	6.0153948038215
SUMO1	7.85979409440226
GP1BA	3.22288273425284
OR7A10	3.86286140307495
DDB1	7.49670069351942
CHRNA10	3.56449922531586
STYK1	3.26029332374107
MYO9B	4.47186693856933
CCNI	9.87837624017123
MMP7	11.4423203966587
EP300	6.48113018072351
CRNKL1	6.16184937297298
C9orf45	3.14577032672441
XAB2	4.33201277533351
RTN1	3.32506989013625
HIC2	4.06956268990602
TBX10	3.59588039240428
CENPQ	3.94125863653757
UTY	3.16414997570504
OR2W1	2.82522540541580
ATP5G2	9.96324447799092
ZEB1	4.40485077404101
ZG16	3.30727753389574
ERG	4.17842338199691
PARN	7.29150278279419
SOD2	5.79670754391181
JOSD3	6.41509236070135
ADAM5P	3.10537448570614
CHD9	5.70124151654249
hCG_40738	4.14672325915114
STK16	4.85657085499439
PDE1C	3.59001177885444
SEMA4D	5.81743251736294
AGPAT1	6.21720914610631
TOB2	6.25797662709743
BANK1	3.33469542429708
MAP3K3	5.59542538544405
MAX	5.41612668411147
GRM2	3.80573452548879
OSBPL8	7.78880653444179
PROSC	5.62770085670115
NR4A2	4.55310297632477
RICS	5.05074145102365
PIR	6.92001240815991
PPCS	9.86596919774758
IPO9	6.24989611331951
LONP1	7.14805432131561
EVC	4.14160778412344
CXCL13	4.7531530787205
SCYL3	4.8697220375127
KIAA1199	5.13045634584857
SORL1	7.91038920094232
NAT10	7.42564759696056
CHD1	6.2142156449152
SYN3	3.33732408980880
DMC1	3.9256955022548
SLC22A2	3.65156602098674
SERPINF1	9.41203780018952
C20orf27	5.7926033512023
OR7A17	2.94258448240399
RPS6KA5	4.26550359630429
LHB	3.20493108060437
TAOK3	5.59930903901686
STK25	5.46301790509587
SLC12A4	3.74884124004202
BRCA1	4.95212748532791
GBL	5.65820211051828
C14orf108	7.84857604697465
CDC25B	7.72086734724733
BMP3	3.06410609513977
MAP1LC3C	4.9471206419607
TMEM180	3.52638425546587
CRYGC	3.50585019106714
SLK	6.58604741786814
POU3F1	3.16264778762013
C20orf32	3.78179241951636
USP52	4.59971198083723
HIGD1B	3.87430882118064
BAZ1B	6.62055611881559
USP6NL	7.87057091939503
SLCO2B1	4.49436964344856
ABCD4	4.61323619019264
DIMT1L	5.93875832864714
SLC25A46	6.54225079842869
LARP7	6.80151240447444
TEK	3.65903567421553
CD160	3.59583919958302
TERF2IP	7.21533036247014
PHF20	6.13049892296526
COL1A1	9.01214625125924
KIAA0090	6.69380043368834
GTPBP1	4.19881879637462
GRK5	4.32777848606606
AP1S2	6.92351129216766
RAB33B	4.40439799809968
CA11	6.17777277977894
ALDOC	5.75483093787166
NUDT1	5.11578283790522
ZNF212	5.40074904108138
ACBD3	7.76281925710518
ZNF83	5.91103176727204
PRDM2	4.60314931977618
GDPD5	5.42945233278324
PDCD4	6.18566232886432
CEP350	6.2748413547321
FOXP3	3.26366850981295
SMYD3	7.32619369410593
CST7	4.37907754683456
SELL	4.85849822621215
CIAO1	5.80385323668958
LGI2	3.9038112528504
WDR45	6.33872903896244
ANKRD6	6.07244781768274
LTBP4	4.29810718908202
PSCD3	3.34122656602653
PYY	3.79623957616499
