Hybridization REF	AGARS_p_TCGA_B12_RNA_ReDo_HT_HG-U133A_96-HTA_B01_443100
Composite Element REF	Signal
RPS21	10.1185301959218
XCR1	3.22375883956774
ARID5A	4.86520040596426
RBM6	5.82400224397573
UBE2N	7.55680901198197
KLF4	4.67113188442413
MGC4172	4.03674661176879
LMO4	7.43681179188279
KLKB1	3.28981332346614
HDAC3	6.53508275802795
HP	6.84727235282561
SCHIP1	5.03341107035582
BTK	5.29527848844024
KRCC1	8.34349370601342
PRND	3.06445925039179
C6orf27	3.73559310471018
PIGL	3.49043728272702
CLCA1	3.53466265823182
C1orf112	4.44787563076316
OLFML2A	4.36301569404278
HUS1	5.25063975376651
SFRS6	6.79218509867913
CXCR7	6.78235629325336
UIMC1	6.08733026688523
FXYD2	3.61216039638922
GOT2	8.44445924628612
ZNF667	4.33385361538027
TFEC	6.45339498609215
ATP7B	3.55728804811642
RAB38	4.78128266323959
POLD2	7.00009991845999
PPM1H	4.58628180681995
DCX	3.24792302378424
NFYC	6.75378669908509
ZNF228	3.79372117430043
KIN	6.53755505652917
PLSCR4	5.3390207147853
HIST1H4I	4.07175464974807
PPARGC1A	2.85687494817014
HIG2	8.56485724692444
KCNK10	4.05011335506528
EXOC1	8.05527531824671
OR6A2	3.742127351491
ETFA	8.36868882132151
PDAP1	5.12192978998358
C19orf6	3.31361586947272
POLRMT	4.16785911971376
ZNF146	7.94163556570606
MIA2	3.28765137367439
LY6G6E	3.09261231039898
EIF4E2	8.06257124273336
NENF	5.42328059524185
HOXB5	5.98998049092676
ZNF324	4.06746899152399
CUGBP1	5.11034168188013
ENTPD7	3.82358425140249
TTC13	6.70227638160279
GJB5	3.16276900964476
PRSS22	4.34201971730321
CYP3A5	3.21656011653797
MBOAT5	4.33318975282996
CUL4B	5.31145814040325
CENPJ	3.39964783245855
KIAA0664	6.28509173472095
PITX1	3.53521639510077
PDGFRB	4.52389164651229
RDX	5.73438371747369
CELSR3	4.05973739556460
JUND	6.68336486041897
ITSN1	5.16107235803516
CHRNB1	3.63755332517375
EHBP1L1	3.84664368588415
C19orf2	7.26340417846902
FETUB	3.12439365732643
CAMK2B	2.96680941026308
DCTN1	5.94325151020284
TNKS2	6.92903260861571
MRTO4	7.07171079407994
C1QBP	6.28647019733688
TTC3	7.95510089958074
NDUFB8	8.83032225617343
CADPS2	5.83989470149199
EDG2	4.49055431040374
MYF5	3.00367454134977
SEMA3G	3.80432238555242
IL23A	4.1613974850623
GJA9	3.69954290713059
R3HDM2	7.00538383370513
C5	3.85950957339465
SLC2A10	6.4849661840989
TRIM45	5.83813288660152
TSP50	4.58037175213278
PAQR3	5.96484865988397
ANKRD26	3.48458605387238
TCP1	9.28285385011486
TMED7	6.92483623843185
CMA1	3.08746478364132
PTCRA	4.28430788842985
HCRTR1	3.56725111422487
FST	5.38125921946744
PAWR	4.61361368069006
LDLR	4.32993344317030
ASTN2	3.77966235360584
SCRN1	7.00274481011146
GPATCH8	6.24122368349249
KIF4A	5.97269544077778
TANC2	3.45900979297602
ZMYM5	3.75491012725924
PGM1	8.14055099362847
ZNF586	5.97825082370766
POLR3G	3.85624741262023
CPD	5.947214925030
SNCAIP	4.79327466503487
DCT	3.39755387032043
HLA-DOA	4.18215502369182
TANK	6.58548408713124
RCAN1	4.46700259478943
UPK1B	6.13894701785545
DNAJB4	4.40307068243842
UGT1A8	3.12011793384963
LIMD2	3.88916256438452
HIST1H4L	3.43643820230939
PECR	4.63636651631569
HSPA2	8.06333533424284
SERP1	9.2949070398299
TACR2	3.24058900952464
NUP85	6.47123784902801
CD177	3.39445615261055
GPR135	3.24023524062544
PIGG	7.21792634960606
LGR5	5.98753812806938
JAK2	4.67355795943318
DPYSL4	3.61183114328699
TM9SF4	5.66889947975327
PTHR1	3.46912817446051
SIRPG	4.46679093467780
ZNF264	4.87710670161632
BICD1	5.99570488137076
RAB5A	7.25640883263722
FLJ13224	3.19436731572191
METTL5	9.45089030395361
HERC6	7.08593579863108
CASP1	7.28239660825677
USP9Y	2.81145270127664
LRP1B	2.84376495820307
XAF1	6.98176454323408
PLA2G4C	4.97447113303717
APOA2	3.19626532422458
SPAG6	3.25437788169698
KALRN	3.22246430829348
SECTM1	6.39981130754821
THOC7	9.55931838592083
IFNAR1	5.58762909090646
TCTA	5.95498388687372
NY-REN-7	3.20621892301882
TALDO1	10.0233770457299
B2M	12.3135012853515
LPPR4	3.39799431136343
SQLE	6.56956140472626
SEPHS1	6.8642570971939
EIF5A	6.7034803400154
FAM49A	6.3053698805471
YTHDC2	4.16554342167864
EHD2	4.41406426522758
NCF1	6.33950847710916
SPG7	5.69899169154104
ZNF614	3.73033019583781
HOXA5	3.29156123731296
NUP133	8.04081009729794
FGF12	3.71532619903056
SLMO2	8.23519415552397
INPP5B	4.78937354491935
PPID	7.88084696929032
SNTA1	4.40520003548402
IL20RA	3.36727382951371
UBE2J1	6.75155723665087
CACNG2	3.00572750490821
GCM1	3.10283881755481
ELF1	6.57611697121299
TLR5	5.00519603060187
TCFL5	7.26988044522642
C1orf107	6.6736094993399
C19orf22	6.91258010540302
SAFB2	6.08956993047396
MAP3K7IP1	3.66439357155421
NCK2	7.68454146738846
OXA1L	7.80798807236147
KIAA0652	5.94103614031841
KLRG1	3.56925218874072
FRAG1	6.5885195288445
ZSCAN12	3.03051155820595
PSMD12	7.26169251793464
E2F4	5.08208941608481
CLEC4M	3.38199675310802
KIAA0999	4.82566252435698
CLDN10	3.86160785204775
MGC13053	4.0180512331541
TAC1	3.08952451178865
GYPA	3.41119480834333
HPCAL4	3.49411446191607
TRAIP	4.03402413813059
MEX3D	4.64082633593288
KIAA0232	7.3973411729617
ERCC8	4.88427990830265
NFAT5	4.57013782054989
GPX4	9.51943133619256
CSPG4LYP1	3.2234518875936
KIAA0368	6.19999817187545
FBXO3	5.31454950151822
DVL1	6.10228106729182
CMKLR1	4.09447706064554
GPR157	3.24320624092755
TYMS	7.88946719981557
OR52A1	2.92557182442949
PEF1	6.65487690362124
ZNF750	3.42786728658507
ALG9	5.82200670114499
MCM5	5.94165830905329
SDK2	3.39792526473488
BAIAP3	3.77918892341131
RABGGTB	7.18123007091714
KCNK7	3.19311427779718
PTP4A3	6.82159961257154
ANKRD40	4.43403004142808
CALCOCO2	7.27878533308559
TMSL8	5.3390523944362
SNCA	4.36720609685764
ZNF551	4.00906743590651
HBQ1	3.48863868602791
ARHGAP26	4.0921361058032
GEMIN6	6.29764776079596
HRAS	5.83749512261939
KLRC4	2.67999244634799
BSDC1	5.59766784685955
DSC1	3.50078208105376
RNF43	4.53862422698303
NDUFAF1	6.19005839863834
MAP2K4	4.9974151082169
FOLR2	4.80643378380336
LYZL6	3.48025573263417
EPB41L3	5.89672245475052
TEKT2	4.15591374739739
CDKN2B	3.64064675586998
WSB1	6.23003201992934
ZNF480	3.53333282195576
MAP3K6	3.8349121261515
PROS1	4.88529141189992
PSMB8	9.26426218333996
HN1	7.43263186417189
MAS1	3.22993670393040
APOL1	6.49109415514759
CSHL1	3.16611541407538
ZBTB7C	2.95679346130639
AHCTF1	6.96931010240865
SAE2	9.25508117134389
ITGA2	3.93155765890167
AP2S1	8.69347504661304
P15RS	7.29893907578847
MME	3.48061420336678
VAT1	7.64773145931627
MAST4	6.09552386809799
TUFM	8.83127573306471
KRT33B	3.49415475673785
THEG	4.12532028829006
KCTD2	5.08774106211729
WDR26	9.17595973094702
MFI2	3.20605045775867
KRT34	3.05341916499399
NR4A3	3.53406286330995
SGSM3	4.29425684467322
ARSA	4.09386014976943
TOMM22	5.4919991136762
SOCS3	3.58069147375274
UNKL	3.77600735318330
POP4	8.10304347479783
BHLHB3	9.25650040010877
MALL	4.25243647097783
SOX15	4.5331399438145
CCNA2	6.39896361728963
PARK2	3.2327915454973
GPR124	3.50358738730848
TMEM132A	4.62359653828211
CGRRF1	6.16242467559741
RUVBL2	7.79618431307565
MCAT	4.89676771673063
WNT10B	3.71351751654298
ISCA1	7.50155088627408
RPAP1	4.85316313849269
C12orf48	4.83890008133357
RAI16	5.04622127291749
RPL27	9.67654864631593
EPN1	3.57811028743706
MAGI1	3.06550685776836
GBX2	3.29785930624389
SLC35A1	7.18873808650711
GAL	4.06718469920525
SLC14A2	3.57899510503051
RDH11	8.08539368153676
ZNF518	4.17495904555898
PCYT1B	3.28363876917179
AUH	7.10503952165441
EIF3H	11.1241126325353
KIF1B	6.5059895911075
MBD2	4.90349593255789
AMOTL2	8.38496630307937
C6orf120	6.48995511672058
PIGT	8.18767933528886
PSRC1	6.46408838948737
PLA2G10	4.25028150081418
ALAS1	8.00238772195229
FOXO1	6.98108607755766
C17orf62	7.89203987451989
KIF5C	4.69372090140231
DUSP10	5.00397351359852
CRLF3	7.85183099514978
CLCNKB	3.33351598991297
PSMA5	10.3618098113269
FARS2	6.03564887636196
CCDC28A	6.99536761338195
AMPD3	4.95064710840887
PIAS1	6.55657586560568
ADCYAP1R1	3.48833602508461
TMEM134	6.59612069834672
CDH20	3.07151637304875
FBXO7	7.71232096404142
FLJ14213	4.25215938766709
ZNF3	5.8138990824182
LRRFIP1	7.43715098840678
TMEM49	8.52562702092373
CNOT2	7.33298196004833
CBX2	3.00608428125691
ZC3H14	6.87352869176382
ALDH5A1	5.57644571043893
HNT	3.3121071417445
SERPINA4	3.01783143803984
FLJ20920	5.80939241066121
CRTAP	5.78637832126368
DDX50	8.09314688537357
STYXL1	7.56296345735255
TK2	5.07822346563171
BLVRB	7.14616481639648
STMN1	7.51410614715036
GUCA2A	3.23834030020085
DPP6	2.97833427770211
GALNT10	5.11592996346249
STK39	5.65356214311433
MMP24	4.35216536384198
CKS2	9.67796905582146
RHO	3.81634561952527
BANF1	8.20945842283966
CR1	3.20463084139866
RPS6KA2	4.84666405611876
HMBS	5.93964144337112
C20orf112	4.27120154605405
SLC25A24	8.7561810469427
MRPL22	7.71249310039569
SLC25A15	5.52802861720867
GADD45B	5.36934280926169
TDP1	6.33870959181073
ZNF287	3.42414924165684
DAAM2	5.9747506656185
C11orf57	5.30129118363838
RFK	7.02764011984059
ZFYVE9	3.92928387666147
TCTN3	6.62110200898487
STCH	7.80140632538244
LOC283871	3.66704449732216
NDUFB3	8.32471509736644
DEFB4	3.54994561362065
FPR1	4.83717632740287
FMNL1	4.19723214392523
SEPT7	9.771993330813
PTCD2	4.47939420045009
GNLY	6.44809361386222
GRAMD1C	4.44286328249194
ZNF165	5.75523621535346
TR2IT1	4.99761004239267
ARMCX3	8.01438422663944
NDE1	6.28582253614477
MAGEF1	6.74312396011035
ITGA10	3.62485412090136
ARHGDIB	9.04006091009875
FSHB	3.64677094967193
ANXA2	11.2243529683976
HLCS	4.57112385544327
MCF2L	4.28799483271419
AK1	5.81031460464999
FH	6.47466276835314
LGALS2	4.27367752370836
SYNPO2L	2.80183681007485
KIAA1045	3.34839183091862
C1orf183	4.25737733934795
MAGEA8	2.98837663431245
DGCR8	4.2678392442753
GSR	4.62698585715282
NEU2	3.40222022074116
HIST1H4B	3.36246371374883
CACNA1C	3.14241591847301
FAM20B	6.6725755458227
HES2	3.14100212700415
PDCD6	8.6425635120411
INTS7	5.9089837792157
AMPH	3.81307041135789
UCKL1	6.15977234834685
ASB4	3.02751880573982
C10orf97	5.20907194135994
ALDH1L1	3.93189981014381
CCL23	3.51188629835777
OBSL1	4.89801749473963
SLC12A7	7.6781984357992
THAP4	5.97526224324364
RBM4B	5.23270592531388
OGFRL1	5.52943103076376
KIAA0831	6.24743689930487
C12orf11	7.91277213778154
PPP1R15A	4.97425405096813
KIAA0240	6.4896946212659
CD1B	3.35482737590883
FCGR2A	7.77963360153643
MDC1	4.92733427326714
MAN1A1	4.93172671609977
KRT9	3.42863019164692
HTR1A	3.28809653048792
OCEL1	6.87692700030995
ATP11B	5.62072233466149
NLGN4X	3.94228361064153
FBXO34	7.32374597518994
ALOX12	3.47003956288627
RB1CC1	8.37718775505064
PCDH12	4.49356841718662
RPE	5.23252266640907
EIF4E	7.16965668355713
CSDC2	3.56862033835269
ABHD5	5.7256148504522
TMBIM1	7.61231216959328
PET112L	5.32041151174724
P2RXL1	3.23975482043702
F2RL2	3.13013658454407
TRMT1	7.2132887749234
IMPG2	3.48630241991440
LRRC32	4.73908537329273
BGLAP	3.58251345405107
HTR4	3.41766313246005
MRAS	6.01690194945234
TRAF6	5.20061398761449
AXL	4.80530156105687
ATP2C2	3.36240699239573
LMNB1	5.69785045943541
TELO2	4.59566633621948
PNPLA3	3.7675547751153
CSNK1E	6.45539808913547
SRP14	10.2174155136126
KCNQ4	3.29300835542617
PIK3C2B	6.20762312785226
C15orf15	8.09880219896989
TUBB2B	3.13615348513217
USP15	5.95808448712535
C12orf41	7.05409369836257
CEND1	3.62190330261064
RNF31	5.34302559402441
TCEAL2	4.48340385171981
PTGER2	4.37917857653805
UBN1	6.68664286168619
SLC5A7	3.31293570431950
SLC31A1	7.20960031499582
ADAM29	3.63076936842685
ST7L	4.05154220058355
GFOD1	7.02730838004105
CTNNA1	8.78375912027582
HRBL	3.61555723801880
CBX4	3.57785855137617
NTRK2	3.49291364828240
FOXN3	5.72825591801559
MFGE8	5.28640533148719
PFKFB2	3.89268853332876
TAS2R4	3.23710286074655
SH3TC2	3.37368786851218
IL10	3.79033517157947
PXMP4	5.87991832491814
RNF167	5.86021214938575
PRMT5	7.40237403571369
TSKU	5.78284957701994
ATPIF1	8.23542981398644
ETV3	3.05469075593762
PAK7	3.17097333245298
PDLIM1	8.83201412129376
CEP63	5.7926962797429
WDFY3	4.82018081312996
RNF126	4.83167633214297
DPM1	9.3970012360224
CLIC4	7.32257075408332
ACR	3.65802718731359
KLK7	6.72030824950248
ALOX5AP	9.10698250898538
LRP1	4.81711989724445
TNK1	4.34862902129143
TAS2R9	3.06330949246757
ZNF16	6.34686185379117
POLR1B	4.79570567389724
SLC8A2	3.84615490528381
OLFM4	2.83998405685829
TACC1	5.04448200502769
SAMHD1	7.0008545006667
ATP13A2	4.82648118368209
KRT4	3.45016035752297
PAX6	3.68484159421417
SCG2	3.53152995663902
SLC17A6	3.32476576777357
TUBB4	4.52308080296928
PADI4	3.10348359768677
FMO3	3.40786768518967
NLK	4.24591082998174
POU4F3	3.14207978333587
MDM2	3.38860687129015
CAPNS1	8.79442736899975
SDF4	7.07837821801341
ITGBL1	3.31159686056734
TAP2	4.8858486466686
OR2C1	3.17205555373267
KLHDC3	6.9286208390414
EFHD2	6.15524410933236
GALR3	3.52247090440527
NBEA	3.35434853303979
ABCA6	3.14845547982845
ABBA-1	3.87339172909592
GNAI1	4.66468533382578
CLDN3	7.87826097579626
AKT2	3.33469787902529
EGFR	4.43135808658056
VPS4B	7.75245343694682
RBM16	8.09861862289736
GALNT6	5.89273262524051
ZDHHC3	5.38895023644044
SLC25A4	5.90667677093206
CYB5B	5.80699774358763
NDRG1	9.27432354879756
SESN1	4.92087000701502
GBE1	8.07349176704791
MRPL46	5.73778774650056
CLASP1	5.86623971122723
FARP2	4.05675776272899
ACOT11	3.73240532569407
LDHAL6B	2.8203931425368
MAPKAPK3	6.72302426594662
NCAM2	3.16566026085541
AFAP1	4.34603320495082
PRKD2	6.08493876186594
OR2H2	3.31716291863598
ZFP36L1	7.99183778922206
DZIP1	4.35330300043302
GPR161	4.54926599528705
RNF146	5.335589214697
NKX3-1	3.93707653057535
CCNB2	7.94783095825689
ZNF10	3.94892486562736
WDR74	5.02153206340815
FAM134A	8.15301478774253
PCNP	8.72343128505103
PURA	5.2739872023917
DNPEP	7.40968498436243
ERBB2	4.94330275910292
CREB1	5.64573032580672
NEO1	6.07631229057938
DDX3Y	3.2696727458628
RPS3A	12.8733796186799
MXRA7	9.22009664191803
LGALS3	10.7369211875623
GLT8D1	7.46124236594543
TMPRSS3	8.20141592025768
UPB1	3.26056540385582
LAT	4.64442172297575
CLDN14	3.60232632395684
DHX38	4.45941923583329
KCNA3	3.72382788017184
BTBD1	7.20291550463056
TARS2	5.42792277024863
SKIV2L2	7.39073916770198
ABCF1	7.72898918065429
CDT1	3.28392993139577
ZHX2	6.15886558773968
FCF1	5.20930833513112
LRRC49	4.57767441636554
GUCY1B2	3.42262430825036
CD28	3.50784132800815
SMARCA4	5.33069549275236
SEPT2	9.09042566798902
SOHLH2	3.32453354812649
MCOLN3	3.21208191371632
LRP8	5.5644074672494
TAGLN3	3.44836588887624
MASP2	3.49524631810964
GPATCH3	4.28002040771923
TTRAP	8.93094095065248
AGL	7.38841939147993
NFE2L3	6.13910445030558
PSD4	3.73007681563377
PALMD	4.17504115500545
CCNB1IP1	6.76218269694782
TMEM43	6.53110406022955
OBFC1	6.60762854141019
STAT5B	4.40687723428182
C14orf79	4.45308659838317
ENPEP	3.95958909254067
SSB	8.62061842403794
SCT	3.00437924830765
TIMM23	7.12968345490872
SKI	4.01031723624519
SLC22A13	3.11684618462460
AKAP3	3.95684183914577
OAS2	6.03217221125839
KIAA0423	6.18372623513922
SEC61G	10.0954156961518
CAPN11	2.93196714893393
TMEM50B	8.40585118421692
DEGS1	7.99689305797721
ARHGEF4	3.51645388379589
DBNDD1	4.92057220411904
TBL1XR1	5.42342256333048
FAIM	7.09468258531054
SP140	3.8258568755222
