Hybridization REF	CELLS_p_TCGA_B13__RNA_HT_HG-U133A_96-HTA_B09_452006
Composite Element REF	Signal
AACS	7.14952370885527
FSTL1	7.86858860114214
ELMO2	5.42354002591165
CREB3L1	3.67022044552567
RPS11	10.3594962288403
PNMA1	9.32956862216926
MMP2	3.82457239187615
SAMD4A	4.09558632082614
SMARCD3	6.36197361581436
A4GNT	3.83123474874472
C9orf39	3.30828583497905
PKNOX2	5.23470781477395
RALYL	3.25925895108629
ZHX3	4.44839034069154
ERCC5	6.98170297272513
RXFP3	3.14725586245296
APBB2	3.78295872850358
BBOX1	6.81572707050386
PRO0478	3.00272146473988
GCSH	9.9530310624668
XDH	3.70915587497435
EDN1	3.87822579587355
MTERF	6.718678042128
PDCL3	7.07414636377111
CLK4	5.90771129265193
KCNG1	4.05881372178401
CXCR4	9.17653354405053
DECR1	7.23193570068432
SALL1	3.84433922852993
PTPRR	3.46218146917712
CADM4	3.53151603577679
IRAK1	6.85366325562695
CFHR5	3.33495001191332
HNRPD	7.88998765165682
TMSB10	11.5718094558705
CXCL3	3.90146612145623
LMAN1	3.81213185699614
SUHW1	3.63476054220148
CHD8	6.54882461241843
SUMO1	8.33197014685378
GP1BA	3.63716103753903
OR7A10	3.72669027374295
DDB1	7.7843178322754
CHRNA10	3.94536846065742
STYK1	3.17537609485080
MYO9B	4.45468397352636
CCNI	10.2543551008545
MMP7	5.15639081192076
EP300	6.88496456702502
CRNKL1	6.94071523389125
C9orf45	3.31899963103250
XAB2	4.43677596197519
RTN1	3.57151495610511
HIC2	4.27271748150611
TBX10	3.58638169122329
CENPQ	4.08417613354303
UTY	3.20074956947878
OR2W1	2.98664332857132
ATP5G2	10.6852144990629
ZEB1	2.99975851614907
ZG16	3.49128735358864
ERG	3.51594329254653
PARN	5.88734502166387
SOD2	3.96575689926071
JOSD3	9.17157142610795
ADAM5P	3.46850758423766
CHD9	6.53945123334486
hCG_40738	3.88813946201364
STK16	5.74723457364003
PDE1C	3.73487869267975
SEMA4D	5.06154341934239
AGPAT1	6.5485371413789
TOB2	6.99220847796825
BANK1	3.4410831446814
MAP3K3	4.96630125167598
MAX	5.57553393812831
GRM2	3.84039780574342
OSBPL8	6.91373985867045
PROSC	5.9870049419359
NR4A2	4.76861686098848
RICS	5.55733713507476
PIR	3.73268230867507
PPCS	8.62619440203542
IPO9	6.35453968572696
LONP1	7.28700269211142
EVC	4.73805060296832
CXCL13	4.18326479067786
SCYL3	5.30628883427343
KIAA1199	4.80375264975243
SORL1	8.4120216431664
NAT10	7.22847963845681
CHD1	6.25360846874484
SYN3	3.72388723508268
DMC1	3.82330387007123
SLC22A2	3.75280600491204
SERPINF1	4.35474991098499
C20orf27	6.277800313373
OR7A17	3.21445119743073
RPS6KA5	4.96587585907763
LHB	3.52756935359354
TAOK3	4.45285743179001
STK25	6.7678914511984
SLC12A4	3.85084953152476
BRCA1	3.84937398303144
GBL	5.31529884735272
C14orf108	8.95315667246378
CDC25B	6.59900545301851
BMP3	3.21950001875491
MAP1LC3C	3.42854751729136
TMEM180	4.27355374744221
CRYGC	4.55016127616717
SLK	6.60418094034088
POU3F1	3.24147552553654
C20orf32	3.93526857136438
USP52	6.21189690699382
HIGD1B	3.94521814399794
BAZ1B	6.05228296285187
USP6NL	6.90401226803637
SLCO2B1	3.90895007329867
ABCD4	5.1888572869758
DIMT1L	5.60606831594401
SLC25A46	6.5592401872088
LARP7	7.07417985361935
TEK	3.70619119184574
CD160	3.68071041348156
TERF2IP	7.43428130984602
PHF20	6.35451681868851
COL1A1	5.52189476537649
KIAA0090	5.33444133733849
GTPBP1	4.39126876654582
GRK5	3.48568106883164
AP1S2	5.32862726996103
RAB33B	5.35717503651704
CA11	4.32051067453637
ALDOC	7.39321394360077
NUDT1	5.86141911011722
ZNF212	5.73418822318923
ACBD3	7.16773602806629
ZNF83	6.99946004542769
PRDM2	4.52926849503159
GDPD5	6.10316692768704
PDCD4	6.47497387934342
CEP350	5.98560354324811
FOXP3	3.45954681114489
