Hybridization REF	DURUM_p_TCGA_B22_23_Expr_HT_HG-U133A_96-HTA_A06_543624
Composite Element REF	Signal
AACS	7.43746127702228
FSTL1	8.63391504654175
ELMO2	6.47796968203344
CREB3L1	4.3993410385327
RPS11	9.97646920430548
PNMA1	8.73412980754087
MMP2	8.5102190768069
SAMD4A	4.21309858172953
SMARCD3	7.68698976992465
A4GNT	3.86516207363875
C9orf39	3.20417573751677
PKNOX2	4.30736273251072
RALYL	5.62084648070685
ZHX3	5.26692776504197
ERCC5	6.0151075498654
RXFP3	3.09257182621682
APBB2	4.59727342813106
BBOX1	6.24995381953893
PRO0478	3.04387169783608
GCSH	9.10815671599133
XDH	3.82575160118145
EDN1	4.08563502578352
MTERF	7.02568857694968
PDCL3	7.35833033072654
CLK4	5.59027659652892
KCNG1	3.61189236349451
CXCR4	8.25600434010421
DECR1	7.88587833623389
SALL1	3.32559628905193
PTPRR	3.51495935977434
CADM4	3.3223447830659
IRAK1	8.29876487935007
CFHR5	3.14075115077593
HNRPD	7.58622762351083
TMSB10	11.934362706480
CXCL3	3.94953918972049
LMAN1	4.45906108916003
SUHW1	3.25988417372594
CHD8	6.28566494914982
SUMO1	8.03154405354733
GP1BA	3.37594794299607
OR7A10	3.80366358357404
DDB1	7.69772057223491
CHRNA10	3.68794501909433
STYK1	3.48201628957833
MYO9B	4.17674155200947
CCNI	9.87990327857472
MMP7	10.3549922440001
EP300	6.49486949749877
CRNKL1	7.58951285735392
C9orf45	3.12374852856890
XAB2	4.0820647204288
RTN1	3.32087283625989
HIC2	4.37886951444355
TBX10	3.39167088523045
CENPQ	4.06134861213483
UTY	3.23738985336591
OR2W1	2.89560283112022
ATP5G2	10.5687945016262
ZEB1	3.82949174124852
ZG16	3.51450699238779
ERG	3.82047154067962
PARN	7.60584593454321
SOD2	4.87872936710782
JOSD3	7.73069992252694
ADAM5P	3.18239420184666
CHD9	6.5050531358524
hCG_40738	3.67196751221772
STK16	5.95424566301569
PDE1C	3.57903067986347
SEMA4D	5.45577206838202
AGPAT1	7.1494900624776
TOB2	6.59002628910569
BANK1	4.52100921118218
MAP3K3	5.90424229357505
MAX	5.36424341701667
GRM2	3.67277762733614
OSBPL8	7.65355219397027
PROSC	6.54927046132102
NR4A2	5.57965211931958
RICS	5.23597111288281
PIR	3.89894341953823
PPCS	8.34526933357082
IPO9	6.59343489321515
LONP1	6.84840603348307
EVC	4.54400411207337
CXCL13	4.11787895252268
SCYL3	5.67189583500162
KIAA1199	5.71278190745388
SORL1	9.84193446764733
NAT10	7.16231356769213
CHD1	6.21541820507632
SYN3	3.53846390783933
DMC1	3.99501784099594
SLC22A2	3.44857207779515
SERPINF1	9.0968497639768
C20orf27	6.88502090881667
OR7A17	3.02853978670333
RPS6KA5	4.28307153340918
LHB	3.31272511200585
TAOK3	4.65219102924243
STK25	6.26608335788211
SLC12A4	3.5665513825308
BRCA1	3.69986862272017
GBL	6.6594057262596
C14orf108	8.6419154710716
CDC25B	7.21211858558617
BMP3	3.15221798696027
MAP1LC3C	3.34306396512937
TMEM180	3.95071135334053
CRYGC	3.67002438282812
SLK	6.40111010661652
POU3F1	3.19650937865494
C20orf32	3.68139971201293
USP52	5.85968842442879
HIGD1B	3.74206483493656
BAZ1B	7.18187638722274
USP6NL	5.55794392230445
SLCO2B1	4.1387819139843
ABCD4	4.72634062040154
DIMT1L	5.7051999561158
SLC25A46	7.23926680955755
LARP7	6.5267153311044
TEK	3.50748774515193
CD160	3.70424941755677
TERF2IP	8.1497733187647
PHF20	6.4977663369179
COL1A1	9.3067352303343
KIAA0090	5.69920250023564
GTPBP1	4.84840354999147
GRK5	3.58455782612111
AP1S2	5.20752766019876
RAB33B	4.51282881656741
CA11	5.04395778029946
ALDOC	5.89360927428138
NUDT1	6.02646822761211
ZNF212	5.88824752860901
ACBD3	7.65190285855111
ZNF83	6.50164539418202
PRDM2	4.78965313628823
GDPD5	4.77219404061299
PDCD4	6.28250053958671
CEP350	6.44867906764416
FOXP3	3.41590265651681
SMYD3	7.77340646698182
CST7	4.75293112847060
SELL	3.62748011530188
CIAO1	6.79306237583186
LGI2	3.83946312363646
WDR45	6.95311367847661
ANKRD6	7.29111532121801
LTBP4	4.51836669300237
PSCD3	3.48057550070626
PYY	3.12042331124171
KCNC1	3.30450158899976
SIRT6	4.11874879568028
CCL19	4.20800835979747
ARHGEF9	4.34267546139706
ABR	4.17261337385218
C10orf22	7.23307734839369
STK17A	5.32624431260923
FOXE1	3.23551673345969
GML	3.31597416938229
CNGA3	3.12134158552092
CD38	3.2887327535438
ZDHHC6	7.6804042747805
NEFH	3.50797727043404
PGBD5	3.56146824000891
CTDSP2	7.02420056555427
RMND5B	6.13735001324977
ZNF257	3.68372197978590
DUSP4	4.5919477789469
FLJ22167	7.02454587090305
EXOSC7	6.43957284483216
ROR2	3.64268336937206
FOXM1	4.72761700631706
ZBTB48	4.57225913185753
BUD31	7.68008400971723
MAOA	3.97731670001962
CCDC41	4.12485349840048
TNNT3	3.62259591534748
FBXO11	5.89606581158506
GYPC	5.25961526925386
PLIN	3.46969484804914
RFXAP	3.29506334023923
C6orf15	3.79662299220730
RNF4	7.95870810885681
F8A1	7.92290292655596
PPP1R3D	4.67235865162807
GRB2	7.58176547249498
TPM3	3.07048360406226
SYT13	3.58885871857904
EPB42	3.4508159418262
RP5-1077B9.4	4.94914935539052
EIF1	10.4038218512942
CETN3	7.05371678724881
FPGT	4.96181423361837
PRY	3.44984938886021
NTHL1	6.20440621803516
POLR2B	8.40939741076415
RPS28	12.1501950768690
GDF10	3.18560728557523
COQ9	8.07770598343934
P2RX3	2.99460523525357
GCC2	7.39604943061553
RARRES3	6.52422305542311
PLXNA1	5.78578828575635
WBP4	4.52688448107055
KIAA0100	6.63119848636149
PMF1	7.38032299757107
HS2ST1	5.81775268023832
CRELD2	6.47673606984126
C8G	3.19432868674695
CD82	5.95494281041294
PMM1	5.07669834852858
CBLL1	4.70746635310764
LIM2	3.21513006725281
VAX2	4.35634705252957
SETDB1	5.60559356697248
LRAP	4.69172520529425
GCLM	6.12812163723487
CPEB3	3.84563150646942
PPM1A	5.88998737324161
INTS1	4.44817895743955
MMP16	3.29234986072136
CAMTA1	3.65479716257868
SAMSN1	4.0868069729251
DRD3	2.90791818133304
GMPPA	5.73445959230717
C11orf73	5.94556421502498
AIPL1	3.50222870376948
PTP4A2	9.05176886610962
IL24	3.19858981928262
BDKRB1	3.35806534441227
HPCA	3.50150982563939
MLF1	5.51186096955772
SEC14L1	7.00664932487885
CHFR	5.34260235947194
EMILIN1	3.92655144965151
THADA	6.69246098462238
TAF12	5.55706807128179
NDUFS4	8.2523076822279
ID1	5.91104173650506
PIK3CB	3.3338714906783
COL18A1	8.60554654690829
PDZD3	3.20246658511984
TBC1D17	4.97915581485719
COX8A	10.0902116196335
CDCA4	6.03985113486508
C2orf44	4.42178273118326
C9orf16	8.36809197009542
ERBB2IP	7.6788442444095
EMX2	10.1343319947521
FUS	6.33963012011113
NIPSNAP3B	3.63671046066697
TF	3.13467855571195
CXorf56	5.29003277251494
CLCN4	3.41842167121129
PWP2	6.38352276623928
