Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_F11_491288
Composite Element REF	Signal
AACS	7.53019186914225
FSTL1	6.81060536592848
ELMO2	5.24188483873244
CREB3L1	4.12127264825628
RPS11	10.3517551798700
PNMA1	8.28641492053563
MMP2	6.42480803838801
SAMD4A	3.73023637570499
SMARCD3	4.28465002646147
A4GNT	3.66418933540941
C9orf39	3.49317796192563
PKNOX2	5.54072425371716
RALYL	3.480474548435
ZHX3	4.51303623981608
ERCC5	6.64437881229189
RXFP3	3.1261087570277
APBB2	3.47672012703048
BBOX1	3.39251094760813
PRO0478	3.15243835026646
GCSH	8.31645956475478
XDH	3.59772057940466
EDN1	7.14756315763268
MTERF	6.51669949485975
PDCL3	7.73461722140456
CLK4	5.66749328035891
KCNG1	4.60524788851156
CXCR4	8.87896205623655
DECR1	7.03888684714241
SALL1	4.65487406360501
PTPRR	3.53514708576629
CADM4	3.28069587886684
IRAK1	7.69277032141813
CFHR5	3.24530230045263
HNRPD	7.75227242403096
TMSB10	11.4357384146232
CXCL3	4.89495400182007
LMAN1	5.10514889317031
SUHW1	3.55618303280977
CHD8	6.16808935251146
SUMO1	7.64915221829092
GP1BA	3.61292967349560
OR7A10	3.50120317022011
DDB1	7.94046585948656
CHRNA10	3.75053536308412
STYK1	3.19461574896376
MYO9B	4.44434473863493
CCNI	10.7759020939326
MMP7	9.84794661030744
EP300	6.6694336558537
CRNKL1	6.98688345967506
C9orf45	3.31192884787535
XAB2	4.71862955055525
RTN1	4.93849991133442
HIC2	3.91765688735704
TBX10	3.61040749122064
CENPQ	5.21270135018158
UTY	3.20117538726607
OR2W1	2.99631245482308
ATP5G2	10.0424347304323
ZEB1	3.53788286808575
ZG16	3.59062599464876
ERG	3.96686299674348
PARN	6.2851493204634
SOD2	5.54157085308131
JOSD3	8.05872637462916
ADAM5P	3.29055987652130
CHD9	5.46732307444884
hCG_40738	3.90859675492756
STK16	5.18475036579961
PDE1C	4.11460497529895
SEMA4D	5.13636285923082
AGPAT1	6.37782003434151
TOB2	6.19489298782214
BANK1	4.92808277777978
MAP3K3	5.40653291992754
MAX	5.56497432013091
GRM2	3.89682904906642
OSBPL8	7.29549374469147
PROSC	6.3281354032745
NR4A2	4.79404892336707
RICS	5.30512727929019
PIR	4.54837462729315
PPCS	8.883592314424
