Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_H03_297978
Composite Element REF	Signal
AACS	6.38004827657866
FSTL1	8.65224279098944
ELMO2	5.08508095993983
CREB3L1	3.94918088805924
RPS11	9.63156686623538
PNMA1	8.04393325733018
MMP2	7.39794536560667
SAMD4A	4.03843192545601
SMARCD3	8.66934033260036
A4GNT	3.09498180007049
C9orf39	3.09565730118566
PKNOX2	5.03424047256553
RALYL	3.55728220431965
ZHX3	4.34576784474324
ERCC5	6.08714231091792
RXFP3	3.28331052314643
APBB2	3.54469364083862
BBOX1	6.12618581532007
PRO0478	2.91934591324454
GCSH	7.65128714273845
XDH	3.77424224135324
EDN1	5.22976614589703
MTERF	4.90428897426551
PDCL3	6.97412369849852
CLK4	5.10194153817062
KCNG1	4.02255034651218
CXCR4	6.90878684491887
DECR1	7.94044049848166
SALL1	4.08054919066335
PTPRR	3.87003551017114
CADM4	3.38083186621662
IRAK1	8.19002101094533
CFHR5	3.13967765288053
HNRPD	8.05989661835784
TMSB10	11.4741599483963
CXCL3	4.07635486477482
LMAN1	4.05461110733785
SUHW1	3.48594720194974
CHD8	5.35382673620308
SUMO1	6.88213972284575
GP1BA	3.03893706893693
OR7A10	3.35672302824487
DDB1	7.46749075049698
CHRNA10	3.73808772281575
STYK1	3.80095113287366
MYO9B	3.91832698384151
CCNI	10.7236569868712
MMP7	10.6885580956422
EP300	6.23699049933079
CRNKL1	5.40877390041251
C9orf45	3.26128089473578
XAB2	4.5012884668209
RTN1	7.90919140128973
HIC2	3.93803643879683
TBX10	3.35487309977976
CENPQ	3.86185193049672
UTY	3.09637962145600
OR2W1	2.97166168680623
ATP5G2	10.6383206754016
ZEB1	4.26059799259724
ZG16	3.41817483269913
ERG	4.7006907380544
PARN	6.72481150283302
SOD2	6.71899695901586
JOSD3	6.63100981901694
ADAM5P	3.07602582003118
CHD9	5.84897702753147
hCG_40738	3.34507789632566
STK16	5.19428765172233
PDE1C	3.37824312012200
SEMA4D	5.68558046396962
AGPAT1	6.29031055276443
TOB2	6.38053425533287
BANK1	4.63472620463308
MAP3K3	5.63753143594555
MAX	5.23328833499136
GRM2	3.88644613628208
OSBPL8	6.57901076267025
PROSC	6.25340533872497
NR4A2	6.73209919556996
RICS	5.81661671282132
PIR	4.43631021928103
PPCS	8.6321392338415
IPO9	5.78035593632292
LONP1	6.38929325726969
EVC	4.1227275374007
CXCL13	3.81127845198590
SCYL3	5.60693265622874
KIAA1199	4.63544291492432
SORL1	9.27872848513402
NAT10	6.28533039006348
CHD1	5.84865235550486
SYN3	3.42778840406289
DMC1	3.83074497336750
SLC22A2	3.36357788959373
SERPINF1	9.20969430714666
C20orf27	5.87776865957942
OR7A17	3.13825461096086
RPS6KA5	4.98413453351704
LHB	3.41274710901947
TAOK3	4.74958365461506
STK25	5.1457910020295
SLC12A4	3.65895507348393
BRCA1	3.71962810628520
GBL	5.25049576932547
C14orf108	7.15678626539593
CDC25B	5.53776487872214
BMP3	3.12242659717394
MAP1LC3C	3.37997968727573
TMEM180	3.21201940607301
CRYGC	3.55130835031647
SLK	5.97874789731761
POU3F1	3.29352272691827
C20orf32	3.70509520387688
USP52	5.12513169812621
HIGD1B	4.00412134731885
BAZ1B	5.73210457954893
USP6NL	4.91273267365157
SLCO2B1	4.50076081066336
ABCD4	4.42279482276795
DIMT1L	6.47207277187218
SLC25A46	6.53203934400404
LARP7	6.6046452966171
TEK	4.02236984506819
CD160	4.18555995271594
TERF2IP	8.2626716774914
PHF20	5.43719328709952
COL1A1	4.81577455539473
KIAA0090	5.29938272034337
GTPBP1	4.84903670194001
GRK5	4.36186414722973
AP1S2	4.83421274471053
RAB33B	4.36556100378214
CA11	5.18057162852747
ALDOC	4.68388492962646
NUDT1	4.40989082130008
ZNF212	5.06561811724993
ACBD3	6.5522763721783
ZNF83	5.39691202685435
PRDM2	4.51574266226832
GDPD5	4.14388265152086
PDCD4	6.07061986449898
CEP350	5.45355461835547
FOXP3	3.2462308758782
SMYD3	6.25783912651944
CST7	5.02825935457724
SELL	6.16274504259982
CIAO1	5.4043775971007
LGI2	3.92703834459709
WDR45	6.70202140867979
ANKRD6	6.44474459115139
LTBP4	4.63002632835324
PSCD3	3.21156291424427
PYY	3.2237136256961
KCNC1	3.08812035305317
SIRT6	4.28659061446419
CCL19	4.96767306276353
ARHGEF9	4.54283633881631
ABR	4.85613454693768
C10orf22	6.60998498945007
STK17A	4.38018954176613
FOXE1	3.79909502352772
GML	3.05425387647722
CNGA3	2.96965237499012
CD38	4.72554703781942
ZDHHC6	6.8064712503113
NEFH	3.30730950133939
PGBD5	4.99683023378545
CTDSP2	7.09192505431582
RMND5B	5.50499060309074
ZNF257	2.90390804143616
DUSP4	5.5646062108757
FLJ22167	8.685661301676
EXOSC7	6.27966696922912
ROR2	4.47201152093441
FOXM1	3.86242784494081
ZBTB48	4.33967931805477
BUD31	6.72622959501639
MAOA	6.36231441407643
