Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_A12_547372
Composite Element REF	Signal
AACS	6.79504292444499
FSTL1	7.32063806117287
ELMO2	5.40150792953574
CREB3L1	3.66332356104308
RPS11	9.77360345922705
PNMA1	8.6622723175774
MMP2	7.36450620242748
SAMD4A	4.04986267142855
SMARCD3	6.46669660464851
A4GNT	3.69881496986649
C9orf39	3.44765484044901
PKNOX2	4.50546316726786
RALYL	3.21968508693922
ZHX3	4.13674976143886
ERCC5	5.61187402021226
RXFP3	2.93649982962155
APBB2	3.41584993150233
BBOX1	6.65068507684331
PRO0478	2.94583869078539
GCSH	8.12015401288805
XDH	3.62565846128224
EDN1	3.85998750252952
MTERF	6.60602696102201
PDCL3	7.42057309121731
CLK4	5.35639743009458
KCNG1	4.32290930052796
CXCR4	9.08069003312565
DECR1	8.40375321301262
SALL1	4.23840226095045
PTPRR	3.68666957455486
CADM4	3.38088483002729
IRAK1	9.1910794015345
CFHR5	3.33666795111357
HNRPD	7.97100687923546
TMSB10	11.8926021982041
CXCL3	4.01537778800074
LMAN1	3.82486650785444
SUHW1	4.03535572610086
CHD8	6.39185676332289
SUMO1	8.20011315208705
GP1BA	3.46083843851055
OR7A10	3.62681735425314
DDB1	7.69435140396953
CHRNA10	3.77248614281592
STYK1	3.86164883436949
MYO9B	4.61969956876472
CCNI	9.63264404294824
MMP7	9.51283653069105
EP300	5.9486916978097
CRNKL1	6.62016320954359
C9orf45	3.19447417882046
XAB2	3.8875939877945
RTN1	3.3980457352497
HIC2	3.88684751851692
TBX10	3.58554414343701
CENPQ	3.98678296876026
UTY	3.13494625309354
OR2W1	2.87936000981532
ATP5G2	10.5587449859217
ZEB1	3.37642258609374
ZG16	3.36144493154216
ERG	3.53626761349701
PARN	6.69847969012744
SOD2	5.73713178862706
JOSD3	8.01512933416011
ADAM5P	3.30767610337471
CHD9	5.843306355042
hCG_40738	3.961973955431
STK16	5.45539570599241
PDE1C	3.75582084940868
SEMA4D	5.7327697604911
AGPAT1	6.09531765831932
TOB2	6.06912766855125
BANK1	4.77573766120402
MAP3K3	5.51142090114372
MAX	5.49661427196491
GRM2	3.63860162928553
OSBPL8	6.28883974889458
PROSC	5.53432449528173
NR4A2	5.55543039905528
RICS	5.56005686290857
PIR	5.87390581168061
PPCS	9.01587609826117
IPO9	6.8975039943431
LONP1	7.40371018242456
EVC	3.91658109676817
CXCL13	4.21802098378112
SCYL3	5.03045834801273
KIAA1199	8.55378196157722
SORL1	8.22718052263844
NAT10	7.25147720965231
CHD1	6.76111484725973
SYN3	3.77735987371878
DMC1	3.91826191748237
SLC22A2	3.58005690661267
SERPINF1	6.32304321208333
