Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_H04_491212
Composite Element REF	Signal
AACS	6.82198529877502
FSTL1	5.13071477432655
ELMO2	5.3655134815357
CREB3L1	3.84567064834269
RPS11	10.6453228825060
PNMA1	7.33104540004538
MMP2	4.00175332916595
SAMD4A	3.85193009577194
SMARCD3	5.67314028888699
A4GNT	3.9216169692018
C9orf39	3.60364071895043
PKNOX2	4.81785922280498
RALYL	3.49887671208361
ZHX3	4.27829531808238
ERCC5	5.89545352544306
RXFP3	3.01397397237606
APBB2	3.59830482701746
BBOX1	6.79635029405005
PRO0478	3.53712903901147
GCSH	7.97663736243793
XDH	3.89064242836128
EDN1	3.58061822005622
MTERF	6.89868708753413
PDCL3	6.68584359760274
CLK4	6.71382562234723
KCNG1	3.66502866754016
CXCR4	5.74249365639429
DECR1	7.50813895751253
SALL1	3.25233381630088
PTPRR	3.5116234602698
CADM4	3.60322007979967
IRAK1	10.2818397764783
CFHR5	3.28639334508701
HNRPD	7.59549550092158
TMSB10	11.5472087400425
CXCL3	4.15776263132813
LMAN1	4.09691617956293
SUHW1	3.60648846446042
CHD8	5.04360707887917
SUMO1	7.74023574688325
GP1BA	3.45053720702131
OR7A10	3.93178144130557
DDB1	7.57393478243077
CHRNA10	3.93244519101988
STYK1	3.69101557651231
MYO9B	4.5995863431669
CCNI	9.95028632264655
MMP7	8.92079478987738
EP300	6.3877534901542
CRNKL1	5.95171994400159
C9orf45	3.25683537811045
XAB2	4.60524551437049
RTN1	3.87528824195194
HIC2	4.43882357237265
TBX10	3.53161871384986
CENPQ	4.57658606503593
UTY	3.15105231810044
OR2W1	3.07181715813491
ATP5G2	10.6448410802117
ZEB1	3.27851099623311
ZG16	3.65639300159481
ERG	4.06853081696478
PARN	7.23664256121313
SOD2	5.56103698665131
JOSD3	8.6239477809361
ADAM5P	3.28354678868701
CHD9	6.33834263067686
hCG_40738	3.60433841968048
STK16	4.49927925546916
PDE1C	3.8934050451501
SEMA4D	5.14158658106317
AGPAT1	6.80724111419185
TOB2	6.27048924859528
BANK1	3.41277901907269
MAP3K3	5.95215744182978
MAX	5.04660197878645
GRM2	3.91694111871927
OSBPL8	7.09551421021826
PROSC	6.00214698092411
NR4A2	5.98586416770979
RICS	5.99967749648571
PIR	4.36845250842248
PPCS	9.13446627350203
IPO9	6.6798742533839
LONP1	6.31678049351287
EVC	4.60480283836931
CXCL13	5.03391209504758
SCYL3	5.60864399453658
KIAA1199	5.15330060045717
SORL1	9.33457868351127
NAT10	6.49146144249844
CHD1	6.75768003814303
SYN3	3.72217016313035
DMC1	4.12407886169474
SLC22A2	4.0194101955893
SERPINF1	4.40724857095454
C20orf27	6.40182519769076
OR7A17	2.96718315428852
RPS6KA5	4.90015731089433
LHB	3.67779425540306
TAOK3	4.78984842010948
STK25	4.47880182988788
SLC12A4	3.70830794042246
BRCA1	3.63536430679864
GBL	5.75716199421692
C14orf108	8.21137368172747
CDC25B	6.72562857900216
BMP3	3.42206797517497
MAP1LC3C	3.76903917551277
TMEM180	3.34201306880547
CRYGC	3.95739762488814
SLK	5.127561456094
POU3F1	3.45781219698638
C20orf32	3.78780473919158
USP52	5.75930245210212
HIGD1B	3.89289545721991
BAZ1B	6.98616841607636
USP6NL	4.58728938297822
SLCO2B1	5.42066007836661
ABCD4	4.45256124537836
DIMT1L	6.76425456692338
SLC25A46	7.56616009538356
LARP7	6.19929746287167
TEK	3.48543871849309
CD160	3.64690133186353
TERF2IP	6.93358305803091
PHF20	6.21154375446729
COL1A1	4.87292864453981
KIAA0090	5.3517867158905
GTPBP1	5.1897906331363
GRK5	3.85511417493261
AP1S2	4.81793131994994
RAB33B	4.52111815252495
CA11	4.93713186162114
ALDOC	4.95018022343027
NUDT1	5.36103952032357
ZNF212	5.94180765409532
ACBD3	7.7681042449077
ZNF83	7.7956964601202
PRDM2	4.71556312187375
GDPD5	4.38703822715358
PDCD4	5.52552905303772
CEP350	6.17086013105674
FOXP3	3.38177726174103
SMYD3	5.4118993609486
CST7	3.899492733481
SELL	4.13473275708574
CIAO1	6.49693433490707
LGI2	3.92187842809603
WDR45	6.25829026922603
ANKRD6	7.9375095111919
LTBP4	3.56339890697306
PSCD3	3.47368221852417
PYY	3.3505282440948
KCNC1	3.34002528714519
SIRT6	4.18313649289229
CCL19	4.49570830155087
ARHGEF9	3.95183526569377
ABR	4.31227876514447
C10orf22	6.85081777723373
STK17A	4.4072082382762
FOXE1	3.87857091500894
GML	3.15760552590202
CNGA3	3.1910483676672
CD38	4.47024602948511
ZDHHC6	6.6219290063943
NEFH	3.46199070087235
PGBD5	3.93735235631701
CTDSP2	7.17479374613662
RMND5B	5.34341468125462
ZNF257	3.47961647714721
DUSP4	3.62573637395869
FLJ22167	6.25693123631426
EXOSC7	5.45961121988419
ROR2	3.70911316395751
FOXM1	5.56475516342601
ZBTB48	4.81424888375121
BUD31	7.10337169848465
MAOA	3.79782872194951
CCDC41	4.50453922036991
TNNT3	3.87878277295528
FBXO11	5.49009961201706
GYPC	7.14027185050817
PLIN	3.86755155278866
RFXAP	3.39813369978023
C6orf15	3.80309082763031
RNF4	8.95236960850582
F8A1	9.0649053821227
PPP1R3D	4.86778011421578
GRB2	7.17420506544906
TPM3	3.25868075256724
SYT13	3.85866572682833
EPB42	3.75730770015580
RP5-1077B9.4	5.22612947729256
EIF1	10.2729637435802
CETN3	7.06578655139263
FPGT	6.04210136449337
PRY	3.37907384404087
NTHL1	5.47596158945685
POLR2B	8.4270373338463
RPS28	12.2612807512426
GDF10	3.20677278160892
COQ9	7.8137041898541
P2RX3	2.91974497440137
GCC2	7.36480553511148
RARRES3	8.39930570023562
PLXNA1	6.18833182561692
WBP4	4.12824595252922
KIAA0100	6.0703198124671
PMF1	6.18709060283896
HS2ST1	6.13741834291879
CRELD2	7.97777348932787
C8G	3.08698380016128
CD82	5.81652501945724
PMM1	4.82980817504891
CBLL1	5.01278529655983
LIM2	3.31321741519681
VAX2	3.43082463226281
SETDB1	5.43411011093811
LRAP	6.82356578775691
GCLM	7.67116093814216
CPEB3	3.47122296188372
PPM1A	5.31090853333524
INTS1	4.35313443848652
MMP16	3.38960298280544
CAMTA1	3.41047334894089
SAMSN1	5.4559526272777
DRD3	2.99490902671739
GMPPA	5.28172009394069
C11orf73	5.50052304712734
AIPL1	3.95066650676453
PTP4A2	8.98804822684449
IL24	3.47592177252533
BDKRB1	3.44290971568845
HPCA	3.62753956184592
MLF1	6.66177429291622
SEC14L1	6.09664728209845
CHFR	5.81771911574873
EMILIN1	3.1592127743641
THADA	6.66011713999322
TAF12	4.67035618225792
NDUFS4	8.51128829939305
ID1	3.87126907070192
PIK3CB	4.42595588879619
COL18A1	7.15443694997882
PDZD3	3.12980417764712
TBC1D17	5.26983865098564
COX8A	10.4063651439364
CDCA4	5.6753345922902
C2orf44	5.41069602175747
C9orf16	8.51007477126253
ERBB2IP	8.1205096912519
EMX2	8.14167154733143
FUS	5.3339480381137
NIPSNAP3B	3.57594507421565
TF	3.59621990389927
CXorf56	4.94552706660309
CLCN4	3.65757817516598
PWP2	5.2820161698718
MMP15	4.20410930332932
MTMR14	5.4568595938072
NPR1	8.00539788368432
DNAL4	6.47411859597326
ELAC2	4.64742076648058
ASS1	10.3441655804558
IPP	5.89408372229321
TMEM59	10.1787004069056
POLR2J	8.61887118002583
SEC23IP	5.24125220160993
RGS4	3.95379814334959
UQCRC1	8.67143751320103
SNX6	7.3480309728264
DDX18	7.00109098928652
POLG	4.33910637060811
ADAM23	4.12043849931054
ZNHIT2	4.4960184440264
TFR2	3.70707144966169
NCDN	4.5682606977166
RAG1	3.33326551739044
POMT1	4.54899542185992
CYP1A1	3.47063976119532
SNAPC1	5.00069464265104
GNA11	5.4362356102317
CCDC52	3.06525439675339
CAPN1	7.12692987003422
DDHD2	6.61331500145913
UPF3A	5.95648171317126
LAGE3	7.39316090666153
