Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_D07_298082
Composite Element REF	Signal
AACS	6.54264035861311
FSTL1	10.3576172390990
ELMO2	5.1961249667241
CREB3L1	4.63201694360954
RPS11	9.94924190270693
PNMA1	8.03245676045722
MMP2	9.62441675242623
SAMD4A	4.33913478546405
SMARCD3	5.96431733334991
A4GNT	3.58010936646421
C9orf39	3.94722964226631
PKNOX2	3.8590364164043
RALYL	3.26567083987468
ZHX3	4.67891504011557
ERCC5	6.1485042009639
RXFP3	2.98120160214791
APBB2	5.17126950838689
BBOX1	3.61453450943311
PRO0478	2.83879854306536
GCSH	8.24524672942519
XDH	3.47196117914792
EDN1	7.71234961987167
MTERF	6.95026567307505
PDCL3	8.01018643035557
CLK4	6.91911728302806
KCNG1	3.61025901003289
CXCR4	8.0400801463326
DECR1	8.39130561351554
SALL1	3.12601262537157
PTPRR	3.29137209465443
CADM4	3.18277168312976
IRAK1	8.73045977162406
CFHR5	3.18891099941113
HNRPD	7.54478583605556
TMSB10	12.4793436221680
CXCL3	3.90769350819046
LMAN1	3.86236153235134
SUHW1	3.20612425690892
CHD8	6.88794328605629
SUMO1	7.45544550032128
GP1BA	3.29486526339979
OR7A10	3.4652542548844
DDB1	7.42943356008214
CHRNA10	3.64559192232890
STYK1	3.52482707386605
MYO9B	4.79098169830762
CCNI	10.3009684655133
MMP7	9.76999720147767
EP300	5.81615418291068
CRNKL1	5.22879931824002
C9orf45	3.20123178448315
XAB2	4.71449477597618
RTN1	4.77760026938237
HIC2	3.98634447571877
TBX10	3.40662880169746
CENPQ	3.86452207549435
UTY	3.02128500618771
OR2W1	2.82888335471357
ATP5G2	9.88437317141438
ZEB1	4.51159426648578
ZG16	3.64323934189443
ERG	4.53908270770244
PARN	7.12364545167682
SOD2	6.78236689252926
JOSD3	7.20223803681295
ADAM5P	3.11401759015081
CHD9	6.10055342883869
hCG_40738	3.74022143593441
STK16	4.54761331907334
PDE1C	3.6250715845572
SEMA4D	6.59133321255448
AGPAT1	6.52182038104644
TOB2	5.9417946720763
BANK1	4.82285514656938
MAP3K3	6.10357067775577
MAX	5.81727187246327
GRM2	3.37274220271951
OSBPL8	7.85060320289576
PROSC	5.85920527664857
NR4A2	4.4025295257217
RICS	4.58338203201687
PIR	5.15903641892912
PPCS	8.33175930864068
IPO9	6.02442750913323
LONP1	8.1507812413885
EVC	4.50613466911279
CXCL13	8.94700601327926
SCYL3	5.29133710194969
KIAA1199	6.58361387055086
SORL1	6.99247655619411
NAT10	6.12224078855769
CHD1	6.78409862802914
SYN3	3.51000714193972
DMC1	3.94626253448869
SLC22A2	3.38897125078120
SERPINF1	9.866990599119
C20orf27	5.02316923063378
OR7A17	3.12981690953455
RPS6KA5	4.67667937768322
LHB	3.52609072495726
TAOK3	5.45392957793975
STK25	5.89876494201209
SLC12A4	3.67873799061631
BRCA1	3.72152928009968
GBL	5.16507673726488
C14orf108	8.31554389022842
CDC25B	7.32115685615859
BMP3	3.11765039306354
MAP1LC3C	3.50645504847943
TMEM180	3.79450272891834
CRYGC	3.50900198980594
SLK	5.60654189216524
POU3F1	3.36065569389954
C20orf32	3.89216497783481
USP52	6.36356104696527
HIGD1B	4.22995298141610
BAZ1B	7.46077970781513
USP6NL	5.04220742864586
SLCO2B1	4.7813244910478
ABCD4	4.55070029153217
DIMT1L	6.53499409498646
SLC25A46	8.35251050716477
LARP7	6.875167104797
TEK	3.75692101802619
CD160	3.37516355189565
TERF2IP	8.41788997644502
PHF20	5.88807562179493
COL1A1	9.0616894250956
KIAA0090	6.28006573224334
GTPBP1	4.80136882579093
GRK5	4.15804889231945
AP1S2	6.88980602071985
RAB33B	4.25276546536944
CA11	4.52354712060772
ALDOC	4.35965989410604
NUDT1	5.14445395916635
ZNF212	5.49878725626637
ACBD3	7.69852430674892
ZNF83	5.31387268198065
PRDM2	5.57054401190821
GDPD5	4.99768368499422
PDCD4	5.33765211533306
CEP350	6.16306825691331
FOXP3	3.19221439060238
SMYD3	6.83515719589938
CST7	6.89234575612668
SELL	6.0354589311836
CIAO1	6.63602968336129
