Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_E08_491256
Composite Element REF	Signal
AACS	6.80134267418312
FSTL1	9.70144935273606
ELMO2	5.54637969296473
CREB3L1	4.9248869680486
RPS11	10.3051644446073
PNMA1	7.15488237240813
MMP2	9.56924546591799
SAMD4A	3.99164380331301
SMARCD3	9.04023737201957
A4GNT	3.76218097311968
C9orf39	3.06516661675327
PKNOX2	4.10915585882401
RALYL	3.28510782508626
ZHX3	4.31952645747644
ERCC5	6.71572974058692
RXFP3	3.02919099510441
APBB2	4.44266399499143
BBOX1	8.10325979060266
PRO0478	3.00370644839833
GCSH	6.84211627814614
XDH	4.02197642268146
EDN1	4.42516005926424
MTERF	6.34465187760881
PDCL3	6.73023139943916
CLK4	6.69803959669822
KCNG1	4.14267610840251
CXCR4	8.52004324040832
DECR1	7.36724289688419
SALL1	3.19675399203412
PTPRR	3.42848451804082
CADM4	3.34812163492142
IRAK1	10.3681923063276
CFHR5	3.22775723594934
HNRPD	7.23210893092402
TMSB10	12.2761753911267
CXCL3	4.14140727802079
LMAN1	3.57492249839054
SUHW1	3.41184972123448
CHD8	6.05349374203647
SUMO1	7.17144345858232
GP1BA	3.40642678084858
OR7A10	3.68953406171331
DDB1	7.63808950754695
CHRNA10	3.61556206472846
STYK1	3.26665102093535
MYO9B	4.77581219564878
CCNI	10.6439307044933
MMP7	10.2598367743328
EP300	6.90279002720837
CRNKL1	5.70388023970572
C9orf45	3.10454084876484
XAB2	4.62297744212838
RTN1	4.84221921398489
HIC2	4.24916366568653
TBX10	3.39087099539387
CENPQ	4.49708251974473
UTY	3.14968433235941
OR2W1	2.86725790424774
ATP5G2	10.1703910373643
ZEB1	4.07233741082161
ZG16	3.57552701369954
ERG	3.95501085652727
PARN	6.99551452010335
SOD2	6.23299335485085
JOSD3	8.0090879443749
ADAM5P	3.17984198438218
CHD9	6.03020355175774
hCG_40738	3.83262514863942
STK16	5.26314395462308
PDE1C	3.70947574660366
SEMA4D	5.4857225824435
AGPAT1	6.28892407253366
TOB2	6.69569143592399
BANK1	5.44796577814390
MAP3K3	5.61166491281901
MAX	5.11805328005562
GRM2	3.71589770125796
OSBPL8	7.52400563297653
PROSC	5.79768972300339
NR4A2	4.55318830649026
RICS	5.76068756718017
PIR	4.176443149386
PPCS	9.34603631699413
IPO9	6.2872620306192
LONP1	6.85760832582912
EVC	4.79054895613497
CXCL13	4.63439851665948
SCYL3	5.77633402979404
KIAA1199	7.23011838545012
SORL1	9.90754288151155
NAT10	7.15471228454763
CHD1	5.95565771098191
SYN3	3.54811576640827
DMC1	4.06654483658499
SLC22A2	3.84330031603423
SERPINF1	9.6442362076202
C20orf27	6.12199632529528
OR7A17	3.19987090444635
RPS6KA5	4.69712336476569
LHB	3.1663237034049
TAOK3	5.337656470357
STK25	5.82442147516071
SLC12A4	3.68211880152469
BRCA1	3.62021490246839
GBL	5.38625892322723
C14orf108	8.61060213840001
CDC25B	8.52979440586233
BMP3	3.11265855410172
MAP1LC3C	3.42510139508273
TMEM180	4.03448061954063
CRYGC	3.64766965543671
SLK	6.29731247047735
POU3F1	3.12747691422893
C20orf32	3.8132024551935
USP52	5.88857019349472
HIGD1B	3.86563464197404
BAZ1B	6.69035068179084
