Hybridization REF	DITTY_p_TCGA_B_24_AMplate1_2_HT_HG-U133A_96-HTA_C12_547268
Composite Element REF	Signal
AACS	6.71827145672024
FSTL1	8.48289877801398
ELMO2	5.77530383850989
CREB3L1	4.40189978528448
RPS11	9.83995561747115
PNMA1	8.52246216404367
MMP2	7.6103996056541
SAMD4A	3.89505601042259
SMARCD3	6.70280003415124
A4GNT	3.78433480798007
C9orf39	3.17175007300015
PKNOX2	4.38356468935887
RALYL	3.35128286571176
ZHX3	4.51677690837834
ERCC5	6.8278085409044
RXFP3	2.91096774303286
APBB2	3.88197128616289
BBOX1	3.87827360667623
PRO0478	3.00173220083818
GCSH	7.78979092206627
XDH	3.69550018517381
EDN1	4.59403614616692
MTERF	6.92327615680646
PDCL3	7.34404038998015
CLK4	6.16839622142052
KCNG1	3.50955370206670
CXCR4	8.31732607424384
DECR1	8.6651964536948
SALL1	3.27548486977394
PTPRR	3.66658799028448
CADM4	3.34758906556180
IRAK1	8.63854020636964
CFHR5	3.31549856112499
HNRPD	7.82736015038191
TMSB10	11.7174650543863
CXCL3	4.0567946348536
LMAN1	3.69126781534880
SUHW1	3.57423433323003
CHD8	6.90738499540322
SUMO1	7.81173314159651
GP1BA	3.26294158954426
OR7A10	3.77655511966486
DDB1	7.70509372695307
CHRNA10	3.64361688014676
STYK1	3.71413250917305
MYO9B	4.77408254719323
CCNI	10.0425853545022
MMP7	9.88873033780536
EP300	6.81827799933613
CRNKL1	7.89119305690498
C9orf45	3.14567021052973
XAB2	5.03252755269172
RTN1	3.97985149530678
HIC2	3.85659402987236
TBX10	3.48278309678686
CENPQ	4.10134256078255
UTY	3.12965421585091
OR2W1	2.85389355199826
ATP5G2	10.8384273291109
ZEB1	3.82520754516514
ZG16	3.52697340517373
ERG	3.82103558953502
PARN	6.80721221853779
SOD2	5.80955530905945
JOSD3	8.29440395997499
ADAM5P	3.22619225873773
CHD9	7.12067452666293
hCG_40738	3.95037586004158
STK16	5.14675479523979
PDE1C	3.57000807466144
SEMA4D	5.14697133478695
AGPAT1	7.47230250171492
TOB2	6.63912074731611
BANK1	4.93572259428320
MAP3K3	6.14566305910711
MAX	5.73874077278957
GRM2	3.81656495902975
OSBPL8	7.56010620569424
PROSC	5.64906722496104
NR4A2	4.6640550794313
RICS	6.3555531385228
PIR	5.6795534411108
PPCS	9.86738932289383
IPO9	6.45319513827575
LONP1	7.8970447075855
EVC	4.25679104513553
CXCL13	5.09774410756039
SCYL3	5.69640312046246
KIAA1199	6.58574125725302
SORL1	9.20721365961497
NAT10	7.5523397032901
CHD1	6.2794810782537
SYN3	3.65667329480109
DMC1	3.78925592125513
SLC22A2	3.70843056292387
SERPINF1	7.97426893263667
C20orf27	5.59791637757169
OR7A17	3.28326091942547
RPS6KA5	4.75375355083687
LHB	3.52433797231345
TAOK3	5.60595023659254
STK25	5.76466358348191
SLC12A4	3.65431217658958
BRCA1	3.53786107158057
GBL	5.22300474616185
C14orf108	8.52631762521993
CDC25B	6.11669883524069
BMP3	3.27859067980557
MAP1LC3C	3.29664025579008
TMEM180	4.46198183602497
CRYGC	4.09332084156615
SLK	6.21380181543399
POU3F1	3.24782468225714
C20orf32	3.72355471197187
USP52	5.09409702060926
HIGD1B	3.72007356636849
BAZ1B	6.82734309192858
USP6NL	6.04690517261355
SLCO2B1	4.4061850192995
ABCD4	4.62087052577798
DIMT1L	6.34655863922392
SLC25A46	6.76841959048201
LARP7	6.63868304376054
TEK	3.82931491452266
CD160	3.66157381717996
TERF2IP	7.70103470832228
PHF20	6.36960586556948
COL1A1	8.10248932782457
KIAA0090	5.55626654358299
GTPBP1	4.56738366161828
GRK5	3.90707403210711
AP1S2	5.52084284703262
RAB33B	4.9117049473193
CA11	4.4357844419708
ALDOC	5.97439358246755
NUDT1	5.36056072596647
ZNF212	5.84962033073448
ACBD3	7.78240518926395
ZNF83	6.08735357754643
PRDM2	4.75192319789161
GDPD5	5.38619918202454
PDCD4	6.23776867790348
CEP350	6.64939861581221
FOXP3	3.21149058104005
SMYD3	7.50674751717351
CST7	4.89597727540375
SELL	4.20251545896627
CIAO1	6.33194924204284
LGI2	3.54257506532004
WDR45	7.00034117323525
ANKRD6	6.48510884534637
LTBP4	4.33605443184183
PSCD3	3.17009941952488
PYY	3.10325450718335
KCNC1	3.14833211800433
SIRT6	4.6873159820075
CCL19	3.81273089848475
ARHGEF9	5.26507788896648
ABR	4.56905512748927
C10orf22	7.011519548323
STK17A	4.56441060735572
FOXE1	3.33050430004439
GML	3.30901553480067
CNGA3	2.90453347186873
CD38	3.77501682897217
ZDHHC6	7.58568510547892
NEFH	4.43810564615488
PGBD5	3.70127578777788
CTDSP2	7.53808589145014
RMND5B	5.83634522285888
ZNF257	3.55476811232814
DUSP4	3.34087314484927
FLJ22167	5.44807256082976
EXOSC7	6.79247288372719
ROR2	3.57712037164211
FOXM1	4.58342415594587
ZBTB48	4.54565680184994
BUD31	7.98421808255174
MAOA	4.36632768432606
CCDC41	5.20936173780001
TNNT3	3.71867563848929
FBXO11	5.45752792237199
GYPC	6.8336609662736
PLIN	3.58977193867906
RFXAP	3.40635372459833
C6orf15	5.75632003042646
RNF4	7.91259728155672
F8A1	8.2333767002373
PPP1R3D	4.99970278336589
GRB2	7.3418491532945
TPM3	3.14238693633089
SYT13	3.65217537997656
EPB42	3.47048262895243
RP5-1077B9.4	5.1958634300142
EIF1	10.2147920801006
CETN3	6.88410025966388
FPGT	5.2115829649012
PRY	3.62849960707981
NTHL1	5.28983597327817
POLR2B	8.08616328126777
RPS28	12.3729618776489
GDF10	3.07554165992226
COQ9	7.93694708716138
P2RX3	2.87773983221102
GCC2	7.28659526738334
RARRES3	7.80455045320967
PLXNA1	6.3778250639284
WBP4	4.97686754298729
KIAA0100	6.39224967640302
PMF1	6.77523229245525
HS2ST1	5.9977513811925
CRELD2	7.00598974326035
C8G	3.04276902111211
CD82	6.34040567584234
PMM1	5.24219400120539
CBLL1	4.86758011316516
LIM2	3.41909312077276
VAX2	3.70857990621103
SETDB1	5.71951927867509
LRAP	3.13112455169652
GCLM	6.43163251802788
CPEB3	4.06104909830937
PPM1A	5.48142068337288
INTS1	4.36845583891827
MMP16	3.13904151062332
CAMTA1	3.21007095791637
SAMSN1	5.25472546120124
DRD3	2.80413850683382
GMPPA	5.43218071451071
C11orf73	6.39681131705069
AIPL1	3.79169589126799
PTP4A2	8.85426109355703
IL24	3.32440334595102
BDKRB1	3.41224950510107
HPCA	3.6490653605351
MLF1	6.00290289640024
SEC14L1	5.91079833948453
CHFR	5.52764821418468
EMILIN1	4.09332116398633
THADA	6.71748377656341
TAF12	5.34093981678344
NDUFS4	8.70250562848031
ID1	6.94897475526026
PIK3CB	3.79213047460698
