Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_E10_491244
Composite Element REF	Signal
AACS	7.56354903154507
FSTL1	8.08858688651967
ELMO2	5.44861190062119
CREB3L1	4.51185530067014
RPS11	10.3118691345913
PNMA1	8.927667301305
MMP2	7.040897198508
SAMD4A	4.41385734471701
SMARCD3	5.54465885978248
A4GNT	3.57164283077476
C9orf39	3.36492479674076
PKNOX2	4.25908794458645
RALYL	3.45557518327721
ZHX3	4.28240523413506
ERCC5	6.35749267357825
RXFP3	2.91695396197225
APBB2	3.57048286466198
BBOX1	3.51914850820881
PRO0478	3.15273680840583
GCSH	7.83183789334344
XDH	4.0061639144361
EDN1	7.38007549994519
MTERF	6.49468898410983
PDCL3	7.77469880074523
CLK4	5.65143091356157
KCNG1	4.59194264437916
CXCR4	9.24236949341216
DECR1	8.76963882332034
SALL1	2.98801744564983
PTPRR	3.54272359442165
CADM4	3.20361893934009
IRAK1	8.68787050143735
CFHR5	3.23112066837394
HNRPD	7.82563273382135
TMSB10	12.2229332790854
CXCL3	3.79719198705939
LMAN1	4.49466017799055
SUHW1	3.68297262329674
CHD8	6.60172194362265
SUMO1	8.1673074218442
GP1BA	3.27268246047936
OR7A10	3.62641511741428
DDB1	7.7788872498143
CHRNA10	3.54647284029789
STYK1	3.90886351509424
MYO9B	4.51215861517198
CCNI	10.0092637925240
MMP7	11.0546369397980
EP300	6.66853758988703
CRNKL1	6.98153967187407
C9orf45	3.29654349940499
XAB2	4.29100469919986
RTN1	3.15470286038322
HIC2	3.79873698034999
TBX10	3.61215882119442
CENPQ	4.59221178520306
UTY	3.11966591996665
OR2W1	2.82727989635516
ATP5G2	10.5118218899653
ZEB1	3.57753820125397
ZG16	3.6602114970692
ERG	4.00145097565936
PARN	7.52309061669694
SOD2	5.80584018844458
JOSD3	8.933897092517
ADAM5P	3.30860664287412
CHD9	6.196590720958
hCG_40738	3.97573586170454
STK16	4.93908496290915
PDE1C	3.59913136835304
SEMA4D	5.04413093062795
AGPAT1	6.371268028084
TOB2	5.93194055634683
BANK1	5.26203575831607
MAP3K3	5.85738659554177
MAX	5.57981862744544
GRM2	3.81895326793042
OSBPL8	7.23263435172292
PROSC	5.51709541408747
NR4A2	5.25354831176951
RICS	6.19513607269425
PIR	4.91146723963109
PPCS	9.5785630713545
IPO9	5.93047756962594
LONP1	6.65838834499866
EVC	4.30041722108263
CXCL13	4.03483102805008
SCYL3	5.214517305322
KIAA1199	5.96151301850398
SORL1	10.2875968466097
NAT10	7.3111180047566
