Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_G05_516444
Composite Element REF	Signal
AACS	6.49479553734043
FSTL1	7.64690550565649
ELMO2	5.2409837306793
CREB3L1	3.93602879247771
RPS11	9.87266210635171
PNMA1	7.55044537058431
MMP2	7.42817855558139
SAMD4A	3.69480399251214
SMARCD3	5.32407517884761
A4GNT	3.62146246732727
C9orf39	3.20321505528622
PKNOX2	4.00705944216597
RALYL	3.25207924161293
ZHX3	4.39126339021889
ERCC5	6.77914613169396
RXFP3	2.97544558658078
APBB2	4.05664680997927
BBOX1	7.43328730907639
PRO0478	3.04141234227615
GCSH	8.91495039912832
XDH	3.69170540049119
EDN1	3.55858478542371
MTERF	5.43164373902076
PDCL3	7.39581690391634
CLK4	5.34810325975596
KCNG1	3.74931961735348
CXCR4	7.81119004525454
DECR1	8.3757829341533
SALL1	3.3973499217219
PTPRR	3.40243506266036
CADM4	3.6137683355852
IRAK1	9.05480831652157
CFHR5	3.22531630633062
HNRPD	7.67116882250746
TMSB10	12.1513117295410
CXCL3	4.25162788565305
LMAN1	3.59457097773602
SUHW1	3.46993228294657
CHD8	5.34504323453273
SUMO1	8.19052099117235
GP1BA	3.21306134128124
OR7A10	4.03122734759952
DDB1	7.10609499437961
CHRNA10	3.49050803908884
STYK1	3.6638184459184
MYO9B	4.4735618323904
CCNI	9.61066577602294
MMP7	8.63240630541137
EP300	5.43128143538646
CRNKL1	6.46026989991395
C9orf45	3.20526855128047
XAB2	4.44365927214881
RTN1	4.73402206840669
HIC2	3.91405504739286
TBX10	3.48618124062117
CENPQ	3.90387908826641
UTY	3.28768420163676
OR2W1	2.80133241078109
ATP5G2	10.7510658058091
ZEB1	3.41501535634262
ZG16	3.35901933563655
ERG	3.6834474287047
PARN	7.37998973138516
SOD2	6.37963074322186
JOSD3	7.74464427049849
ADAM5P	3.22936804981978
CHD9	5.78951324787811
hCG_40738	3.68788875755169
STK16	6.29205603861658
PDE1C	3.71260560769376
SEMA4D	5.41058397802363
AGPAT1	6.68973847331847
TOB2	5.99553082298056
BANK1	4.71195248122554
MAP3K3	5.32784672505039
MAX	5.09597675005115
GRM2	4.32159427234025
OSBPL8	6.69738302289603
PROSC	6.07656200864035
NR4A2	3.96983256903025
RICS	4.27281641843139
PIR	5.79516116746593
PPCS	8.05840253307569
