Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_F04_491270
Composite Element REF	Signal
AACS	6.7374821375666
FSTL1	8.57907339152994
ELMO2	6.33402089767513
CREB3L1	4.0570454395014
RPS11	10.4282501315615
PNMA1	6.48631887102967
MMP2	6.81048897038646
SAMD4A	4.01657300154726
SMARCD3	7.5102581998397
A4GNT	3.93459829147183
C9orf39	3.2407667347377
PKNOX2	4.56906579266948
RALYL	3.50373246447767
ZHX3	4.69438180060368
ERCC5	5.7430893329284
RXFP3	3.02737301285180
APBB2	3.71245059302279
BBOX1	4.54955531871287
PRO0478	3.12743424783129
GCSH	7.70207130742505
XDH	3.84019262725721
EDN1	3.80812912759412
MTERF	6.37973358474861
PDCL3	7.16731967387921
CLK4	6.63727448906425
KCNG1	3.48992131742716
CXCR4	4.87669529399104
DECR1	7.40216452058149
SALL1	3.38948653170368
PTPRR	3.93101113051647
CADM4	3.36462775955649
IRAK1	8.24124943712322
CFHR5	3.3408108153462
HNRPD	7.46408926221359
TMSB10	11.6487025193232
CXCL3	4.19839258213089
LMAN1	3.91954913999869
SUHW1	3.72705064812829
CHD8	5.64028046679704
SUMO1	7.65315985873819
GP1BA	3.67730758376678
OR7A10	3.54456748182618
DDB1	7.99834113389718
CHRNA10	3.65589960127651
STYK1	3.60583700693188
MYO9B	4.95165974543954
CCNI	9.83466585757249
MMP7	6.12277287046142
EP300	6.03794670734574
CRNKL1	6.99735170370982
C9orf45	3.43635660967462
XAB2	4.49425536677346
RTN1	3.57140211610092
HIC2	4.06694566646982
TBX10	3.54835087189182
CENPQ	4.23861684326175
UTY	3.26696935783676
OR2W1	2.89112091306539
ATP5G2	10.5962989676600
ZEB1	3.50588604153873
ZG16	3.47611120226505
ERG	4.28040774484529
PARN	6.40013129487272
SOD2	4.83793065703573
JOSD3	8.23224714875662
ADAM5P	3.53255342635394
CHD9	6.25701600650596
hCG_40738	3.79773008849
STK16	4.81462646834768
PDE1C	3.95439495331602
SEMA4D	4.63899562382145
AGPAT1	5.94880966743766
TOB2	5.8407563177611
BANK1	3.63720891826691
MAP3K3	5.45407659677785
MAX	5.28774182488016
GRM2	3.95578282650153
OSBPL8	7.5636251352447
PROSC	6.79977172163488
NR4A2	3.93095204615381
RICS	5.40321985509975
PIR	3.46572158270977
PPCS	8.23364732170606
IPO9	6.25047393910452
LONP1	7.11730875438244
EVC	4.40821155157473
CXCL13	4.05439350018073
SCYL3	5.22211859897229
KIAA1199	5.26629514948974
SORL1	8.34305515206834
NAT10	7.46733874825825
CHD1	6.8964483585072
SYN3	3.81266510128116
DMC1	3.87422916652995
SLC22A2	3.79313115738163
SERPINF1	6.63956461074741
C20orf27	5.7388398126427
OR7A17	3.26820273226644
RPS6KA5	4.302787557073
LHB	3.42591057095404
TAOK3	4.79062541371035
STK25	6.13145979463196
SLC12A4	3.64202865955324
BRCA1	4.13805113764460
GBL	4.880994992653
C14orf108	8.07555439017481
CDC25B	6.55254785541428
BMP3	3.22057951923981
MAP1LC3C	3.63888330160939
TMEM180	3.74176774145530
CRYGC	3.22195537179642
SLK	5.95901734153083
POU3F1	3.35365850462765
C20orf32	3.72297498248489
USP52	5.68236124054936
HIGD1B	3.82092665269289
BAZ1B	6.56779225343272
USP6NL	5.37384117209006
SLCO2B1	3.83595141008375
ABCD4	4.58603206555231
DIMT1L	6.55030726470105
SLC25A46	7.42974870475947
LARP7	6.72390785253289
TEK	3.70434072092610
CD160	3.68592431366118
TERF2IP	6.87195908466088
PHF20	6.2880699094642
COL1A1	7.22327997185018
KIAA0090	5.52289756123314
GTPBP1	4.55894836354925
GRK5	3.98579651929997
AP1S2	4.26485289304306
RAB33B	4.03422602888564
CA11	5.09431516519722
ALDOC	5.89379801702317
NUDT1	5.75343416669447
ZNF212	5.86316218786409
ACBD3	7.33526848998857
ZNF83	7.89329810494762
PRDM2	5.52706172704517
GDPD5	4.70243693222423
PDCD4	5.79441993195227
CEP350	5.40621266236525
FOXP3	3.2331208065476
SMYD3	6.74304977266779
CST7	5.19702601943033
SELL	3.93981852145986
CIAO1	6.27400768407666
LGI2	4.08322690763379
WDR45	9.47185726616162
ANKRD6	6.60493333731695
LTBP4	4.60170007059581
PSCD3	3.33404504694256
PYY	3.19277982005696
KCNC1	3.26633347172538
SIRT6	4.07097584966297
CCL19	4.15364634578329
ARHGEF9	4.41034524150912
ABR	4.44095975384432
C10orf22	6.15672085256091
STK17A	5.67081052639976
FOXE1	3.44154924890967
GML	3.13507734246937
CNGA3	3.31843509848297
CD38	3.61460123122792
ZDHHC6	6.76564292951074
NEFH	3.39051798493339
PGBD5	3.77617908604633
CTDSP2	7.37172839597256
RMND5B	6.20440487466732
ZNF257	3.19298158724377
DUSP4	4.53667788027183
FLJ22167	5.50601114786082
EXOSC7	6.47683481247312
ROR2	3.61287355792109
FOXM1	4.96994197411824
ZBTB48	4.89617818371493
BUD31	7.51209976629052
MAOA	4.02063801740483
CCDC41	4.58447513423271
TNNT3	3.52565187025659
FBXO11	5.1761224613475
GYPC	4.20641852143521
PLIN	3.64390825142342
RFXAP	3.55597423472533
C6orf15	3.78458752264355
RNF4	8.40073705611589
F8A1	7.31937030423506
PPP1R3D	4.83137751220079
GRB2	6.45554784296612
TPM3	2.99783233685165
SYT13	4.11801334506269
EPB42	3.46841597672765
RP5-1077B9.4	5.22648848560596
EIF1	10.2372569421736
CETN3	6.75062674804821
FPGT	5.16379722028898
PRY	3.72175204686607
NTHL1	4.5150124356326
POLR2B	8.26470602563184
RPS28	12.3386735526897
GDF10	2.92747904999177
COQ9	6.64763364769302
P2RX3	2.89714573736139
GCC2	8.23424207168726
RARRES3	7.69750392617624
PLXNA1	6.15740445533479
WBP4	4.50723874566455
KIAA0100	6.58139415225103
PMF1	6.12745581734869
HS2ST1	5.62957107171729
CRELD2	7.03132983869531
C8G	3.10041900407186
CD82	5.81983488303108
PMM1	4.47983773303101
CBLL1	4.16555676206316
LIM2	3.59054045190202
VAX2	3.85113986492783
SETDB1	5.22084517308506
LRAP	6.02335690860615
GCLM	6.2096162286545
CPEB3	3.68413724073208
PPM1A	5.47890030783683
INTS1	4.67656328021005
MMP16	3.28541223791932
CAMTA1	4.2739192124917
SAMSN1	3.80880572590718
DRD3	3.02032331699061
GMPPA	5.38419918806786
C11orf73	5.2809049700803
AIPL1	3.96056834414930
PTP4A2	9.58591187647895
IL24	3.28905061913063
BDKRB1	3.58050194948814
HPCA	3.57386338011854
MLF1	5.52794190511976
SEC14L1	6.80724760089179
CHFR	5.80617345812793
EMILIN1	3.46284983314018
THADA	6.29984718488452
TAF12	4.99657425509373
NDUFS4	8.13204498762542
ID1	9.6880374668835
PIK3CB	3.86135729508029
COL18A1	7.73418326053581
