Hybridization REF	FEAST_p_TCGA_B20_21_Expression_HT_HG-U133A_96-HTA_E02_516332
Composite Element REF	Signal
AACS	7.3853288380265
FSTL1	7.9342975493704
ELMO2	5.42086731022071
CREB3L1	4.21855761957094
RPS11	10.0071046232515
PNMA1	6.86195441410009
MMP2	4.5119550457164
SAMD4A	3.50672427679685
SMARCD3	5.79090993153422
A4GNT	3.82914377749190
C9orf39	3.7650848303004
PKNOX2	4.06177428620938
RALYL	3.25118852653279
ZHX3	4.44790563848877
ERCC5	5.76961935356445
RXFP3	3.27661544201514
APBB2	3.73998852845292
BBOX1	3.32623855124314
PRO0478	3.16545279580118
GCSH	6.92412583643374
XDH	3.92375273530377
EDN1	3.58598623677214
MTERF	7.00125286539522
PDCL3	7.18398649921904
CLK4	5.6321859499687
KCNG1	3.7739674920825
CXCR4	5.72285859181323
DECR1	8.36254263833633
SALL1	3.04075007632130
PTPRR	3.51768056015864
CADM4	3.63087510498556
IRAK1	7.72352377811497
CFHR5	3.35902966083056
HNRPD	7.81854804718674
TMSB10	11.3401938932252
CXCL3	3.96603654051818
LMAN1	3.52590141506416
SUHW1	3.33638329100029
CHD8	6.08792036394627
SUMO1	7.41993819603802
GP1BA	3.44499058944857
OR7A10	3.98510465610428
DDB1	7.22903719739709
CHRNA10	3.76371710082997
STYK1	3.30567491843211
MYO9B	4.34172864723285
CCNI	9.27631640946236
MMP7	4.61866734072616
EP300	6.43887457633974
CRNKL1	6.58116712978893
C9orf45	3.32977964391385
XAB2	4.24225012613851
RTN1	3.55285410692272
HIC2	5.34422830709589
TBX10	3.57984497700475
CENPQ	4.72660900041291
UTY	3.26454496961709
OR2W1	3.06560825708109
ATP5G2	10.6780411843845
ZEB1	3.03575524816109
ZG16	3.58515866226171
ERG	3.49700842922848
PARN	5.60573879956089
SOD2	4.64543239557487
JOSD3	7.67258817000294
ADAM5P	3.22983566209561
CHD9	5.3710378555295
hCG_40738	3.85998077490157
STK16	3.95486633233133
PDE1C	3.57542752907072
SEMA4D	5.7448021249934
AGPAT1	5.93139137745855
TOB2	5.99624313919123
BANK1	3.43740260291653
MAP3K3	5.35458367012887
MAX	4.95942990245968
GRM2	4.0853938436351
OSBPL8	7.93235074880485
PROSC	6.03236561664592
NR4A2	3.37175311847705
RICS	5.71246056400047
PIR	5.00242704031521
PPCS	8.64773639912132
IPO9	5.93197724497422
LONP1	7.02057698174219
EVC	3.85961099138212
