Hybridization REF	BONES_p_TCGA_Batch8_9_RNA_HT_HG-U133A_96-HTA_D08_297972
Composite Element REF	Signal
AACS	7.62431768192878
FSTL1	7.82863741049365
ELMO2	5.89277504853904
CREB3L1	3.75195945190560
RPS11	9.83865362711775
PNMA1	8.84448941702201
MMP2	6.02955044141128
SAMD4A	3.56534489243379
SMARCD3	5.9114017717122
A4GNT	3.80580191849132
C9orf39	3.46578335032757
PKNOX2	4.15647259620799
RALYL	3.72349367685654
ZHX3	4.64611600459852
ERCC5	5.59775842290962
RXFP3	2.87759512509414
APBB2	4.68364595878119
BBOX1	3.99324783528122
PRO0478	2.92596436987659
GCSH	8.49365783074177
XDH	3.84584088878194
EDN1	3.74091262643592
MTERF	5.69043967184211
PDCL3	8.81496670858147
CLK4	5.37515400454024
KCNG1	4.88528750137329
CXCR4	10.170882130404
DECR1	8.36240725995451
SALL1	5.02495532771741
PTPRR	3.38293017525353
CADM4	3.55236222034878
IRAK1	8.18737925977299
CFHR5	3.110103001775
HNRPD	8.2396030448891
TMSB10	12.7393834316768
CXCL3	3.67253864373935
LMAN1	3.92340719531606
SUHW1	3.43264728233089
CHD8	6.34789990130551
SUMO1	8.11516242836976
GP1BA	3.22420618906247
OR7A10	3.86048876468398
DDB1	7.91930753791045
CHRNA10	3.83009725939031
STYK1	3.59276234634495
MYO9B	5.62310809409115
CCNI	10.7121496469857
MMP7	10.1485125795921
EP300	5.57677379823535
CRNKL1	7.49400163042736
C9orf45	3.06435267142191
XAB2	4.96315926435233
RTN1	5.05633738696738
HIC2	4.14513717694159
TBX10	3.33297185635116
CENPQ	4.28574014723999
UTY	3.09279874878185
OR2W1	2.83807843556813
ATP5G2	11.3561096497668
ZEB1	3.44009737032036
ZG16	3.52861149250485
ERG	3.72100852247335
PARN	7.55065039116133
SOD2	3.90522557690877
JOSD3	6.76626744916398
ADAM5P	3.20612917671805
CHD9	5.57181211708747
hCG_40738	4.66907471217797
STK16	5.06224266269721
PDE1C	3.49560169373412
SEMA4D	5.8528951132591
AGPAT1	7.3280817000714
TOB2	5.83918686911058
BANK1	3.46207472693179
MAP3K3	5.10510028463133
MAX	5.24518535214745
GRM2	3.85745209305147
OSBPL8	7.44305166295063
PROSC	6.3361906709112
NR4A2	4.73767233851684
RICS	5.44838126583938
PIR	4.44720395002265
PPCS	8.76988524938563
IPO9	6.64689770724406
LONP1	7.5650975448224
EVC	5.17398297152965
CXCL13	4.07940453913161
SCYL3	6.30594859050823
KIAA1199	5.44359553831858
SORL1	8.5730556409193
NAT10	7.64639104962182
CHD1	6.30883449813865
SYN3	3.263017408115
DMC1	3.67734941860021
SLC22A2	3.85551980599987
SERPINF1	8.16429378551666
C20orf27	6.51678868833223
OR7A17	2.98183586420213
RPS6KA5	3.9234411999046
LHB	3.57585138749749
TAOK3	4.38610969718121
STK25	6.51570416885708
SLC12A4	3.68252080793061
BRCA1	4.31179112952501
GBL	6.07892672222447
C14orf108	7.50018566198296
CDC25B	7.23761508872301
BMP3	3.35903797456943
MAP1LC3C	3.84669274610223
TMEM180	3.51232622485518
CRYGC	6.69566244729614
SLK	4.78802756435136
POU3F1	3.33859263138319
C20orf32	3.80474589701633
USP52	7.4913758075714
HIGD1B	3.82163610344729
BAZ1B	6.33021568509259
USP6NL	5.93511351080551
SLCO2B1	3.64016118211960
ABCD4	4.56034543012125
DIMT1L	6.24693379950064
SLC25A46	7.72228713057687
LARP7	7.71074023322603
TEK	3.52923000331656
CD160	3.54166135769405
TERF2IP	7.88099219108998
PHF20	6.24551672941653
COL1A1	5.74134323073584
KIAA0090	6.4158978868515
GTPBP1	4.38194739355829
GRK5	3.71401634650537
AP1S2	4.39341454964665
RAB33B	4.27755061905394
CA11	5.03986200913157
ALDOC	5.21097434046181
NUDT1	5.66751385345449
ZNF212	5.29420424976688
ACBD3	7.18630333779491
ZNF83	5.54757837300573
PRDM2	4.92654927806853
GDPD5	4.68730829219827
PDCD4	5.90710723162065
CEP350	6.11983085180562
FOXP3	3.35142239240701
SMYD3	7.63293320234682
CST7	3.74230768834565
SELL	3.44870250605687
CIAO1	7.4952021492832
LGI2	3.49434400523855
WDR45	6.26536495113662
ANKRD6	6.44644563189002
LTBP4	4.91401406671281
PSCD3	3.55113769713841
PYY	3.80737840978273
KCNC1	3.1641622545838
SIRT6	3.89981418383502
CCL19	3.85174484830914
ARHGEF9	5.09285648173442
ABR	4.92581500516175
C10orf22	6.27674647995936
STK17A	4.4121604584078
FOXE1	3.24570878892615
GML	3.18876977366871
CNGA3	2.87247471123303
CD38	3.64505643196129
ZDHHC6	6.37784385854526
NEFH	6.0601901032389
PGBD5	4.09453569292357
CTDSP2	7.36709635787203
RMND5B	6.13584249756265
ZNF257	3.31491053570957
DUSP4	3.74266202469617
FLJ22167	7.50353995506941
EXOSC7	7.56098604362023
ROR2	4.49407196797569
FOXM1	5.00095848481326
ZBTB48	4.74767517693608
BUD31	7.6629758023305
MAOA	4.86708121497784
CCDC41	4.74876816481485
TNNT3	3.64706706609838
FBXO11	6.51571619815842
GYPC	5.21732646114816
PLIN	3.51794433896241
RFXAP	3.58883230444017
C6orf15	3.52101879930927
RNF4	9.69274808373052
F8A1	7.8821125690093
PPP1R3D	4.46733252851299
GRB2	7.96253844666832
TPM3	3.10559652640346
SYT13	3.69199105313103
EPB42	3.80873287671762
RP5-1077B9.4	5.00008186141928
EIF1	10.8707221640231
CETN3	8.01924457423426
FPGT	4.4863935125395
PRY	3.76157162294389
NTHL1	5.78429606313826
POLR2B	9.1020301535235
RPS28	12.0284588497735
GDF10	3.46904294299997
COQ9	8.38501345226154
P2RX3	2.82173360253957
GCC2	6.80643978244355
RARRES3	4.00201079506395
PLXNA1	6.09518483782131
WBP4	4.771188297626
KIAA0100	7.25409122057774
PMF1	7.33086519266346
HS2ST1	5.15447418965722
CRELD2	7.01006859244192
C8G	3.06838894640966
CD82	4.84260662051217
PMM1	3.99702567784303
CBLL1	4.73366125949637
LIM2	3.27147855857770
VAX2	6.04151277555391
SETDB1	6.03513267721548
LRAP	3.46127909237028
GCLM	5.03444485193034
CPEB3	3.32815293858135
PPM1A	5.68360698307895
INTS1	4.14864740675011
MMP16	3.3769446191543
CAMTA1	4.46372691076802
SAMSN1	3.49546140828779
DRD3	2.84343048460179
GMPPA	5.29424506358084
C11orf73	5.20500135620497
AIPL1	3.90227399017518
PTP4A2	8.94041406162389
IL24	3.43903062205596
BDKRB1	3.31216282808756
HPCA	3.48556057433491
MLF1	7.63287863584969
SEC14L1	7.01010138308874
CHFR	5.9750766893608
EMILIN1	3.64061024146414
THADA	7.62819531507953
TAF12	4.91834318172366
NDUFS4	8.61379440948664
ID1	7.16366564407426
PIK3CB	3.49238829877785
COL18A1	7.45433845659024
PDZD3	3.28606868729142
TBC1D17	4.15396619465835
COX8A	9.29237289204737
CDCA4	5.92826905246512
C2orf44	5.72710259779556
C9orf16	7.65695789652158
ERBB2IP	7.70746719567747
EMX2	9.1576920207999
FUS	7.06994023586797
NIPSNAP3B	3.81841142040988
TF	5.48680041272555
CXorf56	5.19504112723566
CLCN4	4.73331670566377
PWP2	5.57044510957569
MMP15	4.89057229786641
MTMR14	6.3419520097404
NPR1	4.29952484224863
DNAL4	6.15821874140412
ELAC2	5.1308388663837
ASS1	9.8404326716585
IPP	5.26874900599144
TMEM59	8.93228766372864
POLR2J	9.04733695980419
SEC23IP	4.66462761536575
RGS4	3.72600346352664
UQCRC1	9.53751951050374
SNX6	8.32304169980456
DDX18	6.80236904030343
POLG	5.02100621112538
ADAM23	3.80769697956565
ZNHIT2	4.61490323792774
TFR2	3.42825268778083
NCDN	4.61971658163175
RAG1	3.52743178463428
POMT1	5.21297157449652
CYP1A1	3.38957068727497
SNAPC1	6.36042047274781
GNA11	4.76770458698699
CCDC52	2.69321925786952
CAPN1	6.28445757497725
DDHD2	6.19846947185676
UPF3A	6.18540115702002
LAGE3	6.39498124997137
GNRHR	3.10848010949768
UNC13B	5.70550056230111
TTLL4	7.28459185601274
PPBP	2.97052705390968
HTR3A	4.93495879340622
SDC2	5.37214157833234
ANKRD49	7.13739957994527
BTF3	10.5377552827773
COX7A2	11.2386156771398
SARS	8.91421987106628
C13orf18	4.26050395700161
CACNB1	3.77490214988398
QKI	5.57317054799984
SETMAR	6.28980502313544
LAMB4	3.37190370393822
MAN2B1	6.65011936381139
EML3	4.67061141053988
ACADL	3.48348934608966
OFD1	8.75643863944056
CGA	3.50613818083691
EIF3EIP	10.5346125562237
PEX16	5.46995624779175
GNG12	7.27755742947227
HABP4	4.73619793458497
CNTN2	3.53250420224841
ASNSD1	6.92378419337538
FUT4	3.87388178707000
DBH	3.57286187344408
CD53	4.12046523625156
HIST1H2BJ	3.55444107076066
TFAP2B	3.12312664053472
ACF	3.57158959925767
TMEM11	6.80594426971199
CDH8	3.14556200260643
C3orf32	3.84337786264079
AGPS	5.09541505224687
C4orf18	3.56661014193061
PCCB	8.40996939407138
