Hybridization REF	LENOS_p_TCGA_Batch18and19_HT_HG-U133A_96-HTA_B05_491110
Composite Element REF	Signal
AACS	7.48995340228273
FSTL1	9.21875389266649
ELMO2	5.81502321197707
CREB3L1	4.12657734652747
RPS11	10.5791995620060
PNMA1	8.34259910438357
MMP2	6.34652482455098
SAMD4A	4.23409220083677
SMARCD3	5.90729660097804
A4GNT	3.73579656733887
C9orf39	3.54964896622181
PKNOX2	4.83414714825613
RALYL	3.54525438435756
ZHX3	4.14591473676026
ERCC5	6.03266475530303
RXFP3	3.00086842294567
APBB2	3.96241418045835
BBOX1	3.22548989187341
PRO0478	2.93620748294294
GCSH	8.65172498045912
XDH	3.33535177894882
EDN1	4.87021550736324
MTERF	6.83110492515941
PDCL3	7.90233803332793
CLK4	4.99677843839567
KCNG1	4.23188429869951
CXCR4	8.8709801274449
DECR1	7.91125994484432
SALL1	3.15493458427721
PTPRR	3.33400343354626
CADM4	3.36384627574339
IRAK1	9.5834056766625
CFHR5	3.11099936148025
HNRPD	8.13773039793105
TMSB10	12.6939811725798
CXCL3	4.17290356868067
LMAN1	3.64376372893882
SUHW1	3.76195685792111
CHD8	5.92329910074069
SUMO1	8.74199120999407
GP1BA	3.13881440517029
OR7A10	3.64264139840657
DDB1	7.80553232759024
CHRNA10	3.79785612443185
STYK1	3.65900103823668
MYO9B	4.42734507309893
CCNI	9.71850277501483
MMP7	7.94460966150454
EP300	5.99543076008883
CRNKL1	7.12086354217263
C9orf45	3.1233134403553
XAB2	4.35354221149573
RTN1	3.76117837026137
HIC2	4.73558308575827
TBX10	3.55520580812882
CENPQ	5.23770566893567
UTY	3.08708774891525
OR2W1	2.88838057971244
ATP5G2	11.0509015036788
ZEB1	3.33382250364633
ZG16	3.52657947153441
ERG	3.93371388402928
PARN	6.26973323282942
SOD2	5.15314702955959
JOSD3	7.8019323024491
ADAM5P	3.12368144260763
CHD9	5.99380816905965
hCG_40738	3.66851162120425
STK16	5.13319396247634
PDE1C	3.50620381217705
SEMA4D	5.77550760473875
AGPAT1	6.79600196948101
TOB2	6.08858947435669
BANK1	3.40614283989211
MAP3K3	5.37682806890248
MAX	4.97969478714686
GRM2	3.93639900232288
OSBPL8	7.56787822748688
PROSC	6.10891634453177
NR4A2	4.45532094855893
RICS	5.26273833598646
PIR	6.034069322459
PPCS	9.08340255096554
IPO9	6.2851337951219
LONP1	6.98453519447547
EVC	4.01663182667959
CXCL13	3.88022473152551
SCYL3	5.78289115951128
KIAA1199	7.3963503918214
SORL1	7.23196982121844
NAT10	6.2643081488315
CHD1	6.37812230784344
SYN3	3.37271749715864
DMC1	3.9394153794531
SLC22A2	3.65629872180857
SERPINF1	6.9998316191591
C20orf27	6.37705361160849
OR7A17	3.04058906064312
RPS6KA5	5.19828301093807
LHB	3.27264686913402
TAOK3	4.83128220925404
STK25	6.96697350707476
SLC12A4	3.58423632189435
BRCA1	4.26585851872447
GBL	6.13084734823586
C14orf108	8.68424737883845
CDC25B	7.74870818714286
BMP3	2.96107896740456
MAP1LC3C	3.43141636937191
TMEM180	5.5061185635099
CRYGC	3.48148363022233
SLK	6.8372838516577
POU3F1	3.20729529442431
C20orf32	3.75468008891701
USP52	5.52508249805518
HIGD1B	4.28781719655325
BAZ1B	6.998599037258
USP6NL	5.62756282771025
SLCO2B1	4.12901835559492
ABCD4	4.21287586656579
DIMT1L	6.26575896042396
SLC25A46	7.78401573118419
LARP7	6.22925523106649
TEK	3.6423606792976
CD160	3.31571828343720
TERF2IP	7.26612383092995
PHF20	5.92829065190354
COL1A1	7.21967356702687
KIAA0090	5.24541633768532
GTPBP1	4.2392405834037
GRK5	4.52868993850594
AP1S2	6.44623042910558
RAB33B	4.30117603515162
CA11	4.78107800971086
ALDOC	4.85205948806814
NUDT1	5.40180241711593
ZNF212	5.56300525038745
ACBD3	7.01912764361056
ZNF83	6.03937676978425
PRDM2	4.63309256462918
GDPD5	4.5184371733777
PDCD4	6.57932019644868
CEP350	5.82737478559872
FOXP3	3.1128428971327
SMYD3	7.85011795648395
CST7	3.56262348016752
SELL	4.24496448842449
CIAO1	6.75022191161448
LGI2	3.83217419568023
WDR45	7.08281092751156
ANKRD6	6.51471008172171
LTBP4	4.21221122615811
PSCD3	3.18562301244355
PYY	3.14816746396537
KCNC1	3.51543011420199
SIRT6	4.44153886453174
CCL19	3.81865940648003
ARHGEF9	4.51366423342332
ABR	4.39845053645423
C10orf22	7.1569679864337
STK17A	6.19946477141372
FOXE1	3.50628288065659
GML	3.15773935181969
CNGA3	3.19129195051628
CD38	3.4144953080934
ZDHHC6	8.45706357019462
NEFH	7.20028740150266
PGBD5	8.34351756169378
CTDSP2	7.89272076872443
RMND5B	5.65268974699768
ZNF257	4.04793498963936
DUSP4	3.62761047146729
FLJ22167	6.78351295466131
EXOSC7	7.21005683342848
ROR2	4.00506595919698
FOXM1	5.86851786131403
