Hybridization REF	TCGA-A8-A0A1-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.61575
CREB3L1	0.9155
RPS11	0.05575
PNMA1	0.553
MMP2	1.185
C10orf90	-1.74275
ZHX3	-0.201
ERCC5	0.75325
GPR98	0.91475
RXFP3	-0.058
APBB2	2.0005
PRO0478	-0.1355
KLHL13	-2.17775
PRSSL1	-1.16433333333333
PDCL3	0.361
DECR1	0.07125
SALL1	-3.2005
CADM4	0.106166666666667
RPS18	-1.18157142857143
HNRPD	-0.341583333333333
CFHR5	1.10716666666667
SLC10A7	0.43775
OR2K2	-0.151
LMAN1	-0.60125
SUHW1	-3.88175
CHD8	-0.0535
SUMO1	0.5633
GP1BA	4.0849
DDB1	0.00433333333333333
MYO9B	0.1546
MMP7	5.20175
CRNKL1	0.624625
C9orf45	-0.571
XAB2	0.246125
RTN1	2.48275
KLHL14	-1.5465
TBX10	-1.2375
CENPQ	-1.83025
UTY	-1.13778571428571
ZBTB12	0.2695
DTNBP1	0.371375
KBTBD8	-0.408
ZEB1	0.510166666666667
ZG16	-1.91
MIER1	0.3475
ADAM5P	-0.796
CHD9	-0.536375
STK16	-0.51325
KIAA1486	-1.026
TOB2	0.965
BANK1	2.51925
OR2V2	0.41525
GRM2	-0.0428333333333333
PROSC	0.405125
SPIN2B	0.3005
PIR	-2.46833333333333
IPO9	-0.0918888888888889
EVC	1.13483333333333
CXCL13	5.759
KIAA1199	-0.3917
SORL1	1.1555
NAT10	0.034
CHD1	-0.467
SYN3	-1.23475
SLC22A2	-0.18525
SERPINF1	1.5525
WDR34	-0.0775
OR7A17	0.376
C9orf11	0.456
RNF216L	-1.0073
LHB	-0.1585
STK25	0.171625
TAOK3	0.964375
LOC152573	-2.06375
C3orf39	0.436625
C14orf108	0.4722
CDC25B	-2.02136363636364
BMP3	0.715
TMEM180	-0.1475
MAP1LC3C	0.758
CRYGC	0.059
POU3F1	-1.5871
C20orf32	-1.1425
CCDC95	-0.1685
HIGD1B	3.8025
USP6NL	-0.63325
ABCD4	-0.347833333333333
DIMT1L	-0.755583333333333
TEK	1.556625
SLC25A46	-0.19175
LARP7	-1.5593
CD160	0.345666666666667
MT1JP	-0.891333333333333
PHF20	0.2275
CPNE4	-1.6115
GTPBP1	0.0527857142857143
RAB33B	0.959666666666667
ALDOC	-2.348125
ZNF212	-0.71175
NUDT1	-0.689833333333333
RFPL2	-0.1945
ZNF83	0.416166666666667
GDPD5	-0.46075
PDCD4	2.56165
