Hybridization REF	TCGA-A8-A07R-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.159636363636364
CREB3L1	0.15275
RPS11	0.15
PNMA1	-0.09375
MMP2	-0.880666666666667
C10orf90	-1.698
ZHX3	-0.473166666666667
ERCC5	0.0975
GPR98	-1.605875
RXFP3	1.04
APBB2	0.54825
PRO0478	-1.132625
KLHL13	-2.568
PRSSL1	0.0366666666666667
PDCL3	0.724833333333333
DECR1	-0.613125
SALL1	-5.641
CADM4	1.0875
RPS18	-0.544214285714286
HNRPD	-0.875416666666667
CFHR5	0.8216
SLC10A7	-0.77475
OR2K2	0.2705
LMAN1	-1.105625
SUHW1	-1.07125
CHD8	-0.5693
SUMO1	1.3412
GP1BA	-0.5485
DDB1	-0.118666666666667
MYO9B	-0.1958
MMP7	6.9245
CRNKL1	-0.07625
C9orf45	-2.3185
XAB2	-0.208625
RTN1	0.211
KLHL14	-1.07
TBX10	-0.755
CENPQ	-1.25
UTY	-0.646214285714286
ZBTB12	-0.032
DTNBP1	0.862375
KBTBD8	-1.00583333333333
ZEB1	-0.201666666666667
ZG16	-0.44125
MIER1	1.309
ADAM5P	0.3875
CHD9	-0.5051875
STK16	0.36
KIAA1486	-0.0915
TOB2	1.41316666666667
BANK1	1.3635
OR2V2	-0.09075
GRM2	0.3595
PROSC	-0.336875
SPIN2B	0.32525
PIR	0.784222222222222
IPO9	0.1113
EVC	-0.188666666666667
CXCL13	1.8795
KIAA1199	0.1141
SORL1	1.25
NAT10	0.59325
CHD1	-0.79975
SYN3	0.11475
SLC22A2	-0.606333333333333
SERPINF1	-2.105
WDR34	0.0175
OR7A17	0.0485
C9orf11	-0.545
RNF216L	-0.509
LHB	-0.1515
STK25	0.722375
TAOK3	0.717375
LOC152573	-2.1745
C3orf39	0.861375
C14orf108	-0.6327
CDC25B	-0.603545454545454
BMP3	0.2035
TMEM180	0.5265
MAP1LC3C	0.28225
CRYGC	-0.3305
POU3F1	-0.955
C20orf32	-0.963
CCDC95	-0.4185
HIGD1B	0.314
USP6NL	1.4885
ABCD4	-1.045
DIMT1L	-0.898666666666667
TEK	-0.225125
SLC25A46	-0.72925
LARP7	-2.4636
CD160	-0.0311666666666667
MT1JP	0.367666666666667
PHF20	-0.631625
CPNE4	-1.326
GTPBP1	-0.477857142857143
RAB33B	1.348
ALDOC	-1.462375
ZNF212	0.27075
NUDT1	-1.171
RFPL2	-0.36175
ZNF83	-0.9325
GDPD5	0.70675
PDCD4	0.06305
CEP350	0.0065
OR10A2	0.44525
CST7	-0.665
CIAO1	-0.299
SELL	0.342375
OR8J3	0.682
LTBP4	0.0451666666666667
SIRT6	0.02425
CCL19	0.6135
PPIL1	-0.193
GBP7	0.132833333333333
STK17A	-1.3773
ABR	0.021
OR9G1	0.0585
FOXE1	-0.19125
CNGA3	0.302
GML	0.2505
CD38	-0.868
ZDHHC6	-0.517
NEFH	1.1455
CTDSP2	0.786166666666667
PGBD5	0.718
CCNY	0.881285714285714
RMND5B	0.630916666666667
ZNF257	-0.44825
FLJ22167	-1.19625
EXOSC7	-0.0206666666666667
ROR2	0.167125
