Hybridization REF	TCGA-A8-A07P-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.60875
CREB3L1	0.7305
RPS11	0.24025
PNMA1	0.633
MMP2	-0.4055
C10orf90	-0.948333333333333
ZHX3	-1.45883333333333
ERCC5	-1.3415
GPR98	-1.14775
RXFP3	0.274
APBB2	1.24775
PRO0478	-1.2115
KLHL13	-1.62975
PRSSL1	-0.117666666666667
PDCL3	0.437666666666667
DECR1	0.273375
SALL1	-2.01266666666667
CADM4	-0.374833333333333
RPS18	0.326642857142857
HNRPD	-0.864416666666667
CFHR5	0.8055
SLC10A7	0.285714285714286
OR2K2	0.606
LMAN1	0.100875
SUHW1	-2.47875
CHD8	-0.6767
SUMO1	0.3647
GP1BA	-0.0563
DDB1	0.259166666666667
MYO9B	-0.851333333333333
MMP7	4.893
CRNKL1	0.066125
C9orf45	-1.55583333333333
XAB2	0.21925
RTN1	0.891857142857143
KLHL14	-0.4745
TBX10	-0.2955
CENPQ	-1.27575
UTY	-0.382909090909091
ZBTB12	0.0175
DTNBP1	-0.221625
KBTBD8	-0.338
ZEB1	-0.261666666666667
ZG16	2.24825
MIER1	0.691
ADAM5P	0.8555
CHD9	-0.7848
STK16	0.08325
KIAA1486	-0.1105
TOB2	0.440166666666667
BANK1	0.378666666666667
OR2V2	0.7505
GRM2	0.203
PROSC	0.99525
SPIN2B	0.087
PIR	-1.82077777777778
IPO9	-0.6993
EVC	-0.4015
CXCL13	1.3665
KIAA1199	-1.8046
SORL1	0.1465
NAT10	0.34325
CHD1	-0.965
SYN3	-0.89975
SLC22A2	-0.12825
SERPINF1	0.0311666666666667
WDR34	0.2825
OR7A17	0.6205
C9orf11	-0.7405
RNF216L	-0.4143
LHB	-0.305
STK25	-0.171125
TAOK3	0.59825
LOC152573	-1.53625
C3orf39	0.75975
C14orf108	0.9629
CDC25B	-2.22618181818182
BMP3	0.00699999999999995
TMEM180	-0.2645
MAP1LC3C	-0.09625
CRYGC	-0.1125
POU3F1	-1.39222222222222
C20orf32	-1.084
CCDC95	-0.2515
HIGD1B	4.009
USP6NL	-1.24425
ABCD4	-0.940666666666667
DIMT1L	-0.805916666666667
TEK	0.717
SLC25A46	0.47825
LARP7	-2.3147
CD160	0.000833333333333334
MT1JP	-0.725333333333333
PHF20	-0.4206875
CPNE4	-0.627333333333333
GTPBP1	-0.255571428571429
RAB33B	-0.0463333333333333
ALDOC	-3.051
ZNF212	-0.35475
NUDT1	-0.850166666666667
RFPL2	-0.7725
ZNF83	-0.348333333333333
GDPD5	-0.918
PDCD4	2.87175
CEP350	-1.21425
OR10A2	0.34075
CST7	0.1355
CIAO1	-0.53725
SELL	0.933125
OR8J3	0.4925
LTBP4	-0.2765
SIRT6	0.28475
CCL19	4.56075
PPIL1	-0.0476666666666667
GBP7	1.118
STK17A	-0.6144
ABR	-0.734
OR9G1	0.3995
FOXE1	-0.6115
CNGA3	0.2355
GML	0.495
CD38	-2.25025
ZDHHC6	0.5315
NEFH	-2.81925
CTDSP2	0.283833333333333
PGBD5	-1.20766666666667
CCNY	0.1005
RMND5B	1.2475
ZNF257	-2.78066666666667
FLJ22167	-1.593375
EXOSC7	-0.307666666666667
ROR2	0.532
MAOA	1.95825
TNNT3	0.533
GYPC	-0.87575
C7orf33	1.606
PLIN	1.08283333333333
LOC90826	-0.60875
RNF4	-0.2657
F8A1	0.0376666666666667
PLEKHG4	-2.85575
GRB2	1.97725
HIST1H2AD	1.28775
DUS3L	0.120166666666667
EIF1	0.654833333333333
RP5-1077B9.4	-1.23616666666667
FPGT	2.28
GDF10	-0.916
COQ9	-0.20525
GCC2	-0.583071428571429
RARRES3	2.550625
PLXNA1	-1.0733
KIAA0100	-0.327777777777778
PMF1	0.20325
FNDC1	3.992
HS2ST1	0.473916666666667
CRELD2	0.204
C8G	-2.2535
CD82	-0.232
LIM2	-0.073
UNQ6490	-0.6305
MMP16	0.20175
DRD3	-0.50775
C5orf26	-1.331
C11orf73	-0.706125
PTP4A2	2.21225
OR4M2	-0.1605
HPCA	-0.8915
SEC14L1	-0.594333333333333
CHFR	-0.53425
EMILIN1	0.738875
NDUFS4	-0.256
COL18A1	-0.84075
PDZD3	0.593333333333333
C9orf16	-0.0468333333333333
ERBB2IP	0.205833333333333
EMX2	1.727
FUS	-1.09825
TF	-3.6105
CLCN4	-0.713166666666667
CXorf56	-0.146
C11orf72	0.8285
ELAC2	0.0185833333333333
NPR1	-0.76675
ASS1	-3.54983333333333
USP42	-0.6
POLR2J	-0.4845
SEC23IP	1.0035
UQCRC1	0.59875
LOC729603	-0.2085
C1orf71	-0.454375
POLG	-2.227
ADAM23	-3.15075
TFR2	-0.6715
RICTOR	-1.0105
MGC39606	-0.683
C19orf55	-0.023375
SNAPC1	-1.4215
GNA11	0.886125
CCDC52	0.634166666666667
FSIP1	5.198
UPF3A	-2.032875
IGSF11	-1.70283333333333
LAGE3	-0.0695
CHST6	-4.1875
UNC13B	1.0045
TTLL4	-1.46775
ZNF687	0.500625
SDC2	-0.5101
COX7A2	0.73825
LAMB4	-0.166
FAM24A	1.1255
LRRTM3	-0.818833333333333
GPHB5	0.12325
OR4C13	0.2725
EIF3EIP	-0.467
HABP4	-0.7515
TMEM125	3.8435
CNTN2	-0.0965
ASNSD1	-0.16425
FUT4	-0.414428571428571
ACF	-3.16325
LOC158381	1.2715
CDH8	0.54525
AGPS	-0.525
C4orf18	1.603625
PECI	1.30416666666667
UNG	0.448875
GSTP1	-2.555875
DCUN1D5	-1.5705
DKFZP564J0863	-0.7565
SLC9A3R1	2.798125
BCDO2	-0.635333333333333
CHMP7	-0.02125
REM2	0.108
DNHD1	-0.960285714285714
FKBP4	0.352875
ZNF350	0.61325
MGC11102	0.705
BST1	1.2165
KISS1R	1.9275
NCR2	0.084
DEFB125	0.825
UBE2W	1.971
KRT15	2.231
C10orf99	0.559
SCN11A	0.0877142857142857
GFI1	-2.29025
RDHE2	-0.364666666666667
FHL1	-1.2205
OSGEP	-0.846
GATA1	-2.3955
SMC6	-2.30825
TTTY14	-1.10375
LPIN3	0.44575
RPL4	-0.9478
RBPMS	0.2006
PRPF3	-1.17733333333333
EMR1	-1.782
SPATA19	0.569
XCR1	1.185
IRX3	1.8682
RBM6	-1.60575
KLF4	-1.3461
UNC5CL	-1.185
SEBOX	0.165
BTK	0.57175
KRCC1	0.917
C6orf27	0.473
SYTL5	-0.1675
PRND	1.15342857142857
LOC653319	-1.858
PIGL	0.693375
HUS1	0.1235
SFRS6	0.370916666666667
C17orf77	0.738
UIMC1	-1.74966666666667
FXYD2	-1.788
LOC283152	0.43325
ZNF667	-1.57175
ZCCHC12	-0.74
TFEC	2.0336
ATP7B	1.01283333333333
POLD2	-0.129
RG9MTD1	0.47875
ACOT2	1.46483333333333
HIST1H4I	-0.0652500000000001
PPARGC1A	-2.4601
ETFA	-0.0391
POLRMT	-0.44175
ZNF146	-0.6695
MIA2	-0.551
KLHL6	-1.10216666666667
HOXB5	-0.6165
NENF	0.938166666666667
CUGBP1	0.553
PRSS22	2.10416666666667
CASC4	1.2443
CUL4B	-0.131
CENPJ	-2.7856
PITX1	0.3535
FLJ31033	0.262333333333333
CELSR3	-1.2505
ZNF568	-0.5305
ITSN1	-0.594
EHBP1L1	-1.34216666666667
C19orf2	-0.858
DCTN1	-0.115
LIN28B	-2.5385
TNKS2	-0.3045
C1QBP	-0.597875
CADPS2	-0.80025
SRMS	0.72625
GJA9	0.0571666666666667
MGC24975	-1.2675
TRIM45	-0.1095
TSP50	0.423666666666667
TCP1	-0.85875
TMED7	1.1615
CMA1	-0.18
CENPL	-0.983666666666667
PTCRA	0.739
FST	-4.46
VWCE	-4.14075
PAWR	1.3985
ABCC12	0.5076
LDLR	-0.3385
ASTN2	1.7939
LOC441212	-1.05
GPATCH8	-0.35175
TANC2	-0.627916666666667
KIF4A	-1.86125
C18orf18	-0.55925
PGM1	-0.58775
KIAA0258	2.18375
CPD	0.841
SNCAIP	-1.639
DCT	-3.99616666666667
