Hybridization REF	TCGA-C8-A135-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0898333333333333
CREB3L1	0.754
RPS11	0.665625
PNMA1	-0.55475
MMP2	0.921833333333333
C10orf90	-2.07566666666667
ZHX3	-0.538666666666667
ERCC5	-0.64975
GPR98	0.9955
RXFP3	0.0125
APBB2	0.842
PRO0478	-1.187875
KLHL13	-0.06975
PRSSL1	-1.0095
PDCL3	0.233
DECR1	0.351875
SALL1	-2.987
CADM4	0.802
RPS18	0.529357142857143
HNRPD	-0.394166666666667
CFHR5	1.19583333333333
SLC10A7	0.302375
OR2K2	0.57
LMAN1	-0.529125
SUHW1	-3.374
CHD8	0.1331
SUMO1	0.6333
GP1BA	0.5461
DDB1	0.294166666666667
MYO9B	-0.1287
MMP7	5.99525
CRNKL1	2.14175
C9orf45	-2.20883333333333
XAB2	0.151
RTN1	1.256
KLHL14	-1.291875
TBX10	1.337
CENPQ	-1.65225
UTY	-1.52292857142857
ZBTB12	-0.4465
DTNBP1	-0.711875
KBTBD8	-0.728666666666667
ZEB1	0.933166666666667
ZG16	0.6895
MIER1	0.2452
ADAM5P	0.774
CHD9	-0.161
STK16	-0.252
KIAA1486	-0.5245
TOB2	0.563083333333333
BANK1	3.4245
OR2V2	0.35125
GRM2	-0.139333333333333
PROSC	-0.086875
SPIN2B	-0.93675
PIR	-1.44533333333333
IPO9	0.0911
EVC	0.576166666666667
CXCL13	3.303
KIAA1199	-1.4324
SORL1	0.49225
NAT10	-0.8085
CHD1	-0.5585
SYN3	-0.0685
SLC22A2	-0.31575
SERPINF1	1.029
WDR34	0.08575
OR7A17	0.58275
C9orf11	-0.193
RNF216L	-1.2788
LHB	-0.101
STK25	0.18475
TAOK3	-0.197625
LOC152573	-3.30125
C3orf39	-0.572125
C14orf108	0.8072
CDC25B	-1.62245454545455
BMP3	0.3225
TMEM180	0.0965
MAP1LC3C	0.09625
CRYGC	-0.539
POU3F1	-0.9892
C20orf32	-1.395
CCDC95	0.506
HIGD1B	4.39525
USP6NL	1.1405
ABCD4	-0.594666666666667
DIMT1L	-1.16466666666667
TEK	1.7225
SLC25A46	-0.28325
LARP7	-1.7327
CD160	0.552333333333333
MT1JP	2.0545
PHF20	-0.171125
CPNE4	-0.01175
GTPBP1	0.119
RAB33B	1.4465
ALDOC	-3.100125
ZNF212	-0.7485
NUDT1	-0.8195
RFPL2	-0.76325
ZNF83	-0.260333333333333
GDPD5	-1.167
PDCD4	0.81315
CEP350	0.2695
OR10A2	0.0575
CST7	1.494
CIAO1	-0.52325
SELL	1.15825
OR8J3	-0.2115
LTBP4	-0.0976666666666667
SIRT6	-0.39925
CCL19	4.55325
PPIL1	-0.230166666666667
GBP7	-0.174333333333333
STK17A	-0.0136
ABR	-0.83725
OR9G1	0.00949999999999999
FOXE1	-0.4295
CNGA3	0.3475
GML	0.503
CD38	-0.78
ZDHHC6	0.347166666666667
NEFH	-1.2735
CTDSP2	0.605333333333333
PGBD5	-1.309
CCNY	0.6095
RMND5B	0.407
ZNF257	-0.6145
FLJ22167	-0.987375
EXOSC7	-0.3135
ROR2	1.07875
MAOA	1.313375
TNNT3	0.781
GYPC	-1.291
C7orf33	0.8055
PLIN	3.9585
LOC90826	0.1005
RNF4	-0.3257
F8A1	0.135
PLEKHG4	-3.19775
GRB2	1.15035
HIST1H2AD	1.214
DUS3L	-0.906166666666667
EIF1	-0.542833333333333
RP5-1077B9.4	-1.03583333333333
FPGT	0.2005
GDF10	0.413833333333333
COQ9	-0.25425
GCC2	0.804928571428571
RARRES3	1.4785
PLXNA1	-0.66
KIAA0100	-0.5873
PMF1	-0.01025
FNDC1	5.56675
HS2ST1	0.310333333333333
CRELD2	1.5575
C8G	-2.5795
CD82	1.46025
LIM2	-1.1485
UNQ6490	0.176
MMP16	-0.03775
DRD3	0.33225
C5orf26	-1.34725
C11orf73	-0.41925
PTP4A2	0.426
OR4M2	-0.1995
HPCA	-0.00833333333333333
SEC14L1	0.463
CHFR	-0.401
EMILIN1	0.70825
NDUFS4	-0.35225
COL18A1	0.48775
PDZD3	0.2836
C9orf16	0.378666666666667
ERBB2IP	-0.127833333333333
EMX2	2.671
FUS	-0.83025
TF	-3.668
CLCN4	1.21566666666667
CXorf56	0.722
C11orf72	0.26975
ELAC2	-0.558916666666667
NPR1	-0.1355
ASS1	-0.367833333333333
USP42	-0.097
POLR2J	-0.148
SEC23IP	1.21933333333333
UQCRC1	-0.7295
LOC729603	0.09075
C1orf71	-0.216375
POLG	-1.8085
ADAM23	-3.523
TFR2	-0.728
RICTOR	-0.9869
MGC39606	0.39325
C19orf55	-0.254875
SNAPC1	-0.9905
GNA11	0.690125
CCDC52	-0.586666666666667
FSIP1	1.79
UPF3A	-0.813875
IGSF11	-2.50866666666667
LAGE3	0.464
CHST6	-2.0285
UNC13B	-0.358375
TTLL4	-0.570625
ZNF687	0.5465
SDC2	-0.2522
COX7A2	-0.49425
LAMB4	0.645
FAM24A	0.046
LRRTM3	-0.8296
GPHB5	-0.04775
OR4C13	0.131
EIF3EIP	0.9295
HABP4	-0.85
TMEM125	1.4435
CNTN2	-0.045375
ASNSD1	-0.25925
FUT4	0.288875
ACF	-3.93425
LOC158381	-0.283
CDH8	0.049
AGPS	-1.994
C4orf18	2.167
PECI	0.30725
UNG	-1.071375
GSTP1	2.015375
DCUN1D5	-0.432666666666667
DKFZP564J0863	0.4005
SLC9A3R1	1.40675
BCDO2	-1.497875
CHMP7	0.44475
REM2	-0.2285
DNHD1	-0.652125
FKBP4	0.276
ZNF350	2.76875
MGC11102	1.67925
BST1	1.1025
KISS1R	0.7245
NCR2	0.211
DEFB125	0.009
UBE2W	1.415375
KRT15	1.08175
C10orf99	0.4095
SCN11A	0.897375
GFI1	-1.56675
RDHE2	6.5745
FHL1	-0.814333333333333
OSGEP	-0.359666666666667
GATA1	-3.734
SMC6	-0.7685
TTTY14	-1.534
LPIN3	-0.16475
RPL4	-0.5096
RBPMS	-0.1533
PRPF3	-0.493666666666667
EMR1	-1.7115
SPATA19	0.20475
XCR1	0.046
IRX3	2.1429
RBM6	-1.41975
KLF4	0.7543
UNC5CL	-2.28775
SEBOX	0.355
BTK	-0.7245
KRCC1	0.6995
C6orf27	0.374
SYTL5	-0.6365
PRND	3.9965
LOC653319	-1.078
PIGL	-1.391375
HUS1	-0.1565
SFRS6	-1.28075
C17orf77	1.129
UIMC1	-0.677166666666667
FXYD2	-2.0067
LOC283152	-0.964
ZNF667	0.703
ZCCHC12	-0.329
TFEC	3.4356
ATP7B	-1.73183333333333
POLD2	-0.644833333333333
RG9MTD1	-0.42375
ACOT2	0.143166666666667
HIST1H4I	-0.522
PPARGC1A	-0.9072
ETFA	-0.9829
POLRMT	-0.74075
ZNF146	0.539125
MIA2	-1.511
KLHL6	-0.132
HOXB5	2.162625
NENF	0.476666666666667
CUGBP1	-1.3015
PRSS22	-0.924666666666667
CASC4	0.8883
CUL4B	0.1624
CENPJ	-1.4702
PITX1	-1.11616666666667
FLJ31033	0.718333333333333
CELSR3	-2.7725
ZNF568	1.073
ITSN1	-0.156333333333333
EHBP1L1	-0.369666666666667
C19orf2	0.293
DCTN1	-0.121
LIN28B	-4.24066666666667
TNKS2	-0.3625
C1QBP	-0.825375
CADPS2	0.99775
SRMS	-0.12725
GJA9	0.0651666666666667
MGC24975	-1.4635
TRIM45	-1.82066666666667
TSP50	-0.21025
TCP1	-0.55475
TMED7	0.3234
CMA1	-1.455
CENPL	-0.0138333333333333
PTCRA	-0.208
FST	-3.89125
VWCE	-3.70825
PAWR	-0.56875
ABCC12	2.03633333333333
LDLR	-1.1177
ASTN2	0.036
LOC441212	-1.64875
GPATCH8	-0.4345
TANC2	-0.433583333333333
KIF4A	-1.18675
C18orf18	-1.49075
PGM1	-0.90325
KIAA0258	-0.17125
CPD	0.04075
SNCAIP	-0.43775
DCT	-4.5825
HLA-DOA	3.22218181818182
OR11L1	0.471
UPK1B	-0.229833333333333
DNAJB4	0.640375
UGT1A8	0.59875
HIST1H4L	-1.1975
PECR	-1.582
HSPA2	1.63925
WFIKKN1	-3.6255
SERP1	0.7225
SYDE2	1.75975
TACR2	0.176
NUP85	0.244
CD177	-0.493333333333333
LGR5	-2.151
PIGG	-0.207333333333333
PTHR1	-1.37033333333333
RAB5A	-0.2398
FLJ13224	0.484
USP9Y	-2.4722
C7orf53	-0.3075
LRP1B	0.75575
XAF1	1.7414
ABCG8	-1.521
ANKDD1A	-0.651166666666667
DAND5	-2.253
SPAG6	0.8058
LINCR	0.73175
ZDHHC22	-1.623875
CCDC60	1.3205
THOC7	-1.52483333333333
TCTA	0.6893
OR8K3	-0.04775
NY-REN-7	-0.8195
B2M	0.558833333333333
C6orf141	-1.261375
LPPR4	2.054
SQLE	-1.119875
SEPHS1	0.2815
BTBD14B	0.334071428571429
PLRG1	0.257
SPG7	-0.5768125
ZNF614	0.727333333333333
PARD6G	0.621833333333333
INPP5B	-0.8173
GRPEL2	-0.090125
PPID	-0.6258
TRIM56	-0.92575
UBE2J1	-0.0595
IL20RA	4.49825
LOC387856	-0.3885
C1orf107	0.502166666666667
UTS2R	0.78925
C19orf22	0.12775
SAFB2	-0.259125
KIAA0652	-0.392625
KLRG1	-0.317833333333333
MS4A8B	-0.0701666666666666
FRAG1	0.442
KIAA1546	0.9805
E2F4	-1.0647
CLEC4M	-0.139
BTBD14A	0.0215
KIAA0999	0.1964
GYPA	-4.28733333333333
TAC1	1.2391
TRAIP	-1.968
KIAA0232	0.0627
ERCC8	-0.661
GPX4	0.733125
KIAA0368	-0.563625
GPR157	-0.651166666666667
CTAGE4	2.0835
C9orf30	-1.00166666666667
OR52A1	0.4535
HSP90B3P	-0.5535
ALG9	-0.7702
BTBD10	0.0605
SDK2	0.0625
BAIAP3	-0.76225
RABGGTB	-1.751125
ANKRD40	0.547166666666667
KRT74	1.296
CALCOCO2	0.2965
SNCA	-3.28125
TMSL8	0.386875
C2orf53	0.7265
ESRRB	-0.14125
ARHGAP26	0.16275
TDRD9	-2.40375
HRAS	0.295333333333333
KLRC4	-1.739
JAGN1	-0.643166666666667
BSDC1	-0.37
RNF43	-0.3637
NDUFAF1	-0.68425
PHF12	0.521
OR1L3	-0.147
FOLR2	2.04741666666667
LYZL6	0.208666666666667
tcag7.1260	-0.641
WSB1	-1.24083333333333
PROS1	-0.3724
OSTN	0.649
PSMB8	-0.9245
SOCS4	0.084375
DDIT4L	1.24175
MAS1	0.636
MGC34796	0.08925
CSHL1	0.0285
TBCCD1	-0.167833333333333
ZBTB7C	-0.026
AP2S1	0.71425
P15RS	0.249
VAT1	-0.9245
SHANK3	1.2605
TUFM	-0.00733333333333333
THEG	-0.98475
KRT34	-2.018
SGSM3	0.770125
TOMM22	0.672625
SOCS3	1.16716666666667
CPO	0.753
POP4	0.37875
BHLHB3	1.21025
MALL	3.07225
OR1B1	0.2265
PARK2	0.671166666666667
GPR124	0.709
LCE1E	1.049
RUVBL2	-0.148
CGRRF1	0.432
ACPL2	0.935
WNT10B	-2.77425
BAIAP2L2	-1.567875
ISCA1	0.553
C1orf125	-0.438375
RPAP1	-0.916
RAI16	-1.03183333333333
RPL27	-0.70425
NLRP9	-0.214
EPN1	0.5085
LOC388610	-2.1295
SLC35A1	0.3742
GAL	-2.11625
SLC14A2	0.361
RDH11	-0.844
FAM138F	-0.3455
AUH	-0.74925
FLJ40243	-0.047
C14orf129	0.822333333333333
MBD2	-0.424333333333333
ABHD14B	-0.612
PIGT	-0.16
ALS2CR4	-0.098
ALAS1	-0.6274
FOXO1	1.23966666666667
CRLF3	-0.797875
C20orf107	-0.1615
FARS2	0.3815
CCDC28A	-0.33
NPHP3	-1.32225
OR13F1	-0.307
TSEN54	0.69125
DEFB106B	0.6307
OR8B4	0.7635
STH	-1.045
ZC3H14	-0.401625
CBX2	0.2665
TMEM49	0.35
C6orf21	0.6215
FLJ20920	2.810875
CRTAP	-0.377285714285714
DDX50	-0.32025
STYXL1	0.02925
BLVRB	0.984
LOC147650	-0.161833333333333
MMP24	-0.1495
GRID1	2.31666666666667
BANF1	1.58916666666667
CTAGEP	0.59575
HMBS	-2.3065
SLC25A24	-0.581166666666667
C14orf50	0.2345
MRO	1.643
