Hybridization REF	TCGA-A8-A07B-01A-11R-A00Z-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.130333333333333
CREB3L1	1.34975
RPS11	1.235375
PNMA1	0.10625
MMP2	0.902833333333333
C10orf90	-2.06075
ZHX3	-0.689333333333333
ERCC5	-0.925
GPR98	-1.812625
RXFP3	0.8665
APBB2	2.15575
PRO0478	-0.67125
KLHL13	-2.94675
PRSSL1	-0.872833333333333
PDCL3	0.862333333333333
DECR1	0.421
SALL1	-3.3705
CADM4	2.19833333333333
RPS18	-0.104785714285714
HNRPD	-0.681166666666667
CFHR5	0.269833333333333
SLC10A7	-0.1615
OR2K2	0.0325
LMAN1	-0.5975
SUHW1	-3.73675
CHD8	-0.077
SUMO1	0.6465
GP1BA	-0.2721
DDB1	0.497666666666667
MYO9B	-0.0048
MMP7	5.26725
CRNKL1	0.694625
C9orf45	-0.836
XAB2	0.284375
RTN1	0.460625
KLHL14	-1.55825
TBX10	-1.194
CENPQ	-2.388
UTY	-0.801071428571429
ZBTB12	0.064
DTNBP1	0.09375
KBTBD8	-1.72866666666667
ZEB1	0.713666666666667
ZG16	-1.87525
MIER1	0.4685
ADAM5P	0.484
CHD9	-0.6224375
STK16	0.3585
KIAA1486	-0.126
TOB2	1.743
BANK1	0.7635
OR2V2	0.54575
GRM2	0.1825
PROSC	-0.10675
SPIN2B	0.7985
PIR	-1.85188888888889
IPO9	-0.1424
EVC	1.39483333333333
CXCL13	2.79916666666667
KIAA1199	-0.3381
SORL1	0.48725
NAT10	-0.153
CHD1	-0.683
SYN3	-0.319
SLC22A2	0.10525
SERPINF1	1.28883333333333
WDR34	-0.2845
OR7A17	0.176
C9orf11	-0.5935
RNF216L	-0.6214
LHB	-0.063
STK25	0.20725
TAOK3	0.414
LOC152573	-2.95425
C3orf39	0.725125
C14orf108	0.9232
CDC25B	-1.42090909090909
BMP3	0.724
TMEM180	0.409
MAP1LC3C	-0.40675
CRYGC	-1.035
POU3F1	-1.5423
C20orf32	-1.5395
CCDC95	-0.9435
HIGD1B	4.13725
USP6NL	0.73975
ABCD4	-0.938833333333333
DIMT1L	-1.19491666666667
TEK	0.2505
SLC25A46	-0.583
LARP7	-1.6157
CD160	0.0366666666666667
MT1JP	-0.708166666666667
PHF20	-0.0749375
CPNE4	-1.4455
GTPBP1	-0.668642857142857
RAB33B	0.898833333333333
ALDOC	-2.516875
ZNF212	0.1495
NUDT1	-1.2295
RFPL2	0.02
ZNF83	1.30916666666667
GDPD5	1.45575
PDCD4	1.35815
CEP350	0.074
OR10A2	0.27825
CST7	-0.316
CIAO1	-1.21525
SELL	0.250375
OR8J3	0.334
LTBP4	0.226
SIRT6	0.1965
CCL19	1.67425
PPIL1	-0.7795
GBP7	0.223
STK17A	-1.456
ABR	-0.31475
OR9G1	0.041
FOXE1	-0.368875
CNGA3	0.317
GML	0.1475
CD38	-3.33675
ZDHHC6	0.102166666666667
NEFH	-2.50875
CTDSP2	0.59475
