Hybridization REF	TCGA-E2-A108-01A-13R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0268333333333333
CREB3L1	0.5035
RPS11	0.85925
PNMA1	0.56775
MMP2	1.0665
C10orf90	-1.429
ZHX3	-0.1835
ERCC5	0.381
GPR98	-0.242375
RXFP3	0.1815
APBB2	1.0485
PRO0478	-0.7505
KLHL13	-0.19275
PRSSL1	0.297333333333333
PDCL3	1.14883333333333
DECR1	0.296625
SALL1	-3.00633333333333
CADM4	0.0768333333333334
RPS18	-0.139214285714286
HNRPD	-0.480166666666667
CFHR5	0.178833333333333
SLC10A7	0.31675
OR2K2	-0.2035
LMAN1	-0.092625
SUHW1	-3.66875
CHD8	-0.6479
SUMO1	0.2028
GP1BA	1.694
DDB1	-0.7745
MYO9B	0.1009
MMP7	7.2635
CRNKL1	0.13675
C9orf45	-1.3905
XAB2	-0.24375
RTN1	1.8635
KLHL14	-0.171125
TBX10	-0.7175
CENPQ	-0.86675
UTY	-0.963461538461538
ZBTB12	-0.8145
DTNBP1	0.184
KBTBD8	0.178166666666667
ZEB1	1.68366666666667
ZG16	-1.11575
MIER1	1.1584
ADAM5P	0.3645
CHD9	0.4775625
STK16	-0.27375
KIAA1486	-0.1655
TOB2	0.1035
BANK1	4.2145
OR2V2	0.2385
GRM2	0.00499999999999999
PROSC	0.40125
SPIN2B	0.17375
PIR	-0.317333333333333
IPO9	-0.4702
EVC	0.808333333333333
CXCL13	6.5715
KIAA1199	-0.3381
SORL1	1.55875
NAT10	-0.67
CHD1	-0.3605
SYN3	-0.07975
SLC22A2	0.04025
SERPINF1	2.07916666666667
WDR34	-0.45825
OR7A17	0.0675
C9orf11	0.4235
RNF216L	-0.4402
LHB	-0.1575
STK25	-0.745
TAOK3	1.395125
LOC152573	-0.714
C3orf39	0.238875
C14orf108	0.2689
CDC25B	-1.52809090909091
BMP3	-0.108
TMEM180	-0.085
MAP1LC3C	1.485
CRYGC	-0.1545
POU3F1	-1.2232
C20orf32	-0.8705
CCDC95	-0.563
HIGD1B	3.74425
USP6NL	0.310125
ABCD4	0.132833333333333
DIMT1L	-0.642083333333333
TEK	2.633875
SLC25A46	-0.5415
LARP7	-1.1809
CD160	1.31633333333333
MT1JP	-0.00516666666666665
PHF20	0.167875
CPNE4	-1.24275
GTPBP1	-0.486428571428571
RAB33B	0.926166666666667
ALDOC	-2.23475
ZNF212	-0.491
NUDT1	0.0878333333333333
RFPL2	-0.43425
ZNF83	0.0721666666666667
GDPD5	-0.162
PDCD4	1.6104
CEP350	-0.0165
OR10A2	0.32375
CST7	3.06075
CIAO1	-0.73425
