Hybridization REF	TCGA-A2-A0EW-01A-21R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0134166666666667
CREB3L1	1.28775
RPS11	1.202625
PNMA1	0.1095
MMP2	1.5815
C10orf90	-0.7915
ZHX3	0.00849999999999997
ERCC5	0.059
GPR98	-0.434875
RXFP3	0.281
APBB2	0.95225
PRO0478	-0.676875
KLHL13	-0.55925
PRSSL1	-0.6235
PDCL3	-0.017
DECR1	0.335125
SALL1	-3.23283333333333
CADM4	1.133
RPS18	0.705928571428571
HNRPD	-0.32825
CFHR5	0.0205
SLC10A7	-0.09475
OR2K2	0.2825
LMAN1	-1.247125
SUHW1	-3.668
CHD8	-0.4828
SUMO1	0.8296
GP1BA	0.9035
DDB1	-0.474333333333333
MYO9B	0.0575
MMP7	6.96
CRNKL1	0.251
C9orf45	-0.7105
XAB2	0.166875
RTN1	3.2735
KLHL14	-0.6225
TBX10	-1.4785
CENPQ	-1.82225
UTY	-1.7455
ZBTB12	-0.0655
DTNBP1	0.097625
KBTBD8	-1.03366666666667
ZEB1	0.1995
ZG16	-1.256
MIER1	-0.00300000000000001
ADAM5P	0.3995
CHD9	-0.1335
STK16	-0.03625
KIAA1486	-0.143
TOB2	1.11058333333333
BANK1	4.047
OR2V2	0.137
GRM2	0.104
PROSC	1.354375
SPIN2B	-0.327
PIR	-1.90288888888889
IPO9	-0.7624
EVC	1.08483333333333
CXCL13	6.659
KIAA1199	-2.2816
SORL1	1.35075
NAT10	-0.66375
CHD1	-0.70775
SYN3	-0.5595
SLC22A2	-0.307
SERPINF1	1.67683333333333
WDR34	-0.053
OR7A17	0.12
C9orf11	-0.123
RNF216L	-0.6868
LHB	-0.125
STK25	0.13025
TAOK3	0.29
LOC152573	-2.27925
C3orf39	0.83875
C14orf108	0.381
CDC25B	-2.09163636363636
BMP3	-0.12
TMEM180	0.065
MAP1LC3C	2.497
CRYGC	-0.112
POU3F1	-1.0618
C20orf32	-0.9435
CCDC95	-0.258
HIGD1B	4.205
USP6NL	-0.388375
ABCD4	-0.331333333333333
DIMT1L	-0.684416666666667
TEK	1.64475
SLC25A46	-0.449
LARP7	-1.1626
CD160	0.837
MT1JP	1.612
PHF20	-0.14075
CPNE4	-1.99925
GTPBP1	0.0695714285714286
RAB33B	0.873166666666667
ALDOC	-1.711125
ZNF212	-0.21025
NUDT1	-1.00516666666667
RFPL2	-0.95925
ZNF83	-0.2055
GDPD5	0.655375
PDCD4	2.23135
CEP350	-0.725
OR10A2	0.27625
CST7	1.36425
CIAO1	-1.0535
SELL	1.291125
OR8J3	0.2355
LTBP4	0.664833333333333
SIRT6	-0.096
CCL19	4.62075
PPIL1	-0.895833333333333
GBP7	0.3416
STK17A	-1.3425
ABR	0.53525
OR9G1	-1.155
FOXE1	-0.498875
CNGA3	0.9985
GML	0.6805
CD38	-2.617
ZDHHC6	-0.118166666666667
NEFH	-0.3535
CTDSP2	0.806333333333333
PGBD5	-0.721166666666667
CCNY	0.490071428571429
RMND5B	0.411083333333333
ZNF257	-2.819
FLJ22167	-0.540375
EXOSC7	-0.372833333333333
ROR2	1.43325
MAOA	2.201625
TNNT3	2.09116666666667
GYPC	0.3855
C7orf33	1.254
PLIN	4.35183333333333
LOC90826	0.2295
RNF4	-0.2909
F8A1	0.594
PLEKHG4	-0.73275
GRB2	0.0048
HIST1H2AD	-1.06575
DUS3L	-0.2515
EIF1	0.116666666666667
RP5-1077B9.4	-0.526666666666667
FPGT	1.139
GDF10	3.77416666666667
COQ9	-0.35675
GCC2	-0.206285714285714
RARRES3	3.11525
PLXNA1	-0.3244
KIAA0100	-0.2435
PMF1	0.2805
FNDC1	5.04875
HS2ST1	0.831583333333333
CRELD2	0.066
C8G	-1.488
CD82	1.531
LIM2	-1.6845
UNQ6490	-0.038
MMP16	0.49475
DRD3	-0.03325
C5orf26	0.59675
C11orf73	-0.211875
PTP4A2	0.61225
OR4M2	0.8035
HPCA	-0.828166666666667
SEC14L1	-0.0406666666666667
CHFR	-0.22675
EMILIN1	1.18675
NDUFS4	-0.05625
COL18A1	1.064125
PDZD3	0.0791
C9orf16	0.241833333333333
ERBB2IP	0.41
EMX2	4.39575
FUS	-0.7805
TF	-2.0761
CLCN4	0.622833333333333
CXorf56	-0.287
C11orf72	0.2535
ELAC2	0.03325
NPR1	1.1305
ASS1	-0.897166666666667
USP42	-0.346375
POLR2J	-0.239
SEC23IP	0.449
UQCRC1	0.177
LOC729603	-0.50975
C1orf71	-0.38275
POLG	-2.632
ADAM23	-3.12575
TFR2	-1.247
RICTOR	-0.7783
MGC39606	1.0025
C19orf55	-0.363875
SNAPC1	-1.55266666666667
GNA11	1.272
CCDC52	-0.212833333333333
FSIP1	1.2965
UPF3A	-0.054875
IGSF11	-1.99516666666667
LAGE3	0.1865
CHST6	-1.9625
UNC13B	0.252875
TTLL4	-0.837625
ZNF687	0.2245
SDC2	-0.3319
COX7A2	-0.5685
LAMB4	0.115
FAM24A	0.2035
LRRTM3	-1.708
GPHB5	0.1895
OR4C13	-0.1385
EIF3EIP	0.450428571428571
HABP4	0.2505
TMEM125	3.22575
CNTN2	0.61425
ASNSD1	-0.36825
FUT4	0.122875
ACF	-3.88925
LOC158381	0.8975
CDH8	0.3695
AGPS	-0.217833333333333
C4orf18	3.009875
PECI	0.792166666666667
UNG	-0.789
GSTP1	-0.598
DCUN1D5	-1.58516666666667
DKFZP564J0863	-0.89925
SLC9A3R1	0.797125
BCDO2	-0.232125
CHMP7	-0.22075
REM2	0.9925
DNHD1	-0.314125
FKBP4	-0.68025
ZNF350	1.41675
MGC11102	-0.054125
BST1	2.0365
KISS1R	0.787
NCR2	0.787
DEFB125	-0.8005
UBE2W	0.588875
KRT15	3.885
C10orf99	0.0875
SCN11A	0.462125
GFI1	-1.52425
RDHE2	3.36783333333333
FHL1	2.1
OSGEP	0.0183333333333333
GATA1	-3.47533333333333
SMC6	-1.7165
TTTY14	-1.25375
LPIN3	-0.0735
RPL4	0.3908
RBPMS	0.5907
PRPF3	-1.21166666666667
EMR1	-1.3295
SPATA19	0.152
XCR1	0.008
IRX3	2.9302
RBM6	-0.18725
KLF4	1.3025
UNC5CL	-0.5625
SEBOX	0.199
BTK	-0.22225
KRCC1	1.53425
C6orf27	0.51
SYTL5	-1.174
PRND	3.172625
LOC653319	-1.371
PIGL	-1.51275
HUS1	-0.625833333333333
SFRS6	-0.865333333333333
C17orf77	0.5355
UIMC1	-0.370166666666667
FXYD2	-1.6599
LOC283152	0.8815
ZNF667	0.297
ZCCHC12	-0.52275
TFEC	2.9276
ATP7B	0.464333333333333
POLD2	-0.963
RG9MTD1	-0.38075
ACOT2	1.44783333333333
HIST1H4I	-1.770875
PPARGC1A	-0.8908
ETFA	-0.8143
POLRMT	0.24725
ZNF146	-0.4135
