Hybridization REF	TCGA-E2-A15D-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.286916666666667
CREB3L1	1.11
RPS11	0.20975
PNMA1	-0.01525
MMP2	0.813
C10orf90	-1.899
ZHX3	-0.4705
ERCC5	0.13575
GPR98	0.2255
RXFP3	0.4495
APBB2	0.841
PRO0478	-0.531125
KLHL13	-1.63175
PRSSL1	0.3515
PDCL3	-0.1245
DECR1	-0.198
SALL1	-2.86616666666667
CADM4	0.6885
RPS18	-0.16
HNRPD	-1.02341666666667
CFHR5	0.8
SLC10A7	0.135625
OR2K2	-0.058
LMAN1	-0.871375
SUHW1	-4.0785
CHD8	0.0208
SUMO1	0.0223
GP1BA	0.9095
DDB1	-0.0905
MYO9B	-0.1385
MMP7	3.4515
CRNKL1	0.559625
C9orf45	-0.843166666666667
XAB2	-0.18375
RTN1	1.40642857142857
KLHL14	-0.796625
TBX10	-1.66
CENPQ	-2.5725
UTY	-1.54576923076923
ZBTB12	0.075
DTNBP1	0.2415
KBTBD8	-2.13916666666667
ZEB1	0.3215
ZG16	-1.7815
MIER1	0.085
ADAM5P	-0.17
CHD9	-0.50925
STK16	-0.24575
KIAA1486	-1.167
TOB2	1.22483333333333
BANK1	3.9285
OR2V2	0.42175
GRM2	0.059
PROSC	0.6775
SPIN2B	-0.55625
PIR	-2.87855555555556
IPO9	-0.2844
EVC	1.46966666666667
CXCL13	4.7995
KIAA1199	-1.4482
SORL1	1.66475
NAT10	-0.415
CHD1	-0.589
SYN3	-0.51175
SLC22A2	-0.6955
SERPINF1	1.7575
WDR34	0.016
OR7A17	0.015
C9orf11	-0.1085
RNF216L	0.1771
LHB	-0.347
STK25	-0.236
TAOK3	0.890625
LOC152573	-3.12625
C3orf39	0.49325
C14orf108	-0.0731
CDC25B	-1.72536363636364
BMP3	1.1025
TMEM180	0.0485
MAP1LC3C	-0.24975
CRYGC	-2.046
POU3F1	-1.2375
C20orf32	-1.842
CCDC95	0.4385
HIGD1B	4.41375
USP6NL	-0.45825
ABCD4	0.170333333333333
DIMT1L	-1.16125
TEK	1.735375
SLC25A46	-1.472
LARP7	-1.3732
CD160	-0.817666666666667
MT1JP	-0.908166666666667
PHF20	0.1488125
CPNE4	-0.23725
GTPBP1	-0.256714285714286
RAB33B	0.477
ALDOC	-2.886625
ZNF212	0.3345
NUDT1	-1.11616666666667
RFPL2	-0.31325
ZNF83	0.477333333333333
GDPD5	-0.27075
PDCD4	2.53975
CEP350	1.20525
OR10A2	0.317
CST7	1.0815
CIAO1	-1.0745
SELL	0.978625
OR8J3	-0.407
LTBP4	-0.0446666666666667
SIRT6	-0.215
CCL19	4.2595
PPIL1	-1.6635
GBP7	0.942833333333333
STK17A	-1.446
ABR	1.06575
OR9G1	0.7575
FOXE1	-1.061375
CNGA3	2.162
GML	0.3005
CD38	-3.36175
ZDHHC6	0.0378333333333333
NEFH	-1.63725
CTDSP2	0.944666666666667
PGBD5	-2.05366666666667
CCNY	0.2775
RMND5B	0.340416666666667
ZNF257	-1.351
FLJ22167	0.367125
EXOSC7	-1.105
