Hybridization REF	TCGA-BH-A0H5-11A-62R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.500916666666667
CREB3L1	0.06775
RPS11	0.428875
PNMA1	-0.0775
MMP2	0.213
C10orf90	0.62225
ZHX3	-0.459333333333333
ERCC5	0.7695
GPR98	0.493375
RXFP3	0.5835
APBB2	0.5345
PRO0478	1.249375
KLHL13	2.439
PRSSL1	-1.33833333333333
PDCL3	0.0888333333333333
DECR1	-0.090625
SALL1	-4.36816666666667
CADM4	-0.148166666666667
RPS18	0.108642857142857
HNRPD	-0.155666666666667
CFHR5	0.287666666666667
SLC10A7	0.06275
OR2K2	0.846
LMAN1	-1.47275
SUHW1	-3.3985
CHD8	0.164
SUMO1	-0.3244
GP1BA	1.0792
DDB1	-0.265333333333333
MYO9B	-0.8509
MMP7	6.88525
CRNKL1	0.351375
C9orf45	-0.841166666666667
XAB2	-0.294375
RTN1	1.724875
KLHL14	0.240375
TBX10	-0.9545
CENPQ	-1.95925
UTY	-1.77814285714286
ZBTB12	-0.43
DTNBP1	0.099625
KBTBD8	-2.09183333333333
ZEB1	0.0745
ZG16	-0.8655
MIER1	0.1459
ADAM5P	-0.385
CHD9	0.314125
STK16	0.8125
KIAA1486	1.91
TOB2	0.482083333333333
BANK1	2.375
OR2V2	0.26725
GRM2	0.208166666666667
PROSC	0.206375
SPIN2B	-0.07225
PIR	-2.443
IPO9	-0.7352
EVC	1.04716666666667
CXCL13	2.92716666666667
KIAA1199	-3.8691
SORL1	1.083
NAT10	-0.92625
CHD1	-0.47475
SYN3	-1.018
SLC22A2	-0.29825
SERPINF1	0.823166666666667
WDR34	-1.05625
OR7A17	0.45875
C9orf11	0.037
RNF216L	-0.2803
LHB	0.525
STK25	-0.505
TAOK3	0.872
LOC152573	-2.3385
C3orf39	0.32925
C14orf108	-0.0327
CDC25B	-1.80836363636364
BMP3	0.856
TMEM180	-0.373
MAP1LC3C	1.1075
CRYGC	0.3315
POU3F1	-0.7714
C20orf32	-1.164
CCDC95	-0.432
HIGD1B	3.394
USP6NL	0.02625
ABCD4	0.3875
DIMT1L	-0.458333333333333
TEK	1.58625
SLC25A46	-0.4745
LARP7	-0.6432
CD160	1.20816666666667
MT1JP	1.28066666666667
PHF20	-0.4088125
CPNE4	-1.31325
GTPBP1	-0.325142857142857
RAB33B	0.809666666666667
ALDOC	-0.79375
ZNF212	0.19675
NUDT1	-1.37266666666667
RFPL2	0.05375
ZNF83	0.7095
GDPD5	-0.5975
PDCD4	1.9169
CEP350	0.45525
OR10A2	0.06875
CST7	-0.9395
CIAO1	-1.3735
SELL	-0.236125
OR8J3	2.638
LTBP4	0.117833333333333
SIRT6	-0.67375
CCL19	3.85225
PPIL1	-1.89616666666667
GBP7	0.821166666666667
STK17A	-0.5099
ABR	0.6855
OR9G1	1.0545
FOXE1	-0.9665
CNGA3	1.1645
GML	0.576
CD38	-2.0745
ZDHHC6	0.0815
NEFH	-1.418
CTDSP2	1.49766666666667
PGBD5	-1.89133333333333
CCNY	0.537285714285714
RMND5B	-0.215166666666667
ZNF257	-0.84825
FLJ22167	0.18075
EXOSC7	-0.368166666666667
ROR2	0.78025
MAOA	2.503625
TNNT3	1.56616666666667
GYPC	-0.06725
C7orf33	-0.028
PLIN	4.19633333333333
LOC90826	-0.07875
RNF4	-0.2688
F8A1	-0.135333333333333
PLEKHG4	0.395
GRB2	-0.63775
HIST1H2AD	-0.74925
DUS3L	-1.02433333333333
EIF1	0.297833333333333
RP5-1077B9.4	-1.41383333333333
FPGT	0.7295
GDF10	2.43983333333333
COQ9	-0.22725
GCC2	0.856857142857143
RARRES3	2.529125
PLXNA1	-0.3182
KIAA0100	-0.5043
PMF1	-0.30925
FNDC1	2.851
HS2ST1	-0.5195
CRELD2	-0.227
C8G	-2.1385
CD82	1.1965
LIM2	-1.1435
UNQ6490	-0.1135
MMP16	1.003
DRD3	0.11575
C5orf26	0.91725
C11orf73	-0.855625
PTP4A2	-0.206
OR4M2	0.624
HPCA	-1.12766666666667
SEC14L1	-0.395833333333333
CHFR	-1.01275
EMILIN1	0.069625
NDUFS4	0.02125
COL18A1	-0.088875
PDZD3	0.1381
C9orf16	-0.4135
ERBB2IP	-0.033
EMX2	2.64075
FUS	-1.07925
TF	-2.1724
CLCN4	0.3235
CXorf56	0.495
C11orf72	1.18875
ELAC2	-0.652166666666667
NPR1	1.155
ASS1	-0.966333333333333
USP42	-0.252
POLR2J	-0.891
SEC23IP	0.0715
UQCRC1	-0.583
LOC729603	-0.203
C1orf71	-0.874875
POLG	-2.2565
ADAM23	-3.408
TFR2	-2.163
RICTOR	-0.279
MGC39606	1.47
C19orf55	-0.176875
SNAPC1	-0.875166666666667
GNA11	0.805625
CCDC52	-0.260833333333333
FSIP1	2.444
UPF3A	0.309
IGSF11	-2.02666666666667
LAGE3	-1.39075
CHST6	-2.7825
UNC13B	0.307625
TTLL4	-0.620125
ZNF687	-0.386625
SDC2	-0.1041
COX7A2	-0.74825
LAMB4	0.24675
FAM24A	1.409
LRRTM3	-1.2024
GPHB5	0.1965
OR4C13	0.0455
EIF3EIP	-0.0360714285714286
HABP4	-0.2335
TMEM125	2.92875
CNTN2	0.597625
ASNSD1	0.332
FUT4	-0.179125
ACF	-2.31
LOC158381	-0.265
CDH8	0.502
AGPS	-1.40133333333333
C4orf18	3.452375
PECI	-0.13925
UNG	-0.663875
GSTP1	-0.028
DCUN1D5	-1.81216666666667
DKFZP564J0863	-1.60675
SLC9A3R1	0.4615
BCDO2	0.17175
CHMP7	-0.2575
REM2	-0.467
DNHD1	-0.09025
FKBP4	-0.44775
ZNF350	1.73525
MGC11102	-0.91575
BST1	1.181
KISS1R	1.081
NCR2	-0.2425
DEFB125	0.785
UBE2W	0.248125
KRT15	4.474
C10orf99	1.0665
SCN11A	1.077375
GFI1	-1.45325
RDHE2	2.605
FHL1	1.82266666666667
OSGEP	-0.229833333333333
GATA1	-2.766
SMC6	-1.60275
TTTY14	-0.6665
LPIN3	-0.4065
RPL4	-0.0372
RBPMS	0.5621
PRPF3	-0.278833333333333
EMR1	-2.7815
SPATA19	0.09225
XCR1	2.394
IRX3	1.8704
RBM6	0.27375
KLF4	0.9835
UNC5CL	-0.252
SEBOX	-0.4545
BTK	-2.08275
KRCC1	1.52375
C6orf27	1.113
SYTL5	-0.1355
PRND	2.488625
LOC653319	-1.1175
PIGL	-1.220125
HUS1	-1.1145
SFRS6	0.0190833333333333
C17orf77	0.5175
UIMC1	-0.2925
FXYD2	-1.2342
LOC283152	-0.0805
ZNF667	1.33475
ZCCHC12	-0.05975
TFEC	1.5714
ATP7B	-0.512
POLD2	-0.989
RG9MTD1	-0.10275
ACOT2	0.0696666666666667
HIST1H4I	-1.869625
PPARGC1A	-0.5811
ETFA	-1.119
POLRMT	-0.778
ZNF146	0.228125
MIA2	-1.08
KLHL6	-1.53416666666667
HOXB5	-0.985375
NENF	0.0456666666666667
CUGBP1	-1.322
PRSS22	0.5945
CASC4	0.4889
CUL4B	0.1009
CENPJ	-1.141
PITX1	-1.05166666666667
FLJ31033	0.333666666666667
CELSR3	-2.155
ZNF568	1.06975
ITSN1	-0.23675
EHBP1L1	-1.42166666666667
C19orf2	-0.4265
DCTN1	0.77575
LIN28B	-3.74883333333333
TNKS2	0.82075
C1QBP	-0.797375
CADPS2	1.72775
SRMS	-0.096
GJA9	0.0776666666666666
MGC24975	-0.766166666666667
TRIM45	-0.0735
TSP50	1.632
TCP1	-0.899
TMED7	-0.6248
CMA1	1.792
CENPL	-1.7745
PTCRA	-0.368
FST	-2.45975
VWCE	-1.7505
PAWR	0.14225
ABCC12	0.652333333333333
LDLR	-2.0289
ASTN2	0.6252
LOC441212	-0.337875
GPATCH8	0.07025
TANC2	-0.287333333333333
KIF4A	-2.78675
C18orf18	-0.22375
PGM1	-0.28325
KIAA0258	-1.08875
CPD	0.274875
SNCAIP	-0.2
DCT	-3.573
HLA-DOA	2.39986363636364
OR11L1	1.5985
UPK1B	-0.483166666666667
DNAJB4	0.7175
UGT1A8	0.861
HIST1H4L	-2.293
PECR	-1.081
HSPA2	1.05525
WFIKKN1	-2.181
SERP1	0.707125
SYDE2	0.7335
TACR2	3.422
NUP85	-0.811
CD177	0.1095
LGR5	-1.9495
PIGG	-0.348416666666667
PTHR1	-0.677166666666667
RAB5A	0.4108
FLJ13224	-0.1655
USP9Y	-2.98766666666667
C7orf53	-0.1825
LRP1B	0.70725
XAF1	1.6746
ABCG8	-0.2745
ANKDD1A	0.922666666666667
DAND5	0.6125
SPAG6	1.59983333333333
LINCR	2.8525
ZDHHC22	-0.80725
CCDC60	-0.094
THOC7	-0.485833333333333
TCTA	0.7172
OR8K3	0.24725
NY-REN-7	1.32925
B2M	0.424166666666667
C6orf141	-1.11175
LPPR4	2.17225
SQLE	-2.498375
SEPHS1	-0.97925
BTBD14B	0.492285714285714
PLRG1	0.09225
SPG7	-0.44125
ZNF614	0.03
PARD6G	0.825166666666667
INPP5B	-1.0095
GRPEL2	-1.097625
PPID	1.0494
TRIM56	0.31575
UBE2J1	-0.4485
IL20RA	4.869
LOC387856	0.045
C1orf107	0.294583333333333
UTS2R	-0.02225
C19orf22	0.1415
SAFB2	0.09225
