Hybridization REF	TCGA-E2-A154-01A-11R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.364583333333333
CREB3L1	1.39175
RPS11	0.384625
PNMA1	0.669
MMP2	1.45883333333333
C10orf90	-2.2
ZHX3	-0.545833333333333
ERCC5	0.53775
GPR98	0.15575
RXFP3	0.4145
APBB2	1.44725
PRO0478	-0.751625
KLHL13	-2.628
PRSSL1	-0.8605
PDCL3	0.102166666666667
DECR1	-0.14625
SALL1	-2.6315
CADM4	0.889166666666667
RPS18	0.341785714285714
HNRPD	-0.669416666666667
CFHR5	0.2846
SLC10A7	-0.2895
OR2K2	0.1235
LMAN1	-1.18175
SUHW1	-3.07075
CHD8	0.5403
SUMO1	0.1297
GP1BA	-0.392
DDB1	0.076
MYO9B	-0.0441
MMP7	5.01375
CRNKL1	1.203625
C9orf45	-1.08083333333333
XAB2	1.052625
RTN1	1.91425
KLHL14	-1.020625
TBX10	-0.7585
CENPQ	-1.662
UTY	-1.126
ZBTB12	0.0295
DTNBP1	-0.04775
KBTBD8	-2.46566666666667
ZEB1	0.350666666666667
ZG16	-1.334
MIER1	-0.2029
ADAM5P	1.5325
CHD9	-0.2921875
STK16	0.65425
KIAA1486	0.064
TOB2	0.737666666666667
BANK1	1.3895
OR2V2	0.4415
GRM2	-0.0481666666666667
PROSC	0.783875
SPIN2B	-0.46
PIR	-3.40133333333333
IPO9	0.1121
EVC	0.228166666666667
CXCL13	1.14516666666667
KIAA1199	0.5412
SORL1	-0.13225
NAT10	-0.3685
CHD1	-0.2975
SYN3	-0.383
SLC22A2	-0.595
SERPINF1	0.9885
WDR34	-0.40325
OR7A17	0.38925
C9orf11	0.465
RNF216L	-0.1023
LHB	-0.27
STK25	-0.32725
TAOK3	0.935875
LOC152573	-3.71975
C3orf39	0.575875
C14orf108	0.1092
CDC25B	-1.50890909090909
BMP3	0.1385
TMEM180	0.073
MAP1LC3C	-0.22725
CRYGC	-0.991
POU3F1	-1.6745
C20orf32	-1.4395
CCDC95	0.342
HIGD1B	3.34625
USP6NL	0.298
ABCD4	-0.0971666666666667
DIMT1L	-0.715916666666667
TEK	-0.046875
SLC25A46	-0.5345
LARP7	-1.6923
CD160	0.1205
MT1JP	-1.73483333333333
PHF20	0.217375
CPNE4	-1.79925
GTPBP1	-0.160357142857143
RAB33B	0.8185
ALDOC	-0.936125
ZNF212	-0.1215
NUDT1	-0.806
RFPL2	-0.39425
ZNF83	0.444833333333333
GDPD5	-1.74725
PDCD4	2.38445
CEP350	0.877
OR10A2	0.15225
CST7	0.60875
CIAO1	-1.0195
SELL	0.027875
OR8J3	-0.1185
LTBP4	-0.0733333333333333
SIRT6	-0.0805
CCL19	1.1925
PPIL1	-1.56216666666667
