Hybridization REF	TCGA-B6-A0I2-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.11275
CREB3L1	1.25825
RPS11	0.7845
PNMA1	-0.936
MMP2	-1.75483333333333
C10orf90	-4.20725
ZHX3	0.181666666666667
ERCC5	0.27975
GPR98	-2.732
RXFP3	0.484
APBB2	-0.03075
PRO0478	-1.098375
KLHL13	-4.3555
PRSSL1	-0.846
PDCL3	0.295
DECR1	-0.176
SALL1	-4.2708
CADM4	0.854
RPS18	1.41485714285714
HNRPD	-0.945083333333333
CFHR5	1.26775
SLC10A7	-0.506571428571429
OR2K2	1.184
LMAN1	-0.257625
SUHW1	-3.1135
CHD8	-0.5636
SUMO1	0.3689
GP1BA	1.0857
DDB1	-0.111666666666667
MYO9B	-0.5019
MMP7	7.0455
CRNKL1	0.339
C9orf45	-1.10666666666667
XAB2	-0.211375
RTN1	0.945857142857143
KLHL14	-2.237875
TBX10	-0.331
CENPQ	-1.6825
UTY	-2.27636363636364
ZBTB12	-0.7175
DTNBP1	0.863
KBTBD8	-0.636333333333333
ZEB1	-2.29083333333333
ZG16	-2.8505
MIER1	0.4057
ADAM5P	0.157
CHD9	-0.5175
STK16	1.08
KIAA1486	0.1095
TOB2	1.075
BANK1	2.72975
OR2V2	-0.5975
GRM2	0.262
PROSC	-0.027625
SPIN2B	0.5495
PIR	-1.45955555555556
IPO9	-0.462444444444444
EVC	0.384333333333333
CXCL13	6.88183333333333
KIAA1199	-3.0299
SORL1	0.497
NAT10	0.44525
CHD1	-0.146
SYN3	-0.78325
SLC22A2	0.10525
SERPINF1	-0.999166666666667
WDR34	-0.24
OR7A17	0.38
C9orf11	0.715
RNF216L	0.6255
LHB	0.4365
STK25	-0.91075
TAOK3	0.864
LOC152573	-2.28475
C3orf39	-0.459875
C14orf108	-0.3531
CDC25B	-1.58127272727273
BMP3	-0.055
TMEM180	-0.2515
MAP1LC3C	0.9715
CRYGC	-1.7875
POU3F1	-1.4502
C20orf32	-0.928
CCDC95	-0.2075
HIGD1B	2.79875
USP6NL	0.3225
ABCD4	-0.355666666666667
DIMT1L	-0.494
TEK	-0.4965
SLC25A46	-0.64725
LARP7	-1.3723
CD160	1.3105
MT1JP	1.31616666666667
PHF20	-0.648375
CPNE4	-1.18466666666667
GTPBP1	0.125214285714286
RAB33B	-0.611333333333333
ALDOC	-1.697
ZNF212	0.0945
NUDT1	0.331333333333333
RFPL2	-1.141
ZNF83	0.505166666666667
GDPD5	-0.6095
PDCD4	1.23425
CEP350	-0.064
OR10A2	1.02975
CST7	2.344
CIAO1	-0.18375
SELL	0.998428571428572
OR8J3	0.1995
LTBP4	-0.537666666666667
SIRT6	0.29075
CCL19	5.03575
PPIL1	-0.5525
GBP7	0.2624
STK17A	-0.3768
ABR	-0.97275
OR9G1	0.565
FOXE1	-0.423625
CNGA3	-0.002
GML	0.888
CD38	1.364
ZDHHC6	-0.118166666666667
NEFH	-2.455
CTDSP2	0.316416666666667
PGBD5	-2.24566666666667
CCNY	0.206
RMND5B	-0.482666666666667
ZNF257	-1.883
FLJ22167	-0.7135
EXOSC7	-0.3915
ROR2	0.55075
MAOA	-0.499
TNNT3	0.2305
GYPC	0.592
C7orf33	3.398
PLIN	0.2695
LOC90826	-0.74525
RNF4	-0.0489
F8A1	1.274
PLEKHG4	-0.95875
GRB2	-0.10575
HIST1H2AD	-0.13025
DUS3L	-0.8205
EIF1	-1.05616666666667
RP5-1077B9.4	-0.494666666666667
FPGT	1.18475
GDF10	-0.9935
COQ9	-0.21675
GCC2	-0.184142857142857
RARRES3	3.0095
PLXNA1	0.7299
KIAA0100	-0.1481
PMF1	0.19075
FNDC1	5.62175
HS2ST1	-0.02475
CRELD2	1.866
C8G	-0.355
CD82	2.21825
LIM2	-1.4175
UNQ6490	-0.114
MMP16	-0.27375
DRD3	-0.6125
C5orf26	-0.5225
C11orf73	-0.5145
PTP4A2	0.604875
OR4M2	0.2715
HPCA	-1.17533333333333
SEC14L1	0.689166666666667
CHFR	-0.1145
EMILIN1	0.10875
NDUFS4	-1.3405
COL18A1	-0.03675
PDZD3	-0.2698
C9orf16	0.255333333333333
ERBB2IP	-0.0405
EMX2	1.66
FUS	-1.19875
TF	-0.3941
CLCN4	1.6435
CXorf56	0.47575
C11orf72	0.68425
ELAC2	-0.377416666666667
NPR1	-0.81525
ASS1	-0.00916666666666669
USP42	0.0905
POLR2J	-0.369
SEC23IP	-0.145666666666667
UQCRC1	-0.817
LOC729603	-0.4865
C1orf71	-0.298125
POLG	-2.293
ADAM23	-3.992
TFR2	-0.2225
RICTOR	-0.7989
MGC39606	0.4245
C19orf55	-0.128375
SNAPC1	-0.969166666666667
GNA11	0.30325
