Hybridization REF	TCGA-AO-A126-01A-11R-A10J-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.12525
CREB3L1	1.7765
RPS11	0.913125
PNMA1	-0.262
MMP2	1.69583333333333
C10orf90	-2.01275
ZHX3	0.471
ERCC5	0.82475
GPR98	-0.3905
RXFP3	0.5305
APBB2	1.39875
PRO0478	-0.348875
KLHL13	-3.1015
PRSSL1	-0.632166666666667
PDCL3	-0.0496666666666667
DECR1	-0.155375
SALL1	-3.72033333333333
CADM4	1.194
RPS18	0.825142857142857
HNRPD	-0.780333333333333
CFHR5	0.0611666666666667
SLC10A7	0.35825
OR2K2	0.416
LMAN1	-2.122875
SUHW1	-3.98625
CHD8	0.4952
SUMO1	0.9344
GP1BA	0.9753
DDB1	-0.822666666666667
MYO9B	-0.1096
MMP7	2.013
CRNKL1	0.503
C9orf45	0.525
XAB2	0.416
RTN1	1.283375
KLHL14	-1.08225
TBX10	-1.306
CENPQ	-2.23325
UTY	-0.838285714285714
ZBTB12	-0.0245
DTNBP1	-0.06275
KBTBD8	-1.8105
ZEB1	1.78966666666667
ZG16	-1.66175
MIER1	1.0599
ADAM5P	0.963
CHD9	-0.3624375
STK16	0.95075
KIAA1486	-0.425
TOB2	1.433
BANK1	2.23925
OR2V2	0.1375
GRM2	-0.0648333333333333
PROSC	-0.343875
SPIN2B	0.28125
PIR	-2.19266666666667
IPO9	-0.5779
EVC	1.40766666666667
CXCL13	3.25916666666667
KIAA1199	-0.8834
SORL1	2.63225
NAT10	-0.125
CHD1	-0.428
SYN3	-0.1335
SLC22A2	-0.2645
SERPINF1	1.34583333333333
WDR34	-0.098
OR7A17	0.31875
C9orf11	-0.5685
RNF216L	0.0910000000000001
LHB	-0.0115
STK25	-0.08475
TAOK3	0.888625
LOC152573	-3.4875
C3orf39	-0.003875
C14orf108	-0.7248
CDC25B	-2.11481818181818
BMP3	0.18
TMEM180	-0.198
MAP1LC3C	-0.302
CRYGC	-0.1455
POU3F1	-0.9963
C20orf32	-1.432
CCDC95	0.212
HIGD1B	4.522
USP6NL	-0.34475
ABCD4	-0.0311666666666667
DIMT1L	-1.00033333333333
TEK	1.4095
SLC25A46	-1.46725
LARP7	-1.0773
CD160	0.431666666666667
MT1JP	-1.20166666666667
PHF20	0.11225
CPNE4	-1.702
GTPBP1	-0.0174285714285714
RAB33B	0.955666666666667
ALDOC	-2.242625
ZNF212	0.054
NUDT1	-1.01166666666667
RFPL2	0.23025
ZNF83	0.0515
GDPD5	-0.59775
PDCD4	1.6444
CEP350	0.00275
OR10A2	0.20925
CST7	0.56825
CIAO1	-1.332
SELL	0.785875
OR8J3	0.1215
LTBP4	0.506666666666667
SIRT6	0.57325
CCL19	3.06825
PPIL1	-1.09033333333333
GBP7	0.206833333333333
STK17A	-0.558
ABR	0.38425
OR9G1	0.569
FOXE1	-0.963875
CNGA3	1.953
GML	0.425
CD38	-3.81025
ZDHHC6	-0.0396666666666667
NEFH	-2.19825
CTDSP2	0.991083333333333
PGBD5	-2.18983333333333
CCNY	0.649214285714286
RMND5B	0.427083333333333
ZNF257	-0.7275
FLJ22167	-0.5195
EXOSC7	-1.32416666666667
ROR2	1.48675
MAOA	0.581
TNNT3	1.77466666666667
GYPC	-0.57625
C7orf33	0.5
PLIN	0.9105
LOC90826	-0.21575
RNF4	-0.0503
F8A1	0.6665
PLEKHG4	-0.17975
GRB2	1.22365
HIST1H2AD	0.3525
DUS3L	-1.01116666666667
EIF1	-0.251833333333333
RP5-1077B9.4	-0.544333333333333
FPGT	0.96175
GDF10	-0.609666666666667
COQ9	-0.709
GCC2	0.321571428571429
RARRES3	3.09925
PLXNA1	-0.5708
KIAA0100	0.2169
PMF1	-0.03325
FNDC1	5.75475
HS2ST1	0.238833333333333
CRELD2	0.40975
C8G	-0.8805
CD82	0.87975
LIM2	-0.9965
UNQ6490	-0.3185
MMP16	0.31225
DRD3	-0.00825
C5orf26	-0.163
