Hybridization REF	TCGA-B6-A0IP-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.405833333333333
CREB3L1	0.80475
RPS11	0.55675
PNMA1	0.28025
MMP2	0.542666666666667
C10orf90	-1.65725
ZHX3	0.1915
ERCC5	0.12275
GPR98	-1.89371428571429
RXFP3	0.569
APBB2	1.68275
PRO0478	-0.772
KLHL13	-1.89975
PRSSL1	-1.12066666666667
PDCL3	-0.0181666666666667
DECR1	0.021625
SALL1	-2.99266666666667
CADM4	0.7535
RPS18	0.3415
HNRPD	-0.48375
CFHR5	-0.285333333333333
SLC10A7	0.46975
OR2K2	0.2145
LMAN1	-1.176
SUHW1	-3.7195
CHD8	0.0535
SUMO1	0.8806
GP1BA	1.359
DDB1	-0.198333333333333
MYO9B	-0.3201
MMP7	7.59925
CRNKL1	0.27575
C9orf45	0.2225
XAB2	0.011375
RTN1	2.10325
KLHL14	-0.330375
TBX10	-1.027
CENPQ	-1.40775
UTY	-1.14361538461538
ZBTB12	0.1825
DTNBP1	0.7425
KBTBD8	-0.956666666666667
ZEB1	-0.0343333333333333
ZG16	-2.031
MIER1	0.7197
ADAM5P	0.618
CHD9	-0.1885625
STK16	-0.21875
KIAA1486	-0.7985
TOB2	1.14133333333333
BANK1	5.23175
OR2V2	0.44375
GRM2	-0.230833333333333
PROSC	0.519875
SPIN2B	0.214
PIR	-3.89344444444444
IPO9	-0.3479
EVC	0.9125
CXCL13	6.6245
KIAA1199	-0.8228
SORL1	2.26075
NAT10	-0.366
CHD1	-0.4505
SYN3	-0.88025
SLC22A2	-1.78675
SERPINF1	0.343166666666667
WDR34	-0.085
OR7A17	0.37375
C9orf11	-0.355
RNF216L	-0.3892
LHB	-0.207
STK25	-0.348375
TAOK3	1.09125
LOC152573	-3.3975
C3orf39	0.846875
C14orf108	0.3545
CDC25B	-2.20909090909091
BMP3	-0.437
TMEM180	-0.541
MAP1LC3C	-0.09175
CRYGC	-0.3035
POU3F1	-1.614
C20orf32	-2.4145
CCDC95	-0.0575
HIGD1B	3.54
USP6NL	-0.666
ABCD4	0.169666666666667
DIMT1L	-0.676416666666667
TEK	1.0775
SLC25A46	-0.6685
LARP7	-1.2318
CD160	-0.221166666666667
MT1JP	-0.145333333333333
PHF20	0.1245
CPNE4	-1.88966666666667
GTPBP1	-0.170285714285714
RAB33B	1.4665
ALDOC	-2.672375
ZNF212	0.16375
NUDT1	-1.01016666666667
RFPL2	-0.9805
ZNF83	0.025
GDPD5	-0.636875
PDCD4	2.92815
CEP350	0.399
OR10A2	0.32225
CST7	0.71
CIAO1	-1.36
SELL	1.710875
OR8J3	-0.418
LTBP4	-0.369833333333333
SIRT6	-0.057
CCL19	4.77825
PPIL1	-1.36333333333333
GBP7	0.6685
STK17A	-1.1719
ABR	0.6435
OR9G1	-0.14
FOXE1	-0.88875
CNGA3	1.69
GML	0.497
CD38	-2.4335
ZDHHC6	0.416333333333333
NEFH	-1.5355
CTDSP2	0.854
PGBD5	-2.1855
CCNY	0.337071428571429
RMND5B	0.64775
ZNF257	-1.16325
FLJ22167	-0.31325
EXOSC7	-0.536666666666667
ROR2	0.26375
