Hybridization REF	TCGA-AN-A0XO-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.890083333333333
CREB3L1	1.12225
RPS11	0.65325
PNMA1	-0.1975
MMP2	0.806833333333333
C10orf90	-2.19125
ZHX3	0.0315
ERCC5	-0.0645
GPR98	-0.723625
RXFP3	0.609
APBB2	1.851
PRO0478	-1.303875
KLHL13	-0.88825
PRSSL1	-0.935833333333333
PDCL3	-0.107666666666667
DECR1	-0.62575
SALL1	-2.46366666666667
CADM4	1.47966666666667
RPS18	0.347642857142857
HNRPD	-0.726583333333333
CFHR5	0.6495
SLC10A7	0.2115
OR2K2	0.8835
LMAN1	-0.311125
SUHW1	-4.02825
CHD8	-0.1318
SUMO1	0.3488
GP1BA	-0.4604
DDB1	-0.2145
MYO9B	-0.2077
MMP7	6.0875
CRNKL1	0.75325
C9orf45	-1.27316666666667
XAB2	0.477
RTN1	2.101375
KLHL14	-1.938
TBX10	-0.9955
CENPQ	-2.10125
UTY	-0.780357142857143
ZBTB12	0.6805
DTNBP1	-0.547
KBTBD8	-2.81183333333333
ZEB1	0.0991666666666667
ZG16	-1.4795
MIER1	0.2567
ADAM5P	0.4585
CHD9	0.1625
STK16	0.41375
KIAA1486	-0.118
TOB2	0.459916666666667
BANK1	1.68475
OR2V2	0.40025
GRM2	-0.242
PROSC	1.20025
SPIN2B	0.3305
PIR	-1.51033333333333
IPO9	0.0702
EVC	0.9625
CXCL13	0.911166666666667
KIAA1199	-0.1765
SORL1	0.96875
NAT10	-0.67925
CHD1	0.54225
SYN3	-0.38525
SLC22A2	-0.12425
SERPINF1	0.7745
WDR34	-1.2785
OR7A17	0.506
C9orf11	-0.649
RNF216L	-0.3074
LHB	0.0995
STK25	-0.422625
TAOK3	-0.06275
LOC152573	-3.164
C3orf39	0.51725
C14orf108	0.7504
CDC25B	-2.37136363636364
BMP3	0.0775
TMEM180	-0.282
MAP1LC3C	-0.2385
CRYGC	-0.339
POU3F1	-1.1455
C20orf32	-1.051
CCDC95	-0.379
HIGD1B	3.861
USP6NL	0.10025
ABCD4	-0.583166666666667
DIMT1L	-0.618916666666667
TEK	0.041875
SLC25A46	-0.215
LARP7	-1.7567
CD160	-0.147833333333333
MT1JP	-0.462666666666667
PHF20	0.4400625
CPNE4	-1.31425
GTPBP1	-0.873214285714286
RAB33B	0.725
ALDOC	-2.199875
ZNF212	0.0955
NUDT1	-0.973166666666667
RFPL2	-0.45825
ZNF83	-0.140666666666667
GDPD5	-0.62825
PDCD4	2.0311
CEP350	-0.005
OR10A2	0.467
CST7	-0.03525
CIAO1	-0.82325
SELL	0.179875
OR8J3	0.2505
LTBP4	-0.3455
SIRT6	-0.134
CCL19	2.287
PPIL1	-0.918333333333333
GBP7	0.104833333333333
STK17A	-1.1969
ABR	-0.46525
OR9G1	0.1485
FOXE1	-0.48175
CNGA3	0.114
GML	0.2655
CD38	-4.64425
ZDHHC6	0.220166666666667
NEFH	-1.604
CTDSP2	0.735083333333333
PGBD5	-2.03966666666667
CCNY	0.252285714285714
RMND5B	0.940666666666667
ZNF257	-0.747
FLJ22167	-0.2885
EXOSC7	0.322666666666667
ROR2	1.4105
MAOA	-2.466125
TNNT3	0.274
GYPC	-1.43575
C7orf33	0.741
PLIN	0.9005
LOC90826	0.1705
RNF4	-0.7614
F8A1	0.256
PLEKHG4	-1.55325
GRB2	0.25685
HIST1H2AD	1.00025
DUS3L	-0.376
EIF1	-0.00466666666666667
RP5-1077B9.4	-1.3725
FPGT	1.00625
GDF10	-0.914666666666667
COQ9	0.3875
GCC2	-0.290428571428571
RARRES3	3.251625
PLXNA1	-0.2224
KIAA0100	-0.1336
PMF1	0.28225
FNDC1	5.47
HS2ST1	-0.328416666666667
CRELD2	-0.19125
C8G	-1.783
CD82	1.72675
LIM2	-0.9795
UNQ6490	0.2825
MMP16	0.035
DRD3	-0.0575
C5orf26	0.642
C11orf73	-0.573125
PTP4A2	1.05775
OR4M2	0.4095
HPCA	-1.4835
SEC14L1	-0.6545
CHFR	-0.74975
EMILIN1	1.3095
NDUFS4	0.3275
COL18A1	0.6935
PDZD3	0.2774
C9orf16	0.0293333333333333
ERBB2IP	0.8775
EMX2	3.23375
FUS	-0.828
TF	-3.7191
CLCN4	-0.272833333333333
CXorf56	0.15475
C11orf72	-0.04925
ELAC2	-1.27341666666667
NPR1	-0.71125
ASS1	-0.9395
USP42	-0.01025
POLR2J	-0.3255
SEC23IP	0.513833333333333
UQCRC1	0.30925
LOC729603	-0.756
C1orf71	0.7045
POLG	-2.2455
ADAM23	-3.45
TFR2	-0.98825
RICTOR	-0.9812
MGC39606	0.43225
C19orf55	-0.38725
SNAPC1	-1.744
GNA11	0.69825
CCDC52	-0.109
FSIP1	4.222
UPF3A	-1.323375
IGSF11	-2.37266666666667
LAGE3	0.46425
CHST6	-1.3365
UNC13B	1.207
TTLL4	-1.045125
ZNF687	0.80175
SDC2	0.1314
COX7A2	-0.31975
LAMB4	0.09425
FAM24A	0.488
LRRTM3	-0.710666666666667
GPHB5	0.4495
OR4C13	0.1685
EIF3EIP	-0.0105
HABP4	-0.51
TMEM125	3.50025
CNTN2	0.00599999999999999
ASNSD1	-0.35225
FUT4	-0.33075
ACF	-3.978
LOC158381	0.7945
CDH8	0.75425
AGPS	-0.213666666666667
C4orf18	2.56125
PECI	-0.479166666666667
UNG	-1.233125
GSTP1	-1.289625
DCUN1D5	-1.34116666666667
DKFZP564J0863	-0.1835
SLC9A3R1	1.551125
BCDO2	-0.301625
CHMP7	-0.3135
REM2	0.4935
DNHD1	-0.669125
FKBP4	0.752625
ZNF350	1.513
MGC11102	0.304
BST1	0.4815
KISS1R	0.913
NCR2	0.445
DEFB125	1.434
UBE2W	1.15425
KRT15	2.173125
C10orf99	0.189
SCN11A	0.251375
GFI1	-3.6705
RDHE2	2.8055
FHL1	-1.20216666666667
OSGEP	-0.420666666666667
GATA1	-3.478
SMC6	-1.042
TTTY14	-1.387
LPIN3	-0.29375
RPL4	0.0498
RBPMS	0.4912
PRPF3	-1.00683333333333
EMR1	-2.563
SPATA19	0.037
XCR1	1.0025
IRX3	2.4943
RBM6	-0.53975
KLF4	-0.6973
UNC5CL	0.80675
SEBOX	0.234
BTK	-2.61025
KRCC1	0.71875
C6orf27	0.5115
SYTL5	-0.3995
PRND	2.37075
LOC653319	-1.3825
PIGL	-1.996
HUS1	0.179666666666667
SFRS6	1.16758333333333
C17orf77	0.9125
UIMC1	-0.0325
FXYD2	-1.682
LOC283152	0.3805
ZNF667	-0.3375
ZCCHC12	-0.7265
TFEC	0.534
ATP7B	0.130166666666667
POLD2	-0.940166666666667
RG9MTD1	-0.06
ACOT2	0.178
HIST1H4I	-0.685
PPARGC1A	-1.8447
ETFA	-1.6399
POLRMT	-0.091
ZNF146	-0.05825
MIA2	-1.2705
KLHL6	-2.7355
HOXB5	-0.904625
NENF	1.83066666666667
CUGBP1	0.52125
PRSS22	2.25283333333333
CASC4	1.046
CUL4B	0.0114
CENPJ	-1.7727
PITX1	0.258833333333333
FLJ31033	0.8515
CELSR3	0.00583333333333334
ZNF568	0.38675
ITSN1	-0.534416666666667
EHBP1L1	-1.136
C19orf2	-0.30225
DCTN1	-0.124
LIN28B	-2.95466666666667
TNKS2	-0.656
C1QBP	-1.268625
CADPS2	2.25775
SRMS	0.2515
GJA9	0.373
MGC24975	-0.513333333333333
TRIM45	-0.804666666666667
TSP50	0.86175
TCP1	-1.089
TMED7	0.7204
CMA1	0.451
CENPL	-0.836833333333333
PTCRA	0.0295
FST	-1.67825
VWCE	-4.05275
PAWR	-0.53275
ABCC12	1.79166666666667
LDLR	-1.5504
ASTN2	0.7476
LOC441212	-1.289
GPATCH8	0.01975
TANC2	-0.18325
KIF4A	-1.82775
C18orf18	-2.0185
PGM1	-1.71325
KIAA0258	1.708
CPD	1.051125
SNCAIP	-0.809
DCT	-4.38466666666667
HLA-DOA	1.44595454545455
OR11L1	0.479
UPK1B	-0.406
DNAJB4	-0.84975
UGT1A8	-0.01475
HIST1H4L	-1.799
PECR	-1.11683333333333
HSPA2	1.34125
WFIKKN1	-0.0525
SERP1	0.77925
SYDE2	0.8145
TACR2	0.673
NUP85	-0.68225
CD177	1.9645
LGR5	-0.771833333333333
PIGG	-0.602583333333333
PTHR1	-1.1665
RAB5A	0.2136
FLJ13224	0.0515
USP9Y	-1.9245
C7orf53	-1.6345
LRP1B	2.90825
XAF1	0.7715
ABCG8	-0.831
ANKDD1A	-0.823
DAND5	-0.862
SPAG6	0.0878333333333333
LINCR	-0.301
ZDHHC22	-1.560625
CCDC60	0.0135
THOC7	-1.08016666666667
TCTA	0.9852
OR8K3	0.384
NY-REN-7	-0.8055
B2M	0.972833333333333
C6orf141	-1.388875
LPPR4	1.6965
SQLE	-2.001375
SEPHS1	-0.50325
BTBD14B	0.444071428571429
PLRG1	-0.0045
SPG7	-0.87825
ZNF614	0.058
PARD6G	1.14883333333333
INPP5B	0.2551
GRPEL2	0.42475
PPID	-0.3156
TRIM56	0.02425
UBE2J1	0.143125
IL20RA	3.21225
LOC387856	1.13275
C1orf107	1.09891666666667
UTS2R	0.822
C19orf22	-0.043
SAFB2	-0.647375
KIAA0652	-0.125875
KLRG1	-1.80716666666667
MS4A8B	1.64083333333333
FRAG1	0.52925
KIAA1546	0.431
E2F4	-1.863
CLEC4M	0.144333333333333
BTBD14A	-1.37775
KIAA0999	0.7122
GYPA	-3.07383333333333
TAC1	1.1956
TRAIP	-1.08183333333333
KIAA0232	0.4653
ERCC8	-0.2845
GPX4	1.14525
KIAA0368	-0.5225
GPR157	-0.872666666666667
CTAGE4	1.2185
C9orf30	-1.09183333333333
OR52A1	0.0215
HSP90B3P	-0.9425
ALG9	0.2491
BTBD10	0.87125
SDK2	-0.03
BAIAP3	1.24775
RABGGTB	-1.315
ANKRD40	0.1215
KRT74	0.3595
CALCOCO2	0.442785714285714
SNCA	-2.61375
TMSL8	-2.984375
C2orf53	0.2035
ESRRB	-0.43875
ARHGAP26	-0.0913749999999999
TDRD9	-2.68775
HRAS	0.440666666666667
KLRC4	-2.773
JAGN1	0.293333333333333
BSDC1	0.442
RNF43	-0.1401
NDUFAF1	-0.00525
PHF12	0.40275
OR1L3	0.768
FOLR2	1.45925
LYZL6	0.1786
tcag7.1260	-1.5985
WSB1	-1.59616666666667
PROS1	-0.5468
OSTN	0.744
PSMB8	0.80425
SOCS4	-0.19125
DDIT4L	1.61225
MAS1	0.584
MGC34796	1.70075
CSHL1	0.0438333333333333
TBCCD1	0.786666666666667
ZBTB7C	0.3285
AP2S1	0.297875
P15RS	0.639
VAT1	-0.6068
SHANK3	0.727666666666667
TUFM	-0.2275
THEG	-0.0015
KRT34	-1.2115
SGSM3	-0.417125
TOMM22	-0.95225
SOCS3	0.4895
CPO	1.485
POP4	0.132
BHLHB3	2.4445
MALL	0.356
OR1B1	0.845
PARK2	0.6825
GPR124	0.44625
LCE1E	0.1745
RUVBL2	-0.555
CGRRF1	0.3738
ACPL2	0.77075
WNT10B	-1.704125
BAIAP2L2	-2.05275
ISCA1	0.193
C1orf125	0.136375
RPAP1	-0.87125
RAI16	0.0488333333333333
RPL27	-0.0985
NLRP9	-0.132
EPN1	0.3195
LOC388610	-0.569875
SLC35A1	0.618
GAL	-3.99825
SLC14A2	0.09925
RDH11	-0.469333333333333
FAM138F	0.715
AUH	0.7275
FLJ40243	0.1005
C14orf129	0.477833333333333
MBD2	0.291666666666667
ABHD14B	0.199625
PIGT	0.088
ALS2CR4	-0.375375
ALAS1	0.2797
FOXO1	0.795333333333333
CRLF3	-0.658375
C20orf107	0.0725
FARS2	0.7435
CCDC28A	0.529
NPHP3	-0.7845
OR13F1	0.3155
TSEN54	-0.60375
DEFB106B	0.0675
OR8B4	0.8335
STH	2.35025
ZC3H14	-0.227625
CBX2	-0.376
TMEM49	-1.01275
C6orf21	0.785
FLJ20920	1.17525
CRTAP	0.0672857142857143
DDX50	-0.125
STYXL1	0.40625
BLVRB	-0.0536666666666667
LOC147650	0.0973333333333333
MMP24	0.19175
GRID1	1.23266666666667
BANF1	-0.5745
CTAGEP	0.44925
HMBS	-1.35625
SLC25A24	0.047
C14orf50	0.45475
MRO	-0.268
SLC25A15	-1.62525
FAM84B	1.3375
TDP1	-1.0185
C16orf78	0.399666666666667
C11orf57	-0.33075
RFK	-1.0205
ZFYVE9	-1.33875
STCH	-0.2609
WIBG	0.485
LOC283871	-0.467833333333333
GBA2	-0.5038
NDUFB3	-0.41275
HSD17B13	-0.62775
GRIN3A	1.0575
FMNL1	-1.68983333333333
SEPT7	-0.3457
GNLY	1.8305
GRAMD1C	0.0753333333333333
ZNF165	-0.3265
USP38	0.9525
FAM83A	-3.56383333333333
C14orf24	0.382416666666667
ARMCX3	0.97425
ARHGDIB	1.06533333333333
AK1	0.2395
KIAA1045	-0.22825
DNAJB13	-0.336166666666667
NEU2	0.726
HIST1H4B	0.222333333333333
FAM20B	0.252
HES2	1.37935714285714
FAM73B	-0.5353
LOC388381	0.36475
INTS7	0.214363636363636
AMPH	3.43425
ZNF775	-0.075875
UCKL1	-0.613
C10orf97	0.61925
C1orf161	-0.026
ALDH1L1	-1.47825
FLJ39378	-0.5255
SLC23A1	0.002
RBM4B	0.87
THAP4	0.00283333333333334
OGFRL1	0.7095
KIAA0831	0.281875
PPP1R15A	-0.8
C1orf96	0.173285714285714
C12orf11	-1.81275
BMF	0.33375
MAN1A1	-0.927625
KIAA1600	0.616666666666667
NLGN4X	2.12375
ALOX12	-1.24416666666667
RB1CC1	-0.0688
NEIL2	0.3061
EIF4E	-0.162954545454545
ABHD5	0.3795
EXOC4	-0.186666666666667
CIP29	0.477666666666667
BATF2	-0.6705
SLC29A4	-0.697375
HTR4	0.35775
EMB	-1.732
TRAF6	0.68
LMNB1	-1.626
FAM19A5	-0.7675
SHE	1.24775
PIK3C2B	0.9505
C15orf15	-0.6504
USP15	-0.1273
TCEAL2	1.91725
C5orf39	-1.67316666666667
PTGER2	-0.6005
SLC31A1	-0.654875
IFT172	0.68925
ADAM29	0.5135
GFOD1	-0.591
ST7L	0.372833333333333
C15orf26	-2.83225
PKN3	-1.6785
CNTD1	2.2025
COMMD1	0.4815
NTRK2	2.414
FOXN3	-0.285375
MFGE8	-0.2235
PFKFB2	1.8855
TAS2R4	-0.2225
ENTHD1	1.13466666666667
PRMT5	-0.3865
MGC16384	-1.600625
LOC442229	0.0405
TSKU	-0.260375
KRTCAP3	2.9815
PDLIM1	-0.0594
KCNS2	-0.0455
RNF126	-0.521333333333333
CEP63	0.28425
CLIC4	-1.0485
hCG_1990170	-0.85175
ACR	0.9183
KLK7	2.02525
ALOX5AP	1.859875
RIPK3	3.83775
TAS2R9	0.457
C19orf18	2.0545
BIRC6	-0.0888571428571428
ZNF16	1.4
RFT1	-0.0505
SLC8A2	-0.307
TACC1	-0.661375
ITGAD	-0.21875
SAMHD1	0.00975
SH3PXD2B	1.391
EPC2	0.6265
C20orf85	2.96875
ATP13A2	0.292833333333333
KRT4	0.43175
CAPNS1	-0.38525
MDM2	-0.453416666666667
PCDH20	1.7885
KCNK9	1.039
OR2C1	0.0705
KLHDC3	-1.32033333333333
IPPK	0.317
EFHD2	-0.44025
GALR3	0.7315
NBEA	0.863666666666667
ABCA6	1.6513
CLDN3	2.576
AKT2	-0.906642857142857
EGFR	-1.1059
RBM16	0.334875
ZDHHC3	0.6645
SLC25A4	-0.0578333333333333
CYB5B	-1.45216666666667
CPXM1	0.088
NDRG1	0.206461538461538
FLJ43826	0.56
OR5L2	0.111333333333333
FARP2	0.9171
MRPL46	-0.639166666666667
LDHAL6B	-0.082
MAPKAPK3	-0.377833333333333
NCAM2	0.2925
PRKD2	0.169666666666667
ZFP36L1	1.6161
CYSLTR1	1.55625
OR4C3	0.19675
HIST1H2AJ	0.0535
CCNB2	-2.72433333333333
ZNF10	-0.323625
TMEM175	0.2805
FAM134A	0.571333333333333
TIGD4	-0.5245
PCNP	-0.30025
MGC39715	0.13475
LQK1	0.427
CREB1	0.3126
TMPRSS3	1.7095
C4orf32	1.10625
LAT	-2.66025
KCNA3	0.348
SKIV2L2	0.086
ROPN1B	-1.8075
tcag7.23	-0.001
CDT1	-2.9995
ZHX2	0.4865
CD28	-3.8605
ZNF624	0.924
SEPT2	0.339833333333333
SOHLH2	-0.969375
MCOLN3	-0.886714285714286
UNQ1945	0.7845
MASP2	-1.2205
ZNRF3	-0.5676
GPATCH3	-0.15775
AGL	0.582
QRICH2	-0.357
PSD4	0.714333333333333
CCNB1IP1	-1.7245
ENPP7	0.21425
OBFC1	0.254
KCNG3	-2.27075
C14orf79	1.35166666666667
ENPEP	2.1905
SCT	2.6705
SKI	0.824
SEC61G	-1.28725
CAPN11	0.904
ATXN7L3	-0.3905
DBNDD1	-0.385166666666667
