Hybridization REF	TCGA-AO-A0J4-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.232666666666667
CREB3L1	0.0055
RPS11	0.74575
PNMA1	0.294
MMP2	0.168833333333333
C10orf90	-1.59375
ZHX3	-0.757666666666667
ERCC5	-0.22975
GPR98	-1.75125
RXFP3	0.66
APBB2	-1.16875
PRO0478	-1.437625
KLHL13	-1.6695
PRSSL1	-1.10116666666667
PDCL3	0.561666666666667
DECR1	0.217375
SALL1	-3.529
CADM4	0.881
RPS18	0.563642857142857
HNRPD	0.0453333333333334
CFHR5	0.518333333333333
SLC10A7	-0.058125
OR2K2	-0.3615
LMAN1	-0.0925
SUHW1	-2.23675
CHD8	-0.6945
SUMO1	0.8473
GP1BA	2.1803
DDB1	-0.331333333333333
MYO9B	0.4024
MMP7	8.16925
CRNKL1	0.022375
C9orf45	-1.384
XAB2	0.077375
RTN1	1.426125
KLHL14	-0.929375
TBX10	-0.8975
CENPQ	-0.724
UTY	-1.25769230769231
ZBTB12	0.1325
DTNBP1	-0.264625
KBTBD8	0.4225
ZEB1	-0.877666666666667
ZG16	-1.9225
MIER1	0.4612
ADAM5P	0.4595
CHD9	0.0995625
STK16	0.86675
KIAA1486	-0.3375
TOB2	1.16733333333333
BANK1	5.5515
OR2V2	0.16125
GRM2	-0.2155
PROSC	-0.465375
SPIN2B	-0.0145
PIR	-1.41466666666667
IPO9	-0.7644
EVC	0.370333333333333
CXCL13	7.05783333333333
KIAA1199	-0.3671
SORL1	-0.26575
NAT10	-0.09475
CHD1	-1.05625
SYN3	-0.70225
SLC22A2	-1.18925
SERPINF1	0.0211666666666667
WDR34	-0.749
OR7A17	0.48875
C9orf11	-0.8305
RNF216L	-0.9094
LHB	0.1245
STK25	0.243625
TAOK3	0.0875
LOC152573	-1.756
C3orf39	0.125
C14orf108	-0.3241
CDC25B	-0.563545454545455
BMP3	0.6005
TMEM180	-0.59
MAP1LC3C	0.31025
CRYGC	-0.1165
POU3F1	-1.1858
C20orf32	-2.0985
CCDC95	-0.624
HIGD1B	1.88025
USP6NL	1.422
ABCD4	-0.966
DIMT1L	-0.7095
TEK	0.831375
SLC25A46	-0.7725
LARP7	-1.9994
CD160	1.077
MT1JP	1.11666666666667
PHF20	-0.656
CPNE4	-0.269
GTPBP1	-0.0563571428571428
RAB33B	0.959833333333333
ALDOC	-1.251625
ZNF212	0.05175
NUDT1	-1.39233333333333
RFPL2	-0.1785
ZNF83	-0.995666666666667
GDPD5	0.208125
PDCD4	1.5481
CEP350	-0.51325
OR10A2	0.33075
CST7	2.037
CIAO1	-0.455
SELL	2.746625
OR8J3	0.0075
LTBP4	0.250333333333333
SIRT6	-0.27225
CCL19	5.35425
PPIL1	-0.250333333333333
GBP7	-0.298833333333333
STK17A	0.1918
ABR	-0.216
OR9G1	0.3425
FOXE1	-0.739625
CNGA3	-0.498
GML	0.557
CD38	0.34775
ZDHHC6	-0.377666666666667
NEFH	-2.747
CTDSP2	0.1845
PGBD5	2.14216666666667
CCNY	0.321142857142857
RMND5B	-0.2045
ZNF257	-1.163
FLJ22167	0.760375
EXOSC7	-0.460166666666667
ROR2	0.705875
MAOA	-2.27575
TNNT3	0.141333333333333
GYPC	-0.67375
C7orf33	0.874
PLIN	0.867833333333333
LOC90826	-1.04175
RNF4	-0.2803
F8A1	0.549666666666667
PLEKHG4	0.1475
GRB2	-0.2034
HIST1H2AD	1.33625
DUS3L	-0.3175
EIF1	-0.389833333333333
RP5-1077B9.4	-0.877166666666667
FPGT	1.52225
GDF10	0.208166666666667
COQ9	0.376
GCC2	-0.123785714285714
RARRES3	1.633125
PLXNA1	-0.1102
KIAA0100	-0.7009
PMF1	0.51975
FNDC1	5.69475
HS2ST1	0.07025
CRELD2	1.187
C8G	-0.7715
CD82	1.148
LIM2	-1.0485
UNQ6490	-0.437
MMP16	0.19925
DRD3	0.12875
C5orf26	-1.1795
C11orf73	0.103875
PTP4A2	-0.18
OR4M2	-0.127
HPCA	-1.69683333333333
SEC14L1	-0.601833333333333
CHFR	0.10625
EMILIN1	1.148625
NDUFS4	-0.687
COL18A1	-0.226125
PDZD3	-0.0774
C9orf16	-0.059
ERBB2IP	-0.0243333333333333
EMX2	1.9515
FUS	-0.85425
TF	-3.4662
CLCN4	0.521333333333333
CXorf56	-0.4155
C11orf72	0.33
ELAC2	-0.7565
NPR1	-1.03675
ASS1	0.277666666666667
USP42	-0.427125
POLR2J	-1.163
SEC23IP	0.0371666666666667
UQCRC1	-0.45725
LOC729603	-0.536
C1orf71	0.39975
POLG	-0.554
ADAM23	-3.9015
TFR2	-1.27875
RICTOR	-1.3239
MGC39606	0.72325
C19orf55	-0.2915
SNAPC1	-1.028
GNA11	0.606
CCDC52	-1.1015
FSIP1	-1.0165
UPF3A	-0.519375
IGSF11	-1.86216666666667
LAGE3	0.3315
CHST6	1.9375
UNC13B	-0.463875
TTLL4	0.68425
ZNF687	0.9365
SDC2	1.5167
COX7A2	-0.11875
LAMB4	-0.08875
FAM24A	0.751
LRRTM3	-1.055
GPHB5	0.746
OR4C13	0.4825
EIF3EIP	0.975357142857143
HABP4	0.223
TMEM125	4.32375
CNTN2	0.3135
ASNSD1	0.06275
FUT4	0.84925
