Hybridization REF	TCGA-BH-A0AV-01A-31R-A115-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.123083333333333
CREB3L1	1.144
RPS11	0.298375
PNMA1	-0.5355
MMP2	2.45866666666667
C10orf90	-0.393
ZHX3	-0.7455
ERCC5	-0.01675
GPR98	-1.725625
RXFP3	-0.05
APBB2	1.08075
PRO0478	-1.060125
KLHL13	-2.3765
PRSSL1	-1.082
PDCL3	0.317166666666667
DECR1	-0.257875
SALL1	-1.71583333333333
CADM4	0.681166666666667
RPS18	0.869357142857143
HNRPD	-0.915333333333333
CFHR5	0.216333333333333
SLC10A7	-0.13
OR2K2	-0.286
LMAN1	0.322375
SUHW1	-3.21975
CHD8	-0.486
SUMO1	0.2554
GP1BA	-0.2684
DDB1	-0.438166666666667
MYO9B	0.3512
MMP7	7.3235
CRNKL1	-0.751625
C9orf45	-0.341666666666667
XAB2	0.177125
RTN1	1.053625
KLHL14	-1.741875
TBX10	-1.6645
CENPQ	-1.37
UTY	-1.8715
ZBTB12	0.0745
DTNBP1	-0.0972499999999999
KBTBD8	-1.28716666666667
ZEB1	1.11016666666667
ZG16	-1.6325
MIER1	0.9341
ADAM5P	0.667
CHD9	-0.1531875
STK16	-0.61675
KIAA1486	-0.2875
TOB2	0.992
BANK1	2.77425
OR2V2	0.164
GRM2	0.409
PROSC	0.034125
SPIN2B	-0.6705
PIR	-2.14244444444444
IPO9	0.2125
EVC	1.80033333333333
CXCL13	2.3405
KIAA1199	1.7266
SORL1	-0.1145
NAT10	-0.9365
CHD1	-0.6775
SYN3	-0.1065
SLC22A2	-0.20575
SERPINF1	1.87283333333333
WDR34	0.116
OR7A17	0.304
C9orf11	0.239
RNF216L	-0.3373
LHB	0.1285
STK25	-0.330125
TAOK3	0.5415
LOC152573	-2.23525
C3orf39	0.387625
C14orf108	-0.0484
CDC25B	0.0332727272727273
BMP3	-0.249
TMEM180	0.299
MAP1LC3C	0.9965
CRYGC	-0.831
POU3F1	-1.2927
C20orf32	-1.509
CCDC95	-0.358
HIGD1B	3.112
USP6NL	0.64375
ABCD4	-0.941333333333333
DIMT1L	-0.679333333333333
TEK	0.438375
SLC25A46	-0.53825
LARP7	-1.8374
CD160	0.516833333333333
MT1JP	1.2445
PHF20	-0.5175625
CPNE4	-0.046
GTPBP1	0.062
RAB33B	0.676333333333333
ALDOC	-1.512625
ZNF212	-0.5985
NUDT1	-0.330166666666667
RFPL2	-1.41025
ZNF83	-0.44
GDPD5	-0.293375
PDCD4	0.13575
CEP350	0.46525
OR10A2	0.48075
CST7	1.59875
CIAO1	-0.8365
SELL	0.246875
OR8J3	-0.4875
LTBP4	0.198333333333333
SIRT6	-0.27875
CCL19	3.8775
PPIL1	0.215
GBP7	0.347833333333333
STK17A	-0.1572
ABR	0.267
OR9G1	0.277
FOXE1	-0.832125
CNGA3	0.4325
GML	0.4765
CD38	-2.35875
ZDHHC6	0.320333333333333
NEFH	-2.38625
CTDSP2	0.937333333333333
PGBD5	1.01983333333333
CCNY	0.968071428571429
RMND5B	-0.194083333333333
ZNF257	-1.022
FLJ22167	-0.364625
EXOSC7	-0.4725
ROR2	1.828125
MAOA	-1.114625
TNNT3	0.587666666666667
GYPC	-0.347
C7orf33	2.038
PLIN	3.04433333333333
LOC90826	-0.412
RNF4	0.5664
F8A1	0.479666666666667
PLEKHG4	-1.21075
GRB2	0.25005
