Hybridization REF	TCGA-A2-A0ER-01A-21R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.25625
CREB3L1	1.48075
RPS11	0.195625
PNMA1	1.021
MMP2	-0.893
C10orf90	-2.56225
ZHX3	-0.333666666666667
ERCC5	0.00350000000000001
GPR98	-0.804428571428571
RXFP3	0.1275
APBB2	1.84475
PRO0478	-1.113
KLHL13	-2.61675
PRSSL1	-1.04516666666667
PDCL3	0.340166666666667
DECR1	-0.29425
SALL1	-4.8235
CADM4	1.18283333333333
RPS18	0.162357142857143
HNRPD	-0.396083333333333
CFHR5	0.1998
SLC10A7	-0.95775
OR2K2	0.397
LMAN1	0.13125
SUHW1	-3.929
CHD8	-0.1031
SUMO1	0.4525
GP1BA	0.4343
DDB1	-0.3055
MYO9B	-0.484
MMP7	4.22575
CRNKL1	0.755375
C9orf45	-1.40366666666667
XAB2	0.1995
RTN1	1.79025
KLHL14	-1.61
TBX10	-1.0015
CENPQ	-1.0145
UTY	-1.06284615384615
ZBTB12	-0.3135
DTNBP1	-0.474625
KBTBD8	-1.73116666666667
ZEB1	-0.377
ZG16	-0.66225
MIER1	0.6358
ADAM5P	0.323
CHD9	0.2923125
STK16	1.459
KIAA1486	-0.4815
TOB2	0.771416666666667
BANK1	2.2215
OR2V2	0.02775
GRM2	0
PROSC	2.64925
SPIN2B	0.35725
PIR	-3.73377777777778
IPO9	-0.3856
EVC	-0.403666666666667
CXCL13	2.96966666666667
KIAA1199	-3.26166666666667
SORL1	0.3495
NAT10	-0.452
CHD1	0.02475
SYN3	0.4475
SLC22A2	-1.139
SERPINF1	-0.759833333333333
WDR34	0.5305
OR7A17	0.70475
C9orf11	-1.1275
RNF216L	-0.078
LHB	0.95
STK25	-0.36475
TAOK3	0.20225
LOC152573	-3.1285
C3orf39	0.702
C14orf108	0.9665
CDC25B	-1.70581818181818
BMP3	0.2205
TMEM180	0.439
MAP1LC3C	0.16
CRYGC	0.206
POU3F1	-1.6882
C20orf32	-1.9885
CCDC95	-0.8265
HIGD1B	3.54075
USP6NL	-0.134125
ABCD4	0.192666666666667
DIMT1L	-0.624833333333333
TEK	1.30971428571429
SLC25A46	-0.291
LARP7	-1.4598
CD160	-0.1496
MT1JP	-0.581
PHF20	-0.23425
CPNE4	-1.603
GTPBP1	0.0222142857142857
RAB33B	1.26316666666667
ALDOC	-1.57
ZNF212	-0.0935
NUDT1	-1.19183333333333
RFPL2	-1.453
ZNF83	0.0106666666666667
GDPD5	1.561875
PDCD4	1.93175
CEP350	0.00475
OR10A2	0.084
CST7	0.72
CIAO1	-0.68275
SELL	0.642625
OR8J3	0.5995
LTBP4	-0.765333333333333
SIRT6	-0.16175
CCL19	4.446
PPIL1	-0.507166666666667
GBP7	0.227
STK17A	-1.406
ABR	0.13275
OR9G1	0.485
FOXE1	-0.40575
CNGA3	1.006
GML	0.2165
CD38	-2.932
ZDHHC6	0.0886666666666667
NEFH	-1.98025
CTDSP2	0.7295
PGBD5	1.70666666666667
CCNY	-0.242928571428571
RMND5B	0.871083333333333
ZNF257	-0.9975
FLJ22167	-0.0484999999999999
EXOSC7	-0.273666666666667
ROR2	0.993125
MAOA	1.24125
TNNT3	0.267833333333333
GYPC	-1.85625
C7orf33	0.731
PLIN	2.59166666666667
LOC90826	0.4495
RNF4	0.4153
F8A1	0.549333333333333
PLEKHG4	-0.60625
GRB2	0.1855
HIST1H2AD	-0.00575
DUS3L	-1.20833333333333
EIF1	-0.555333333333333
RP5-1077B9.4	-1.08966666666667
FPGT	0.807
GDF10	1.2085
COQ9	-0.349
GCC2	1.05878571428571
RARRES3	2.107
PLXNA1	-0.7991
KIAA0100	0.352
PMF1	-0.45025
FNDC1	4.579
HS2ST1	-0.514083333333333
CRELD2	0.65775
C8G	-2.383
CD82	0.42675
LIM2	-0.5925
UNQ6490	0.464
MMP16	-0.311
DRD3	-0.488333333333333
C5orf26	-0.2365
C11orf73	-0.4725
PTP4A2	0.85975
OR4M2	0.8455
HPCA	-0.377833333333333
SEC14L1	-0.620666666666667
CHFR	-0.47
EMILIN1	0.60075
NDUFS4	0.12075
COL18A1	-0.865375
PDZD3	-0.5009
C9orf16	0.333333333333333
ERBB2IP	0.253333333333333
EMX2	1.47225
FUS	-0.77475
TF	-4.0844
CLCN4	-1.28325
CXorf56	0.306
C11orf72	0.52575
ELAC2	-0.3465
NPR1	-1.22225
ASS1	-3.495
USP42	-0.12425
POLR2J	-0.7745
SEC23IP	1.10916666666667
UQCRC1	0.371
LOC729603	-0.50475
C1orf71	0.250875
POLG	-1.856
ADAM23	-3.58775
TFR2	-1.2905
RICTOR	-1.1334
MGC39606	-0.255
C19orf55	-0.18375
SNAPC1	-1.24933333333333
GNA11	0.7325
CCDC52	0.0435
FSIP1	2.0335
UPF3A	0.025375
IGSF11	-2.23433333333333
LAGE3	-1.41
CHST6	-3.4295
UNC13B	1.474625
TTLL4	-1.584
ZNF687	-0.2745
SDC2	-1.5972
COX7A2	0.414
LAMB4	-0.180333333333333
FAM24A	-0.1695
LRRTM3	-0.36175
GPHB5	-0.00675
OR4C13	0.2905
EIF3EIP	0.776857142857143
HABP4	0.7005
TMEM125	4.034
CNTN2	0.00971428571428571
ASNSD1	0.051
FUT4	-1.459
ACF	-3.519
LOC158381	1.055
CDH8	-0.8595
AGPS	-0.187333333333333
C4orf18	4.87575
PECI	0.593833333333333
UNG	-0.07475
GSTP1	-3.0325
DCUN1D5	-2.28933333333333
DKFZP564J0863	-1.054
SLC9A3R1	1.919875
BCDO2	-1.041625
CHMP7	-0.815625
REM2	0.239
DNHD1	-0.712125
FKBP4	0.096375
ZNF350	1.078
MGC11102	0.345125
BST1	0.3345
KISS1R	-0.0375
NCR2	-0.6265
DEFB125	-0.144
UBE2W	2.01375
KRT15	1.321375
C10orf99	0.2575
SCN11A	-0.39425
GFI1	-2.5735
RDHE2	3.68866666666667
FHL1	-1.59283333333333
OSGEP	-0.118666666666667
GATA1	-3.41833333333333
SMC6	-1.38475
TTTY14	-0.92025
LPIN3	-0.13875
RPL4	-0.2209
RBPMS	-0.626777777777778
PRPF3	-0.9565
EMR1	-1.772
SPATA19	-0.16625
XCR1	0.796
IRX3	2.262
RBM6	-1.1245
KLF4	-0.2456
UNC5CL	-0.23075
SEBOX	0.39
BTK	-0.6955
KRCC1	1.354
C6orf27	0.22
SYTL5	-0.195
PRND	0.747428571428571
LOC653319	-1.219
PIGL	-0.6695
HUS1	-0.0335
SFRS6	-0.0214166666666667
C17orf77	0.302
UIMC1	-0.563333333333333
FXYD2	-2.1257
LOC283152	0.84125
ZNF667	-2.34925
ZCCHC12	-0.8065
TFEC	2.5762
ATP7B	-0.176833333333333
POLD2	-0.970666666666667
RG9MTD1	-0.2785
ACOT2	1.111
HIST1H4I	-0.631125
PPARGC1A	-2.7261
ETFA	-1.075
POLRMT	-0.45525
ZNF146	-0.2415
MIA2	-1.6275
KLHL6	-1.0005
HOXB5	-1.844625
NENF	0.534
CUGBP1	0.018
PRSS22	1.5995
CASC4	2.5836
CUL4B	0.3427
CENPJ	-1.0948
PITX1	-1.5005
FLJ31033	1.34816666666667
CELSR3	-2.17483333333333
ZNF568	0.7625
ITSN1	-0.248545454545455
EHBP1L1	-0.514166666666667
C19orf2	-0.75925
DCTN1	0.65075
LIN28B	-3.7378
TNKS2	0.22075
C1QBP	-0.879875
CADPS2	1.0845
SRMS	0.1955
GJA9	0.48
MGC24975	-1.487
TRIM45	0.34
TSP50	-0.82725
TCP1	-0.7725
TMED7	1.2456
CMA1	1.3265
CENPL	-0.916166666666667
PTCRA	-0.2855
FST	-4.4425
VWCE	-4.43175
PAWR	0.579
ABCC12	0.012
LDLR	-1.2662
ASTN2	0.018
LOC441212	-0.455625
GPATCH8	-0.12975
TANC2	-0.345583333333333
KIF4A	-1.401
C18orf18	-0.33225
PGM1	-0.55025
KIAA0258	1.72125
CPD	1.05075
SNCAIP	-2.15875
DCT	-4.57966666666667
HLA-DOA	2.37872727272727
OR11L1	0.0255
UPK1B	-0.705166666666667
DNAJB4	0.20225
UGT1A8	-0.71
HIST1H4L	-0.332
PECR	0.371333333333333
HSPA2	2.6595
WFIKKN1	-1.6175
SERP1	1.184125
SYDE2	1.93425
TACR2	0.0355
NUP85	-0.73625
CD177	-1.53833333333333
LGR5	-2.04216666666667
PIGG	-0.260666666666667
PTHR1	-2.15183333333333
RAB5A	0.9035
FLJ13224	-1.1235
USP9Y	-0.6082
C7orf53	-1.172
LRP1B	0.913
XAF1	0.5377
ABCG8	-0.797
ANKDD1A	-0.853833333333333
DAND5	-1.1565
SPAG6	1.222
LINCR	-0.0445
ZDHHC22	-1.62185714285714
CCDC60	-0.0255
THOC7	-1.41133333333333
TCTA	1.5748
OR8K3	-0.271
NY-REN-7	-0.766333333333333
B2M	0.742166666666667
C6orf141	0.378625
LPPR4	2.17
SQLE	-1.207875
SEPHS1	-0.53025
BTBD14B	0.496714285714286
PLRG1	-0.62475
SPG7	-0.2831875
ZNF614	0.00433333333333334
PARD6G	0.635666666666667
INPP5B	-0.5505
GRPEL2	-0.0275
PPID	-0.807
TRIM56	-0.77275
UBE2J1	-0.1915
IL20RA	4.5865
LOC387856	-0.369666666666667
C1orf107	-0.466583333333333
UTS2R	-0.02
C19orf22	0.062
SAFB2	-0.15525
KIAA0652	1.1665
KLRG1	-0.0671666666666667
MS4A8B	3.308
FRAG1	0.532
KIAA1546	-0.2005
E2F4	-1.3621
CLEC4M	0.468
BTBD14A	-0.93175
KIAA0999	0.8501
GYPA	-3.76566666666667
TAC1	0.575
TRAIP	-0.9635
KIAA0232	1.3041
ERCC8	-0.8425
GPX4	0.978125
KIAA0368	0.394375
GPR157	-1.333
CTAGE4	0.6175
C9orf30	-1.89866666666667
OR52A1	0.399
HSP90B3P	-0.3265
ALG9	-0.4708
BTBD10	1.03025
SDK2	0.2325
BAIAP3	-0.16
RABGGTB	-0.76425
ANKRD40	0.00416666666666668
KRT74	0.546
CALCOCO2	0.907785714285714
SNCA	-2.991
TMSL8	-4.333875
C2orf53	-0.813
ESRRB	-1.529
ARHGAP26	-1.962125
TDRD9	-2.66375
HRAS	1.2045
KLRC4	-1.4465
JAGN1	-0.442833333333333
BSDC1	0.6555
RNF43	0.0583
NDUFAF1	0.43825
PHF12	0.3265
OR1L3	0.076
FOLR2	1.52041666666667
LYZL6	0.360166666666667
tcag7.1260	-2.6685
WSB1	-2.00666666666667
PROS1	-0.9438
OSTN	0.261
PSMB8	0.1165
SOCS4	0.19775
DDIT4L	1.12825
MAS1	0.3455
MGC34796	1.593
CSHL1	0.339333333333333
TBCCD1	-0.4875
ZBTB7C	0.0115
AP2S1	-0.176875
P15RS	0.2009
VAT1	-0.0196
SHANK3	0.878333333333333
TUFM	-0.243333333333333
THEG	-0.4245
KRT34	-1.06975
SGSM3	0.023625
TOMM22	-0.40775
SOCS3	1.65433333333333
CPO	0.949
POP4	-0.11525
BHLHB3	-0.152
MALL	0.4685
OR1B1	-0.096
PARK2	0.827833333333333
GPR124	-0.150625
LCE1E	0.3775
RUVBL2	-0.591
CGRRF1	0.9754
ACPL2	0.6665
WNT10B	-2.739625
BAIAP2L2	-2.0425
ISCA1	0.3385
C1orf125	-0.136875
RPAP1	-0.97875
RAI16	-1.03916666666667
RPL27	-0.366875
NLRP9	-0.43
EPN1	0.2945
LOC388610	-0.886375
SLC35A1	0.8622
GAL	-4.34325
SLC14A2	0.25625
RDH11	-0.1695
FAM138F	-0.1195
AUH	0.796
FLJ40243	0.28825
C14orf129	1.45116666666667
MBD2	0.134666666666667
ABHD14B	0.231125
PIGT	1.696125
ALS2CR4	-0.16275
ALAS1	-0.1145
FOXO1	0.595
CRLF3	0.709125
C20orf107	0.327
FARS2	0.5655
CCDC28A	0.86225
NPHP3	-1.59975
OR13F1	-0.666
TSEN54	-0.6455
DEFB106B	0.9851
OR8B4	0.3405
STH	-1.00533333333333
ZC3H14	-0.20225
CBX2	-0.963
TMEM49	-1.48
C6orf21	0.661
FLJ20920	1.5955
CRTAP	-0.758142857142857
DDX50	0.22625
STYXL1	-0.0125
BLVRB	0.612666666666667
LOC147650	-0.722666666666667
MMP24	0.64925
GRID1	1.23433333333333
BANF1	-0.371833333333333
CTAGEP	0.323
HMBS	-2.44525
SLC25A24	1.92666666666667
C14orf50	2.7285
MRO	0.262333333333333
SLC25A15	-0.059
FAM84B	1.1227
TDP1	-0.832
C16orf78	-0.455666666666667
C11orf57	-0.36325
RFK	0.41775
ZFYVE9	1.011125
STCH	-0.2208
WIBG	0.26525
LOC283871	-0.1675
GBA2	-0.1536
NDUFB3	0.2415
HSD17B13	-0.8665
GRIN3A	0.609
FMNL1	-0.997
SEPT7	-0.0087
GNLY	1.035
GRAMD1C	0.956
ZNF165	1.075
USP38	0.35725
FAM83A	-3.57033333333333
C14orf24	1.23341666666667
ARMCX3	1.45275
ARHGDIB	0.159
AK1	1.057
KIAA1045	0.0745
DNAJB13	-0.484
NEU2	-0.4255
HIST1H4B	-0.666833333333333
FAM20B	0.1924
HES2	-0.0239285714285714
FAM73B	-0.6576
LOC388381	-0.21525
INTS7	-1.09936363636364
AMPH	2.1725
ZNF775	-0.664625
UCKL1	-0.546833333333333
C10orf97	0.65975
C1orf161	0.0155
ALDH1L1	-1.36275
FLJ39378	0.656875
SLC23A1	0.4145
RBM4B	-0.11225
THAP4	0.332
OGFRL1	0.39475
KIAA0831	0.174625
PPP1R15A	-0.1665
C1orf96	-0.194785714285714
C12orf11	-2.98775
BMF	0.05175
MAN1A1	-0.79925
KIAA1600	0.426166666666667
NLGN4X	-2.18425
ALOX12	-0.9235
RB1CC1	-0.0338
NEIL2	0.1576
EIF4E	0.633272727272727
ABHD5	0.40425
EXOC4	-0.426833333333333
CIP29	0.391
BATF2	0.77225
SLC29A4	-1.333375
HTR4	0.49525
EMB	-0.281
TRAF6	0.94925
LMNB1	-1.217
FAM19A5	1.056875
SHE	0.891
PIK3C2B	0.80425
C15orf15	-0.4492
USP15	0.2091
TCEAL2	0.894
C5orf39	-0.5385
PTGER2	-2.3035
SLC31A1	-0.6731875
IFT172	0.1705
ADAM29	0.60125
GFOD1	0.1545
ST7L	0.852333333333333
C15orf26	-3.2
PKN3	-1.24775
CNTD1	2.70866666666667
COMMD1	0.55875
NTRK2	5.72808333333333
FOXN3	-0.480375
MFGE8	-1.4796
PFKFB2	0.296166666666667
TAS2R4	-0.5535
ENTHD1	0.2235
PRMT5	-0.788625
MGC16384	-1.798625
LOC442229	-0.70975
TSKU	3.217875
KRTCAP3	2.589125
PDLIM1	-0.7214
KCNS2	0.375
RNF126	-0.353833333333333
CEP63	0.873875
CLIC4	0.282375
hCG_1990170	-0.6895
ACR	0.594
KLK7	-0.454
ALOX5AP	3.21775
RIPK3	2.73325
TAS2R9	0.249
C19orf18	1.159
BIRC6	-0.316142857142857
ZNF16	0.8305
RFT1	-0.7695
SLC8A2	-1.1045
TACC1	-0.7525
ITGAD	-0.494
SAMHD1	0.388
SH3PXD2B	0.2222
EPC2	0.93025
C20orf85	-0.1165
ATP13A2	0.657833333333333
KRT4	0.156375
CAPNS1	0.73525
MDM2	0.670833333333333
PCDH20	3.72575
KCNK9	1.231
OR2C1	-0.578
KLHDC3	-0.7635
IPPK	0.75
EFHD2	-0.599875
GALR3	0.07325
NBEA	2.1275
ABCA6	1.7118
CLDN3	1.60816666666667
AKT2	-0.283785714285714
EGFR	-2.3702
RBM16	0.652375
ZDHHC3	0.1159
SLC25A4	0.0473333333333333
CYB5B	-0.5525
CPXM1	-1.2915
NDRG1	-0.936230769230769
FLJ43826	0.066
OR5L2	-0.4935
FARP2	0.5535
MRPL46	-0.644916666666667
LDHAL6B	0.77
MAPKAPK3	-0.1405
NCAM2	-0.62325
PRKD2	0.0946666666666667
ZFP36L1	0.8082
CYSLTR1	-0.76475
OR4C3	-0.87025
HIST1H2AJ	1.876
CCNB2	-1.049
ZNF10	0.05975
TMEM175	0.2005
FAM134A	1.159
TIGD4	0.338
PCNP	0.21675
MGC39715	0.447
LQK1	-0.8325
CREB1	0.9263
TMPRSS3	0.00874999999999998
C4orf32	1.201375
LAT	-2.07075
KCNA3	-0.334
SKIV2L2	-0.9015
ROPN1B	-3.4385
tcag7.23	-0.3215
CDT1	-2.182625
ZHX2	0.68125
CD28	-2.648
ZNF624	1.00775
SEPT2	-0.0790833333333333
SOHLH2	-0.926714285714286
MCOLN3	0.988714285714286
UNQ1945	0.572
MASP2	-0.9635
ZNRF3	1.2795
GPATCH3	-0.3555
AGL	0.256625
QRICH2	-0.355
PSD4	1.19816666666667
CCNB1IP1	-1.95925
ENPP7	-0.531
OBFC1	0.476
KCNG3	-2.46833333333333
C14orf79	0.929
ENPEP	0.258333333333333
SCT	0.403
SKI	0.174125
SEC61G	-1.29525
CAPN11	-0.95325
ATXN7L3	-0.355
DBNDD1	0.486
FAIM	0.49075
ANKRD36	-0.4135
GABRP	0.550166666666667
TACSTD2	1.58933333333333
EIF3J	-0.2805
PPP2R2A	-0.84725
TEKT4	-1.7245
PVALB	0.768
F10	-2.56016666666667
FAM134C	0.9633
COMP	3.863
EFCBP1	-3.02873333333333
SCLT1	1.175875
TAL1	-0.9428
ACSL1	1.0565
ABCC5	-0.118916666666667
ABL1	-0.588333333333333
RBBP7	0.15925
PTPRG	-2.54825
NCOR1	0.4345
SPINK4	3.31833333333333
TXNRD1	-0.8885
TNRC15	1.518375
C9orf138	1.141
UBE2H	0.9005
BRDT	3.2045
C8orf31	0.157
CCNE2	-0.967909090909091
SLC6A8	-1.524875
CALCR	-4.2745
PPP1CB	1.01725
ABHD8	0.52975
ARF5	-0.0738
SLC24A4	-0.67025
CCT3	-0.5995
ZNF121	0.262
SLC3A2	-0.9761
OR13A1	0.796
SLC5A10	0.84625
RAD50	-0.357375
IER5	0.0295
MTHFD1L	-2.70975
MBTPS2	0.1365
MVK	-0.315375
NCL	-0.2136
PSMD10	0.24825
MOBP	0.351625
FLJ32894	-0.418
HRH1	-1.09533333333333
C5orf30	1.26775
NUDT16L1	0.8177
RASGRP3	3.236
PRKRIP1	-0.2961
CCDC75	-0.00625
LOC253970	-0.603
KIAA1239	0.842666666666667
MED21	-0.24475
SYT11	-0.438083333333333
NTSR2	-0.268
EGFL11	1.0795
CXorf59	0.103
OR2A25	0.42175
SPTBN2	0.12975
LRMP	-1.7292
RNF111	0.14825
PTH	0.381
LOC619208	0.182166666666667
KIAA0895	1.0135
RANBP5	-0.93175
P2RY10	1.41133333333333
NME5	3.92183333333333
DDX21	-1.10075
LRSAM1	0.3055
HDAC11	1.74083333333333
VMO1	2.147
NOLA2	0.0673333333333333
ADAR	0.6255
MTO1	-0.6205
SF4	-0.0258333333333333
P2RX1	-0.175833333333333
HBM	0.246
EN2	0.5355
C14orf172	-0.56
TM9SF2	0.9294
INHBE	-1.471
TCTE3	-0.07775
TOX2	-3.1725
CTAGE3	0.70425
HBB	3.6435
MED15	-0.619333333333333
CASR	0.888
C6orf66	-1.08133333333333
MTPN	-0.55025
UNC50	0.52375
C21orf33	0.357
IRF2	1.644125
PGR	0.739666666666667
GPR84	2.861
CROCCL1	-2.89675
SRPX	-2.07025
BRE	0.341333333333333
FGF10	6.71675
SDC3	-0.190833333333333
ZRSR1	0.59
DKFZP434P211	-1.0225
SOX6	1.562
RPUSD2	-0.25225
C14orf173	0.1375
MAPK11	-0.4115
TBC1D22A	0.767
FAM123A	-1.297
COL4A6	-3.2415
TOMM70A	-0.13625
NAB1	-0.045
MGC16385	-0.41725
TSPAN18	-0.303
MED31	0.1775
PLG	-0.00250000000000001
CAPSL	1.668
ZNF532	-0.8944
ASB14	0.47725
CA8	0.709
NUDT16P	2.789
SLFN11	-1.627
LRRIQ2	0.519
NOL7	-0.079
BRMS1L	-0.441125
JARID1A	0.405166666666667
PANK2	-0.61275
ICAM3	-0.76425
MDS1	-0.272666666666667
TAF8	-0.2615
RNF139	0.90975
ZNF594	0.226833333333333
ADAM8	1.50425
SFTPC	-0.08225
MAN2B2	1.407625
RGS12	0.465375
EIF1AY	-3.61590909090909
LRRIQ1	-1.80266666666667
GPR150	0.22925
CCDC21	-0.421
PRRG3	-0.27975
SAA4	-3.581
RAPGEF5	1.753125
ZCCHC2	0.225916666666667
MGC39372	0.0445
PPP4R2	0.477333333333333
CDCA2	-1.84333333333333
OR4D5	0.317166666666667
PTGFRN	-0.148
SIGLEC5	1.59866666666667
C19orf61	-0.69
NMUR2	0.5155
KIAA1586	-0.657666666666667
DAGLA	0.276
CHCHD6	-0.000999999999999987
GPR32	0.1645
NEUROD6	0.111333333333333
SLC2A4RG	0.21025
CA5B	0.14425
FBXL3	1.03375
MPHOSPH9	-0.65875
HMG2L1	1.0585
HCN4	0.106833333333333
CEACAM19	-0.06725
SH2D4B	-0.1376
HFE2	-1.0605
TGM4	0.878333333333333
LYPD2	-0.9875
TBC1D15	0.29925
MRPS21	-0.2368
NONO	-0.631
CLEC5A	2.6045
ITCH	0.589
MGAT3	-1.17016666666667
MBP	-0.756125
RPP25	-1.302
SOSTDC1	-2.15025
HRC	-1.482
TRIM48	0.6965
TMEM133	-1.0145
ECEL1P2	-0.7335
HOXC11	-1.5705
DOK5	-0.584
HELZ	0.951666666666667
LOC348180	-1.277
MGC33894	-0.062
ADRB3	0.2095
DMD	-0.3345
PTRH2	-1.138
MPEG1	2.58616666666667
NDUFA12	-0.0138333333333333
KRTAP2-4	0.203583333333333
STAMBPL1	-2.42433333333333
ADCY2	0.0615
UNQ6125	0.0265
KLHL20	-0.041
SRM	-1.5705
OTC	-0.00875000000000001
TMIE	0.101166666666667
SNX8	-0.216
LIPK	-0.68
CHURC1	1.00108333333333
KLC2	0.642833333333333
HDAC1	0.393833333333333
FAM128A	0.680833333333333
FNDC3B	-0.2275
MTCP1	-0.838666666666667
WFDC10B	-0.2932
PCDHGB3	0.111
ATRNL1	-1.7527
CAV2	-1.004875
MED26	0.097
DUS1L	-0.129
CHRM3	-2.25725
NEK9	0.493
WARS2	-0.599
TBX22	-0.397
TOMM40	-0.96175
RP6-213H19.1	-0.911666666666667
TUBGCP5	0.0625
IGSF6	4.7265
TPPP	1.71133333333333
UNQ6190	0.774
GSTM5	1.66375
BTD	0.18
PDCD1LG2	-0.894166666666667
SNRPB2	-0.932
ERICH1	-1.193375
APOA4	-2.13025
HOXA11	-1.91133333333333
NARG1	0.177125
MKX	-0.6875
RAB28	0.220307692307692
PKP3	1.95075
SH3GL2	-3.00633333333333
CTSO	3.8905
RPN2	0.5065625
IL28RA	0.5605
SFMBT1	0.37775
WDR57	-0.3075
FER1L3	1.73783333333333
HSF5	0.5524
TTC9B	0.2165
C4BPA	-3.7925
ALB	-3.60461538461538
SORBS3	0.476625
UPF2	-0.1735
JPH1	0.595
AGBL2	0.351
DOPEY1	1.314
TERF1	0.291916666666667
KIF22	-0.996333333333333
NINJ1	1.64175
SEC61A2	-0.0656666666666667
HIST1H1D	-0.467666666666667
SFXN4	-0.38
UCP3	-0.1563
ZNF703	1.71966666666667
MYL6B	-0.1005
TREM1	2.54975
OR52E6	0.6455
CKMT2	0.42475
HLA-C	1.527625
SLC13A3	-2.09933333333333
TIMP4	-0.3935
SLIT2	1.4665
RSF1	2.54488888888889
LONRF1	-1.19271428571429
MON1A	-0.176166666666667
CACNG6	-1.06016666666667
DPPA4	-4.991
ZSWIM3	-0.48
ZNF804A	0.311
CCIN	1.2285
SLC25A31	-0.886666666666667
KCNMB4	-0.797
RABL5	1.17425
GALNS	-0.7063
STX6	0.29
HIST1H1C	-1.835
CIDEB	0.58325
CASP4	-1.07666666666667
PDK3	-0.057
KCNJ11	2.42
TPR	-0.4225
ZSCAN20	-0.783
MTX2	-0.31275
HIST1H2BH	0.2025
LOC283767	-0.92325
LYRM7	-0.602
BRD3	0.710333333333333
HIST1H2BO	-1.01125
MAGEB10	-0.224
SLC45A1	2.081
SERPINA3	2.0068
KIAA0143	1.22575
KCNJ16	0.036
KRT79	-0.2515
FABP2	-0.6495
NUT	-0.14675
ZNF57	-0.15175
FBXL4	0.3475
CLEC9A	-0.855
UGT8	-2.537
BMP2K	0.396
MAPK4	-3.032
SLC25A23	0.0016
HINT1	-0.6802
KRTAP13-1	0.729
SFXN5	1.6197
CHCHD2	0.320833333333333
FAM3D	0.2465
NDP	0.776625
RHOBTB1	0.494666666666667
SLC4A4	-0.301875
RPL38	-0.60225
HTF9C	-0.283
AP2A2	1.08025
ZBTB46	-0.01
MAP7D1	-0.02725
AOX1	-1.30633333333333
CYR61	1.11991666666667
DTNA	-0.271214285714286
JRKL	-0.66825
TMOD3	0.36175
EEA1	0.2509
ADCK5	-0.9165
IL1R1	2.46566666666667
KLK3	0.195285714285714
HRSP12	-0.605
KTN1	0.56225
LOH11CR2A	0.2297
RELL2	-0.4335
MAB21L1	1.00375
C20orf59	-0.487166666666667
PHKB	0.83275
ADAM2	-1.77066666666667
TBC1D8B	1.9165
FAM13A1	-1.262625
LAPTM4B	-1.76966666666667
LCN8	-0.148
TMEM147	0.7795
SYT4	-0.0163333333333333
XPO7	-1.2075
C9orf62	0.39975
GPR75	0.536
TRIM5	-0.388875
APOC1	-1.097
RNASE4	1.89083333333333
PARD6B	1.492
ARID1A	0.137583333333333
TPD52L3	0.432
