Hybridization REF	TCGA-B6-A0RP-01A-21R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.278
CREB3L1	1.545
RPS11	0.597375
PNMA1	0.19
MMP2	1.12533333333333
C10orf90	-1.56175
ZHX3	-0.602166666666667
ERCC5	-0.3205
GPR98	-0.78425
RXFP3	0.2135
APBB2	2.115
PRO0478	-0.62825
KLHL13	-2.728
PRSSL1	-0.769666666666667
PDCL3	0.258833333333333
DECR1	0.3665
SALL1	-2.30916666666667
CADM4	0.691833333333333
RPS18	0.3665
HNRPD	-0.53725
CFHR5	0.0676666666666667
SLC10A7	0.656625
OR2K2	-0.7245
LMAN1	-0.62725
SUHW1	-3.19025
CHD8	-0.0767
SUMO1	0.5299
GP1BA	0.2403
DDB1	-0.1635
MYO9B	-0.095
MMP7	4.433
CRNKL1	0.84175
C9orf45	-2.11933333333333
XAB2	0.1335
RTN1	2.018875
KLHL14	-1.272125
TBX10	-0.839
CENPQ	-1.4145
UTY	-0.927714285714286
ZBTB12	0.0815
DTNBP1	0.36
KBTBD8	-0.7355
ZEB1	0.2945
ZG16	-2.006
MIER1	0.2645
ADAM5P	-0.114
CHD9	-0.2140625
STK16	0.281
KIAA1486	-0.593
TOB2	0.618416666666667
BANK1	2.837
OR2V2	0.515
GRM2	0.160666666666667
PROSC	0.8345
SPIN2B	0.05425
PIR	-2.72222222222222
IPO9	-0.3508
EVC	1.348
CXCL13	2.74133333333333
KIAA1199	0.6445
SORL1	1.00675
NAT10	-0.2795
CHD1	-1.05825
SYN3	-0.321
SLC22A2	-0.04275
SERPINF1	1.77433333333333
WDR34	-0.42
OR7A17	0.4875
C9orf11	-0.1135
RNF216L	-0.4228
LHB	0.236
STK25	-0.008375
TAOK3	0.661875
LOC152573	-2.861
C3orf39	1.496375
C14orf108	0.571
CDC25B	-1.84145454545455
BMP3	0.1865
TMEM180	0.05
MAP1LC3C	0.163
CRYGC	0.015
POU3F1	-1.3296
C20orf32	-1.054
CCDC95	-0.22
HIGD1B	3.95225
USP6NL	-0.212375
ABCD4	-0.189
DIMT1L	-1.03916666666667
TEK	1.2105
SLC25A46	-0.70375
LARP7	-1.6765
CD160	0.6085
MT1JP	-1.24783333333333
PHF20	-0.087375
CPNE4	-1.83275
GTPBP1	-0.311857142857143
RAB33B	0.538166666666667
ALDOC	-2.915
ZNF212	0.19225
NUDT1	-0.9275
RFPL2	-0.608
ZNF83	0.147833333333333
GDPD5	-1.294875
PDCD4	1.83085
CEP350	0.56425
OR10A2	0.2705
CST7	1.35125
CIAO1	-0.981
SELL	0.633125
OR8J3	0.534
LTBP4	-0.316166666666667
SIRT6	-0.1805
CCL19	3.7725
PPIL1	-1.17
GBP7	0.271166666666667
STK17A	-0.5023
ABR	0.525
OR9G1	0.26
FOXE1	-0.643625
CNGA3	0.6785
GML	0.2195
CD38	-2.94775
ZDHHC6	0.2845
NEFH	-2.584
CTDSP2	0.873916666666667
PGBD5	-1.767
CCNY	0.0698571428571429
RMND5B	0.298333333333333
ZNF257	-0.92075
FLJ22167	-1.053
EXOSC7	-0.153833333333333
ROR2	2.170125
MAOA	-0.939125
TNNT3	0.842833333333333
GYPC	-1.02975
C7orf33	0.152
PLIN	3.22016666666667
LOC90826	-0.10825
RNF4	-0.124
F8A1	0.829166666666667
PLEKHG4	0.07525
GRB2	-0.00370000000000003
HIST1H2AD	-0.567
DUS3L	-0.6605
EIF1	-0.2355
RP5-1077B9.4	-1.26266666666667
FPGT	1.56275
GDF10	0.0755
COQ9	-0.38125
GCC2	-0.100214285714286
RARRES3	3.40225
PLXNA1	-0.3214
KIAA0100	-0.2389
PMF1	0.28125
FNDC1	5.295
HS2ST1	-0.216416666666667
CRELD2	0.3765
C8G	-1.8215
CD82	0.0865
LIM2	-0.891
UNQ6490	-0.438
MMP16	-0.05675
DRD3	-0.091
