Hybridization REF	TCGA-AR-A0TZ-01A-12R-A084-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.5315
CREB3L1	1.1955
RPS11	-0.35725
PNMA1	1.44225
MMP2	0.969333333333333
C10orf90	-2.623
ZHX3	-0.8555
ERCC5	-0.55725
GPR98	0.562625
RXFP3	0.1235
APBB2	2.08525
PRO0478	-0.654375
KLHL13	-0.61525
PRSSL1	-1.29116666666667
PDCL3	1.26633333333333
DECR1	-0.710375
SALL1	-3.79083333333333
CADM4	0.842333333333333
RPS18	-0.570071428571429
HNRPD	0.439583333333333
CFHR5	-0.1395
SLC10A7	0.503875
OR2K2	0.712
LMAN1	-0.42475
SUHW1	-3.71275
CHD8	0.1328
SUMO1	0.5908
GP1BA	-0.2015
DDB1	0.528833333333333
MYO9B	-0.042
MMP7	5.64525
CRNKL1	0.640625
C9orf45	-0.745833333333333
XAB2	0.517375
RTN1	1.659875
KLHL14	-1.5625
TBX10	-1.821
CENPQ	-0.7455
UTY	-1.00185714285714
ZBTB12	-0.43
DTNBP1	-0.303875
KBTBD8	-1.69766666666667
ZEB1	0.291333333333333
ZG16	1.2395
MIER1	0.1757
ADAM5P	0.536
CHD9	-0.3445
STK16	1.7185
KIAA1486	-0.19
TOB2	0.951333333333333
BANK1	1.8375
OR2V2	-0.191
GRM2	0.184
PROSC	-0.081625
SPIN2B	0.92325
PIR	-3.54711111111111
IPO9	0.1767
EVC	1.32733333333333
CXCL13	2.97883333333333
KIAA1199	-2.1058
SORL1	0.199
NAT10	-0.081
CHD1	0.1755
SYN3	-0.529
SLC22A2	-0.0145
SERPINF1	0.324
WDR34	0.74475
OR7A17	0.57225
C9orf11	-0.0970000000000001
RNF216L	-0.7872
LHB	0.1055
STK25	0.61
TAOK3	1.079875
LOC152573	-3.5315
C3orf39	0.29525
C14orf108	1.0702
CDC25B	-1.01309090909091
BMP3	0.0715
TMEM180	0.0375
MAP1LC3C	0.6095
CRYGC	-0.9085
POU3F1	-2.2223
C20orf32	-1.559
CCDC95	-0.5085
HIGD1B	3.44875
USP6NL	-0.393875
ABCD4	-0.303166666666667
DIMT1L	-0.303166666666667
TEK	0.564125
SLC25A46	-0.38375
LARP7	-1.8376
CD160	-0.377
MT1JP	-1.412
PHF20	0.631625
CPNE4	-1.3635
GTPBP1	-0.6855
RAB33B	1.556
ALDOC	-3.881625
ZNF212	0.1835
NUDT1	-0.63
RFPL2	-0.3115
ZNF83	0.469166666666667
GDPD5	-1.605875
PDCD4	2.03305
CEP350	0.23125
OR10A2	-0.0385
CST7	-0.015
CIAO1	-1.136
SELL	0.451
OR8J3	0.165
LTBP4	-0.927666666666667
SIRT6	-0.02325
CCL19	2.2495
PPIL1	-0.791166666666667
GBP7	0.396166666666667
STK17A	-1.2759
ABR	0.19125
OR9G1	1.081
FOXE1	-1.11225
CNGA3	0.651
GML	0.147
CD38	-4.023
ZDHHC6	0.501166666666667
NEFH	-1.8785
CTDSP2	0.823083333333333
PGBD5	1.58983333333333
CCNY	0.172857142857143
RMND5B	1.21858333333333
ZNF257	0.368
FLJ22167	1.24475
EXOSC7	-1.11383333333333
ROR2	1.873375
MAOA	-2.426
TNNT3	0.0881666666666667
GYPC	-2.0325
C7orf33	0.8895
PLIN	2.06616666666667
LOC90826	-0.139
RNF4	0.9408
F8A1	0.584166666666667
PLEKHG4	-1.779
GRB2	0.83455
HIST1H2AD	0.70375
DUS3L	-0.585
EIF1	0.303666666666667
RP5-1077B9.4	-1.66833333333333
FPGT	1.5455
GDF10	-1.08066666666667
COQ9	-0.2735
GCC2	0.381142857142857
RARRES3	1.182625
PLXNA1	-0.4911
KIAA0100	0.6145
PMF1	-0.278
FNDC1	4.537
HS2ST1	-0.333416666666667
CRELD2	-0.7865
C8G	-1.9125
CD82	0.44
LIM2	-1.54
UNQ6490	-0.0985
MMP16	1.38575
DRD3	-0.28425
C5orf26	-0.3475
C11orf73	-0.870625
PTP4A2	0.312875
OR4M2	0.3015
HPCA	-1.09016666666667
SEC14L1	-1.1085
CHFR	0.012375
EMILIN1	0.378625
NDUFS4	-0.662
COL18A1	-0.63325
PDZD3	-0.203
C9orf16	-1.4625
ERBB2IP	0.122833333333333
EMX2	1.11325
FUS	0.70875
TF	-4.9192
CLCN4	-0.085
CXorf56	0.95575
C11orf72	0.2305
ELAC2	-0.645666666666667
NPR1	-1.29075
ASS1	-3.48716666666667
USP42	0.048375
POLR2J	-0.8085
SEC23IP	1.095
UQCRC1	-0.65475
LOC729603	-0.4255
C1orf71	0.11725
POLG	0.0015
ADAM23	-3.312
TFR2	-1.6025
RICTOR	-0.5183
MGC39606	0.348
C19orf55	-0.157625
SNAPC1	-1.67733333333333
GNA11	1.422875
CCDC52	0.145
FSIP1	6.5925
UPF3A	0.332375
IGSF11	-2.72633333333333
LAGE3	-0.4445
CHST6	-1.852
UNC13B	0.9345
TTLL4	-0.723
ZNF687	0.099
SDC2	0.081
COX7A2	-0.33
LAMB4	-0.142
FAM24A	0.3895
LRRTM3	-0.852333333333333
GPHB5	-0.492
OR4C13	-0.5095
EIF3EIP	-0.960714285714286
HABP4	-0.395
