Hybridization REF	TCGA-AN-A0XW-01A-11R-A109-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.670833333333333
CREB3L1	1.54225
RPS11	0.632625
PNMA1	0.03125
MMP2	1.87033333333333
C10orf90	-1.893
ZHX3	-0.700333333333333
ERCC5	0.01725
GPR98	0.367625
RXFP3	0.609
APBB2	1.39575
PRO0478	-1.123
KLHL13	-2.39875
PRSSL1	-0.708166666666667
PDCL3	0.448833333333333
DECR1	-0.4565
SALL1	-2.30483333333333
CADM4	0.886833333333333
RPS18	-0.143071428571429
HNRPD	-1.058
CFHR5	0.3256
SLC10A7	0.914
OR2K2	-0.3675
LMAN1	-0.573125
SUHW1	-3.80775
CHD8	0.0031
SUMO1	0.1905
GP1BA	1.0912
DDB1	0.0465
MYO9B	0.4914
MMP7	6.23875
CRNKL1	0.088
C9orf45	-2.27866666666667
XAB2	-0.051875
RTN1	2.0785
KLHL14	-0.666
TBX10	-1.0595
CENPQ	-1.3215
UTY	-1.41092857142857
ZBTB12	-0.369
DTNBP1	-0.596125
KBTBD8	-0.808333333333333
ZEB1	0.390833333333333
ZG16	-1.111
MIER1	0.614
ADAM5P	0.4715
CHD9	0.1343125
STK16	0.4445
KIAA1486	0.031
TOB2	0.92425
BANK1	2.8225
OR2V2	0.86825
GRM2	0.015
PROSC	0.8335
SPIN2B	-0.34675
PIR	-1.44555555555556
IPO9	0.6065
EVC	1.33733333333333
CXCL13	6.7635
KIAA1199	-0.0295
SORL1	0.552
NAT10	-0.60475
CHD1	-0.35475
SYN3	-0.1105
SLC22A2	-0.4305
SERPINF1	2.0135
WDR34	-0.0875
OR7A17	0.3455
C9orf11	0.5105
RNF216L	-0.2419
LHB	0.0195
STK25	-0.3465
TAOK3	0.900625
LOC152573	-2.77775
C3orf39	0.452625
C14orf108	0.8064
CDC25B	-1.29618181818182
BMP3	-0.528
TMEM180	0.127
MAP1LC3C	0.04775
CRYGC	-0.2845
POU3F1	-0.9478
C20orf32	-1.3205
CCDC95	-0.473
HIGD1B	3.67525
USP6NL	-0.07475
ABCD4	-0.201
DIMT1L	-0.725
TEK	0.676125
SLC25A46	-0.4325
LARP7	-2.3229
CD160	0.758333333333333
MT1JP	-0.0353333333333333
PHF20	-0.383125
CPNE4	2.128
GTPBP1	-0.688142857142857
RAB33B	1.19666666666667
ALDOC	-2.59775
ZNF212	-0.33075
NUDT1	-0.324
RFPL2	-0.4685
ZNF83	-0.322666666666667
GDPD5	-0.907
PDCD4	0.2871
CEP350	1.03075
OR10A2	0.356
CST7	2.42025
CIAO1	-0.45
SELL	2.203125
OR8J3	0.8145
LTBP4	-0.0811666666666667
SIRT6	0.203
CCL19	3.9555
PPIL1	-0.644833333333333
GBP7	0.516666666666667
STK17A	-0.1177
ABR	-0.1275
OR9G1	0.347
FOXE1	-0.783
CNGA3	2.8875
GML	0.4145
CD38	0.3495
ZDHHC6	0.302
NEFH	-0.07
CTDSP2	0.174166666666667
PGBD5	-0.821833333333333
CCNY	0.237285714285714
RMND5B	0.0186666666666667
ZNF257	-2.021
FLJ22167	0.16825
EXOSC7	-0.501166666666667
ROR2	2.073875
MAOA	0.615
TNNT3	0.322333333333333
GYPC	-0.7905
C7orf33	1.353
PLIN	0.7865
LOC90826	-0.321
RNF4	0.3257
F8A1	0.752333333333333
PLEKHG4	-2.12725
GRB2	0.2833
HIST1H2AD	0.84625
DUS3L	-0.555833333333333
EIF1	-0.687333333333333
RP5-1077B9.4	-0.725333333333333
FPGT	2.015
GDF10	-0.581833333333333
COQ9	-0.115
GCC2	-0.137785714285714
RARRES3	2.8205
PLXNA1	-0.3215
KIAA0100	-0.3898
PMF1	0.157
FNDC1	5.51525
HS2ST1	-0.519166666666667
CRELD2	0.8535
C8G	-1.5745
CD82	0.293
LIM2	-0.583
UNQ6490	-0.599
MMP16	0.792
DRD3	-0.09525
C5orf26	-1.83225
C11orf73	-0.902625
PTP4A2	0.34775
OR4M2	0.6465
HPCA	-0.8045
SEC14L1	0.1295
CHFR	0.554
EMILIN1	1.292375
NDUFS4	0.2015
COL18A1	0.272
PDZD3	0.1538
C9orf16	0.5195
ERBB2IP	0.4725
EMX2	2.0605
FUS	-0.781
TF	-3.9159
CLCN4	-0.363666666666667
CXorf56	-0.143
C11orf72	0.0505
ELAC2	-0.9645
NPR1	-1.4
ASS1	-3.45
USP42	0.163125
POLR2J	0.229
SEC23IP	0.487166666666667
UQCRC1	0.1205
LOC729603	-0.872
C1orf71	0.090875
POLG	-1.3665
ADAM23	-3.164
TFR2	-1.06425
RICTOR	-0.9401
MGC39606	0.8695
C19orf55	-0.203
SNAPC1	-1.69183333333333
GNA11	0.48525
CCDC52	-0.0785
FSIP1	4.241
UPF3A	-0.448
IGSF11	-1.59583333333333
LAGE3	-0.32375
CHST6	-2.216
UNC13B	0.363875
TTLL4	-0.935
ZNF687	0.078
SDC2	0.6835
COX7A2	-0.49925
LAMB4	-0.20675
FAM24A	0.6905
LRRTM3	-0.6385
GPHB5	0.2705
OR4C13	0.765
EIF3EIP	0.418428571428571
HABP4	0.135
TMEM125	3.21525
CNTN2	0.218625
ASNSD1	-0.0545
FUT4	0.191375
ACF	-3.731
LOC158381	0.7045
CDH8	-0.19325
AGPS	-1.36666666666667
C4orf18	2.973625
PECI	-0.929416666666667
UNG	-0.491375
GSTP1	-0.33675
