Hybridization REF	TCGA-A8-A08S-01A-11R-A034-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.923416666666667
CREB3L1	1.209
RPS11	-0.38075
PNMA1	0.6915
MMP2	-0.0968333333333333
C10orf90	-2.2305
ZHX3	0.555833333333333
ERCC5	-0.17825
GPR98	-0.779
RXFP3	0.33
APBB2	1.68325
PRO0478	-0.633
KLHL13	-2.033
PRSSL1	-0.787833333333333
PDCL3	0.383166666666667
DECR1	0.656625
SALL1	-1.81216666666667
CADM4	0.2705
RPS18	-0.631
HNRPD	-0.18725
CFHR5	0.712
SLC10A7	0.0465
OR2K2	0.131
LMAN1	-0.325875
SUHW1	-3.252
CHD8	0.643
SUMO1	0.4738
GP1BA	-0.2164
DDB1	-0.2305
MYO9B	-0.47
MMP7	5.026
CRNKL1	0.843375
C9orf45	-0.448666666666667
XAB2	0.24325
RTN1	1.20325
KLHL14	-1.413375
TBX10	-0.486
CENPQ	-1.41425
UTY	-0.994615384615385
ZBTB12	-0.0475
DTNBP1	0.140125
KBTBD8	-1.68516666666667
ZEB1	0.437833333333333
ZG16	2.0325
MIER1	-0.1444
ADAM5P	0.195
CHD9	-0.909625
STK16	1.42825
KIAA1486	-0.22
TOB2	1.42008333333333
BANK1	1.77975
OR2V2	0.323
GRM2	0.1825
PROSC	0.15575
SPIN2B	0.3025
PIR	-1.74166666666667
IPO9	-0.5339
EVC	0.430833333333333
CXCL13	8.36116666666667
KIAA1199	-0.5842
SORL1	-0.426
NAT10	-0.232
CHD1	1.3525
SYN3	-0.194
SLC22A2	-0.4735
SERPINF1	0.1665
WDR34	-0.4455
OR7A17	0.37325
C9orf11	-0.1015
RNF216L	-0.9907
LHB	-0.134
STK25	-0.437375
TAOK3	1.15175
LOC152573	-2.881
C3orf39	0.748625
C14orf108	1.077
CDC25B	-1.26127272727273
BMP3	-0.879
TMEM180	0.225
MAP1LC3C	-0.407
CRYGC	0.082
POU3F1	-1.465
C20orf32	-1.4405
CCDC95	-0.0315
HIGD1B	3.4345
USP6NL	-0.11975
ABCD4	0.388166666666667
DIMT1L	-1.1685
TEK	0.18125
SLC25A46	-0.48975
LARP7	-1.4362
CD160	-0.656333333333333
MT1JP	-0.386166666666667
PHF20	0.3255625
CPNE4	-1.4965
GTPBP1	-0.114785714285714
RAB33B	1.1465
ALDOC	-3.029875
ZNF212	-0.45575
NUDT1	-1.07933333333333
RFPL2	-0.0485
ZNF83	0.0176666666666667
GDPD5	-1.248375
PDCD4	1.92145
CEP350	-0.02025
OR10A2	0.585
CST7	-0.0235
CIAO1	-1.28625
SELL	1.118625
OR8J3	0.1425
LTBP4	-0.770166666666667
SIRT6	-0.019
CCL19	2.5945
PPIL1	-0.124
GBP7	0.587333333333333
STK17A	-1.5857
ABR	-0.35025
OR9G1	0.2015
FOXE1	-0.802375
CNGA3	0.5315
GML	0.862
CD38	-2.928
ZDHHC6	0.326
NEFH	-3.047
CTDSP2	0.965666666666667
PGBD5	-1.70666666666667
CCNY	0.140214285714286
RMND5B	1.035
ZNF257	-0.4255
FLJ22167	-0.35125
EXOSC7	-0.241666666666667
ROR2	1.536125
MAOA	0.434875
TNNT3	0.235
GYPC	-1.79375
C7orf33	-0.776
PLIN	1.79683333333333
LOC90826	-0.08025
RNF4	0.0332
F8A1	1.0765
PLEKHG4	-2.449
GRB2	0.53305
HIST1H2AD	1.03525
DUS3L	-0.789833333333333
EIF1	0.9205
RP5-1077B9.4	-1.26466666666667
FPGT	0.63525
GDF10	-1.33483333333333
COQ9	-0.31675
GCC2	0.961
RARRES3	3.679625
PLXNA1	-0.7052
KIAA0100	0.6262
PMF1	-0.5355
FNDC1	5.518
HS2ST1	-0.707916666666667
CRELD2	0.65075
C8G	-1.893
CD82	0.9065
LIM2	-1.0735
UNQ6490	0.002
MMP16	-0.404
DRD3	-0.182
C5orf26	-0.849
C11orf73	-1.039125
PTP4A2	1.24725
OR4M2	0.2165
HPCA	-0.846166666666667
SEC14L1	-0.928166666666667
CHFR	-0.31025
EMILIN1	0.891125
NDUFS4	-0.17475
COL18A1	-0.6585
PDZD3	0.1421
C9orf16	0.425833333333333
ERBB2IP	-1.97166666666667
EMX2	2.74225
FUS	-0.96025
TF	-4.0061
CLCN4	-0.7
CXorf56	0.6105
C11orf72	0.36725
ELAC2	-1.24825
NPR1	-1.41975
ASS1	-2.9785
USP42	-0.590375
POLR2J	-0.845
SEC23IP	0.851666666666667
UQCRC1	0.0785
LOC729603	-0.28
C1orf71	-0.302125
POLG	-1.6995
ADAM23	-3.66675
TFR2	-1.07825
RICTOR	-1.533
MGC39606	-0.74
C19orf55	-0.24575
SNAPC1	-0.914166666666667
GNA11	0.751875
CCDC52	0.295
FSIP1	2.0475
UPF3A	-0.9325
IGSF11	-2.7995
LAGE3	0.934
CHST6	-0.453
UNC13B	1.69025
TTLL4	-1.484625
ZNF687	-0.139625
SDC2	-1.278
COX7A2	0.62325
LAMB4	-0.18925
FAM24A	0.144
LRRTM3	-1.3245
GPHB5	-0.274
OR4C13	1.8145
EIF3EIP	-0.568428571428571
HABP4	-0.5785
TMEM125	3.46525
CNTN2	0.436625
ASNSD1	-0.5275
FUT4	-0.085625
ACF	-3.7725
LOC158381	0.9525
CDH8	-0.24475
AGPS	-0.122166666666667
C4orf18	2.0355
PECI	0.291333333333333
UNG	-0.335625
GSTP1	0.246375
DCUN1D5	-1.1675
DKFZP564J0863	-1.22425
SLC9A3R1	1.999625
BCDO2	0.636875
CHMP7	-0.440625
REM2	2.615
DNHD1	-0.0905
FKBP4	0.575375
ZNF350	1.6585
MGC11102	-0.063375
BST1	0.86125
KISS1R	0.5155
NCR2	-0.353
DEFB125	-0.7045
UBE2W	1.628125
KRT15	1.110125
C10orf99	0.2065
SCN11A	0.017375
GFI1	-2.773
RDHE2	-0.389166666666667
FHL1	-1.8815
OSGEP	0.504833333333333
GATA1	-3.56883333333333
SMC6	-1.32025
TTTY14	-0.756
LPIN3	0.07225
RPL4	-0.9745
RBPMS	-0.0818
PRPF3	-0.2675
EMR1	-2.254
SPATA19	-0.23775
XCR1	0.337
IRX3	0.2387
RBM6	-0.3485
KLF4	-1.1589
UNC5CL	-0.5525
SEBOX	0.00900000000000001
BTK	-1.25125
KRCC1	0.1595
C6orf27	0.38
SYTL5	-0.495
PRND	2.060875
LOC653319	-1.6165
PIGL	-2.202625
HUS1	-0.8795
SFRS6	-0.373833333333333
C17orf77	0.0355
UIMC1	-0.717666666666667
FXYD2	-1.654
LOC283152	1.9415
ZNF667	-1.6855
ZCCHC12	-0.73575
TFEC	2.2793
ATP7B	0.538333333333333
POLD2	-1.0885
RG9MTD1	-0.333
ACOT2	1.7535
HIST1H4I	-0.8245
PPARGC1A	-2.9809
ETFA	-1.8153
POLRMT	-0.413
ZNF146	-0.58725
MIA2	-0.5225
KLHL6	-1.7135
HOXB5	0.640375
NENF	0.438833333333333
CUGBP1	0.556
PRSS22	1.50283333333333
CASC4	1.7687
CUL4B	0.0283
CENPJ	-1.8399
PITX1	0.332666666666667
FLJ31033	1.80683333333333
CELSR3	-2.3565
ZNF568	0.23225
ITSN1	-0.7785
EHBP1L1	-1.15616666666667
C19orf2	-0.63525
DCTN1	0.50725
LIN28B	-3.73666666666667
TNKS2	-0.9535
C1QBP	-1.215125
CADPS2	0.554
SRMS	0.56675
GJA9	0.203666666666667
MGC24975	-0.582
TRIM45	-0.122333333333333
TSP50	1.37775
TCP1	-0.52275
TMED7	0.6718
CMA1	0.4815
CENPL	-1.05716666666667
PTCRA	0.037
FST	-3.47825
VWCE	-4.10125
PAWR	-0.6535
ABCC12	1.64816666666667
LDLR	-1.7716
ASTN2	1.8485
LOC441212	-1.46025
GPATCH8	-0.31175
TANC2	0.511916666666667
KIF4A	-1.47175
C18orf18	-1.404
PGM1	-1.352
KIAA0258	1.0465
CPD	1.030125
SNCAIP	-1.38575
DCT	-4.474
HLA-DOA	2.64645454545455
OR11L1	0.3475
UPK1B	-0.356166666666667
DNAJB4	-1.655125
UGT1A8	-0.52425
HIST1H4L	-1.2095
PECR	-0.905166666666667
HSPA2	2.68125
WFIKKN1	-0.895
SERP1	0.82875
SYDE2	1.51425
TACR2	0.587
NUP85	-0.68525
CD177	-0.1025
LGR5	-1.392
PIGG	-0.504166666666667
PTHR1	-1.94366666666667
RAB5A	0.3258
FLJ13224	0.159
USP9Y	-1.42216666666667
C7orf53	-0.862
LRP1B	2.439
XAF1	3.6833
ABCG8	-0.357
ANKDD1A	-0.872666666666667
DAND5	-1.722
SPAG6	-0.530666666666667
LINCR	4.17175
ZDHHC22	-0.493
CCDC60	0.1055
THOC7	-1.007
TCTA	1.2168
OR8K3	-0.00475
NY-REN-7	-0.322
B2M	2.20683333333333
C6orf141	-2.888125
LPPR4	1.4225
SQLE	-1.500125
SEPHS1	-0.2995
BTBD14B	0.5365
PLRG1	-0.20125
SPG7	-0.6246875
ZNF614	-0.2865
PARD6G	0.489666666666667
INPP5B	-1.4617
GRPEL2	-0.399
PPID	-0.436
TRIM56	-0.11575
UBE2J1	-0.14375
IL20RA	5.19225
LOC387856	0.3155
C1orf107	-0.0431666666666666
UTS2R	0.49625
C19orf22	0.0305
SAFB2	-0.063875
KIAA0652	0.53
KLRG1	-1.5455
MS4A8B	1.70166666666667
FRAG1	0.98225
KIAA1546	0.359
E2F4	-1.3927
CLEC4M	0.315333333333333
BTBD14A	-1.11975
KIAA0999	0.5868
GYPA	-3.27683333333333
TAC1	0.4805
TRAIP	-1.26916666666667
KIAA0232	1.4097
ERCC8	-1.30325
GPX4	0.4585
KIAA0368	-0.14875
GPR157	-0.557166666666667
CTAGE4	1.045
C9orf30	-1.51016666666667
OR52A1	0.392
HSP90B3P	-0.201
ALG9	-0.832
BTBD10	0.819
SDK2	0.3835
BAIAP3	1.00725
RABGGTB	-0.61625
ANKRD40	0.561166666666667
KRT74	0.2835
CALCOCO2	1.54485714285714
